2,87 Buick LeSabre,road
Steering Wheel Angle,Yaw Rate
367.021210,2.780972
366.161163,2.880032
365.328857,2.881287
364.496582,2.836779
363.636566,2.833715
362.804291,2.832705
361.971954,2.804427
361.111938,2.792119
360.279633,2.816411
359.447357,2.813982
358.587311,2.799518
357.755035,2.788545
356.922760,2.773880
356.062714,2.770385
355.230408,2.779088
354.398132,2.758686
353.538086,2.748858
352.705811,2.734474
351.873505,2.739315
351.013458,2.734407
350.181152,2.732823
349.348877,2.720441
348.488861,2.719694
347.656586,2.718854
346.824280,2.681376
345.964233,2.688159
345.131927,2.692863
344.271912,2.697370
343.439606,2.694165
342.607300,2.680129
341.747284,2.673968
340.915009,2.664160
340.082703,2.660958
339.222687,2.655423
338.390381,2.659432
337.558075,2.643871
336.698059,2.637732
335.865753,2.625655
335.033447,2.617438
334.173431,2.613127
333.341125,2.605545
332.508850,2.602853
331.648834,2.594281
330.816498,2.587240
329.984222,2.579472
329.124176,2.568885
328.291870,2.566220
327.459595,2.557836
326.599579,2.550139
325.767242,2.539855
324.934998,2.530865
324.074890,2.528501
323.242615,2.523623
322.410339,2.517124
321.550323,2.509161
320.718018,2.504999
319.885742,2.494377
319.025665,2.486502
318.193359,2.482885
317.361053,2.477556
316.501038,2.468187
315.668762,2.462059
314.836456,2.455385
313.976410,2.445355
313.144104,2.442642
312.311798,2.438926
311.451782,2.436065
310.619476,2.424177
309.787201,2.433129
308.927124,2.410146
308.094849,2.414720
307.262543,2.406380
306.402527,2.394057
305.570251,2.403053
304.737915,2.380887
303.877869,2.384995
303.045593,2.370611
302.185547,2.369317
301.353241,2.360412
300.520966,2.358143
299.660919,2.351007
298.828613,2.342937
297.996338,2.335959
297.136292,2.329900
296.303955,2.325986
295.471680,2.319511
294.611664,2.309349
293.779358,2.303527
292.947052,2.299111
292.087006,2.294530
291.254700,2.287048
290.422424,2.277781
289.562378,2.270786
288.730072,2.266959
287.897766,2.261873
287.037720,2.254779
286.205444,2.245244
285.373138,2.237123
284.513092,2.231365
283.680786,2.228242
282.848511,2.223297
281.988434,2.214165
281.156128,2.204994
280.323853,2.198962
279.463837,2.194402
278.631531,2.190449
277.799194,2.182992
276.939148,2.174313
276.106873,2.165573
275.274567,2.160156
274.414520,2.155412
273.582184,2.151555
272.749939,2.144499
271.889862,2.135753
271.057556,2.126709
270.225281,2.120425
269.365234,2.116067
268.532898,2.112329
267.700653,2.106523
266.840576,2.097250
266.008301,2.088717
265.175995,2.080355
264.315948,2.076455
263.483612,2.072537
262.651367,2.067924
261.791260,2.060112
260.958984,2.099596
260.126709,2.080859
259.266663,2.072817
258.434326,2.069678
257.574310,2.064550
256.741974,2.059381
255.909698,2.052442
255.049637,2.049325
254.217377,2.039873
