2,87 Chevy Monte Carlo,road
Steering Wheel Angle,Yaw Rate
367.021210,2.784931
366.161163,2.879531
365.328857,2.880883
364.496582,2.883617
363.636566,2.822114
362.804291,2.821692
361.971954,2.815202
361.111938,2.818455
360.279633,2.816189
359.447357,2.812127
358.587311,2.779135
357.755035,2.776847
356.922760,2.778321
356.062714,2.797316
355.230408,2.782216
354.398132,2.758390
353.538086,2.748268
352.705811,2.758087
351.873505,2.730770
351.013458,2.731736
350.181152,2.759344
349.348877,2.741644
348.488861,2.716223
347.656586,2.690062
346.824280,2.706947
345.964233,2.721687
345.131927,2.712195
344.271912,2.702120
343.439606,2.683368
342.607300,2.676298
341.747284,2.677653
340.915009,2.664033
340.082703,2.664105
339.222687,2.656846
338.390381,2.652514
337.558075,2.641642
336.698059,2.634423
335.865753,2.631003
335.033447,2.622671
334.173431,2.607364
333.341125,2.609627
332.508850,2.601015
331.648834,2.586827
330.816498,2.582864
329.984222,2.575845
329.124176,2.570234
328.291870,2.565972
327.459595,2.557563
326.599579,2.550180
325.767242,2.545377
324.934998,2.535260
324.074890,2.527317
323.242615,2.519080
322.410339,2.510897
321.550323,2.512171
320.718018,2.506289
319.885742,2.498939
319.025665,2.490705
318.193359,2.481093
317.361053,2.473766
316.501038,2.465169
315.668762,2.464265
314.836456,2.457122
313.976410,2.449196
313.144104,2.442824
312.311798,2.435375
311.451782,2.424677
310.619476,2.421373
309.787201,2.426800
308.927124,2.418688
308.094849,2.400068
307.262543,2.413140
306.402527,2.401049
305.570251,2.402982
304.737915,2.389940
303.877869,2.382972
303.045593,2.376007
302.185547,2.367345
301.353241,2.362500
300.520966,2.354399
299.660919,2.347943
298.828613,2.343509
297.996338,2.337774
297.136292,2.328607
296.303955,2.319941
295.471680,2.316826
294.611664,2.312477
293.779358,2.303770
292.947052,2.294719
292.087006,2.289193
291.254700,2.285115
290.422424,2.280047
289.562378,2.270139
288.730072,2.261123
287.897766,2.257875
287.037720,2.253450
286.205444,2.246984
285.373138,2.237439
284.513092,2.228578
283.680786,2.225386
282.848511,2.221043
281.988434,2.214547
281.156128,2.205683
280.323853,2.196362
279.463837,2.192500
278.631531,2.187955
277.799194,2.183649
276.939148,2.173713
276.106873,2.165337
275.274567,2.156646
274.414520,2.153426
273.582184,2.149222
272.749939,2.144684
271.889862,2.135022
271.057556,2.126085
270.225281,2.117927
269.365234,2.114623
268.532898,2.110589
267.700653,2.105345
266.840576,2.096197
266.008301,2.087018
265.175995,2.079825
264.315948,2.075755
263.483612,2.072016
262.651367,2.065840
261.791260,2.107117
260.958984,2.087389
260.126709,2.078783
259.266663,2.076933
258.434326,2.073972
257.574310,2.069882
256.741974,2.059017
255.909698,2.053031
255.049637,2.045872
254.217377,2.045352
253.385025,2.040225
252.524994,2.033950
251.692673,2.025151
250.860382,2.016715
250.000351,2.010817
249.168060,2.009300
248.335739,2.005005
247.475677,1.996346
246.643387,1.987378
245.811096,1.979267
244.951035,1.974992
244.118729,1.971013
243.286438,1.965071
242.426376,1.952934
241.594086,1.946749
240.761795,1.944326
239.901733,1.939188
239.069412,1.932785
238.237122,1.925232
237.377060,1.916103
236.544769,1.909568
235.712479,1.901908
234.852386,1.892819
234.020096,1.885346
233.187759,1.877210
232.327744,1.869023
231.495453,1.861747
230.663147,1.854565
229.803085,1.847307
228.970810,1.841909
228.138474,1.834419
227.278442,1.829274
226.446152,1.822863
225.613831,1.816634
224.753769,1.810446
223.921478,1.802039
223.089157,1.794851
222.229095,1.786258
221.396805,1.778269
220.564499,1.771069
219.704453,1.763586
218.872147,1.758060
218.039856,1.752312
217.179794,1.746488
216.347504,1.740397
215.487411,1.733107
214.655151,1.726101
213.822800,1.720488
212.962784,1.713376
212.130447,1.707126
211.298157,1.699952
210.438110,1.692877
209.605789,1.686349
208.773483,1.679231
207.913452,1.671805
207.081100,1.665183
206.248810,1.657616
205.388763,1.650003
204.556473,1.643327
203.724136,1.636228
202.864120,1.630019
202.031799,1.623210
201.199493,1.616872
200.339432,1.609309
199.507156,1.602778
198.674789,1.596123
197.814758,1.587657
196.982437,1.581763
196.150131,1.573703
195.290085,1.566833
194.457779,1.561194
193.625488,1.552805
192.765442,1.546922
191.933105,1.539496
191.100800,1.531525
190.240738,1.525114
189.408432,1.513270
188.576141,1.505390
187.716064,1.499814
186.883774,1.491122
186.051453,1.488462
185.191422,1.484876
184.359100,1.476515
183.526779,1.471697
182.666718,1.461027
181.834427,1.451802
181.002090,1.445710
180.142075,1.435614
179.309723,1.432093
178.477432,1.427684
177.617355,1.420677
176.785065,1.416484
175.952728,1.409193
175.092712,1.401712
174.260361,1.395306
173.428070,1.388084
172.567993,1.381159
171.735703,1.374669
170.875641,1.367265
170.043350,1.360527
169.211029,1.353527
168.350967,1.345834
167.518646,1.338341
166.686340,1.331994
165.826263,1.323442
164.993988,1.314135
164.161667,1.307656
163.301605,1.297799
162.469284,1.293339
161.636978,1.289129
160.776901,1.283114
159.944611,1.278621
159.112289,1.271996
158.252243,1.265614
157.419952,1.259049
156.587616,1.252119
155.727585,1.245520
154.895248,1.238381
154.062958,1.231780
153.202866,1.224404
152.370575,1.217881
151.538254,1.210949
150.678192,1.204308
149.845886,1.195861
149.013550,1.189686
148.153473,1.182476
147.321182,1.175267
146.488861,1.167372
145.628830,1.159898
144.796478,1.152508
143.964188,1.146710
143.104111,1.140723
142.271820,1.132875
141.439468,1.126745
140.579437,1.120045
139.747116,1.113529
138.914810,1.106883
138.054718,1.099820
137.222427,1.093030
136.390091,1.086317
135.530060,1.080342
134.697739,1.072817
133.865448,1.065557
133.005356,1.058968
132.173035,1.051285
131.340698,1.044562
130.480667,1.038274
129.648331,1.031895
128.788284,1.025107
127.955971,1.018965
127.123650,1.011407
126.263580,1.004922
125.431274,0.997573
124.598946,0.991516
123.738884,0.983824
122.906570,0.977175
122.074249,0.969374
121.214180,0.962796
120.381889,0.955284
119.549583,0.949569
118.689499,0.941339
117.857208,0.934868
117.024864,0.929070
116.164818,0.920690
115.332497,0.915019
114.500183,0.907787
113.640099,0.899553
112.807816,0.893371
111.975464,0.885860
111.115417,0.880430
110.283073,0.874526
109.450798,0.868455
108.590706,0.862250
107.758392,0.855991
106.926048,0.848971
106.066025,0.842684
105.233688,0.835004
104.401367,0.829095
103.541290,0.822341
102.709000,0.814841
101.876656,0.808482
101.016617,0.801310
100.184258,0.793632
99.351967,0.786853
98.491867,0.779844
97.659584,0.773426
96.827240,0.767751
95.967186,0.760748
95.134850,0.753374
94.302551,0.746832
93.442474,0.739061
92.610168,0.732661
91.777817,0.725299
90.917770,0.716245
90.085419,0.708903
89.253136,0.700308
88.393059,0.691396
87.560738,0.684192
86.728401,0.677935
85.868347,0.673364
85.036011,0.667172
84.175987,0.660471
83.343666,0.654878
82.511330,0.648946
81.651276,0.643151
80.818932,0.636714
79.986641,0.630528
79.126564,0.623354
78.294250,0.617125
77.461899,0.609780
76.601852,0.602994
75.769508,0.596269
74.937218,0.589614
74.077118,0.583200
73.244827,0.576890
72.412483,0.570689
71.552437,0.562985
70.720093,0.556252
69.887779,0.550354
69.027695,0.543749
68.195381,0.536965
67.363037,0.530808
66.502983,0.523310
65.670639,0.517198
64.838356,0.509959
63.978252,0.501893
63.145962,0.495602
62.313614,0.488212
61.453571,0.480101
60.621227,0.470624
59.788914,0.461474
58.928833,0.453861
58.096516,0.448702
57.264168,0.443403
56.404118,0.438100
55.571785,0.433087
54.739460,0.427274
53.879387,0.420719
53.047070,0.414639
52.214725,0.408434
51.354675,0.402202
50.522331,0.395300
49.690018,0.387913
48.829941,0.380025
47.997620,0.371622
47.165333,0.363324
46.305229,0.353751
45.472939,0.346347
44.640572,0.341894
43.780521,0.336841
42.948174,0.331730
42.088127,0.326537
41.255783,0.320793
40.423466,0.314033
39.563393,0.307041
38.731071,0.299237
37.898731,0.290468
37.038677,0.280833
36.206333,0.272614
35.374020,0.266453
34.513916,0.262226
33.681625,0.256524
32.849281,0.249994
31.989231,0.243369
31.156860,0.237046
30.324574,0.230731
29.464470,0.225093
28.632154,0.218900
27.799809,0.213275
26.939756,0.206228
26.107418,0.199834
25.275099,0.192815
