2,87 Ford Thunderbird,road
Steering Wheel Angle,Yaw Rate
367.021210,2.763805
366.161163,2.879618
365.328857,2.880919
364.496582,2.872009
363.636566,2.834996
362.804291,2.807956
361.971954,2.801522
361.111938,2.792382
360.279633,2.813245
359.447357,2.812016
358.587311,2.797940
357.755035,2.798909
356.922760,2.781906
356.062714,2.770327
355.230408,2.757046
354.398132,2.746560
353.538086,2.745438
352.705811,2.760569
351.873505,2.748891
351.013458,2.747262
350.181152,2.720151
349.348877,2.722654
348.488861,2.701598
347.656586,2.720673
346.824280,2.722508
345.964233,2.705921
345.131927,2.689701
344.271912,2.682545
343.439606,2.694576
342.607300,2.678192
341.747284,2.674230
340.915009,2.670424
340.082703,2.655195
339.222687,2.650567
338.390381,2.650208
337.558075,2.644399
336.698059,2.641609
335.865753,2.629018
335.033447,2.618022
334.173431,2.611657
333.341125,2.596094
332.508850,2.598044
331.648834,2.597560
330.816498,2.590844
329.984222,2.582971
329.124176,2.573405
328.291870,2.559520
327.459595,2.553525
326.599579,2.546180
325.767242,2.540975
324.934998,2.535011
324.074890,2.530075
323.242615,2.523092
322.410339,2.518301
321.550323,2.509555
320.718018,2.503645
319.885742,2.498696
319.025665,2.486758
318.193359,2.483311
317.361053,2.478824
316.501038,2.468865
315.668762,2.462077
314.836456,2.455885
313.976410,2.445404
313.144104,2.439326
312.311798,2.435865
311.451782,2.438514
310.619476,2.435278
309.787201,2.407627
308.927124,2.412954
308.094849,2.401645
307.262543,2.396734
306.402527,2.410827
305.570251,2.374384
304.737915,2.382759
303.877869,2.381174
303.045593,2.362195
302.185547,2.371998
301.353241,2.365123
300.520966,2.358732
299.660919,2.351203
298.828613,2.345518
297.996338,2.338335
297.136292,2.332335
296.303955,2.325389
295.471680,2.319432
294.611664,2.311663
293.779358,2.306134
292.947052,2.299136
292.087006,2.293015
291.254700,2.285840
290.422424,2.280105
289.562378,2.272537
288.730072,2.266627
287.897766,2.259991
287.037720,2.253554
286.205444,2.246582
285.373138,2.240726
284.513092,2.233261
283.680786,2.230182
282.848511,2.222156
281.988434,2.216003
281.156128,2.208860
280.323853,2.203175
279.463837,2.195784
278.631531,2.190067
277.799194,2.182888
276.939148,2.176939
276.106873,2.169177
275.274567,2.163538
274.414520,2.155641
273.582184,2.149384
272.749939,2.142127
271.889862,2.136101
271.057556,2.130811
270.225281,2.125238
269.365234,2.117913
268.532898,2.112522
267.700653,2.105255
266.840576,2.099116
266.008301,2.092602
265.175995,2.084343
264.315948,2.077688
263.483612,2.071969
262.651367,2.064623
261.791260,2.058388
260.958984,2.051387
