2,87 Pontiac Grand Prix,road
Steering Wheel Angle,Yaw Rate
367.021210,2.793447
366.161163,2.879807
365.328857,2.881012
364.496582,2.883070
363.636566,2.817182
362.804291,2.838153
361.971954,2.822839
361.111938,2.786695
360.279633,2.816164
359.447357,2.818348
358.587311,2.802677
357.755035,2.787015
356.922760,2.777974
356.062714,2.777316
355.230408,2.764570
354.398132,2.754115
353.538086,2.749438
352.705811,2.746186
351.873505,2.762901
351.013458,2.755241
350.181152,2.718791
349.348877,2.698754
348.488861,2.700114
347.656586,2.723819
346.824280,2.702514
345.964233,2.701366
345.131927,2.702764
344.271912,2.699713
343.439606,2.688447
342.607300,2.654765
341.747284,2.673874
340.915009,2.664094
340.082703,2.663356
339.222687,2.654159
338.390381,2.647960
337.558075,2.637973
336.698059,2.637542
335.865753,2.626098
335.033447,2.623038
334.173431,2.614956
333.341125,2.608291
332.508850,2.594948
331.648834,2.590657
330.816498,2.582874
329.984222,2.577230
329.124176,2.570668
328.291870,2.563153
327.459595,2.558905
326.599579,2.552068
325.767242,2.543449
324.934998,2.532324
324.074890,2.523802
323.242615,2.520310
322.410339,2.517458
321.550323,2.512096
320.718018,2.503735
319.885742,2.499246
319.025665,2.491436
318.193359,2.480308
317.361053,2.475031
316.501038,2.469658
315.668762,2.465734
314.836456,2.456649
313.976410,2.449057
313.144104,2.443465
312.311798,2.431247
311.451782,2.434647
310.619476,2.428723
309.787201,2.417544
308.927124,2.426419
308.094849,2.391981
307.262543,2.397866
306.402527,2.408425
305.570251,2.388391
304.737915,2.390471
303.877869,2.383653
303.045593,2.374356
302.185547,2.368917
301.353241,2.362838
300.520966,2.357184
299.660919,2.349878
298.828613,2.344042
297.996338,2.336773
297.136292,2.330619
296.303955,2.323579
295.471680,2.319662
294.611664,2.311910
293.779358,2.306446
292.947052,2.299031
292.087006,2.293193
291.254700,2.286139
290.422424,2.280149
289.562378,2.273138
288.730072,2.267156
287.897766,2.260140
287.037720,2.253866
286.205444,2.246722
285.373138,2.241063
284.513092,2.233669
283.680786,2.227847
282.848511,2.220766
281.988434,2.214629
281.156128,2.207682
280.323853,2.201430
279.463837,2.194520
278.631531,2.188488
277.799194,2.181633
276.939148,2.175115
276.106873,2.168236
275.274567,2.162122
274.414520,2.155076
273.582184,2.149023
272.749939,2.144814
271.889862,2.137815
271.057556,2.130439
270.225281,2.124899
269.365234,2.117675
268.532898,2.111691
267.700653,2.104716
266.840576,2.098507
266.008301,2.090552
265.175995,2.084757
264.315948,2.077090
263.483612,2.071111
262.651367,2.064051
261.791260,2.057785
260.958984,2.053282
260.126709,2.097154
259.266663,2.077036
258.434326,2.067669
257.574310,2.059765
256.741974,2.058046
255.909698,2.055185
255.049637,2.045069
254.217377,2.039086
253.385025,2.037629
252.524994,2.032941
251.692673,2.023813
250.860382,2.015568
250.000351,2.012600
249.168060,2.008777
248.335739,2.000510
247.475677,1.992366
246.643387,1.985929
245.811096,1.982729
244.951035,1.977728
244.118729,1.969138
243.286438,1.961563
242.426376,1.957505
241.594086,1.947872
240.761795,1.943171
239.901733,1.936189
239.069412,1.929637
238.237122,1.921205
237.377060,1.912889
236.544769,1.906603
235.712479,1.895316
234.852386,1.888164
234.020096,1.881905
233.187759,1.873200
232.327744,1.865763
231.495453,1.859258
230.663147,1.851617
229.803085,1.848458
228.970810,1.842790
228.138474,1.839544
227.278442,1.832666
226.446152,1.827295
225.613831,1.820981
224.753769,1.813763
223.921478,1.805139
223.089157,1.798118
222.229095,1.790207
221.396805,1.780286
220.564499,1.773586
219.704453,1.763905
218.872147,1.756634
218.039856,1.750611
217.179794,1.740719
216.347504,1.733749
215.487411,1.727084
214.655151,1.720982
213.822800,1.715453
212.962784,1.710348
212.130447,1.701064
