2,ARCA Chevrolet SS,road
Steering Wheel Angle,Yaw Rate
366.684296,2.893057
365.685516,2.901686
364.653442,2.897895
363.654724,2.905822
362.622681,2.862785
361.623901,2.817113
360.625153,2.818415
359.593109,2.816315
358.594330,2.813496
357.595612,2.810725
356.563568,2.807192
355.564758,2.802738
354.566010,2.876812
353.533997,2.859915
352.535248,2.852931
351.536469,2.842967
350.504425,2.829334
349.505646,2.816140
348.506927,2.804281
347.474854,2.793190
346.476105,2.782197
345.477325,2.770477
344.445282,2.753724
343.446533,2.741197
342.447784,2.730223
341.415710,2.729862
340.416962,2.727348
339.418213,2.724535
338.386139,2.721002
337.387360,2.715351
336.388641,2.707017
335.356598,2.698049
334.357849,2.689852
333.359039,2.675832
332.326996,2.662998
331.328247,2.655016
330.329498,2.647131
329.297424,2.642017
328.298645,2.632347
327.299927,2.624941
326.267853,2.616628
325.269073,2.607224
324.270355,2.600587
323.238281,2.592166
322.239502,2.583032
321.240784,2.574277
320.208710,2.566907
319.209961,2.557479
318.211212,2.550619
317.179138,2.541613
316.180359,2.532727
315.181641,2.525010
314.149536,2.517101
313.150787,2.508112
312.152069,2.500623
311.119995,2.490243
310.121185,2.483966
309.089172,2.474543
308.090393,2.466584
307.091644,2.458205
306.059570,2.450212
305.060852,2.441651
304.062042,2.433376
303.029999,2.424902
302.031219,2.416502
301.032471,2.407597
300.000427,2.400231
299.001678,2.391994
298.002899,2.383083
296.970825,2.374709
295.972076,2.366233
294.973328,2.358198
293.941254,2.350346
292.942474,2.342065
291.943726,2.333631
290.911652,2.325289
289.912903,2.317146
288.914154,2.309388
287.882080,2.300591
286.883301,2.291941
285.884552,2.283897
284.852478,2.275475
283.853729,2.266635
282.854980,2.259488
281.822876,2.250477
280.824127,2.242562
279.825317,2.234086
278.793304,2.225487
277.794556,2.217247
276.795776,2.209714
275.763702,2.201126
274.764984,2.192911
273.766174,2.184810
272.734131,2.176915
271.735382,2.168062
270.736603,2.160453
269.704529,2.151959
268.705780,2.143811
267.707001,2.135043
266.674927,2.126189
265.676178,2.119265
264.677399,2.110959
263.645355,2.102323
262.646576,2.094447
261.647827,2.085920
260.615753,2.077365
259.617004,2.069175
258.584900,2.062100
257.586182,2.053214
256.587372,2.044322
255.555344,2.036235
254.556549,2.028830
253.557785,2.019990
252.525742,2.011803
251.526947,2.003811
250.528183,1.995912
249.496140,1.987349
248.497330,1.979083
247.498581,1.971166
246.466522,1.962653
245.467773,1.954508
244.468964,1.946581
243.436951,1.938265
242.438156,1.930018
241.439392,1.921799
240.407318,1.913419
239.408585,1.905579
238.409760,1.897470
237.377716,1.888875
236.378922,1.881458
235.380157,1.872534
234.348114,1.864663
233.349335,1.856747
232.350586,1.848438
231.318527,1.839334
230.319733,1.832237
229.320969,1.823679
228.288895,1.815366
227.290115,1.807521
226.291382,1.799027
225.259277,1.791326
224.260529,1.783535
223.261749,1.775132
222.229706,1.766538
221.230927,1.758710
220.232147,1.751186
219.200073,1.742108
218.201324,1.734549
217.202515,1.726229
216.170486,1.717903
215.171677,1.709092
214.172928,1.702522
213.140839,1.693621
212.142090,1.685598
211.143280,1.677492
210.111252,1.669594
209.112442,1.661087
208.113693,1.653468
207.081604,1.643250
206.082840,1.637116
205.050766,1.628596
204.052017,1.619423
203.053238,1.612856
202.021164,1.604478
201.022385,1.596195
200.023605,1.587456
198.991516,1.580449
197.992783,1.570932
196.994003,1.564458
195.961929,1.555594
194.963150,1.547183
193.964371,1.539576
192.932281,1.530806
191.933533,1.523167
190.934753,1.514657
189.902695,1.506892
188.903946,1.498863
187.905136,1.490511
186.873108,1.482229
185.874298,1.473184
184.875549,1.467237
183.843445,1.458207
182.844696,1.450194
181.845901,1.441095
180.813843,1.434682
179.815063,1.426114
178.816269,1.418020
177.784180,1.409735
176.785431,1.401557
175.786636,1.393311
174.754608,1.385716
173.755783,1.377403
172.757034,1.370054
171.724945,1.361121
170.726196,1.353145
169.727371,1.344183
168.695328,1.336951
167.696548,1.328325
166.697769,1.321210
165.665665,1.311484
164.666916,1.305031
163.668106,1.297059
162.636078,1.288453
161.637283,1.280747
160.638535,1.272198
159.606430,1.264510
158.607651,1.255699
157.608841,1.248336
156.576813,1.240609
155.578003,1.231163
154.545944,1.224124
153.547165,1.214988
152.548386,1.207876
151.516296,1.199727
150.517532,1.191772
149.518738,1.184162
148.486664,1.174530
147.487885,1.167663
146.489105,1.158773
145.457016,1.151441
144.458267,1.143259
143.459503,1.134862
142.427399,1.127529
141.428650,1.119176
140.429840,1.111033
139.397781,1.102955
138.399002,1.094760
137.400223,1.086147
136.368118,1.079260
135.369385,1.070834
134.370560,1.063008
133.338501,1.053720
132.339691,1.046393
131.340958,1.039045
130.308853,1.029961
129.310074,1.022756
128.311264,1.013164
127.279228,1.006317
126.280426,0.998612
125.281647,0.989064
124.249550,0.982556
123.250801,0.974699
122.251991,0.966103
121.219940,0.957687
120.221115,0.950109
119.222366,0.942134
118.190239,0.933419
117.191505,0.925637
116.192688,0.918791
115.160629,0.908990
114.161819,0.902397
113.163063,0.893296
112.130974,0.885977
111.132202,0.877245
110.133385,0.869969
109.101326,0.860757
108.102509,0.854074
107.103767,0.846043
106.071671,0.836870
105.072891,0.828925
104.074081,0.822056
103.042015,0.812634
102.043213,0.806004
101.011185,0.797656
100.012398,0.788026
99.013596,0.781189
97.981529,0.773477
96.982719,0.764883
95.983971,0.756818
94.951881,0.749381
93.953102,0.739833
92.954285,0.733449
91.922226,0.725476
90.923409,0.716019
89.924667,0.709865
88.892548,0.699772
87.893791,0.693319
86.894981,0.684402
85.862923,0.677209
84.864113,0.668315
83.865334,0.661325
82.833237,0.651975
81.834457,0.645523
80.835648,0.636189
79.803581,0.629307
78.804771,0.619908
77.806030,0.613531
76.773903,0.603646
75.775154,0.597330
74.776337,0.588584
73.744286,0.580857
72.745476,0.572022
71.746696,0.565542
70.714600,0.555633
69.715820,0.549188
68.717003,0.540747
67.684944,0.531861
66.686142,0.525012
65.687355,0.516358
64.655266,0.508206
63.656487,0.500021
62.657673,0.493294
61.625610,0.483334
60.626797,0.476708
59.628021,0.468797
58.595932,0.460292
57.597145,0.451969
56.598400,0.444944
55.566277,0.435764
54.567528,0.428145
53.568687,0.420667
52.536625,0.411786
51.537811,0.403944
50.505753,0.396531
49.506939,0.387055
48.508160,0.380829
47.476070,0.371988
46.477287,0.363908
45.478477,0.356784
44.446415,0.346939
43.447601,0.340776
42.448826,0.331254
