2,ARCA Ford Mustang,road
Steering Wheel Angle,Yaw Rate
366.684296,2.893356
365.685516,2.900363
364.653442,2.897265
363.654724,2.905221
362.622681,2.839980
361.623901,2.821144
360.625153,2.817796
359.593109,2.815804
358.594330,2.812965
357.595612,2.810077
356.563568,2.806527
355.564758,2.802316
354.566010,2.830249
353.533997,2.859772
352.535248,2.854327
351.536469,2.845937
350.504425,2.832621
349.505646,2.819068
348.506927,2.808311
347.474854,2.794548
346.476105,2.779765
345.477325,2.775995
344.445282,2.755412
343.446533,2.742424
342.447784,2.729411
341.415710,2.723964
340.416962,2.723611
339.418213,2.721394
338.386139,2.718126
337.387360,2.714730
336.388641,2.706476
335.356598,2.697583
334.357849,2.689293
333.359039,2.679510
332.326996,2.663858
331.328247,2.655414
330.329498,2.646945
329.297424,2.642181
328.298645,2.633432
327.299927,2.625718
326.267853,2.616306
325.269073,2.608929
324.270355,2.600296
323.238281,2.590605
322.239502,2.582479
321.240784,2.575207
320.208710,2.566436
319.209961,2.557824
318.211212,2.549977
317.179138,2.540842
316.180359,2.533114
315.181641,2.525066
314.149536,2.516121
313.150787,2.508354
312.152069,2.500243
311.119995,2.491949
310.121185,2.483453
309.089172,2.474651
308.090393,2.466607
307.091644,2.457613
306.059570,2.450087
305.060852,2.441286
304.062042,2.433680
303.029999,2.424586
302.031219,2.416445
301.032471,2.407962
300.000427,2.399801
299.001678,2.391224
298.002899,2.383940
296.970825,2.374340
295.972076,2.366540
294.973328,2.358246
293.941254,2.350213
292.942474,2.342147
291.943726,2.333279
290.911652,2.325375
289.912903,2.316761
288.914154,2.309120
287.882080,2.300628
286.883301,2.291885
285.884552,2.284460
284.852478,2.275541
283.853729,2.267581
282.854980,2.259646
281.822876,2.250436
280.824127,2.242807
279.825317,2.233900
278.793304,2.226552
277.794556,2.216625
276.795776,2.209805
275.763702,2.200940
274.764984,2.193043
273.766174,2.184342
272.734131,2.176439
271.735382,2.168247
270.736603,2.160146
269.704529,2.150382
268.705780,2.143415
267.707001,2.135643
266.674927,2.127239
265.676178,2.118958
264.677399,2.110919
263.645355,2.101842
262.646576,2.094494
261.647827,2.086555
260.615753,2.078175
259.617004,2.069368
258.584900,2.061466
257.586182,2.052725
256.587372,2.045432
255.555344,2.036338
254.556549,2.028192
253.557785,2.018928
252.525742,2.013126
251.526947,2.003973
250.528183,1.995844
249.496140,1.987302
248.497330,1.979288
247.498581,1.970410
246.466522,1.962429
245.467773,1.954680
244.468964,1.947122
243.436951,1.937836
242.438156,1.930415
241.439392,1.922413
240.407318,1.913440
239.408585,1.904890
238.409760,1.897631
237.377716,1.889225
236.378922,1.880742
235.380157,1.873124
234.348114,1.863801
233.349335,1.856965
232.350586,1.848624
231.318527,1.840618
230.319733,1.832075
229.320969,1.824298
228.288895,1.815386
227.290115,1.807624
226.291382,1.799617
225.259277,1.790928
224.260529,1.783629
223.261749,1.775223
222.229706,1.766972
221.230927,1.759124
220.232147,1.750487
219.200073,1.742506
218.201324,1.734118
217.202515,1.726391
216.170486,1.717628
215.171677,1.710331
214.172928,1.701805
213.140839,1.694285
212.142090,1.685727
211.143280,1.677687
210.111252,1.668942
209.112442,1.660436
208.113693,1.653159
207.081604,1.643981
206.082840,1.637225
205.050766,1.627121
204.052017,1.620884
203.053238,1.611394
202.021164,1.604282
201.022385,1.595478
200.023605,1.588454
198.991516,1.579286
197.992783,1.571495
196.994003,1.563523
195.961929,1.555151
194.963150,1.547777
193.964371,1.539698
192.932281,1.530681
191.933533,1.522679
190.934753,1.515694
189.902695,1.505684
188.903946,1.499858
187.905136,1.490196
186.873108,1.483244
185.874298,1.474683
184.875549,1.466551
183.843445,1.457736
182.844696,1.450393
181.845901,1.441764
180.813843,1.434233
179.815063,1.425817
178.816269,1.417158
177.784180,1.410174
176.785431,1.402151
175.786636,1.392295
174.754608,1.386034
173.755783,1.377733
172.757034,1.369800
171.724945,1.360886
170.726196,1.353437
169.727371,1.345316
168.695328,1.337075
167.696548,1.328705
166.697769,1.320674
165.665665,1.312467
164.666916,1.304446
163.668106,1.296742
162.636078,1.288450
161.637283,1.280365
160.638535,1.272747
159.606430,1.264686
158.607651,1.255339
157.608841,1.248748
156.576813,1.239898
155.578003,1.232018
154.545944,1.223844
153.547165,1.215726
152.548386,1.207925
151.516296,1.199637
150.517532,1.191858
149.518738,1.183480
148.486664,1.175172
147.487885,1.167559
146.489105,1.159139
145.457016,1.151578
144.458267,1.143149
143.459503,1.135624
142.427399,1.126272
141.428650,1.119431
140.429840,1.110484
139.397781,1.103461
138.399002,1.094959
137.400223,1.087016
136.368118,1.079060
135.369385,1.070791
134.370560,1.062566
133.338501,1.053839
132.339691,1.045866
131.340958,1.039236
130.308853,1.030156
129.310074,1.022625
128.311264,1.013831
127.279228,1.006441
126.280426,0.997408
125.281647,0.990395
124.249550,0.982228
123.250801,0.974082
122.251991,0.965591
121.219940,0.958523
120.221115,0.949393
119.222366,0.942695
118.190239,0.933186
117.191505,0.926148
116.192688,0.918159
115.160629,0.908381
114.161819,0.902050
113.163063,0.894088
112.130974,0.885552
111.132202,0.877718
110.133385,0.869818
109.101326,0.861301
108.102509,0.853958
107.103767,0.844919
106.071671,0.836436
105.072891,0.830212
104.074081,0.820803
103.042015,0.812729
102.043213,0.806129
101.011185,0.796318
100.012398,0.789708
99.013596,0.781600
97.981529,0.772686
96.982719,0.765304
95.983971,0.757638
94.951881,0.747746
93.953102,0.741205
92.954285,0.733665
91.922226,0.724469
90.923409,0.717324
89.924667,0.709317
88.892548,0.700041
87.893791,0.693849
86.894981,0.683950
85.862923,0.677455
84.864113,0.668469
83.865334,0.660194
82.833237,0.653192
81.834457,0.645303
80.835648,0.637378
79.803581,0.628957
78.804771,0.619530
77.806030,0.613489
76.773903,0.603623
75.775154,0.597111
74.776337,0.589265
73.744286,0.580129
72.745476,0.572805
71.746696,0.564963
70.714600,0.555688
69.715820,0.548941
68.717003,0.540724
67.684944,0.531517
66.686142,0.525181
65.687355,0.515799
64.655266,0.509098
63.656487,0.500911
62.657673,0.491792
61.625610,0.484767
60.626797,0.475402
59.628021,0.468986
58.595932,0.460383
57.597145,0.452135
56.598400,0.444428
55.566277,0.435562
54.567528,0.428940
53.568687,0.419687
52.536625,0.412613
51.537811,0.403690
50.505753,0.395913
49.506939,0.388189
48.508160,0.379747
47.476070,0.371246
46.477287,0.364680
45.478477,0.356652
44.446415,0.347222
43.447601,0.340737
42.448826,0.331720
41.416702,0.323121
40.417953,0.316938
39.419140,0.310937
38.387077,0.306626
37.388233,0.301043
36.389488,0.300425
35.357365,0.300184
34.358585,0.294312
33.359772,0.282652
32.327709,0.275462
31.328901,0.267334
30.330120,0.258399
29.297997,0.251111
28.299248,0.243273
27.300406,0.234607
26.268345,0.226913
25.269531,0.219121
24.270754,0.210560
23.238661,0.202863
22.239880,0.194505
21.241070,0.186883
20.209009,0.178876
19.210163,0.170241
18.211416,0.163326
17.179293,0.154142
16.180511,0.146497
15.181702,0.138575
14.149640,0.130772
13.150796,0.122333
12.152049,0.114834
11.119988,0.105935
10.121144,0.098600
9.122396,0.090068
8.090272,0.082696
7.091493,0.075129
6.092681,0.065813
5.060620,0.058611
4.061809,0.049803
3.062997,0.042823
2.030904,0.034133
1.032093,0.025683
