2,ARCA Toyota Camry,road
Steering Wheel Angle,Yaw Rate
366.684296,2.893540
365.685516,2.901684
364.653442,2.899478
363.654724,2.906157
362.622681,2.862570
361.623901,2.818551
360.625153,2.818444
359.593109,2.816566
358.594330,2.813738
357.595612,2.810987
356.563568,2.807452
355.564758,2.802699
354.566010,2.874217
353.533997,2.861068
352.535248,2.853260
351.536469,2.842692
350.504425,2.829032
349.505646,2.814912
348.506927,2.805549
347.474854,2.793105
346.476105,2.773780
345.477325,2.768561
344.445282,2.751816
343.446533,2.739403
342.447784,2.732542
341.415710,2.731466
340.416962,2.729203
339.418213,2.726335
338.386139,2.722641
337.387360,2.714268
336.388641,2.706836
335.356598,2.697680
334.357849,2.688936
333.359039,2.673364
332.326996,2.663113
331.328247,2.654716
330.329498,2.651461
329.297424,2.641205
328.298645,2.633830
327.299927,2.625190
326.267853,2.616373
325.269073,2.608377
324.270355,2.599599
323.238281,2.591962
322.239502,2.583338
321.240784,2.575140
320.208710,2.565994
319.209961,2.558420
318.211212,2.549711
317.179138,2.541973
316.180359,2.532768
315.181641,2.524945
314.149536,2.516996
313.150787,2.507693
312.152069,2.500728
311.119995,2.491507
310.121185,2.482798
309.089172,2.474654
308.090393,2.466319
307.091644,2.458055
306.059570,2.450016
305.060852,2.441805
304.062042,2.433214
303.029999,2.424803
302.031219,2.416049
301.032471,2.408150
300.000427,2.400280
299.001678,2.391866
298.002899,2.382964
296.970825,2.375218
295.972076,2.366875
294.973328,2.359205
293.941254,2.349588
292.942474,2.341651
291.943726,2.333397
290.911652,2.326250
289.912903,2.316852
288.914154,2.309099
287.882080,2.300021
286.883301,2.292351
285.884552,2.283793
284.852478,2.274951
283.853729,2.266981
282.854980,2.259308
281.822876,2.250162
280.824127,2.241388
279.825317,2.235192
278.793304,2.225723
277.794556,2.218180
276.795776,2.209459
275.763702,2.200985
274.764984,2.193175
273.766174,2.184829
272.734131,2.176652
271.735382,2.168097
270.736603,2.160780
269.704529,2.151356
268.705780,2.143839
267.707001,2.135019
266.674927,2.126897
265.676178,2.118347
264.677399,2.111081
