2,Acura ARX-06,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.677368
271.735382,1.677418
270.736603,1.677671
269.704529,1.680682
268.705780,1.681234
267.707001,1.681161
266.674927,1.681009
265.676178,1.680710
264.677399,1.678751
263.645355,1.678634
262.646576,1.678656
261.647827,1.678609
260.615753,1.678830
259.617004,1.679392
258.584900,1.679623
257.586182,1.680488
256.587372,1.680173
255.555344,1.680274
254.556549,1.680301
253.557785,1.680025
252.525742,1.679700
251.526947,1.679684
250.528183,1.679633
249.496140,1.679613
248.497330,1.679609
247.498581,1.679770
246.466522,1.679752
245.467773,1.679760
244.468964,1.679693
243.436951,1.679793
242.438156,1.679863
241.439392,1.679717
240.407318,1.679758
239.408585,1.679852
238.409760,1.679870
237.377716,1.679773
236.378922,1.679774
235.380157,1.679769
234.348114,1.679688
233.349335,1.679748
232.350586,1.679716
231.318527,1.679560
230.319733,1.679647
229.320969,1.679751
228.288895,1.679721
227.290115,1.679834
226.291382,1.679872
225.259277,1.679826
224.260529,1.679755
223.261749,1.679697
222.229706,1.679742
221.230927,1.679853
220.232147,1.679870
219.200073,1.679872
218.201324,1.679733
217.202515,1.679808
216.170486,1.679894
215.171677,1.679857
214.172928,1.679813
213.140839,1.679788
212.142090,1.679792
211.143280,1.679758
210.111252,1.679854
209.112442,1.679704
208.113693,1.679834
207.081604,1.678689
206.082840,1.679847
205.050766,1.679952
204.052017,1.679898
203.053238,1.679988
202.021164,1.679783
201.022385,1.679702
200.023605,1.680011
198.991516,1.679709
197.992783,1.679758
196.994003,1.679667
195.961929,1.679681
194.963150,1.679819
193.964371,1.679852
192.932281,1.679834
191.933533,1.679816
190.934753,1.679950
189.902695,1.679768
188.903946,1.679711
187.905136,1.679804
186.873108,1.679725
185.874298,1.679728
184.875549,1.679924
183.843445,1.679892
182.844696,1.679917
181.845901,1.679781
180.813843,1.679668
179.815063,1.677766
178.816269,1.667465
177.784180,1.657786
176.785431,1.648420
175.786636,1.638541
174.754608,1.628763
