2,Acura NSX GT3 EVO 22,baseline
Steering Wheel Angle,Yaw Rate
225.259277,1.928210
224.260529,1.928743
223.261749,1.929252
222.229706,1.921985
221.230927,1.913941
220.232147,1.905779
219.200073,1.897456
218.201324,1.889231
217.202515,1.881039
216.170486,1.872531
215.171677,1.864167
214.172928,1.839246
213.140839,1.788517
212.142090,1.784730
211.143280,1.777128
210.111252,1.768868
209.112442,1.760946
208.113693,1.752990
207.081604,1.744749
206.082840,1.736740
205.050766,1.728993
204.052017,1.760521
203.053238,1.761091
202.021164,1.751981
201.022385,1.743231
200.023605,1.734371
198.991516,1.725160
197.992783,1.716346
196.994003,1.707370
195.961929,1.698334
194.963150,1.689461
193.964371,1.680576
192.932281,1.671520
191.933533,1.662554
190.934753,1.653769
189.902695,1.644682
188.903946,1.635815
187.905136,1.626875
186.873108,1.617721
185.874298,1.608616
184.875549,1.599450
183.843445,1.590005
182.844696,1.580812
181.845901,1.571609
180.813843,1.562205
179.815063,1.553006
178.816269,1.543903
177.784180,1.534486
176.785431,1.525912
175.786636,1.517333
174.754608,1.508407
173.755783,1.499910
172.757034,1.491673
171.724945,1.483165
170.726196,1.474813
169.727371,1.466473
168.695328,1.457815
167.696548,1.449362
166.697769,1.440877
165.665665,1.431792
164.666916,1.423008
163.668106,1.414256
162.636078,1.405158
161.637283,1.395972
160.638535,1.386843
159.606430,1.377401
158.607651,1.368972
157.608841,1.360143
156.576813,1.351267
155.578003,1.342954
154.545944,1.333915
153.547165,1.325162
152.548386,1.316313
151.516296,1.307345
150.517532,1.298681
149.518738,1.289906
148.486664,1.280987
147.487885,1.272174
146.489105,1.263527
145.457016,1.254465
144.458267,1.245825
143.459503,1.237121
142.427399,1.228176
141.428650,1.219426
140.429840,1.210799
139.397781,1.201848
138.399002,1.193115
137.400223,1.184295
136.368118,1.175463
135.369385,1.166659
134.370560,1.158046
133.338501,1.148992
132.339691,1.140290
131.340958,1.131607
130.308853,1.122706
129.310074,1.114028
128.311264,1.105245
127.279228,1.096380
126.280426,1.087598
125.281647,1.078954
124.249550,1.069995
123.250801,1.061309
122.251991,1.052595
121.219940,1.043667
120.221115,1.034984
119.222366,1.026175
118.190239,1.017243
117.191505,1.008514
116.192688,0.999985
115.160629,0.990924
114.161819,0.982324
113.163063,0.973654
112.130974,0.964644
111.132202,0.955914
110.133385,0.947328
109.101326,0.938341
108.102509,0.929678
107.103767,0.920945
106.071671,0.911976
105.072891,0.903294
104.074081,0.894751
103.042015,0.885697
102.043213,0.876929
101.011185,0.868016
100.012398,0.859476
99.013596,0.850697
97.981529,0.841733
96.982719,0.833103
95.983971,0.824315
94.951881,0.815503
93.953102,0.806789
92.954285,0.798059
91.922226,0.789146
90.923409,0.780406
89.924667,0.771725
88.892548,0.762899
87.893791,0.754196
86.894981,0.745506
85.862923,0.736497
84.864113,0.727913
83.865334,0.719172
82.833237,0.710238
81.834457,0.701664
80.835648,0.692918
79.803581,0.683855
78.804771,0.675204
77.806030,0.666592
76.773903,0.657492
75.775154,0.649012
74.776337,0.640222
73.744286,0.631328
72.745476,0.622645
71.746696,0.613961
70.714600,0.605029
69.715820,0.596423
68.717003,0.587697
67.684944,0.578751
66.686142,0.570130
65.687355,0.561408
64.655266,0.552463
63.656487,0.543683
62.657673,0.535093
61.625610,0.526069
60.626797,0.517570
59.628021,0.508915
58.595932,0.499906
