2,Aston Martin DBR9 GT1,baseline
Steering Wheel Angle,Yaw Rate
234.348114,1.453376
233.349335,1.450769
232.350586,1.448435
231.318527,1.442477
230.319733,1.437965
229.320969,1.433368
228.288895,1.428310
227.290115,1.423317
226.291382,1.418111
225.259277,1.412250
224.260529,1.406089
223.261749,1.399764
222.229706,1.393205
221.230927,1.386953
220.232147,1.380677
219.200073,1.374139
218.201324,1.367330
217.202515,1.360199
216.170486,1.352231
215.171677,1.344051
214.172928,1.337870
213.140839,1.331251
212.142090,1.324921
211.143280,1.320047
210.111252,1.314655
209.112442,1.308192
208.113693,1.301855
207.081604,1.294325
206.082840,1.288648
205.050766,1.282038
204.052017,1.275644
203.053238,1.269328
202.021164,1.262936
201.022385,1.256641
200.023605,1.250520
198.991516,1.243415
197.992783,1.237275
196.994003,1.230774
195.961929,1.224470
194.963150,1.217871
193.964371,1.212003
192.932281,1.205540
191.933533,1.199275
190.934753,1.192369
189.902695,1.185987
188.903946,1.179982
187.905136,1.174043
186.873108,1.167178
185.874298,1.160704
184.875549,1.154212
183.843445,1.148182
182.844696,1.141734
181.845901,1.135258
180.813843,1.128828
179.815063,1.122060
178.816269,1.115782
177.784180,1.109836
176.785431,1.103087
175.786636,1.096745
174.754608,1.090626
173.755783,1.084205
172.757034,1.077592
171.724945,1.071174
170.726196,1.064954
169.727371,1.058660
168.695328,1.052123
167.696548,1.046123
166.697769,1.039958
165.665665,1.032942
164.666916,1.027017
163.668106,1.020846
162.636078,1.014202
161.637283,1.007589
160.638535,1.001405
159.606430,0.994896
158.607651,0.988591
157.608841,0.982113
156.576813,0.975938
155.578003,0.969587
154.545944,0.962680
153.547165,0.956565
152.548386,0.950644
151.516296,0.943624
150.517532,0.937326
149.518738,0.931432
148.486664,0.924797
147.487885,0.918402
146.489105,0.912181
145.457016,0.905527
144.458267,0.899322
143.459503,0.893359
142.427399,0.886462
141.428650,0.880119
140.429840,0.874175
139.397781,0.867729
138.399002,0.861651
137.400223,0.855271
136.368118,0.848242
135.369385,0.842388
134.370560,0.836101
133.338501,0.829501
132.339691,0.823402
131.340958,0.816864
130.308853,0.810142
129.310074,0.804012
128.311264,0.798161
127.279228,0.791200
126.280426,0.784655
125.281647,0.778524
124.249550,0.772535
123.250801,0.765933
122.251991,0.759627
121.219940,0.753387
120.221115,0.746977
119.222366,0.740582
118.190239,0.734255
117.191505,0.727646
116.192688,0.721322
115.160629,0.714832
114.161819,0.708853
113.163063,0.702783
112.130974,0.695986
111.132202,0.689484
110.133385,0.683231
109.101326,0.676987
108.102509,0.670896
107.103767,0.664515
106.071671,0.657798
105.072891,0.651698
104.074081,0.644962
103.042015,0.638610
102.043213,0.632793
101.011185,0.625879
100.012398,0.619360
99.013596,0.613213
97.981529,0.607031
96.982719,0.600442
95.983971,0.594061
94.951881,0.587931
93.953102,0.581326
92.954285,0.574962
91.922226,0.568754
90.923409,0.562576
89.924667,0.556330
88.892548,0.549359
87.893791,0.543250
86.894981,0.537237
85.862923,0.530248
84.864113,0.524128
83.865334,0.518116
82.833237,0.511590
81.834457,0.504977
80.835648,0.498768
79.803581,0.492347
78.804771,0.486304
77.806030,0.479812
76.773903,0.473390
75.775154,0.467326
74.776337,0.460964
73.744286,0.454158
72.745476,0.447903
71.746696,0.441647
70.714600,0.435271
69.715820,0.428981
68.717003,0.422692
67.684944,0.416378
66.686142,0.410134
65.687355,0.403791
64.655266,0.396974
63.656487,0.390925
62.657673,0.384745
61.625610,0.377866
60.626797,0.371609
59.628021,0.365652
58.595932,0.359039
57.597145,0.352929
56.598400,0.346681
55.566277,0.339884
54.567528,0.333709
53.568687,0.327314
52.536625,0.320756
51.537811,0.314871
50.505753,0.308267
49.506939,0.301855
48.508160,0.295668
47.476070,0.289237
46.477287,0.282736
45.478477,0.276515
44.446415,0.269990
43.447601,0.263661
42.448826,0.257470
41.416702,0.251069
40.417953,0.244386
39.419140,0.238331
38.387077,0.231899
37.388233,0.225678
36.389488,0.219198
35.357365,0.212926
34.358585,0.206461
33.359772,0.200300
32.327709,0.193900
31.328901,0.187515
30.330120,0.181312
29.297997,0.174833
28.299248,0.168348
27.300406,0.162189
26.268345,0.155624
25.269531,0.149557
24.270754,0.143343
23.238661,0.136881
22.239880,0.130315
21.241070,0.124249
20.209009,0.117814
19.210163,0.111307
18.211416,0.104974
17.179293,0.098593
16.180511,0.092434
15.181702,0.085788
14.149640,0.079261
13.150796,0.073297
