2,Aston Martin Valkyrie LMH,baseline
Steering Wheel Angle,Yaw Rate
291.943726,2.112790
290.911652,2.134208
289.912903,2.150018
288.914154,2.149435
287.882080,2.102886
286.883301,2.085118
285.884552,2.118808
284.852478,2.116520
283.853729,2.111823
282.854980,2.061205
281.822876,2.059340
280.824127,2.040902
279.825317,2.027015
278.793304,2.069365
277.794556,2.064840
276.795776,2.060106
275.763702,2.052627
274.764984,2.023466
273.766174,1.998488
272.734131,2.018671
271.735382,1.983634
270.736603,1.952139
269.704529,1.952456
268.705780,1.916940
267.707001,1.947629
266.674927,1.959481
265.676178,1.939554
264.677399,1.930283
263.645355,1.937745
262.646576,1.933403
261.647827,1.935958
260.615753,1.876576
259.617004,1.890740
258.584900,1.888046
257.586182,1.884549
256.587372,1.891484
255.555344,1.846438
254.556549,1.856770
253.557785,1.838769
252.525742,1.909485
251.526947,1.838239
250.528183,1.850069
249.496140,1.846051
248.497330,1.830975
247.498581,1.806882
246.466522,1.872028
245.467773,1.859195
244.468964,1.842819
243.436951,1.851024
242.438156,1.836577
241.439392,1.828970
240.407318,1.821210
239.408585,1.816633
238.409760,1.808202
237.377716,1.799862
236.378922,1.791490
235.380157,1.782865
234.348114,1.773837
233.349335,1.765031
232.350586,1.756783
231.318527,1.748435
230.319733,1.740316
229.320969,1.732694
228.288895,1.724899
227.290115,1.716927
226.291382,1.708898
225.259277,1.700209
224.260529,1.692149
223.261749,1.684121
222.229706,1.675930
221.230927,1.667820
220.232147,1.660082
219.200073,1.651441
218.201324,1.643512
217.202515,1.635727
216.170486,1.627271
215.171677,1.619310
214.172928,1.611414
213.140839,1.603293
212.142090,1.595190
211.143280,1.587219
210.111252,1.579076
209.112442,1.571141
208.113693,1.563116
207.081604,1.554880
206.082840,1.547051
205.050766,1.538872
204.052017,1.530919
203.053238,1.523054
202.021164,1.514907
201.022385,1.507035
200.023605,1.499172
198.991516,1.490977
197.992783,1.483151
196.994003,1.475282
195.961929,1.467258
194.963150,1.459335
193.964371,1.451454
192.932281,1.443449
191.933533,1.435569
190.934753,1.427622
189.902695,1.419595
188.903946,1.411727
187.905136,1.403955
186.873108,1.395946
185.874298,1.388026
184.875549,1.380259
183.843445,1.372390
182.844696,1.364519
181.845901,1.356703
180.813843,1.348592
179.815063,1.340857
178.816269,1.333009
177.784180,1.324933
176.785431,1.317443
175.786636,1.309414
174.754608,1.301515
173.755783,1.293938
172.757034,1.286005
171.724945,1.278029
170.726196,1.270441
169.727371,1.262559
168.695328,1.254705
167.696548,1.246919
166.697769,1.239245
165.665665,1.231203
164.666916,1.223570
163.668106,1.215861
162.636078,1.207856
161.637283,1.200339
160.638535,1.192469
159.606430,1.184616
158.607651,1.176885
157.608841,1.169301
156.576813,1.161378
155.578003,1.153660
154.545944,1.145658
153.547165,1.138076
152.548386,1.130566
151.516296,1.122492
150.517532,1.114899
149.518738,1.107324
148.486664,1.099347
147.487885,1.091813
146.489105,1.084109
145.457016,1.076446
144.458267,1.068611
143.459503,1.061049
142.427399,1.053266
141.428650,1.045582
140.429840,1.037889
139.397781,1.030187
138.399002,1.022578
137.400223,1.015000
136.368118,1.007099
135.369385,0.999563
134.370560,0.991950
133.338501,0.984084
132.339691,0.976535
131.340958,0.968980
130.308853,0.961091
129.310074,0.953688
128.311264,0.946048
127.279228,0.938348
126.280426,0.930778
125.281647,0.923249
124.249550,0.915408
123.250801,0.907904
122.251991,0.900311
121.219940,0.892555
120.221115,0.885027
119.222366,0.877497
118.190239,0.869723
117.191505,0.862210
116.192688,0.854703
115.160629,0.847001
114.161819,0.839445
113.163063,0.831893
112.130974,0.824143
111.132202,0.816714
110.133385,0.809155
109.101326,0.801444
108.102509,0.793966
107.103767,0.786505
106.071671,0.778715
105.072891,0.771290
104.074081,0.763716
103.042015,0.756131
102.043213,0.748657
101.011185,0.740815
100.012398,0.733413
99.013596,0.725992
97.981529,0.718140
96.982719,0.710776
95.983971,0.703376
94.951881,0.695598
93.953102,0.688058
92.954285,0.680832
91.922226,0.672941
90.923409,0.665617
89.924667,0.658169
88.892548,0.650472
87.893791,0.642981
86.894981,0.635424
85.862923,0.627879
84.864113,0.620361
83.865334,0.612955
82.833237,0.605280
81.834457,0.597976
80.835648,0.590527
79.803581,0.582830
78.804771,0.575405
77.806030,0.568058
76.773903,0.560412
75.775154,0.552929
74.776337,0.545457
73.744286,0.537799
72.745476,0.530448
71.746696,0.522999
70.714600,0.515362
69.715820,0.507976
68.717003,0.500577
67.684944,0.492933
66.686142,0.485590
65.687355,0.478195
64.655266,0.470531
63.656487,0.463203
62.657673,0.455757
61.625610,0.448116
60.626797,0.440664
59.628021,0.433350
58.595932,0.425630
57.597145,0.418271
56.598400,0.410866
55.566277,0.403329
54.567528,0.395886
53.568687,0.388554
52.536625,0.380951
51.537811,0.373577
50.505753,0.365923
49.506939,0.358565
48.508160,0.351135
47.476070,0.343537
46.477287,0.336167
45.478477,0.328842
44.446415,0.321206
43.447601,0.313862
42.448826,0.306540
41.416702,0.298829
40.417953,0.291542
39.419140,0.284160
38.387077,0.276487
37.388233,0.269171
36.389488,0.261825
35.357365,0.254214
34.358585,0.246906
33.359772,0.239553
32.327709,0.231887
31.328901,0.224583
30.330120,0.217218
29.297997,0.209545
28.299248,0.202318
27.300406,0.194810
26.268345,0.187282
25.269531,0.179952
24.270754,0.172569
23.238661,0.164985
22.239880,0.157561
21.241070,0.150336
20.209009,0.142705
19.210163,0.135409
18.211416,0.127989
17.179293,0.120385
16.180511,0.113025
15.181702,0.105691
14.149640,0.098107
13.150796,0.090778
12.152049,0.083390
11.119988,0.075765
10.121144,0.068476
9.122396,0.061096
8.090272,0.053454
7.091493,0.046533
6.092681,0.039866
5.060620,0.033013
4.061809,0.026363
3.062997,0.019684
2.030904,0.012810
1.032093,0.006208
0.000000,0.001605
-0.998747,0.007264
-1.997624,0.013937
-3.029652,0.020902
-4.028464,0.027530
-5.027276,0.034180
-6.059368,0.041021
-7.058115,0.047647
-8.056992,0.054453
-9.089020,0.061987
-10.087896,0.069324
-11.086643,0.076675
-12.118735,0.084253
-13.117547,0.091583
-14.116360,0.098910
-15.148452,0.106484
-16.147263,0.113870
-17.146011,0.121232
-18.178169,0.128788
-19.176916,0.136136
-20.175728,0.143488
-21.207819,0.151135
-22.206633,0.158454
-23.205444,0.165804
-24.237535,0.173449
-25.236284,0.180672
-26.235159,0.188086
-27.267187,0.195732
-28.266064,0.203047
-29.264811,0.210415
-30.296968,0.218041
-31.295717,0.225347
-32.294464,0.232727
-33.326618,0.240332
-34.325367,0.247642
-35.324245,0.255043
-36.356274,0.262625
-37.355083,0.269963
-38.353897,0.277316
-39.385986,0.285016
-40.384800,0.292362
-41.383614,0.299756
-42.415703,0.307344
-43.414516,0.314688
-44.413265,0.322082
-45.445419,0.329725
-46.444168,0.337017
-47.443043,0.344448
-48.475071,0.352017
-49.473949,0.359356
-50.472694,0.366737
-51.504852,0.374446
-52.503601,0.381784
-53.535759,0.389448
-54.534504,0.396746
-55.533318,0.404092
-56.565411,0.411864
-57.564224,0.419185
-58.563034,0.426534
-59.595127,0.434157
-60.593937,0.441605
-61.592751,0.448992
-62.624840,0.456635
-63.623653,0.463918
-64.622467,0.471401
-65.654556,0.479029
-66.653366,0.486465
-67.652184,0.493764
-68.684273,0.501437
-69.683090,0.508835
-70.681831,0.516282
-71.713989,0.523954
-72.712738,0.531316
-73.711617,0.538690
-74.743645,0.546395
-75.742516,0.553781
-76.741264,0.561201
-77.773361,0.568874
-78.772171,0.576230
-79.770981,0.583711
-80.803070,0.591422
-81.801888,0.598825
-82.800697,0.606199
-83.832787,0.613891
-84.831604,0.621392
-85.830414,0.628705
-86.862572,0.636437
-87.861313,0.643946
-88.860130,0.651298
-89.892227,0.659047
-90.891098,0.666450
-91.889847,0.673930
-92.921997,0.681618
-93.920753,0.688992
-94.919624,0.696549
-95.951653,0.704187
-96.950531,0.711643
-97.949280,0.719188
-98.981438,0.726816
-99.980179,0.734224
-100.979065,0.741832
-102.011093,0.749523
-103.009964,0.756939
-104.008705,0.764401
-105.040863,0.772249
-106.039619,0.779646
-107.071777,0.787441
-108.070587,0.794870
-109.069389,0.802292
-110.101486,0.810206
-111.100304,0.817655
-112.099113,0.825060
-113.131271,0.832957
-114.130020,0.840390
-115.128899,0.847912
-116.160927,0.855646
-117.159798,0.863174
-118.158554,0.870706
-119.190704,0.878484
-120.189453,0.886029
-121.188255,0.893442
-122.220421,0.901305
-123.219162,0.908777
-124.218033,0.916309
-125.250061,0.924117
-126.248947,0.931634
-127.247688,0.939372
-128.279846,0.947016
-129.278656,0.954560
-130.277481,0.962030
-131.309555,0.969936
-132.308380,0.977545
-133.307190,0.985200
-134.339355,0.992985
-135.338089,1.000475
-136.336975,1.008035
-137.369003,1.016069
-138.367874,1.023537
-139.366684,1.031198
-140.398773,1.038963
-141.397583,1.046639
-142.396408,1.054228
-143.428497,1.062126
-144.427368,1.069708
-145.426117,1.077348
-146.458282,1.085149
-147.457077,1.092790
-148.455902,1.100454
-149.487991,1.108328
-150.486877,1.115918
-151.485611,1.123559
-152.517776,1.131525
-153.516525,1.139156
-154.515396,1.146773
-155.547485,1.154791
-156.546295,1.162403
-157.578400,1.170324
-158.577271,1.177943
-159.576004,1.185660
-160.608170,1.193686
-161.606918,1.201269
-162.605804,1.208922
-163.637894,1.216988
-164.636765,1.224430
-165.635513,1.232368
-166.667603,1.240356
-167.666428,1.247897
-168.665222,1.255748
-169.697372,1.263723
-170.696136,1.271399
-171.695007,1.279139
-172.727097,1.287238
-173.725922,1.294903
-174.724731,1.302604
-175.756882,1.310634
-176.755630,1.318334
-177.754501,1.326187
-178.786606,1.334121
-179.785477,1.342027
-180.784225,1.349676
-181.816376,1.357763
-182.815125,1.365578
-183.813995,1.373260
-184.846100,1.381443
-185.844971,1.388983
-186.843719,1.397032
-187.875870,1.404974
-188.874695,1.412837
-189.873505,1.420686
-190.905594,1.428588
-191.904465,1.436555
-192.903214,1.444375
-193.935364,1.452271
-194.934189,1.460399
-195.933060,1.468179
-196.965088,1.476238
-197.963959,1.484228
-198.962769,1.492079
-199.994934,1.499990
-200.993683,1.508054
-201.992554,1.515966
-203.024643,1.524158
-204.023468,1.531937
-205.022263,1.539928
-206.054428,1.548007
-207.053177,1.555946
-208.085403,1.563980
-209.084137,1.571996
-210.082886,1.579924
-211.115112,1.588250
-212.113861,1.595962
-213.112732,1.603925
-214.144836,1.612173
-215.143646,1.620266
-216.142456,1.628106
-217.174606,1.636557
-218.173355,1.644425
-219.172241,1.652373
