2,Aston Martin Vantage GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
291.943726,1.832081
290.911652,1.832313
289.912903,1.832816
288.914154,1.827607
287.882080,1.821524
286.883301,1.815767
285.884552,1.809941
284.852478,1.803840
283.853729,1.797959
282.854980,1.792166
281.822876,1.738460
280.824127,1.726921
279.825317,1.722012
278.793304,1.716328
277.794556,1.710812
276.795776,1.705279
275.763702,1.699551
274.764984,1.693999
273.766174,1.688298
272.734131,1.705624
271.735382,1.724064
270.736603,1.718890
269.704529,1.712154
268.705780,1.705807
267.707001,1.699513
266.674927,1.692914
265.676178,1.686545
264.677399,1.680243
263.645355,1.673622
262.646576,1.667323
261.647827,1.661059
260.615753,1.654493
259.617004,1.648155
258.584900,1.641628
257.586182,1.635290
256.587372,1.629001
255.555344,1.622355
254.556549,1.615808
253.557785,1.608959
252.525742,1.601886
251.526947,1.594758
250.528183,1.587661
249.496140,1.580270
248.497330,1.573067
247.498581,1.566471
246.466522,1.559815
245.467773,1.553317
244.468964,1.546912
243.436951,1.541020
242.438156,1.535278
241.439392,1.529501
240.407318,1.523567
239.408585,1.517282
238.409760,1.510942
237.377716,1.504405
236.378922,1.497934
235.380157,1.490829
234.348114,1.484016
233.349335,1.477642
232.350586,1.471521
231.318527,1.464893
230.319733,1.458226
229.320969,1.452005
228.288895,1.445385
227.290115,1.439019
226.291382,1.432617
225.259277,1.425942
224.260529,1.419608
223.261749,1.413199
222.229706,1.406739
221.230927,1.400187
220.232147,1.393807
219.200073,1.387503
218.201324,1.380892
217.202515,1.374485
216.170486,1.368169
215.171677,1.361574
214.172928,1.355407
213.140839,1.348758
212.142090,1.342110
211.143280,1.335971
210.111252,1.329299
209.112442,1.323146
208.113693,1.316573
207.081604,1.309937
206.082840,1.303585
205.050766,1.297200
204.052017,1.290663
203.053238,1.284336
202.021164,1.277646
201.022385,1.271386
200.023605,1.264975
198.991516,1.258345
197.992783,1.252170
196.994003,1.245665
195.961929,1.239027
194.963150,1.232806
193.964371,1.226355
192.932281,1.219862
191.933533,1.213365
190.934753,1.207102
189.902695,1.200434
188.903946,1.194110
187.905136,1.187614
186.873108,1.181067
185.874298,1.174808
184.875549,1.168556
183.843445,1.161857
182.844696,1.155553
181.845901,1.149196
180.813843,1.142568
179.815063,1.136244
178.816269,1.129838
177.784180,1.123439
176.785431,1.116840
175.786636,1.110674
174.754608,1.103908
173.755783,1.097646
172.757034,1.091377
171.724945,1.084904
170.726196,1.078331
169.727371,1.072033
168.695328,1.065607
167.696548,1.059239
166.697769,1.052767
165.665665,1.046216
164.666916,1.040051
163.668106,1.033429
162.636078,1.026934
161.637283,1.020565
160.638535,1.014267
159.606430,1.007700
158.607651,1.001364
157.608841,0.994931
156.576813,0.988429
155.578003,0.982050
154.545944,0.975548
153.547165,0.969085
152.548386,0.962816
151.516296,0.956260
150.517532,0.949843
149.518738,0.943594
148.486664,0.936978
147.487885,0.930681
146.489105,0.924300
145.457016,0.917716
144.458267,0.911235
143.459503,0.905112
142.427399,0.898543
141.428650,0.892135
140.429840,0.885873
139.397781,0.879241
138.399002,0.872970
137.400223,0.866520
136.368118,0.859997
135.369385,0.853614
134.370560,0.847379
133.338501,0.840723
132.339691,0.834420
131.340958,0.827988
130.308853,0.821537
129.310074,0.815222
128.311264,0.808912
127.279228,0.802255
126.280426,0.795933
125.281647,0.789674
124.249550,0.783079
123.250801,0.776711
122.251991,0.770354
121.219940,0.763929
120.221115,0.757469
119.222366,0.751108
118.190239,0.744569
117.191505,0.738254
116.192688,0.731905
115.160629,0.725278
114.161819,0.719036
113.163063,0.712750
112.130974,0.706230
111.132202,0.699836
110.133385,0.693431
109.101326,0.686888
108.102509,0.680589
107.103767,0.674267
106.071671,0.667752
105.072891,0.661327
104.074081,0.655067
103.042015,0.648427
102.043213,0.642168
101.011185,0.635792
100.012398,0.629201
99.013596,0.622798
97.981529,0.616412
96.982719,0.610032
95.983971,0.603655
94.951881,0.597126
93.953102,0.590811
92.954285,0.584415
91.922226,0.577959
90.923409,0.571490
89.924667,0.565319
88.892548,0.558809
87.893791,0.552374
86.894981,0.546071
85.862923,0.539400
84.864113,0.533263
83.865334,0.526800
82.833237,0.520322
81.834457,0.513951
80.835648,0.507687
79.803581,0.501048
78.804771,0.494728
77.806030,0.488485
76.773903,0.481933
75.775154,0.475550
74.776337,0.469283
73.744286,0.462671
72.745476,0.456338
71.746696,0.449977
70.714600,0.443510
69.715820,0.437250
68.717003,0.430764
67.684944,0.424237
66.686142,0.417900
65.687355,0.411554
64.655266,0.405103
63.656487,0.398762
62.657673,0.392299
61.625610,0.385836
60.626797,0.379551
59.628021,0.373141
58.595932,0.366717
57.597145,0.360154
56.598400,0.354056
55.566277,0.347409
54.567528,0.341116
53.568687,0.334817
52.536625,0.328318
51.537811,0.321772
50.505753,0.315371
49.506939,0.309139
48.508160,0.302577
47.476070,0.296144
46.477287,0.289799
45.478477,0.283524
44.446415,0.276951
43.447601,0.270545
42.448826,0.264362
41.416702,0.257909
40.417953,0.251386
39.419140,0.245152
38.387077,0.238453
37.388233,0.232334
36.389488,0.225864
35.357365,0.219406
34.358585,0.213119
33.359772,0.206685
32.327709,0.200112
31.328901,0.193817
30.330120,0.187569
29.297997,0.180981
28.299248,0.174632
27.300406,0.168392
26.268345,0.161714
25.269531,0.155544
24.270754,0.149023
23.238661,0.142695
22.239880,0.136238
21.241070,0.129759
20.209009,0.123311
19.210163,0.117122
18.211416,0.110649
17.179293,0.104140
16.180511,0.097937
15.181702,0.091586
14.149640,0.084964
13.150796,0.078605
12.152049,0.072400
11.119988,0.065750
10.121144,0.059403
9.122396,0.053158
8.090272,0.046525
7.091493,0.040332
6.092681,0.033879
5.060620,0.027242
4.061809,0.021471
3.062997,0.016211
2.030904,0.010634
1.032093,0.005343
0.000000,0.001291
-0.998747,0.005452
-1.997624,0.010817
-3.029652,0.016274
-4.028464,0.021594
-5.027276,0.027343
-6.059368,0.033746
-7.058115,0.039919
-8.056992,0.046408
-9.089020,0.052932
-10.087896,0.059210
-11.086643,0.065454
-12.118735,0.071971
-13.117547,0.078498
-14.116360,0.084758
-15.148452,0.091344
-16.147263,0.097515
-17.146011,0.104039
-18.178169,0.110386
-19.176916,0.116847
-20.175728,0.123199
-21.207819,0.129721
-22.206633,0.136146
-23.205444,0.142323
-24.237535,0.148725
-25.236284,0.155335
-26.235159,0.161632
-27.267187,0.167986
-28.266064,0.174246
-29.264811,0.180871
-30.296968,0.187346
-31.295717,0.193627
-32.294464,0.199893
-33.326618,0.206458
-34.325367,0.212733
-35.324245,0.219211
