2,Aston Martin Vantage GT4,baseline
Steering Wheel Angle,Yaw Rate
275.763702,1.546185
274.764984,1.547023
273.766174,1.547658
272.734131,1.543851
271.735382,1.538432
270.736603,1.533212
269.704529,1.528224
268.705780,1.523595
267.707001,1.518785
266.674927,1.513673
265.676178,1.508495
264.677399,1.502564
263.645355,1.496522
262.646576,1.490724
261.647827,1.484763
260.615753,1.477814
259.617004,1.472138
258.584900,1.465968
257.586182,1.461244
256.587372,1.454365
255.555344,1.448526
254.556549,1.444120
253.557785,1.437666
252.525742,1.430532
251.526947,1.426617
250.528183,1.421002
249.496140,1.413174
248.497330,1.408464
247.498581,1.403965
246.466522,1.396554
245.467773,1.390395
244.468964,1.386460
243.436951,1.380178
242.438156,1.372722
241.439392,1.368537
240.407318,1.363220
239.408585,1.355807
238.409760,1.350144
237.377716,1.346054
236.378922,1.339394
235.380157,1.332486
234.348114,1.328421
233.349335,1.322828
232.350586,1.315161
231.318527,1.310025
230.319733,1.305785
229.320969,1.298702
228.288895,1.292115
227.290115,1.288202
226.291382,1.282075
225.259277,1.274597
224.260529,1.270315
223.261749,1.265532
222.229706,1.257869
221.230927,1.252029
220.232147,1.248133
219.200073,1.242073
218.201324,1.234430
217.202515,1.229431
216.170486,1.225099
215.171677,1.217968
214.172928,1.211496
213.140839,1.207412
212.142090,1.201419
211.143280,1.194234
210.111252,1.189781
209.112442,1.184387
208.113693,1.177148
207.081604,1.171375
206.082840,1.167462
205.050766,1.160747
204.052017,1.153651
203.053238,1.149640
202.021164,1.144175
201.022385,1.136620
200.023605,1.131579
198.991516,1.127044
197.992783,1.119944
196.994003,1.113691
195.961929,1.109645
194.963150,1.103558
193.964371,1.096109
192.932281,1.091863
191.933533,1.086754
190.934753,1.079442
189.902695,1.073490
188.903946,1.069543
187.905136,1.063418
186.873108,1.055735
185.874298,1.051524
184.875549,1.046567
183.843445,1.038976
182.844696,1.033455
181.845901,1.029468
180.813843,1.022653
179.815063,1.015567
178.816269,1.011427
177.784180,1.006298
176.785431,0.998892
175.786636,0.993366
174.754608,0.989071
173.755783,0.982287
172.757034,0.975730
171.724945,0.971517
170.726196,0.965643
169.727371,0.958460
168.695328,0.953681
167.696548,0.948849
166.697769,0.941536
165.665665,0.935821
164.666916,0.931588
163.668106,0.924887
162.636078,0.918182
161.637283,0.914133
160.638535,0.908382
159.606430,0.900828
158.607651,0.896171
157.608841,0.891639
156.576813,0.884085
155.578003,0.878209
154.545944,0.874074
153.547165,0.867796
152.548386,0.860641
151.516296,0.856189
150.517532,0.851155
149.518738,0.843787
148.486664,0.838111
147.487885,0.834179
146.489105,0.827413
145.457016,0.820379
144.458267,0.816460
143.459503,0.810903
142.427399,0.803197
141.428650,0.798487
140.429840,0.793990
139.397781,0.786673
138.399002,0.780467
137.400223,0.776632
136.368118,0.770227
135.369385,0.762921
134.370560,0.758769
133.338501,0.753521
132.339691,0.746021
131.340958,0.741228
130.308853,0.736402
129.310074,0.729332
128.311264,0.723286
127.279228,0.718966
126.280426,0.712752
125.281647,0.705951
124.249550,0.701488
123.250801,0.696178
122.251991,0.688715
121.219940,0.683585
120.221115,0.679234
119.222366,0.672268
118.190239,0.665589
117.191505,0.661685
116.192688,0.656003
115.160629,0.648332
114.161819,0.643798
113.163063,0.639004
112.130974,0.631691
111.132202,0.625899
110.133385,0.621671
109.101326,0.615383
108.102509,0.608490
107.103767,0.604084
106.071671,0.598521
105.072891,0.591307
104.074081,0.586295
103.042015,0.581685
102.043213,0.574543
101.011185,0.568409
100.012398,0.564533
99.013596,0.557937
97.981529,0.550718
96.982719,0.546637
95.983971,0.541716
94.951881,0.534139
93.953102,0.528533
92.954285,0.524355
91.922226,0.517575
90.923409,0.510934
89.924667,0.506795
88.892548,0.500787
87.893791,0.493777
86.894981,0.489264
85.862923,0.484191
84.864113,0.476895
83.865334,0.471443
82.833237,0.467099
81.834457,0.460264
80.835648,0.453652
79.803581,0.449500
78.804771,0.443795
77.806030,0.436527
76.773903,0.431424
75.775154,0.427096
74.776337,0.419988
73.744286,0.413726
72.745476,0.409620
71.746696,0.403544
70.714600,0.396278
69.715820,0.391952
68.717003,0.386973
67.684944,0.379539
66.686142,0.373988
65.687355,0.369831
64.655266,0.363138
63.656487,0.356246
62.657673,0.352135
61.625610,0.346636
60.626797,0.339252
59.628021,0.334259
58.595932,0.329713
57.597145,0.322625
56.598400,0.316560
55.566277,0.312360
54.567528,0.306185
53.568687,0.299016
52.536625,0.294680
51.537811,0.289522
50.505753,0.282116
49.506939,0.276899
48.508160,0.272296
47.476070,0.265432
46.477287,0.259254
45.478477,0.255138
44.446415,0.248973
43.447601,0.241790
42.448826,0.237022
41.416702,0.232377
40.417953,0.225534
39.419140,0.219021
38.387077,0.214746
37.388233,0.209210
36.389488,0.201952
35.357365,0.196683
34.358585,0.192297
33.359772,0.185444
32.327709,0.178897
31.328901,0.174923
30.330120,0.168883
29.297997,0.161621
28.299248,0.157340
27.300406,0.152140
26.268345,0.144639
25.269531,0.139701
24.270754,0.135016
23.238661,0.127880
22.239880,0.122098
21.241070,0.117914
20.209009,0.111298
19.210163,0.104578
18.211416,0.100250
17.179293,0.094718
16.180511,0.087560
15.181702,0.082482
14.149640,0.077792
13.150796,0.070831
12.152049,0.064833
11.119988,0.060575
10.121144,0.054216
9.122396,0.047499
8.090272,0.043181
7.091493,0.037411
6.092681,0.030403
5.060620,0.025252
4.061809,0.020522
3.062997,0.014569
2.030904,0.009657
1.032093,0.005120
0.000000,0.001752
-0.998747,0.004374
-1.997624,0.008976
-3.029652,0.013734
-4.028464,0.018654
-5.027276,0.024505
-6.059368,0.031578
-7.058115,0.036320
-8.056992,0.041468
-9.089020,0.048530
-10.087896,0.053884
-11.086643,0.058458
-12.118735,0.065416
-13.117547,0.071468
-14.116360,0.075762
-15.148452,0.081963
-16.147263,0.088724
-17.146011,0.093346
-18.178169,0.098874
-19.176916,0.105816
-20.175728,0.110814
-21.207819,0.115758
-22.206633,0.122488
-23.205444,0.128550
-24.237535,0.133124
-25.236284,0.139077
-26.235159,0.145594
-27.267187,0.151019
-28.266064,0.155844
-29.264811,0.162673
-30.296968,0.168508
-31.295717,0.172926
-32.294464,0.179311
-33.326618,0.186093
-34.325367,0.190526
-35.324245,0.195987
-36.356274,0.203240
-37.355083,0.208349
-38.353897,0.212775
-39.385986,0.219630
-40.384800,0.226022
-41.383614,0.230321
-42.415703,0.236255
-43.414516,0.243241
-44.413265,0.248102
-45.445419,0.253035
-46.444168,0.259963
-47.443043,0.265780
-48.475071,0.270417
-49.473949,0.276417
-50.472694,0.283247
-51.504852,0.287923
-52.503601,0.293204
-53.535759,0.300489
-54.534504,0.305588
-55.533318,0.310164
-56.565411,0.317058
-57.564224,0.323289
-58.563034,0.327616
-59.595127,0.333603
-60.593937,0.340522
-61.592751,0.345325
-62.624840,0.350541
-63.623653,0.357518
-64.622467,0.363079
-65.654556,0.367561
-66.653366,0.374045
-67.652184,0.380625
-68.684273,0.385080
-69.683090,0.390670
-70.681831,0.397694
-71.713989,0.402567
-72.712738,0.407708
-73.711617,0.414627
-74.743645,0.420421
-75.742516,0.424663
-76.741264,0.431300
-77.773361,0.437937
-78.772171,0.442241
-79.770981,0.448035
-80.803070,0.455171
-81.801888,0.459848
-82.800697,0.464726
-83.832787,0.471959
-84.831604,0.477680
-85.830414,0.481939
-86.862572,0.488483
-87.861313,0.495239
-88.860130,0.499656
-89.892227,0.505072
-90.891098,0.512086
-91.889847,0.517393
-92.921997,0.522178
-93.920753,0.528846
-94.919624,0.535176
-95.951653,0.539507
-96.950531,0.545299
-97.949280,0.552400
-98.981438,0.557296
-99.980179,0.562201
-100.979065,0.569211
-102.011093,0.575127
-103.009964,0.579397
-104.008705,0.585602
-105.040863,0.592763
-106.039619,0.597168
-107.071777,0.602481
-108.070587,0.609662
-109.069389,0.615024
-110.101486,0.619508
-111.100304,0.626229
-112.099113,0.632614
-113.131271,0.637017
-114.130020,0.642897
-115.128899,0.649872
-116.160927,0.654687
-117.159798,0.659869
-118.158554,0.666753
-119.190704,0.672437
-120.189453,0.676794
-121.188255,0.683558
-122.220421,0.689953
-123.219162,0.694268
-124.218033,0.699941
-125.250061,0.707307
-126.248947,0.712280
-127.247688,0.716744
-128.279846,0.723990
-129.278656,0.729857
-130.277481,0.734102
-131.309555,0.740526
-132.308380,0.747489
-133.307190,0.751902
-134.339355,0.757364
-135.338089,0.764434
-136.336975,0.769548
-137.369003,0.774416
-138.367874,0.781372
-139.366684,0.787165
-140.398773,0.791699
-141.397583,0.797930
-142.396408,0.804783
-143.428497,0.809291
-144.427368,0.814519
-145.426117,0.821699
-146.458282,0.827427
-147.457077,0.831693
-148.455902,0.838418
-149.487991,0.844853
-150.486877,0.849130
-151.485611,0.854979
-152.517776,0.862262
-153.516525,0.866737
-154.515396,0.871903
-155.547485,0.879261
-156.546295,0.884395
-157.578400,0.889164
-158.577271,0.896057
-159.576004,0.902090
-160.608170,0.906550
-161.606918,0.912676
-162.605804,0.919680
-163.637894,0.924213
-164.636765,0.929474
-165.635513,0.936723
