2,Audi 90 Quattro GTO,baseline
Steering Wheel Angle,Yaw Rate
219.200073,1.455461
218.201324,1.455634
217.202515,1.453617
216.170486,1.446709
215.171677,1.440577
214.172928,1.434417
213.140839,1.428005
212.142090,1.421826
211.143280,1.415438
210.111252,1.408951
209.112442,1.402231
208.113693,1.395338
207.081604,1.388419
206.082840,1.381566
205.050766,1.374122
204.052017,1.366746
203.053238,1.359517
202.021164,1.352548
201.022385,1.345796
200.023605,1.339436
198.991516,1.332546
197.992783,1.325406
196.994003,1.318688
195.961929,1.311757
194.963150,1.304941
193.964371,1.298332
192.932281,1.291077
191.933533,1.284387
190.934753,1.277665
189.902695,1.270685
188.903946,1.264099
187.905136,1.257084
186.873108,1.250166
185.874298,1.243324
184.875549,1.236616
183.843445,1.229550
182.844696,1.222869
181.845901,1.215990
180.813843,1.209035
179.815063,1.202336
178.816269,1.195520
177.784180,1.188488
176.785431,1.181711
175.786636,1.174996
174.754608,1.167866
173.755783,1.161223
172.757034,1.154584
171.724945,1.147460
170.726196,1.140756
169.727371,1.133808
168.695328,1.126860
167.696548,1.120089
166.697769,1.113265
165.665665,1.106425
164.666916,1.099711
163.668106,1.092891
162.636078,1.085990
161.637283,1.079212
160.638535,1.072320
159.606430,1.065350
158.607651,1.058650
157.608841,1.051911
156.576813,1.044999
155.578003,1.038331
154.545944,1.031225
153.547165,1.024461
152.548386,1.017723
151.516296,1.010713
150.517532,1.003947
149.518738,0.997277
148.486664,0.990237
147.487885,0.983402
146.489105,0.976767
145.457016,0.969796
144.458267,0.962946
143.459503,0.956211
142.427399,0.949320
141.428650,0.942640
140.429840,0.935769
139.397781,0.928778
138.399002,0.922104
137.400223,0.915224
136.368118,0.908312
135.369385,0.901675
134.370560,0.894982
133.338501,0.887942
132.339691,0.881179
131.340958,0.874366
130.308853,0.867387
129.310074,0.860784
128.311264,0.853985
127.279228,0.847032
126.280426,0.840226
125.281647,0.833597
124.249550,0.826635
123.250801,0.819720
122.251991,0.813138
121.219940,0.806030
120.221115,0.799390
119.222366,0.792649
118.190239,0.785721
117.191505,0.778944
116.192688,0.772289
115.160629,0.765374
114.161819,0.758677
113.163063,0.751865
112.130974,0.744895
111.132202,0.738146
110.133385,0.731298
109.101326,0.724277
108.102509,0.717582
107.103767,0.710954
106.071671,0.703948
105.072891,0.697134
104.074081,0.690472
103.042015,0.683608
102.043213,0.676812
101.011185,0.669725
100.012398,0.663028
99.013596,0.656233
97.981529,0.649320
96.982719,0.642584
95.983971,0.635907
94.951881,0.629041
93.953102,0.622367
92.954285,0.615523
91.922226,0.608480
90.923409,0.601717
89.924667,0.594981
88.892548,0.588085
87.893791,0.581454
86.894981,0.574620
85.862923,0.567620
84.864113,0.561030
83.865334,0.554335
82.833237,0.547408
81.834457,0.540588
80.835648,0.533986
79.803581,0.526911
78.804771,0.520216
77.806030,0.513388
76.773903,0.506511
75.775154,0.499754
74.776337,0.493046
73.744286,0.485974
72.745476,0.479271
71.746696,0.472548
70.714600,0.465810
69.715820,0.459098
68.717003,0.452278
67.684944,0.445229
66.686142,0.438522
65.687355,0.431780
64.655266,0.424908
63.656487,0.418186
62.657673,0.411518
61.625610,0.404467
60.626797,0.397851
59.628021,0.390984
