2,Audi R18 2016,baseline
Steering Wheel Angle,Yaw Rate
325.269073,1.948437
324.270355,1.948737
323.238281,1.950057
322.239502,1.950757
321.240784,1.945702
320.208710,1.940117
319.209961,1.934839
318.211212,1.929522
317.179138,1.923910
316.180359,1.918402
315.181641,1.913015
314.149536,1.907121
313.150787,1.900939
312.152069,1.894835
311.119995,1.888399
310.121185,1.882229
309.089172,1.875716
308.090393,1.868607
307.091644,1.861475
306.059570,1.854037
305.060852,1.846808
304.062042,1.840208
303.029999,1.833846
302.031219,1.827520
301.032471,1.821301
300.000427,1.815929
299.001678,1.810493
298.002899,1.804235
296.970825,1.797763
295.972076,1.791005
294.973328,1.785172
293.941254,1.778463
292.942474,1.772140
291.943726,1.766180
290.911652,1.759447
289.912903,1.755855
288.914154,1.749264
287.882080,1.741836
286.883301,1.735038
285.884552,1.728193
284.852478,1.721759
283.853729,1.715998
282.854980,1.709603
281.822876,1.703342
280.824127,1.697017
279.825317,1.690793
278.793304,1.684721
277.794556,1.678137
276.795776,1.671939
275.763702,1.665814
274.764984,1.659603
273.766174,1.653289
272.734131,1.647152
271.735382,1.640906
270.736603,1.634676
269.704529,1.628122
268.705780,1.622061
267.707001,1.615940
266.674927,1.609409
265.676178,1.603575
264.677399,1.597385
263.645355,1.590710
262.646576,1.584578
261.647827,1.578627
260.615753,1.572080
259.617004,1.565747
258.584900,1.559575
257.586182,1.553333
256.587372,1.547516
255.555344,1.540786
254.556549,1.534783
253.557785,1.528612
252.525742,1.522183
251.526947,1.516315
250.528183,1.509885
249.496140,1.503458
248.497330,1.497672
247.498581,1.491234
246.466522,1.485071
245.467773,1.478803
244.468964,1.472695
243.436951,1.466462
242.438156,1.460220
241.439392,1.453916
240.407318,1.447683
239.408585,1.441522
238.409760,1.435741
237.377716,1.429069
236.378922,1.422987
235.380157,1.416897
234.348114,1.410422
233.349335,1.404300
232.350586,1.398214
231.318527,1.392065
230.319733,1.385758
229.320969,1.379609
228.288895,1.373424
227.290115,1.369143
226.291382,1.362501
225.259277,1.355604
224.260529,1.348837
223.261749,1.342386
222.229706,1.336075
221.230927,1.330439
220.232147,1.323979
219.200073,1.317850
218.201324,1.311492
217.202515,1.305422
216.170486,1.299009
215.171677,1.293148
214.172928,1.286838
213.140839,1.280684
212.142090,1.274390
211.143280,1.268390
210.111252,1.262058
209.112442,1.255913
208.113693,1.250086
207.081604,1.243512
206.082840,1.237505
205.050766,1.231112
204.052017,1.224997
203.053238,1.218953
202.021164,1.212686
201.022385,1.206589
200.023605,1.200465
198.991516,1.194301
197.992783,1.188222
196.994003,1.181921
195.961929,1.175736
194.963150,1.169592
193.964371,1.163488
192.932281,1.157276
191.933533,1.151121
190.934753,1.145116
189.902695,1.138728
188.903946,1.132814
187.905136,1.126571
186.873108,1.120299
185.874298,1.114295
184.875549,1.108393
183.843445,1.101974
182.844696,1.095796
181.845901,1.089658
180.813843,1.083436
179.815063,1.077363
178.816269,1.071293
177.784180,1.064994
176.785431,1.058934
175.786636,1.052749
174.754608,1.046535
173.755783,1.040572
172.757034,1.034525
171.724945,1.028179
170.726196,1.022097
169.727371,1.016076
168.695328,1.009816
167.696548,1.003678
166.697769,0.997608
165.665665,0.991371
164.666916,0.985319
163.668106,0.979279
162.636078,0.973012
161.637283,0.967025
160.638535,0.960794
159.606430,0.954797
158.607651,0.948724
157.608841,0.942609
156.576813,0.936221
155.578003,0.930138
154.545944,0.923794
153.547165,0.917823
152.548386,0.911963
151.516296,0.905518
150.517532,0.899565
149.518738,0.893503
148.486664,0.887270
147.487885,0.881191
146.489105,0.875073
145.457016,0.868911
144.458267,0.862900
143.459503,0.856634
142.427399,0.850608
141.428650,0.844506
140.429840,0.838507
139.397781,0.832855
138.399002,0.826921
137.400223,0.820777
136.368118,0.813682
135.369385,0.807715
134.370560,0.801785
133.338501,0.795420
132.339691,0.789468
131.340958,0.783510
130.308853,0.777184
129.310074,0.771136
128.311264,0.765137
127.279228,0.758961
126.280426,0.752831
125.281647,0.746795
124.249550,0.740487
123.250801,0.734475
122.251991,0.728573
121.219940,0.722193
120.221115,0.716233
119.222366,0.710283
118.190239,0.704064
117.191505,0.697971
116.192688,0.691883
115.160629,0.685767
114.161819,0.679619
113.163063,0.673567
112.130974,0.667406
111.132202,0.661375
110.133385,0.655466
109.101326,0.649029
108.102509,0.643113
107.103767,0.637204
106.071671,0.630757
105.072891,0.624874
104.074081,0.618698
103.042015,0.612495
102.043213,0.606647
101.011185,0.600338
100.012398,0.594250
99.013596,0.588193
97.981529,0.581958
96.982719,0.575962
95.983971,0.570065
94.951881,0.563700
93.953102,0.557668
92.954285,0.551704
91.922226,0.545310
90.923409,0.539408
89.924667,0.533420
88.892548,0.527123
87.893791,0.521171
86.894981,0.515259
85.862923,0.508876
84.864113,0.502964
83.865334,0.496812
82.833237,0.490681
81.834457,0.484609
80.835648,0.478604
79.803581,0.472426
78.804771,0.466361
77.806030,0.460464
76.773903,0.454088
75.775154,0.448231
74.776337,0.442269
73.744286,0.435825
72.745476,0.429985
71.746696,0.423925
70.714600,0.417616
69.715820,0.411647
68.717003,0.405734
67.684944,0.399394
66.686142,0.393424
65.687355,0.387473
64.655266,0.381088
63.656487,0.375157
62.657673,0.369020
61.625610,0.362959
60.626797,0.356880
59.628021,0.350946
58.595932,0.344563
57.597145,0.338726
56.598400,0.332618
55.566277,0.326417
54.567528,0.320450
53.568687,0.314471
52.536625,0.308070
51.537811,0.302236
50.505753,0.295916
49.506939,0.289903
48.508160,0.283974
47.476070,0.277829
46.477287,0.271748
45.478477,0.265846
44.446415,0.259335
43.447601,0.253487
42.448826,0.247483
41.416702,0.241186
40.417953,0.235357
39.419140,0.229142
38.387077,0.223090
37.388233,0.216982
36.389488,0.210957
35.357365,0.204719
34.358585,0.198641
33.359772,0.192844
32.327709,0.186405
31.328901,0.180568
30.330120,0.174553
29.297997,0.168332
28.299248,0.162369
27.300406,0.156338
26.268345,0.150166
25.269531,0.144066
24.270754,0.138150
23.238661,0.131827
22.239880,0.125803
21.241070,0.119760
20.209009,0.113605
19.210163,0.107565
18.211416,0.101549
17.179293,0.095506
16.180511,0.089322
15.181702,0.083330
14.149640,0.077215
13.150796,0.071077
12.152049,0.065232
11.119988,0.058996
10.121144,0.052923
9.122396,0.046812
8.090272,0.040649
7.091493,0.034772
6.092681,0.028590
5.060620,0.022380
4.061809,0.016930
3.062997,0.012190
2.030904,0.007276
1.032093,0.003221
0.000000,0.001324
-0.998747,0.004239
-1.997624,0.008058
-3.029652,0.012906
-4.028464,0.017729
-5.027276,0.022659
-6.059368,0.028950
-7.058115,0.034896
-8.056992,0.040874
-9.089020,0.047124
-10.087896,0.053167
-11.086643,0.059197
-12.118735,0.065245
-13.117547,0.071270
-14.116360,0.077511
-15.148452,0.083460
-16.147263,0.089549
-17.146011,0.095518
-18.178169,0.101857
-19.176916,0.107860
-20.175728,0.113835
-21.207819,0.120035
-22.206633,0.126137
-23.205444,0.131848
-24.237535,0.138301
-25.236284,0.144206
-26.235159,0.150315
-27.267187,0.156307
-28.266064,0.162556
-29.264811,0.168544
-30.296968,0.174706
-31.295717,0.180825
-32.294464,0.186788
-33.326618,0.192930
-34.325367,0.199096
-35.324245,0.204903
-36.356274,0.211087
-37.355083,0.217342
-38.353897,0.223028
-39.385986,0.229590
-40.384800,0.235436
-41.383614,0.241343
-42.415703,0.247676
-43.414516,0.253838
-44.413265,0.259617
-45.445419,0.266002
-46.444168,0.271888
-47.443043,0.277772
-48.475071,0.284292
-49.473949,0.290101
-50.472694,0.296167
-51.504852,0.302249
-52.503601,0.308450
-53.535759,0.314596
-54.534504,0.320619
-55.533318,0.326594
-56.565411,0.332935
-57.564224,0.338637
-58.563034,0.345048
-59.595127,0.351231
-60.593937,0.357100
-61.592751,0.363185
-62.624840,0.369307
-63.623653,0.375309
-64.622467,0.381334
-65.654556,0.387479
-66.653366,0.393596
-67.652184,0.399723
-68.684273,0.405602
-69.683090,0.412001
-70.681831,0.417849
-71.713989,0.424150
-72.712738,0.430074
-73.711617,0.435985
-74.743645,0.442428
-75.742516,0.448310
-76.741264,0.454267
-77.773361,0.460461
-78.772171,0.466604
-79.770981,0.472760
-80.803070,0.478867
-81.801888,0.484851
-82.800697,0.490858
-83.832787,0.497123
-84.831604,0.503096
-85.830414,0.509069
-86.862572,0.515222
-87.861313,0.521451
-88.860130,0.527432
-89.892227,0.533674
-90.891098,0.539630
-91.889847,0.545780
-92.921997,0.551848
-93.920753,0.557875
-94.919624,0.563871
-95.951653,0.570123
-96.950531,0.576151
-97.949280,0.582255
-98.981438,0.588354
-99.980179,0.594495
-100.979065,0.600579
-102.011093,0.606786
-103.009964,0.612759
-104.008705,0.618593
-105.040863,0.625069
-106.039619,0.631054
-107.071777,0.637232
-108.070587,0.643255
-109.069389,0.649205
-110.101486,0.655643
-111.100304,0.661670
-112.099113,0.667535
-113.131271,0.673912
-114.130020,0.679835
-115.128899,0.686024
-116.160927,0.692110
-117.159798,0.698131
-118.158554,0.704281
-119.190704,0.710414
-120.189453,0.716396
-121.188255,0.722459
-122.220421,0.728734
-123.219162,0.734744
-124.218033,0.740741
-125.250061,0.746912
-126.248947,0.753033
-127.247688,0.758904
-128.279846,0.765363
-129.278656,0.771287
-130.277481,0.777394
-131.309555,0.783786
-132.308380,0.789680
-133.307190,0.795658
-134.339355,0.801986
-135.338089,0.808000
-136.336975,0.814067
-137.369003,0.820391
-138.367874,0.826351
-139.366684,0.832388
-140.398773,0.838570
-141.397583,0.844384
-142.396408,0.850662
-143.428497,0.856973
-144.427368,0.862969
-145.426117,0.869130
-146.458282,0.875196
-147.457077,0.881270
-148.455902,0.887309
-149.487991,0.893681
-150.486877,0.899754
-151.485611,0.905669
-152.517776,0.912086
-153.516525,0.917949
-154.515396,0.924117
-155.547485,0.930308
-156.546295,0.936459
-157.578400,0.942649
-158.577271,0.948626
-159.576004,0.954576
-160.608170,0.960904
-161.606918,0.966909
-162.605804,0.973170
-163.637894,0.979392
-164.636765,0.985483
-165.635513,0.991453
-166.667603,0.997797
-167.666428,1.003914
-168.665222,1.009701
-169.697372,1.016125
-170.696136,1.022344
-171.695007,1.028293
-172.727097,1.034585
-173.725922,1.040621
-174.724731,1.046694
-175.756882,1.052990
-176.755630,1.059120
-177.754501,1.065147
-178.786606,1.071203
-179.785477,1.077361
-180.784225,1.083551
-181.816376,1.089857
-182.815125,1.095857
-183.813995,1.101921
-184.846100,1.108271
-185.844971,1.114148
-186.843719,1.120406
-187.875870,1.126650
-188.874695,1.132726
-189.873505,1.138737
-190.905594,1.144928
-191.904465,1.151154
-192.903214,1.157330
-193.935364,1.163586
-194.934189,1.169436
-195.933060,1.175449
-196.965088,1.182011
-197.963959,1.188145
-198.962769,1.194302
-199.994934,1.200431
-200.993683,1.206559
-201.992554,1.212760
-203.024643,1.219068
-204.023468,1.225064
-205.022263,1.231119
-206.054428,1.237566
-207.053177,1.243581
-208.085403,1.249754
-209.084137,1.255944
-210.082886,1.262121
-211.115112,1.268435
-212.113861,1.274299
-213.112732,1.280429
-214.144836,1.286922
-215.143646,1.293033
-216.142456,1.298908
-217.174606,1.305239
-218.173355,1.311532
-219.172241,1.317775
-220.204330,1.323732
-221.203201,1.330111
-222.201950,1.336214
-223.234177,1.342553
-224.232925,1.348567
-225.231796,1.354890
-226.263885,1.361005
-227.262772,1.367179
-228.261505,1.373292
-229.293671,1.379639
-230.292496,1.385884
-231.291367,1.391630
-232.323380,1.398156
-233.322250,1.404404
-234.321075,1.410503
-235.353226,1.416640
-236.351990,1.422899
-237.350861,1.429071
-238.382965,1.435391
-239.381836,1.441348
-240.380569,1.447530
-241.412811,1.454034
-242.411545,1.459923
-243.410416,1.466324
-244.442505,1.472574
-245.441391,1.478497
-246.440125,1.484581
-247.472305,1.491209
-248.471100,1.497345
-249.469971,1.503551
-250.502060,1.509823
-251.500946,1.515968
-252.499710,1.522116
-253.531860,1.528509
-254.530670,1.534736
-255.529404,1.540439
-256.561554,1.547074
-257.560394,1.553316
-258.559265,1.559560
-259.591339,1.565566
-260.590240,1.571802
-261.622253,1.578450
-262.621124,1.584480
-263.619934,1.590411
-264.652100,1.596890
-265.650909,1.603282
-266.649780,1.609482
-267.681824,1.615488
-268.680695,1.621723
-269.679504,1.627967
-270.711670,1.634534
-271.710449,1.640697
-272.709351,1.646396
-273.741425,1.653208
-274.740295,1.659302
-275.739075,1.665293
-276.771210,1.671839
-277.770050,1.678111
-278.768921,1.684388
-279.800995,1.690596
-280.799866,1.696417
-281.798615,1.703070
-282.830841,1.709420
-283.829590,1.715446
-284.828461,1.721698
-285.860565,1.728358
-286.859436,1.734143
-287.858246,1.740323
-288.890411,1.746734
-289.889130,1.753115
-290.888000,1.759480
-291.920105,1.765803
-292.918976,1.771703
-293.917816,1.778110
-294.949951,1.784709
-295.948761,1.790801
-296.947662,1.796812
-297.979736,1.803443
-298.978485,1.809604
-299.977356,1.815838
-301.009460,1.821952
-302.008331,1.828429
-303.007141,1.834912
-304.039307,1.840755
-305.038116,1.847360
-306.036987,1.853534
-307.069031,1.860074
-308.067963,1.866221
-309.066711,1.872201
-310.098877,1.878748
-311.097656,1.885136
-312.129852,1.891705
-313.128632,1.897810
-314.127502,1.903723
-315.159607,1.910100
-316.158478,1.916741
-317.157318,1.922964
-318.189453,1.928961
-319.188263,1.935363
-320.187134,1.941925
-321.219177,1.947870
-322.218109,1.954242
-323.216858,1.954826
-324.249084,1.954827
-325.247833,1.954971
