2,Audi R8 LMS,baseline
Steering Wheel Angle,Yaw Rate
259.617004,1.522425
258.584900,1.522568
257.586182,1.523143
256.587372,1.521598
255.555344,1.518755
254.556549,1.512480
253.557785,1.506240
252.525742,1.499797
251.526947,1.493236
250.528183,1.486820
249.496140,1.480115
248.497330,1.473765
247.498581,1.467389
246.466522,1.461274
245.467773,1.455301
244.468964,1.449322
243.436951,1.443181
242.438156,1.437511
241.439392,1.431669
240.407318,1.425506
239.408585,1.419456
238.409760,1.413186
237.377716,1.407218
236.378922,1.401270
235.380157,1.395319
234.348114,1.389009
233.349335,1.383129
232.350586,1.376896
231.318527,1.370799
230.319733,1.364822
229.320969,1.358752
228.288895,1.352489
227.290115,1.346471
226.291382,1.340443
225.259277,1.334185
224.260529,1.328243
223.261749,1.322136
222.229706,1.315901
221.230927,1.309952
220.232147,1.303890
219.200073,1.297742
218.201324,1.291752
217.202515,1.285645
216.170486,1.279525
215.171677,1.273508
214.172928,1.267500
213.140839,1.261302
212.142090,1.255209
211.143280,1.249168
210.111252,1.243026
209.112442,1.236984
208.113693,1.230964
207.081604,1.224814
206.082840,1.218753
205.050766,1.212562
204.052017,1.206539
203.053238,1.200509
202.021164,1.194305
201.022385,1.188366
200.023605,1.182334
198.991516,1.176255
197.992783,1.170240
196.994003,1.164044
195.961929,1.157967
194.963150,1.151800
193.964371,1.145941
192.932281,1.139874
191.933533,1.133775
190.934753,1.127877
189.902695,1.121695
188.903946,1.115615
187.905136,1.109658
186.873108,1.103487
185.874298,1.097402
184.875549,1.091533
183.843445,1.085277
182.844696,1.079306
181.845901,1.073403
180.813843,1.067147
179.815063,1.061196
178.816269,1.055209
177.784180,1.048957
176.785431,1.043058
175.786636,1.037011
174.754608,1.030805
173.755783,1.024888
172.757034,1.018917
171.724945,1.012680
170.726196,1.006777
169.727371,1.000739
168.695328,0.994392
167.696548,0.988507
166.697769,0.982439
165.665665,0.976072
164.666916,0.970299
163.668106,0.964236
162.636078,0.957991
161.637283,0.952093
160.638535,0.946291
159.606430,0.940196
158.607651,0.934295
157.608841,0.928194
156.576813,0.922085
155.578003,0.916149
154.545944,0.909803
153.547165,0.903956
152.548386,0.897892
151.516296,0.891665
150.517532,0.885763
149.518738,0.879674
148.486664,0.873327
147.487885,0.867570
146.489105,0.861436
145.457016,0.855468
144.458267,0.849598
143.459503,0.843611
142.427399,0.837475
141.428650,0.831462
140.429840,0.825416
139.397781,0.819321
138.399002,0.813203
137.400223,0.807207
136.368118,0.800896
135.369385,0.794914
134.370560,0.788927
133.338501,0.782937
132.339691,0.777049
131.340958,0.771212
130.308853,0.765105
129.310074,0.759075
128.311264,0.753142
127.279228,0.746917
126.280426,0.740968
125.281647,0.734988
124.249550,0.728700
123.250801,0.722749
122.251991,0.716659
121.219940,0.710402
120.221115,0.704370
119.222366,0.698402
118.190239,0.692388
117.191505,0.686627
116.192688,0.680680
115.160629,0.674593
114.161819,0.668613
113.163063,0.662541
112.130974,0.656422
111.132202,0.650360
110.133385,0.644300
109.101326,0.638074
108.102509,0.631986
107.103767,0.626022
106.071671,0.619878
105.072891,0.614019
104.074081,0.608220
103.042015,0.602159
102.043213,0.596242
101.011185,0.590093
100.012398,0.584068
99.013596,0.578032
97.981529,0.571714
96.982719,0.565674
95.983971,0.559651
94.951881,0.553557
93.953102,0.547703
92.954285,0.541996
91.922226,0.535845
90.923409,0.529751
89.924667,0.523790
88.892548,0.517588
87.893791,0.511561
86.894981,0.505410
85.862923,0.499259
84.864113,0.493458
83.865334,0.487677
82.833237,0.481564
81.834457,0.475574
80.835648,0.469592
79.803581,0.463469
78.804771,0.457436
77.806030,0.451283
76.773903,0.445060
75.775154,0.439127
74.776337,0.433156
73.744286,0.427126
72.745476,0.421292
71.746696,0.415416
70.714600,0.409134
69.715820,0.403239
68.717003,0.397236
67.684944,0.390971
