2,Audi R8 LMS EVO II GT3,baseline
Steering Wheel Angle,Yaw Rate
282.854980,1.746137
281.822876,1.746786
280.824127,1.746621
279.825317,1.742543
278.793304,1.739367
277.794556,1.730180
276.795776,1.726634
275.763702,1.722052
274.764984,1.716015
273.766174,1.710459
272.734131,1.704838
271.735382,1.699139
270.736603,1.693570
269.704529,1.687687
268.705780,1.681988
267.707001,1.676258
266.674927,1.670258
265.676178,1.664433
264.677399,1.658648
263.645355,1.652513
262.646576,1.646566
261.647827,1.640651
260.615753,1.634379
259.617004,1.628298
258.584900,1.622000
257.586182,1.615822
256.587372,1.609542
255.555344,1.602976
254.556549,1.596516
253.557785,1.589849
252.525742,1.583242
251.526947,1.579625
250.528183,1.569887
249.496140,1.563360
248.497330,1.555589
247.498581,1.549859
246.466522,1.543326
245.467773,1.537932
244.468964,1.531532
243.436951,1.524688
242.438156,1.517852
241.439392,1.511010
240.407318,1.503844
239.408585,1.496727
238.409760,1.489661
237.377716,1.482242
236.378922,1.475240
235.380157,1.468105
234.348114,1.460844
233.349335,1.453756
232.350586,1.446804
231.318527,1.439759
230.319733,1.433610
229.320969,1.427340
228.288895,1.418975
227.290115,1.416261
226.291382,1.409770
225.259277,1.403767
224.260529,1.398135
223.261749,1.392516
222.229706,1.386549
221.230927,1.380792
220.232147,1.375057
219.200073,1.368951
218.201324,1.363125
217.202515,1.357252
216.170486,1.351067
215.171677,1.343603
214.172928,1.338070
213.140839,1.332626
212.142090,1.325148
211.143280,1.319763
210.111252,1.312973
209.112442,1.306679
208.113693,1.300003
207.081604,1.293085
206.082840,1.286096
205.050766,1.278965
204.052017,1.272030
203.053238,1.265073
202.021164,1.257775
201.022385,1.250681
200.023605,1.243670
198.991516,1.237177
197.992783,1.230891
196.994003,1.224614
195.961929,1.219946
194.963150,1.209001
193.964371,1.206033
192.932281,1.201329
191.933533,1.195222
190.934753,1.189427
189.902695,1.183369
188.903946,1.177648
187.905136,1.171531
186.873108,1.164884
185.874298,1.156775
184.875549,1.151278
183.843445,1.146031
182.844696,1.138705
181.845901,1.133219
180.813843,1.126320
179.815063,1.121072
178.816269,1.114972
177.784180,1.108226
176.785431,1.101569
175.786636,1.094961
174.754608,1.087829
173.755783,1.080959
172.757034,1.073956
171.724945,1.066905
170.726196,1.059941
169.727371,1.053522
168.695328,1.047055
167.696548,1.040691
166.697769,1.035582
165.665665,1.028838
164.666916,1.019726
163.668106,1.016285
162.636078,1.010834
161.637283,1.004403
160.638535,0.998173
159.606430,0.992562
158.607651,0.986221
157.608841,0.978443
156.576813,0.973204
155.578003,0.967718
154.545944,0.960502
153.547165,0.954296
152.548386,0.947605
151.516296,0.940684
150.517532,0.934896
149.518738,0.929175
148.486664,0.922863
147.487885,0.916544
146.489105,0.910016
145.457016,0.904303
144.458267,0.898806
143.459503,0.890767
142.427399,0.884731
141.428650,0.878998
140.429840,0.872932
139.397781,0.865978
138.399002,0.858289
137.400223,0.849967
136.368118,0.844323
135.369385,0.836910
134.370560,0.833555
133.338501,0.827281
132.339691,0.820828
131.340958,0.813167
130.308853,0.809316
129.310074,0.803062
128.311264,0.792615
127.279228,0.790748
126.280426,0.781887
125.281647,0.776365
124.249550,0.767307
123.250801,0.763518
122.251991,0.757588
121.219940,0.749260
120.221115,0.742091
119.222366,0.738460
118.190239,0.732896
117.191505,0.725361
116.192688,0.719428
115.160629,0.711470
114.161819,0.706492
113.163063,0.703319
112.130974,0.695264
111.132202,0.687880
110.133385,0.681567
109.101326,0.674209
108.102509,0.667120
107.103767,0.662523
106.071671,0.655253
105.072891,0.648915
104.074081,0.643004
103.042015,0.636364
102.043213,0.630038
101.011185,0.623700
100.012398,0.615800
99.013596,0.610923
97.981529,0.603326
96.982719,0.596859
95.983971,0.592301
94.951881,0.586158
93.953102,0.579652
92.954285,0.573071
91.922226,0.566505
90.923409,0.561665
89.924667,0.554740
88.892548,0.547744
87.893791,0.541330
86.894981,0.534291
85.862923,0.529915
84.864113,0.523330
83.865334,0.516023
82.833237,0.510595
81.834457,0.502374
80.835648,0.497763
79.803581,0.489301
78.804771,0.484309
77.806030,0.478431
76.773903,0.472184
75.775154,0.463316
74.776337,0.459681
73.744286,0.452700
72.745476,0.446287
71.746696,0.440296
70.714600,0.433606
69.715820,0.427330
68.717003,0.420893
67.684944,0.415140
66.686142,0.408253
65.687355,0.402958
64.655266,0.395738
63.656487,0.389645
62.657673,0.383401
61.625610,0.377056
60.626797,0.370635
59.628021,0.364062
58.595932,0.357664
57.597145,0.351462
56.598400,0.344915
55.566277,0.338846
54.567528,0.332694
53.568687,0.326024
52.536625,0.319776
51.537811,0.314085
50.505753,0.307138
49.506939,0.301444
48.508160,0.294592
47.476070,0.288742
46.477287,0.281974
45.478477,0.275378
44.446415,0.269164
43.447601,0.263418
42.448826,0.256307
41.416702,0.249859
40.417953,0.244011
39.419140,0.238234
38.387077,0.230948
37.388233,0.224803
36.389488,0.218573
35.357365,0.212027
34.358585,0.205897
33.359772,0.199933
32.327709,0.192863
31.328901,0.187401
30.330120,0.180342
29.297997,0.174075
28.299248,0.167923
27.300406,0.161683
26.268345,0.155128
25.269531,0.149499
24.270754,0.142892
23.238661,0.136107
22.239880,0.130168
21.241070,0.124294
20.209009,0.117539
19.210163,0.111166
18.211416,0.104834
17.179293,0.098399
16.180511,0.091710
15.181702,0.086099
14.149640,0.079681
13.150796,0.073076
12.152049,0.066882
11.119988,0.060278
10.121144,0.054054
9.122396,0.048382
8.090272,0.042816
7.091493,0.037652
6.092681,0.032327
5.060620,0.026863
4.061809,0.021686
3.062997,0.016235
2.030904,0.010817
1.032093,0.005633
0.000000,0.001449
-0.998747,0.005160
-1.997624,0.010453
-3.029652,0.015909
-4.028464,0.021051
-5.027276,0.026428
-6.059368,0.031860
-7.058115,0.037227
-8.056992,0.042473
-9.089020,0.047767
-10.087896,0.053903
-11.086643,0.060252
-12.118735,0.066218
-13.117547,0.072316
-14.116360,0.078844
-15.148452,0.085419
-16.147263,0.091537
-17.146011,0.098010
-18.178169,0.104335
-19.176916,0.110396
-20.175728,0.116408
-21.207819,0.123459
-22.206633,0.129378
