2,Audi RS 3 LMS TCR,baseline
Steering Wheel Angle,Yaw Rate
321.240784,2.060543
320.208710,2.060362
319.209961,2.062064
318.211212,2.063036
317.179138,2.055363
316.180359,2.048987
315.181641,2.042446
314.149536,2.033478
313.150787,2.025540
312.152069,2.019481
311.119995,2.012441
310.121185,2.006726
309.089172,1.999424
308.090393,1.993082
307.091644,1.985362
306.059570,1.980773
305.060852,1.971917
304.062042,1.966737
303.029999,1.960377
302.031219,1.951660
301.032471,1.947839
300.000427,1.938788
299.001678,1.932817
298.002899,1.927583
296.970825,1.918254
295.972076,1.914351
294.973328,1.906419
293.941254,1.898548
292.942474,1.894876
291.943726,1.885580
290.911652,1.879565
289.912903,1.874202
288.914154,1.865229
287.882080,1.860904
286.883301,1.853229
285.884552,1.845389
284.852478,1.841470
283.853729,1.832280
282.854980,1.826466
281.822876,1.820893
280.824127,1.812105
279.825317,1.807909
278.793304,1.799885
277.794556,1.792099
276.795776,1.788647
275.763702,1.779422
274.764984,1.772680
273.766174,1.768036
272.734131,1.758737
271.735382,1.754493
270.736603,1.747328
269.704529,1.738506
268.705780,1.735433
267.707001,1.726446
266.674927,1.719560
265.676178,1.715151
264.677399,1.705838
263.645355,1.701177
262.646576,1.694392
261.647827,1.685500
260.615753,1.682201
259.617004,1.673496
258.584900,1.666365
257.586182,1.661996
256.587372,1.652547
255.555344,1.648443
254.556549,1.640989
253.557785,1.632620
252.525742,1.629268
251.526947,1.620003
250.528183,1.614135
249.496140,1.609011
248.497330,1.599279
247.498581,1.595897
246.466522,1.587865
245.467773,1.579688
244.468964,1.576532
243.436951,1.566836
242.438156,1.561810
241.439392,1.555777
240.407318,1.546311
239.408585,1.543226
238.409760,1.534699
237.377716,1.527215
236.378922,1.523659
235.380157,1.513711
234.348114,1.509175
233.349335,1.502597
232.350586,1.493819
231.318527,1.490480
230.319733,1.481212
229.320969,1.475354
228.288895,1.470485
227.290115,1.460600
226.291382,1.457209
225.259277,1.449298
224.260529,1.441390
223.261749,1.438375
222.229706,1.428216
221.230927,1.423238
220.232147,1.417810
219.200073,1.407761
218.201324,1.404928
217.202515,1.396937
216.170486,1.388858
215.171677,1.385381
214.172928,1.375695
213.140839,1.371064
212.142090,1.365021
211.143280,1.355555
210.111252,1.352640
209.112442,1.343829
208.113693,1.336969
207.081604,1.332901
206.082840,1.322730
205.050766,1.318795
204.052017,1.312096
203.053238,1.303319
202.021164,1.299940
