2,Audi RS3 LMS Gen2 TCR,baseline
Steering Wheel Angle,Yaw Rate
221.230927,1.503090
220.232147,1.501865
219.200073,1.493887
218.201324,1.485290
217.202515,1.477995
216.170486,1.470354
215.171677,1.463053
214.172928,1.455925
213.140839,1.448516
212.142090,1.441389
211.143280,1.434452
210.111252,1.427166
209.112442,1.420191
208.113693,1.413171
207.081604,1.405838
206.082840,1.398977
205.050766,1.392050
204.052017,1.385236
203.053238,1.378223
202.021164,1.370729
201.022385,1.363291
200.023605,1.355961
198.991516,1.348348
197.992783,1.341050
196.994003,1.333959
195.961929,1.326760
194.963150,1.319789
193.964371,1.312667
192.932281,1.305284
191.933533,1.298291
190.934753,1.291143
189.902695,1.283870
188.903946,1.276821
187.905136,1.269770
186.873108,1.262398
185.874298,1.255358
184.875549,1.248363
183.843445,1.241066
182.844696,1.234065
181.845901,1.226762
180.813843,1.219660
179.815063,1.212575
178.816269,1.205567
177.784180,1.198327
176.785431,1.191337
175.786636,1.184370
174.754608,1.176996
173.755783,1.170048
172.757034,1.163009
171.724945,1.155771
170.726196,1.148750
169.727371,1.141775
168.695328,1.134542
167.696548,1.127584
166.697769,1.120554
165.665665,1.113242
164.666916,1.106282
163.668106,1.099321
162.636078,1.092072
161.637283,1.085157
160.638535,1.078207
159.606430,1.070938
158.607651,1.063995
157.608841,1.057008
156.576813,1.049768
155.578003,1.042868
154.545944,1.035607
153.547165,1.028658
152.548386,1.021745
151.516296,1.014504
150.517532,1.007594
149.518738,1.000692
148.486664,0.993421
147.487885,0.986524
146.489105,0.979586
145.457016,0.972399
144.458267,0.965445
143.459503,0.958509
142.427399,0.951366
141.428650,0.944434
140.429840,0.937555
139.397781,0.930328
138.399002,0.923488
137.400223,0.916443
136.368118,0.909282
135.369385,0.902438
134.370560,0.895614
133.338501,0.888356
132.339691,0.881551
131.340958,0.874618
130.308853,0.867454
129.310074,0.860567
128.311264,0.853600
127.279228,0.846517
126.280426,0.839671
125.281647,0.832730
124.249550,0.825669
123.250801,0.818749
122.251991,0.811901
121.219940,0.804706
120.221115,0.797801
119.222366,0.790961
118.190239,0.783887
117.191505,0.777050
116.192688,0.770176
115.160629,0.763028
114.161819,0.756083
113.163063,0.749320
112.130974,0.742199
111.132202,0.735374
110.133385,0.728484
109.101326,0.721364
108.102509,0.714532
107.103767,0.707672
106.071671,0.700601
105.072891,0.693688
104.074081,0.686854
103.042015,0.679696
102.043213,0.672965
101.011185,0.665851
100.012398,0.659086
99.013596,0.652182
97.981529,0.645101
96.982719,0.638316
95.983971,0.631430
94.951881,0.624374
93.953102,0.617598
92.954285,0.610695
91.922226,0.603643
90.923409,0.596820
89.924667,0.589961
88.892548,0.582968
87.893791,0.576154
86.894981,0.569312
85.862923,0.562248
84.864113,0.555468
83.865334,0.548593
82.833237,0.541541
81.834457,0.534757
80.835648,0.527951
79.803581,0.520963
78.804771,0.514093
77.806030,0.507304
76.773903,0.500246
75.775154,0.493419
74.776337,0.486596
73.744286,0.479604
72.745476,0.472926
71.746696,0.466011
70.714600,0.458995
69.715820,0.452223
68.717003,0.445351
67.684944,0.438269
66.686142,0.431508
65.687355,0.424760
64.655266,0.417574
63.656487,0.410918
62.657673,0.404039
61.625610,0.396992
60.626797,0.390275
59.628021,0.383547
58.595932,0.376524
57.597145,0.369737
56.598400,0.362934
55.566277,0.355881
54.567528,0.349096
53.568687,0.342360
52.536625,0.335255
51.537811,0.328542
50.505753,0.321559
49.506939,0.314864
48.508160,0.308045
47.476070,0.300972
46.477287,0.294155
45.478477,0.287373
44.446415,0.280431
43.447601,0.273671
42.448826,0.266977
41.416702,0.259690
40.417953,0.252919
39.419140,0.246408
38.387077,0.239300
37.388233,0.232606
36.389488,0.225815
35.357365,0.218803
34.358585,0.211961
33.359772,0.205248
32.327709,0.198277
31.328901,0.191652
30.330120,0.184864
29.297997,0.177830
28.299248,0.170945
27.300406,0.164294
26.268345,0.157170
25.269531,0.150375
24.270754,0.143646
23.238661,0.136697
22.239880,0.130364
21.241070,0.124488
20.209009,0.118451
19.210163,0.112638
18.211416,0.106734
17.179293,0.100647
16.180511,0.094695
15.181702,0.088837
14.149640,0.082742
13.150796,0.076845
12.152049,0.070982
11.119988,0.064809
10.121144,0.058994
9.122396,0.053096
8.090272,0.046980
7.091493,0.041165
6.092681,0.035236
5.060620,0.029081
4.061809,0.023218
3.062997,0.017414
2.030904,0.011258
1.032093,0.005388
0.000000,0.001885
-0.998747,0.006571
-1.997624,0.012494
-3.029652,0.018663
-4.028464,0.024444
-5.027276,0.030359
-6.059368,0.036488
-7.058115,0.042268
-8.056992,0.048257
-9.089020,0.054355
-10.087896,0.060188
-11.086643,0.066044
-12.118735,0.072226
-13.117547,0.078119
-14.116360,0.083982
-15.148452,0.090097
-16.147263,0.095907
-17.146011,0.101840
-18.178169,0.107991
-19.176916,0.113873
-20.175728,0.119718
-21.207819,0.125848
-22.206633,0.131821
-23.205444,0.138647
-24.237535,0.145946
-25.236284,0.152687
-26.235159,0.159436
-27.267187,0.166726
-28.266064,0.173379
-29.264811,0.180013
-30.296968,0.186976
-31.295717,0.193794
-32.294464,0.200557
-33.326618,0.207472
-34.325367,0.214288
-35.324245,0.221083
-36.356274,0.228165
-37.355083,0.234827
-38.353897,0.241573
-39.385986,0.248698
-40.384800,0.255278
-41.383614,0.262129
-42.415703,0.269207
-43.414516,0.275952
-44.413265,0.282592
-45.445419,0.289804
-46.444168,0.296434
-47.443043,0.303121
-48.475071,0.310236
-49.473949,0.317006
-50.472694,0.323735
-51.504852,0.330857
-52.503601,0.337591
-53.535759,0.344624
-54.534504,0.351292
-55.533318,0.357957
-56.565411,0.365128
-57.564224,0.371867
-58.563034,0.378621
-59.595127,0.385687
-60.593937,0.392457
-61.592751,0.399305
-62.624840,0.406272
-63.623653,0.413078
-64.622467,0.419829
-65.654556,0.426911
-66.653366,0.433726
-67.652184,0.440505
-68.684273,0.447601
-69.683090,0.454332
-70.681831,0.461126
-71.713989,0.468191
-72.712738,0.474894
-73.711617,0.481732
-74.743645,0.488724
-75.742516,0.495547
-76.741264,0.502497
-77.773361,0.509486
-78.772171,0.516238
-79.770981,0.523050
-80.803070,0.530095
-81.801888,0.536881
-82.800697,0.543700
-83.832787,0.550793
-84.831604,0.557608
-85.830414,0.564322
-86.862572,0.571438
-87.861313,0.578247
-88.860130,0.585143
-89.892227,0.592299
-90.891098,0.598956
-91.889847,0.605805
-92.921997,0.612848
-93.920753,0.619691
-94.919624,0.626520
-95.951653,0.633585
-96.950531,0.640343
-97.949280,0.647202
-98.981438,0.654411
-99.980179,0.661170
-100.979065,0.668008
-102.011093,0.675151
-103.009964,0.681960
-104.008705,0.688771
-105.040863,0.695887
-106.039619,0.702703
-107.071777,0.709835
-108.070587,0.716632
-109.069389,0.723491
-110.101486,0.730633
-111.100304,0.737444
-112.099113,0.744270
-113.131271,0.751395
-114.130020,0.758194
-115.128899,0.765206
-116.160927,0.772330
-117.159798,0.779178
-118.158554,0.785994
-119.190704,0.793164
-120.189453,0.800035
-121.188255,0.806900
-122.220421,0.813965
-123.219162,0.820834
-124.218033,0.827733
-125.250061,0.834870
-126.248947,0.841810
-127.247688,0.848722
-128.279846,0.855859
-129.278656,0.862674
-130.277481,0.869618
-131.309555,0.876757
-132.308380,0.883678
-133.307190,0.890504
-134.339355,0.897732
-135.338089,0.904669
-136.336975,0.911567
-137.369003,0.918680
-138.367874,0.925562
-139.366684,0.932495
-140.398773,0.939713
-141.397583,0.946605
-142.396408,0.953536
-143.428497,0.960727
-144.427368,0.967663
-145.426117,0.974548
-146.458282,0.981745
-147.457077,0.988642
-148.455902,0.995622
-149.487991,1.002858
-150.486877,1.009779
-151.485611,1.016702
-152.517776,1.023937
-153.516525,1.030868
-154.515396,1.037830
-155.547485,1.045058
-156.546295,1.051970
-157.578400,1.059223
-158.577271,1.066159
-159.576004,1.073135
-160.608170,1.080368
-161.606918,1.087358
-162.605804,1.094317
-163.637894,1.101566
-164.636765,1.108478
-165.635513,1.115485
-166.667603,1.122759
-167.666428,1.129750
-168.665222,1.136735
-169.697372,1.143981
-170.696136,1.150912
-171.695007,1.157963
-172.727097,1.165261
-173.725922,1.172219
-174.724731,1.179272
-175.756882,1.186607
-176.755630,1.193552
-177.754501,1.200566
-178.786606,1.207850
-179.785477,1.214926
-180.784225,1.221937
-181.816376,1.229245
-182.815125,1.236241
-183.813995,1.243309
-184.846100,1.250630
-185.844971,1.257622
-186.843719,1.264649
-187.875870,1.272011
-188.874695,1.279060
-189.873505,1.286110
-190.905594,1.293462
-191.904465,1.300510
-192.903214,1.307574
-193.935364,1.314939
-194.934189,1.321983
-195.933060,1.329089
-196.965088,1.336452
-197.963959,1.343505
-198.962769,1.350607
-199.994934,1.357979
-200.993683,1.365020
-201.992554,1.372118
-203.024643,1.379546
-204.023468,1.386648
-205.022263,1.393780
-206.054428,1.401062
-207.053177,1.408268
-208.085403,1.415649
-209.084137,1.422726
-210.082886,1.429908
-211.115112,1.437304
-212.113861,1.444415
-213.112732,1.451646
-214.144836,1.459103
-215.143646,1.466178
-216.142456,1.473434
-217.174606,1.480902
-218.173355,1.488076
-219.172241,1.495301
-220.204330,1.500969
-221.203201,1.500114
