2,BMW M Hybrid V8,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.925073
271.735382,1.925353
270.736603,1.931997
269.704529,1.929750
268.705780,1.921572
267.707001,1.909918
266.674927,1.902330
265.676178,1.895326
264.677399,1.888457
263.645355,1.883699
262.646576,1.875863
261.647827,1.868803
260.615753,1.861034
259.617004,1.853276
258.584900,1.845160
257.586182,1.837280
256.587372,1.829801
255.555344,1.822215
254.556549,1.814799
253.557785,1.807700
252.525742,1.800415
251.526947,1.793220
250.528183,1.785866
249.496140,1.778037
248.497330,1.770794
247.498581,1.763368
246.466522,1.755797
245.467773,1.748483
244.468964,1.741159
243.436951,1.733537
242.438156,1.726405
241.439392,1.719001
240.407318,1.711297
239.408585,1.704141
238.409760,1.696777
237.377716,1.689264
236.378922,1.681848
235.380157,1.674634
234.348114,1.667082
233.349335,1.659804
232.350586,1.652537
231.318527,1.644968
230.319733,1.637680
229.320969,1.630434
228.288895,1.622864
227.290115,1.615748
226.291382,1.608334
225.259277,1.600754
224.260529,1.593500
223.261749,1.586180
222.229706,1.578681
221.230927,1.571441
220.232147,1.564127
219.200073,1.556672
218.201324,1.549327
217.202515,1.542201
216.170486,1.534682
215.171677,1.527313
214.172928,1.520119
213.140839,1.512658
212.142090,1.505300
211.143280,1.498049
210.111252,1.490639
209.112442,1.483383
208.113693,1.476052
207.081604,1.468438
206.082840,1.461371
205.050766,1.453821
204.052017,1.446620
203.053238,1.439427
202.021164,1.431949
201.022385,1.424598
200.023605,1.417577
198.991516,1.410054
197.992783,1.402815
196.994003,1.395451
195.961929,1.387990
194.963150,1.380802
193.964371,1.373652
192.932281,1.366085
191.933533,1.358891
190.934753,1.351680
189.902695,1.344216
188.903946,1.337089
187.905136,1.329938
186.873108,1.322423
185.874298,1.315210
184.875549,1.307907
183.843445,1.300277
182.844696,1.293414
181.845901,1.286144
180.813843,1.278705
179.815063,1.271651
178.816269,1.264327
177.784180,1.256926
176.785431,1.249806
175.786636,1.242664
174.754608,1.234973
173.755783,1.227868
172.757034,1.220803
171.724945,1.213375
170.726196,1.206221
169.727371,1.198866
168.695328,1.191576
167.696548,1.184276
166.697769,1.177175
165.665665,1.169848
164.666916,1.162588
163.668106,1.155388
162.636078,1.147943
161.637283,1.140848
160.638535,1.133586
159.606430,1.126413
158.607651,1.119153
157.608841,1.111941
156.576813,1.104597
155.578003,1.097453
154.545944,1.089952
153.547165,1.082845
152.548386,1.075804
151.516296,1.068323
150.517532,1.061146
149.518738,1.054118
148.486664,1.046528
147.487885,1.039461
146.489105,1.032450
145.457016,1.024964
144.458267,1.017828
143.459503,1.010782
142.427399,1.003413
141.428650,0.996167
140.429840,0.989044
139.397781,0.981618
138.399002,0.974637
137.400223,0.967403
136.368118,0.959993
135.369385,0.952872
134.370560,0.945784
133.338501,0.938479
132.339691,0.931319
131.340958,0.924204
130.308853,0.916828
129.310074,0.909750
128.311264,0.902688
127.279228,0.895246
126.280426,0.888173
125.281647,0.881108
124.249550,0.873674
123.250801,0.866679
122.251991,0.859486
121.219940,0.852079
120.221115,0.845028
119.222366,0.837829
118.190239,0.830588
117.191505,0.823356
116.192688,0.816232
115.160629,0.808934
114.161819,0.801952
113.163063,0.794755
112.130974,0.787546
111.132202,0.780214
110.133385,0.773384
109.101326,0.765932
108.102509,0.758802
107.103767,0.751666
106.071671,0.744336
105.072891,0.737329
104.074081,0.730428
103.042015,0.722708
102.043213,0.715784
101.011185,0.708581
100.012398,0.701365
99.013596,0.694385
97.981529,0.686906
96.982719,0.679961
95.983971,0.672758
94.951881,0.665440
93.953102,0.658382
92.954285,0.651274
91.922226,0.643988
90.923409,0.637013
89.924667,0.629847
88.892548,0.622465
87.893791,0.615435
86.894981,0.608399
85.862923,0.600953
84.864113,0.593912
83.865334,0.586913
82.833237,0.579522
81.834457,0.572478
80.835648,0.565329
79.803581,0.558031
