2,BMW M2 CS Racing,baseline
Steering Wheel Angle,Yaw Rate
193.964371,1.214986
192.932281,1.214341
191.933533,1.213285
190.934753,1.208058
189.902695,1.206727
188.903946,1.203235
187.905136,1.199783
186.873108,1.196852
185.874298,1.192902
184.875549,1.185794
183.843445,1.178501
182.844696,1.191348
181.845901,1.167360
180.813843,1.160022
179.815063,1.153317
178.816269,1.133402
177.784180,1.159396
176.785431,1.115348
175.786636,1.139593
174.754608,1.098532
173.755783,1.117651
172.757034,1.097724
171.724945,1.099543
170.726196,1.094036
169.727371,1.087743
168.695328,1.083275
167.696548,1.074693
166.697769,1.068313
165.665665,1.035662
164.666916,1.052635
163.668106,1.025907
162.636078,1.042638
161.637283,1.035427
160.638535,1.032138
159.606430,1.022354
158.607651,1.016021
157.608841,1.001601
156.576813,1.018935
155.578003,0.997777
154.545944,0.975697
153.547165,0.981154
152.548386,0.976489
151.516296,0.970094
150.517532,0.964831
149.518738,0.956784
148.486664,0.950598
147.487885,0.944178
146.489105,0.917297
145.457016,0.926916
144.458267,0.907615
143.459503,0.928524
142.427399,0.912756
141.428650,0.905278
140.429840,0.898640
139.397781,0.891984
138.399002,0.864619
137.400223,0.879496
136.368118,0.872285
135.369385,0.865943
134.370560,0.845497
133.338501,0.850101
132.339691,0.831948
131.340958,0.846241
130.308853,0.834085
129.310074,0.827063
128.311264,0.820527
127.279228,0.789660
126.280426,0.811041
125.281647,0.801284
124.249550,0.777074
123.250801,0.788808
122.251991,0.781389
121.219940,0.774647
120.221115,0.768280
119.222366,0.748617
118.190239,0.751784
117.191505,0.744860
116.192688,0.754458
115.160629,0.736868
114.161819,0.701612
113.163063,0.726805
112.130974,0.716634
111.132202,0.706259
110.133385,0.701601
109.101326,0.678337
108.102509,0.704076
107.103767,0.685358
106.071671,0.671425
105.072891,0.669261
104.074081,0.664115
103.042015,0.642468
102.043213,0.648777
101.011185,0.615900
100.012398,0.649606
99.013596,0.633165
97.981529,0.625381
96.982719,0.601648
95.983971,0.609300
94.951881,0.598850
93.953102,0.607736
92.954285,0.590177
91.922226,0.604523
90.923409,0.581451
89.924667,0.573831
88.892548,0.544592
87.893791,0.557229
86.894981,0.547133
85.862923,0.557177
84.864113,0.542040
83.865334,0.545784
82.833237,0.528199
81.834457,0.521607
80.835648,0.496541
79.803581,0.514116
78.804771,0.502619
77.806030,0.497611
76.773903,0.488178
75.775154,0.457561
74.776337,0.471680
73.744286,0.468475
72.745476,0.462432
71.746696,0.466923
70.714600,0.450748
69.715820,0.420497
68.717003,0.434637
67.684944,0.391957
66.686142,0.427693
65.687355,0.417818
64.655266,0.410966
63.656487,0.387033
62.657673,0.395093
61.625610,0.366683
60.626797,0.388281
59.628021,0.358789
58.595932,0.386115
57.597145,0.367471
56.598400,0.359649
55.566277,0.328311
54.567528,0.347677
53.568687,0.339839
52.536625,0.320624
51.537811,0.325702
50.505753,0.299194
49.506939,0.330861
48.508160,0.309513
47.476070,0.301200
46.477287,0.295454
