2,BMW M2 Racing (G87),baseline
Steering Wheel Angle,Yaw Rate
378.802521,2.388964
377.803772,2.388825
376.771698,2.389490
375.772919,2.389978
374.774170,2.386929
373.742157,2.381487
372.743378,2.374697
371.744659,2.367971
370.712555,2.360960
369.713837,2.353067
368.715057,2.345387
367.683044,2.337884
366.684296,2.330971
365.685516,2.323685
364.653442,2.317419
363.654724,2.311093
362.622681,2.303830
361.623901,2.295859
360.625153,2.288956
359.593109,2.281743
358.594330,2.275544
357.595612,2.268028
356.563568,2.259758
355.564758,2.254400
354.566010,2.248272
353.533997,2.239965
352.535248,2.232370
351.536469,2.227113
350.504425,2.220420
349.505646,2.212227
348.506927,2.204849
347.474854,2.199354
346.476105,2.192833
345.477325,2.184717
344.445282,2.177761
343.446533,2.170313
342.447784,2.164371
341.415710,2.158066
340.416962,2.150668
339.418213,2.143055
338.386139,2.137059
337.387360,2.129990
336.388641,2.121893
335.356598,2.115798
334.357849,2.110088
333.359039,2.102784
332.326996,2.094649
331.328247,2.088456
330.329498,2.082519
329.297424,2.075749
328.298645,2.068521
327.299927,2.060836
326.267853,2.054178
325.269073,2.048176
324.270355,2.040544
323.238281,2.032985
322.239502,2.027622
321.240784,2.021377
320.208710,2.014047
319.209961,2.006385
318.211212,1.999848
317.179138,1.994060
316.180359,1.986922
315.181641,1.978816
314.149536,1.973001
313.150787,1.967140
312.152069,1.960030
311.119995,1.951764
310.121185,1.945927
309.089172,1.939954
308.090393,1.932519
307.091644,1.924799
306.059570,1.919227
305.060852,1.913201
304.062042,1.905594
303.029999,1.897621
302.031219,1.892130
301.032471,1.886539
300.000427,1.879142
299.001678,1.871005
298.002899,1.865280
296.970825,1.859428
295.972076,1.852085
294.973328,1.844483
293.941254,1.838861
292.942474,1.832664
291.943726,1.825144
290.911652,1.817614
289.912903,1.812461
288.914154,1.806147
287.882080,1.798116
286.883301,1.791572
285.884552,1.786102
284.852478,1.778943
283.853729,1.771039
282.854980,1.765346
281.822876,1.759549
280.824127,1.752536
279.825317,1.744591
278.793304,1.738541
277.794556,1.733070
276.795776,1.725757
275.763702,1.717915
274.764984,1.712662
273.766174,1.706669
272.734131,1.698881
271.735382,1.691900
270.736603,1.686679
269.704529,1.680075
268.705780,1.672400
267.707001,1.665571
266.674927,1.660201
265.676178,1.653584
264.677399,1.645834
263.645355,1.639677
262.646576,1.634133
261.647827,1.627143
260.615753,1.619227
259.617004,1.613604
258.584900,1.607807
257.586182,1.600664
256.587372,1.593244
255.555344,1.587439
254.556549,1.581724
253.557785,1.574604
252.525742,1.566788
251.526947,1.561477
250.528183,1.555627
249.496140,1.548131
248.497330,1.540819
247.498581,1.535658
246.466522,1.529513
245.467773,1.522295
244.468964,1.514926
243.436951,1.509324
242.438156,1.503595
241.439392,1.496262
240.407318,1.489019
239.408585,1.482449
238.409760,1.477411
237.377716,1.470763
236.378922,1.463149
235.380157,1.456649
234.348114,1.451246
233.349335,1.444875
232.350586,1.437371
231.318527,1.430789
230.319733,1.425545
229.320969,1.419122
228.288895,1.411455
227.290115,1.404873
226.291382,1.399764
225.259277,1.393207
224.260529,1.385777
223.261749,1.379027
222.229706,1.373631
221.230927,1.367381
220.232147,1.359881
219.200073,1.353697
218.201324,1.348177
217.202515,1.341496
216.170486,1.333856
215.171677,1.328148
214.172928,1.322571
213.140839,1.315518
212.142090,1.308129
211.143280,1.302653
210.111252,1.296908
209.112442,1.289807
208.113693,1.282507
207.081604,1.276833
206.082840,1.271276
205.050766,1.264316
204.052017,1.256911
203.053238,1.250911
202.021164,1.245392
201.022385,1.238778
200.023605,1.231357
198.991516,1.225426
197.992783,1.220020
196.994003,1.213070
195.961929,1.205928
194.963150,1.200211
193.964371,1.194221
192.932281,1.188099
191.933533,1.181406
190.934753,1.173932
189.902695,1.167437
188.903946,1.162142
187.905136,1.156358
186.873108,1.149297
185.874298,1.142134
184.875549,1.136536
183.843445,1.130698
182.844696,1.124069
181.845901,1.116831
180.813843,1.110987
179.815063,1.105402
178.816269,1.098616
177.784180,1.091171
176.785431,1.085634
175.786636,1.080227
174.754608,1.073059
173.755783,1.065939
172.757034,1.060444
171.724945,1.054686
170.726196,1.047870
169.727371,1.040678
168.695328,1.035002
167.696548,1.029470
166.697769,1.022910
165.665665,1.015399
164.666916,1.009551
163.668106,1.004143
162.636078,0.997589
161.637283,0.990224
160.638535,0.984572
159.606430,0.978801
158.607651,0.972077
157.608841,0.964944
156.576813,0.959264
155.578003,0.953798
154.545944,0.946716
153.547165,0.939690
152.548386,0.934337
151.516296,0.928383
150.517532,0.921521
149.518738,0.914602
148.486664,0.909017
147.487885,0.903370
146.489105,0.896320
145.457016,0.889248
144.458267,0.883941
143.459503,0.878283
142.427399,0.871174
141.428650,0.864337
140.429840,0.858928
139.397781,0.852781
138.399002,0.845991
137.400223,0.839429
136.368118,0.833732
135.369385,0.827959
134.370560,0.821042
133.338501,0.814098
132.339691,0.808914
131.340958,0.802917
130.308853,0.795824
129.310074,0.789153
128.311264,0.783864
127.279228,0.777632
126.280426,0.770899
125.281647,0.764066
124.249550,0.758753
123.250801,0.752926
122.251991,0.745963
121.219940,0.738999
120.221115,0.733751
119.222366,0.727864
118.190239,0.720616
117.191505,0.714273
116.192688,0.708992
115.160629,0.702584
114.161819,0.695582
113.163063,0.689458
112.130974,0.683938
111.132202,0.677648
110.133385,0.670536
109.101326,0.664440
108.102509,0.659267
107.103767,0.652572
106.071671,0.645371
105.072891,0.639803
104.074081,0.634304
103.042015,0.627314
102.043213,0.620618
101.011185,0.614961
100.012398,0.609208
99.013596,0.602234
97.981529,0.595711
96.982719,0.590372
95.983971,0.584354
94.951881,0.577208
93.953102,0.570767
92.954285,0.565439
91.922226,0.559312
90.923409,0.552431
