2,BMW M4 G82 GT4 EVO,baseline
Steering Wheel Angle,Yaw Rate
242.438156,1.430532
241.439392,1.429831
240.407318,1.429910
239.408585,1.425606
238.409760,1.421978
237.377716,1.416355
236.378922,1.412115
235.380157,1.407520
234.348114,1.402483
233.349335,1.398131
232.350586,1.392220
231.318527,1.385991
230.319733,1.379920
229.320969,1.373817
228.288895,1.369219
227.290115,1.362025
226.291382,1.342915
225.259277,1.347615
224.260529,1.327175
223.261749,1.332103
222.229706,1.330628
221.230927,1.315069
220.232147,1.320337
219.200073,1.309165
218.201324,1.304860
217.202515,1.301698
216.170486,1.293227
215.171677,1.287303
214.172928,1.276065
213.140839,1.273894
212.142090,1.265679
211.143280,1.261020
210.111252,1.257442
209.112442,1.246756
208.113693,1.244112
207.081604,1.234449
206.082840,1.231283
205.050766,1.226405
204.052017,1.215701
203.053238,1.213834
202.021164,1.203590
201.022385,1.200606
200.023605,1.196064
198.991516,1.185047
197.992783,1.183288
196.994003,1.173444
195.961929,1.169860
194.963150,1.165629
193.964371,1.154855
192.932281,1.152629
191.933533,1.142676
190.934753,1.139652
189.902695,1.134689
188.903946,1.124571
187.905136,1.122368
186.873108,1.112111
185.874298,1.109401
184.875549,1.104186
183.843445,1.094002
182.844696,1.091918
181.845901,1.081449
180.813843,1.079063
179.815063,1.073582
178.816269,1.064249
177.784180,1.061370
176.785431,1.050955
175.786636,1.049113
174.754608,1.042672
173.755783,1.033325
172.757034,1.031200
171.724945,1.020280
170.726196,1.018454
169.727371,1.012356
168.695328,1.003556
167.696548,1.000492
166.697769,0.990033
165.665665,0.988236
164.666916,0.981746
163.668106,0.973365
162.636078,0.970111
161.637283,0.959423
160.638535,0.958044
159.606430,0.951261
158.607651,0.943781
157.608841,0.939684
156.576813,0.928844
155.578003,0.928057
154.545944,0.920002
153.547165,0.914080
152.548386,0.908807
151.516296,0.898202
150.517532,0.898012
149.518738,0.889160
148.486664,0.884418
147.487885,0.877623
146.489105,0.868422
145.457016,0.867646
144.458267,0.858204
143.459503,0.854620
142.427399,0.846347
141.428650,0.838507
140.429840,0.837191
139.397781,0.826914
138.399002,0.824421
137.400223,0.814396
136.368118,0.810059
135.369385,0.805667
134.370560,0.796884
133.338501,0.794912
132.339691,0.783497
131.340958,0.782206
130.308853,0.772338
129.310074,0.768147
128.311264,0.764895
127.279228,0.756713
126.280426,0.751722
125.281647,0.740553
124.249550,0.740360
123.250801,0.731627
122.251991,0.727099
121.219940,0.718155
120.221115,0.711814
119.222366,0.709927
118.190239,0.699565
117.191505,0.697153
116.192688,0.686785
115.160629,0.685931
114.161819,0.674760
