2,BMW M4 GT3 EVO,baseline
Steering Wheel Angle,Yaw Rate
197.992783,1.362727
196.994003,1.362978
195.961929,1.360866
194.963150,1.354743
193.964371,1.348347
192.932281,1.341825
191.933533,1.335391
190.934753,1.329016
189.902695,1.322302
188.903946,1.315841
187.905136,1.309366
186.873108,1.302648
185.874298,1.295959
184.875549,1.289322
183.843445,1.282518
182.844696,1.275810
181.845901,1.269018
180.813843,1.261932
179.815063,1.254788
178.816269,1.247752
177.784180,1.240356
176.785431,1.233369
175.786636,1.226283
174.754608,1.219036
173.755783,1.211955
172.757034,1.204855
171.724945,1.197578
170.726196,1.190510
169.727371,1.183495
168.695328,1.176155
167.696548,1.169083
166.697769,1.161752
165.665665,1.154117
164.666916,1.146563
163.668106,1.139030
162.636078,1.131151
161.637283,1.123508
160.638535,1.115889
159.606430,1.108648
158.607651,1.101596
157.608841,1.094599
156.576813,1.087442
155.578003,1.081107
154.545944,1.074400
153.547165,1.067888
152.548386,1.061280
151.516296,1.053971
150.517532,1.046925
149.518738,1.039948
148.486664,1.032255
147.487885,1.024780
146.489105,1.017797
145.457016,1.010560
144.458267,1.003798
143.459503,0.996746
142.427399,0.989291
141.428650,0.982221
140.429840,0.975214
139.397781,0.968079
138.399002,0.961057
137.400223,0.953950
136.368118,0.946776
135.369385,0.939709
134.370560,0.932725
133.338501,0.925578
132.339691,0.918520
131.340958,0.911335
130.308853,0.904284
129.310074,0.897378
128.311264,0.890200
127.279228,0.882925
126.280426,0.875972
125.281647,0.868868
124.249550,0.861745
123.250801,0.854678
122.251991,0.847815
121.219940,0.840392
120.221115,0.833401
119.222366,0.826444
118.190239,0.819200
117.191505,0.812159
116.192688,0.805241
115.160629,0.797902
114.161819,0.791092
113.163063,0.783927
112.130974,0.776686
111.132202,0.769803
110.133385,0.762765
109.101326,0.755538
108.102509,0.748669
107.103767,0.741427
106.071671,0.734348
105.072891,0.727258
104.074081,0.720340
103.042015,0.713141
102.043213,0.706051
101.011185,0.698752
100.012398,0.692000
99.013596,0.684945
97.981529,0.677644
96.982719,0.670671
95.983971,0.663571
94.951881,0.656503
93.953102,0.649492
92.954285,0.642493
91.922226,0.635266
90.923409,0.628294
89.924667,0.621217
88.892548,0.614051
87.893791,0.607120
86.894981,0.600033
85.862923,0.592759
84.864113,0.585739
83.865334,0.578780
82.833237,0.571705
81.834457,0.564681
80.835648,0.557748
79.803581,0.550517
78.804771,0.543515
77.806030,0.536510
76.773903,0.529330
75.775154,0.522323
74.776337,0.515377
73.744286,0.508087
72.745476,0.501095
71.746696,0.494066
70.714600,0.487021
69.715820,0.480113
68.717003,0.473033
67.684944,0.465884
66.686142,0.458784
65.687355,0.451862
64.655266,0.444604
63.656487,0.437619
62.657673,0.430587
61.625610,0.423432
60.626797,0.416537
59.628021,0.409550
58.595932,0.402288
57.597145,0.395301
56.598400,0.388335
55.566277,0.381112
54.567528,0.374158
53.568687,0.367184
52.536625,0.359931
51.537811,0.352914
50.505753,0.345746
49.506939,0.338821
48.508160,0.331797
47.476070,0.324537
46.477287,0.317754
45.478477,0.310627
44.446415,0.303423
43.447601,0.296477
42.448826,0.289545
41.416702,0.282427
40.417953,0.275322
39.419140,0.268415
38.387077,0.261336
37.388233,0.254260
36.389488,0.247163
35.357365,0.240043
34.358585,0.232979
33.359772,0.226043
32.327709,0.218998
31.328901,0.211910
30.330120,0.205009
29.297997,0.197807
28.299248,0.190801
27.300406,0.183774
26.268345,0.176579
25.269531,0.169671
24.270754,0.162698
23.238661,0.155382
22.239880,0.148391
21.241070,0.141531
20.209009,0.134415
19.210163,0.127221
18.211416,0.120295
17.179293,0.113161
16.180511,0.106323
15.181702,0.099129
14.149640,0.092151
13.150796,0.085042
12.152049,0.078113
11.119988,0.070780
10.121144,0.063915
9.122396,0.056994
8.090272,0.049858
7.091493,0.042748
6.092681,0.036383
5.060620,0.030192
4.061809,0.024268
3.062997,0.018318
2.030904,0.012165
1.032093,0.006177
0.000000,0.001532
-0.998747,0.005954
-1.997624,0.011937
-3.029652,0.018079
-4.028464,0.024064
-5.027276,0.030021
-6.059368,0.036127
-7.058115,0.042427
-8.056992,0.049225
-9.089020,0.056424
-10.087896,0.063507
-11.086643,0.070452
-12.118735,0.077754
-13.117547,0.084661
-14.116360,0.091581
-15.148452,0.098812
-16.147263,0.105759
-17.146011,0.112735
-18.178169,0.119909
-19.176916,0.127019
-20.175728,0.133858
-21.207819,0.141171
-22.206633,0.148132
-23.205444,0.154964
-24.237535,0.162315
-25.236284,0.169321
-26.235159,0.176275
-27.267187,0.183414
-28.266064,0.190273
-29.264811,0.197402
-30.296968,0.204564
-31.295717,0.211549
-32.294464,0.218546
-33.326618,0.225795
-34.325367,0.232749
-35.324245,0.239661
-36.356274,0.246889
-37.355083,0.253782
-38.353897,0.260844
-39.385986,0.268036
-40.384800,0.274973
-41.383614,0.282035
-42.415703,0.289272
-43.414516,0.296087
-44.413265,0.303033
-45.445419,0.310395
-46.444168,0.317243
-47.443043,0.324314
-48.475071,0.331539
-49.473949,0.338370
-50.472694,0.345453
-51.504852,0.352599
-52.503601,0.359673
-53.535759,0.366890
-54.534504,0.373934
-55.533318,0.380845
-56.565411,0.388066
-57.564224,0.395014
-58.563034,0.401890
-59.595127,0.409162
-60.593937,0.416197
-61.592751,0.423103
-62.624840,0.430376
-63.623653,0.437397
-64.622467,0.444368
-65.654556,0.451549
-66.653366,0.458579
-67.652184,0.465417
-68.684273,0.472797
-69.683090,0.479676
-70.681831,0.486591
-71.713989,0.493802
-72.712738,0.500858
-73.711617,0.507870
-74.743645,0.514872
-75.742516,0.522035
-76.741264,0.528898
-77.773361,0.536257
-78.772171,0.543241
-79.770981,0.550214
-80.803070,0.557423
-81.801888,0.564321
-82.800697,0.571363
-83.832787,0.578587
-84.831604,0.585592
-85.830414,0.592532
-86.862572,0.599656
-87.861313,0.606763
-88.860130,0.613714
-89.892227,0.620939
-90.891098,0.627972
-91.889847,0.634830
-92.921997,0.642216
-93.920753,0.649205
-94.919624,0.656147
-95.951653,0.663337
-96.950531,0.670347
-97.949280,0.677399
-98.981438,0.684561
-99.980179,0.691563
-100.979065,0.698621
-102.011093,0.705703
-103.009964,0.712787
-104.008705,0.719723
