2,BMW M4 GT4,baseline
Steering Wheel Angle,Yaw Rate
275.763702,1.483866
274.764984,1.484172
273.766174,1.484616
272.734131,1.480652
271.735382,1.475997
270.736603,1.470932
269.704529,1.465904
268.705780,1.461438
267.707001,1.457188
266.674927,1.452427
265.676178,1.447793
264.677399,1.443043
263.645355,1.438259
262.646576,1.433780
261.647827,1.429329
260.615753,1.424295
259.617004,1.418423
258.584900,1.389387
257.586182,1.405699
256.587372,1.385451
255.555344,1.398027
254.556549,1.387062
253.557785,1.386569
252.525742,1.377657
251.526947,1.377010
250.528183,1.359409
249.496140,1.351348
248.497330,1.348624
247.498581,1.344077
246.466522,1.338899
245.467773,1.332582
244.468964,1.326297
243.436951,1.320522
242.438156,1.316569
241.439392,1.312564
240.407318,1.307772
239.408585,1.302625
238.409760,1.297666
237.377716,1.292872
236.378922,1.288520
235.380157,1.283778
234.348114,1.277970
233.349335,1.272012
232.350586,1.266524
231.318527,1.260756
230.319733,1.249851
229.320969,1.242780
228.288895,1.240063
227.290115,1.237555
226.291382,1.232152
225.259277,1.223599
224.260529,1.215734
223.261749,1.211619
222.229706,1.208599
221.230927,1.205396
220.232147,1.200117
219.200073,1.192212
218.201324,1.184182
217.202515,1.178590
216.170486,1.174893
215.171677,1.171812
214.172928,1.165651
213.140839,1.157621
212.142090,1.150282
211.143280,1.146188
210.111252,1.143304
209.112442,1.138433
208.113693,1.130682
207.081604,1.122376
206.082840,1.118057
205.050766,1.115400
204.052017,1.110817
203.053238,1.103119
202.021164,1.094233
201.022385,1.089686
200.023605,1.087900
198.991516,1.083260
197.992783,1.074924
196.994003,1.066386
195.961929,1.062533
194.963150,1.060690
193.964371,1.055298
192.932281,1.046063
191.933533,1.038808
190.934753,1.036168
189.902695,1.033212
188.903946,1.026377
187.905136,1.017383
186.873108,1.011472
185.874298,1.009500
184.875549,1.006019
183.843445,0.997774
182.844696,0.989006
181.845901,0.984436
180.813843,0.982678
179.815063,0.977896
178.816269,0.969182
177.784180,0.960997
176.785431,0.957854
175.786636,0.955584
174.754608,0.949309
173.755783,0.940292
172.757034,0.933848
171.724945,0.931458
170.726196,0.928197
169.727371,0.920480
168.695328,0.911588
167.696548,0.906926
166.697769,0.905096
165.665665,0.900399
164.666916,0.891772
163.668106,0.883716
162.636078,0.879921
161.637283,0.877993
160.638535,0.872573
159.606430,0.863365
158.607651,0.856041
157.608841,0.853081
156.576813,0.850514
155.578003,0.844093
154.545944,0.834774
153.547165,0.828777
152.548386,0.826517
