2,BMW M8 GTE,baseline
Steering Wheel Angle,Yaw Rate
214.172928,1.415842
213.140839,1.415939
212.142090,1.412435
211.143280,1.406477
210.111252,1.400242
209.112442,1.394101
208.113693,1.387885
207.081604,1.382721
206.082840,1.375952
205.050766,1.368994
204.052017,1.362747
203.053238,1.356505
202.021164,1.349972
201.022385,1.343673
200.023605,1.337228
198.991516,1.330533
197.992783,1.323807
196.994003,1.317044
195.961929,1.310155
194.963150,1.303274
193.964371,1.296232
192.932281,1.289716
191.933533,1.283031
190.934753,1.274471
189.902695,1.267351
188.903946,1.262427
187.905136,1.255757
186.873108,1.248722
185.874298,1.242049
184.875549,1.235275
183.843445,1.228368
182.844696,1.221626
181.845901,1.214879
180.813843,1.207958
179.815063,1.201135
178.816269,1.194563
177.784180,1.187531
176.785431,1.180916
175.786636,1.174143
174.754608,1.166995
173.755783,1.160104
172.757034,1.152876
171.724945,1.145441
170.726196,1.138032
169.727371,1.130723
168.695328,1.123878
167.696548,1.117072
166.697769,1.110399
165.665665,1.103676
164.666916,1.097490
163.668106,1.091307
162.636078,1.084441
161.637283,1.077728
160.638535,1.070948
159.606430,1.063616
158.607651,1.056663
157.608841,1.050354
156.576813,1.043314
155.578003,1.036386
154.545944,1.029795
153.547165,1.022627
152.548386,1.015921
151.516296,1.009159
150.517532,1.002427
149.518738,0.995826
148.486664,0.988746
147.487885,0.981950
146.489105,0.975328
145.457016,0.968382
144.458267,0.962050
143.459503,0.954910
142.427399,0.947970
141.428650,0.941287
140.429840,0.934585
139.397781,0.927940
138.399002,0.920982
137.400223,0.914257
136.368118,0.907328
135.369385,0.900446
134.370560,0.893880
133.338501,0.887091
132.339691,0.880120
131.340958,0.873734
130.308853,0.866641
129.310074,0.859784
128.311264,0.853187
127.279228,0.846233
126.280426,0.839487
125.281647,0.832827
124.249550,0.825901
123.250801,0.819427
122.251991,0.812450
121.219940,0.805613
120.221115,0.799103
119.222366,0.792157
118.190239,0.785271
117.191505,0.778684
116.192688,0.771924
115.160629,0.765080
114.161819,0.758221
113.163063,0.751655
112.130974,0.744603
111.132202,0.737833
110.133385,0.731208
109.101326,0.724222
108.102509,0.717574
107.103767,0.711036
106.071671,0.704242
105.072891,0.697616
104.074081,0.690508
103.042015,0.683816
102.043213,0.677134
101.011185,0.670135
100.012398,0.663429
99.013596,0.656814
97.981529,0.649710
96.982719,0.643441
95.983971,0.636408
94.951881,0.629830
93.953102,0.622908
92.954285,0.616082
91.922226,0.609170
90.923409,0.602615
89.924667,0.596135
88.892548,0.589057
87.893791,0.582170
86.894981,0.575850
85.862923,0.568858
84.864113,0.562085
83.865334,0.555379
82.833237,0.548317
81.834457,0.541654
80.835648,0.535141
79.803581,0.528409
78.804771,0.521332
77.806030,0.515035
76.773903,0.507909
75.775154,0.501114
74.776337,0.494453
73.744286,0.487750
72.745476,0.480920
71.746696,0.474109
70.714600,0.467289
69.715820,0.460767
68.717003,0.453957
67.684944,0.447012
66.686142,0.440376
65.687355,0.433616
64.655266,0.427033
63.656487,0.420016
62.657673,0.413339
61.625610,0.406683
60.626797,0.399929
59.628021,0.393224
58.595932,0.386273
57.597145,0.379751
56.598400,0.372994
55.566277,0.365995
54.567528,0.359449
53.568687,0.352686
52.536625,0.345862
51.537811,0.338979
50.505753,0.332094
49.506939,0.325571
48.508160,0.318784
47.476070,0.311761
46.477287,0.305355
45.478477,0.298679
44.446415,0.291462
43.447601,0.285011
42.448826,0.278193
41.416702,0.271415
40.417953,0.264619
39.419140,0.258170
38.387077,0.250972
37.388233,0.244464
36.389488,0.237882
35.357365,0.230692
34.358585,0.224353
33.359772,0.217449
32.327709,0.210563
31.328901,0.204017
30.330120,0.197198
29.297997,0.190341
28.299248,0.183840
27.300406,0.176968
26.268345,0.169948
25.269531,0.163660
24.270754,0.156645
23.238661,0.150054
22.239880,0.143120
21.241070,0.136496
20.209009,0.129597
19.210163,0.123174
18.211416,0.116303
17.179293,0.109143
16.180511,0.102826
15.181702,0.096042
14.149640,0.088887
13.150796,0.082615
12.152049,0.075664
11.119988,0.068739
10.121144,0.062334
9.122396,0.055583
8.090272,0.048466
7.091493,0.041804
6.092681,0.035304
5.060620,0.029361
4.061809,0.023568
3.062997,0.017705
2.030904,0.011860
1.032093,0.006072
0.000000,0.001632
-0.998747,0.005778
-1.997624,0.011584
-3.029652,0.017464
-4.028464,0.023216
-5.027276,0.029055
-6.059368,0.034972
-7.058115,0.041388
-8.056992,0.048245
-9.089020,0.055156
-10.087896,0.061602
-11.086643,0.068381
-12.118735,0.075373
-13.117547,0.081792
-14.116360,0.088551
-15.148452,0.095465
-16.147263,0.102116
-17.146011,0.108995
-18.178169,0.115759
-19.176916,0.122462
-20.175728,0.129275
-21.207819,0.135884
-22.206633,0.142730
-23.205444,0.149445
-24.237535,0.156368
-25.236284,0.163099
-26.235159,0.169567
-27.267187,0.176684
-28.266064,0.183247
-29.264811,0.190099
-30.296968,0.196872
-31.295717,0.203303
-32.294464,0.210305
-33.326618,0.217045
-34.325367,0.223669
-35.324245,0.230481
-36.356274,0.237214
-37.355083,0.244169
-38.353897,0.250460
-39.385986,0.257714
-40.384800,0.264449
-41.383614,0.270842
-42.415703,0.277904
-43.414516,0.284696
-44.413265,0.291041
-45.445419,0.298186
-46.444168,0.304929
-47.443043,0.311576
-48.475071,0.318362
-49.473949,0.324826
-50.472694,0.331864
-51.504852,0.338461
-52.503601,0.345415
-53.535759,0.352373
-54.534504,0.358868
-55.533318,0.365393
-56.565411,0.372367
-57.564224,0.379262
-58.563034,0.385894
-59.595127,0.392777
-60.593937,0.399342
-61.592751,0.406292
-62.624840,0.412905
-63.623653,0.419777
-64.622467,0.426535
-65.654556,0.433241
-66.653366,0.439996
-67.652184,0.446795
-68.684273,0.453612
-69.683090,0.460373
-70.681831,0.466928
-71.713989,0.473643
-72.712738,0.480540
-73.711617,0.487208
-74.743645,0.494077
-75.742516,0.500886
-76.741264,0.507291
-77.773361,0.514503
-78.772171,0.521211
-79.770981,0.527786
-80.803070,0.534601
-81.801888,0.541240
-82.800697,0.548224
-83.832787,0.554909
-84.831604,0.561783
-85.830414,0.568274
-86.862572,0.575033
-87.861313,0.582023
-88.860130,0.588745
-89.892227,0.595680
-90.891098,0.602227
-91.889847,0.608821
-92.921997,0.615952
-93.920753,0.622541
-94.919624,0.629366
-95.951653,0.636111
-96.950531,0.642918
-97.949280,0.649511
-98.981438,0.656548
-99.980179,0.663227
-100.979065,0.669680
-102.011093,0.676663
-103.009964,0.683154
-104.008705,0.690230
-105.040863,0.696943
-106.039619,0.703507
-107.071777,0.710720
-108.070587,0.717277
-109.069389,0.724133
-110.101486,0.731019
-111.100304,0.737584
-112.099113,0.744338
-113.131271,0.751223
-114.130020,0.758014
-115.128899,0.764641
-116.160927,0.771658
-117.159798,0.778112
-118.158554,0.785104
-119.190704,0.791791
-120.189453,0.798632
-121.188255,0.805164
-122.220421,0.812210
-123.219162,0.818875
-124.218033,0.825605
-125.250061,0.832686
-126.248947,0.839303
-127.247688,0.846083
-128.279846,0.852860
-129.278656,0.859373
-130.277481,0.866381
-131.309555,0.873236
-132.308380,0.879672
-133.307190,0.886696
-134.339355,0.893515
-135.338089,0.900373
-136.336975,0.906962
-137.369003,0.913986
-138.367874,0.920340
-139.366684,0.927430
-140.398773,0.934222
-141.397583,0.940631
-142.396408,0.947751
-143.428497,0.954605
-144.427368,0.961411
-145.426117,0.968051
-146.458282,0.975056
-147.457077,0.981686
-148.455902,0.988505
-149.487991,0.995345
-150.486877,1.001818
-151.485611,1.008403
-152.517776,1.015802
-153.516525,1.022496
-154.515396,1.029136
-155.547485,1.035940
-156.546295,1.042945
-157.578400,1.049721
-158.577271,1.056453
-159.576004,1.063245
-160.608170,1.070247
-161.606918,1.076773
-162.605804,1.083487
-163.637894,1.090352
-164.636765,1.097174
-165.635513,1.104103
-166.667603,1.111123
-167.666428,1.117570
-168.665222,1.124582
-169.697372,1.131158
-170.696136,1.138209
-171.695007,1.144751
-172.727097,1.151807
-173.725922,1.158617
-174.724731,1.165199
-175.756882,1.172139
-176.755630,1.179026
-177.754501,1.185664
-178.786606,1.192718
-179.785477,1.199134
-180.784225,1.206164
-181.816376,1.213192
-182.815125,1.219739
-183.813995,1.226153
-184.846100,1.233455
-185.844971,1.240289
-186.843719,1.246933
-187.875870,1.253728
-188.874695,1.260683
-189.873505,1.267535
-190.905594,1.274108
-191.904465,1.281143
-192.903214,1.287822
-193.935364,1.294979
-194.934189,1.301568
-195.933060,1.308427
-196.965088,1.315244
-197.963959,1.322045
-198.962769,1.328640
-199.994934,1.335658
-200.993683,1.342720
-201.992554,1.349122
-203.024643,1.355803
-204.023468,1.363052
-205.022263,1.369889
-206.054428,1.376679
-207.053177,1.383662
-208.085403,1.390436
-209.084137,1.397324
-210.082886,1.403947
-211.115112,1.411098
-212.113861,1.417681
-213.112732,1.421885
-214.144836,1.421501
