2,BMW Z4 GT3,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.544667
271.735382,1.544803
270.736603,1.546113
269.704529,1.541986
268.705780,1.545567
267.707001,1.539631
266.674927,1.533747
265.676178,1.528013
264.677399,1.522378
263.645355,1.516381
262.646576,1.510262
261.647827,1.503899
260.615753,1.497004
259.617004,1.490438
258.584900,1.483320
257.586182,1.476235
256.587372,1.468958
255.555344,1.462905
254.556549,1.456973
253.557785,1.451146
252.525742,1.445265
251.526947,1.440845
250.528183,1.436192
249.496140,1.431198
248.497330,1.426258
247.498581,1.420553
246.466522,1.414516
245.467773,1.408725
244.468964,1.402429
243.436951,1.395335
242.438156,1.389597
241.439392,1.383780
240.407318,1.378357
239.408585,1.372468
238.409760,1.366401
237.377716,1.360511
236.378922,1.354538
235.380157,1.348758
234.348114,1.342948
233.349335,1.337374
232.350586,1.331275
231.318527,1.325624
230.319733,1.319795
229.320969,1.313747
228.288895,1.307618
227.290115,1.301886
226.291382,1.296276
225.259277,1.290205
224.260529,1.284394
223.261749,1.278684
222.229706,1.272802
221.230927,1.266982
220.232147,1.261480
219.200073,1.255440
218.201324,1.249513
217.202515,1.243630
216.170486,1.237575
215.171677,1.232131
214.172928,1.226075
213.140839,1.220110
212.142090,1.214492
211.143280,1.208621
210.111252,1.202520
209.112442,1.196745
208.113693,1.190946
207.081604,1.185014
206.082840,1.179315
205.050766,1.173485
204.052017,1.167557
203.053238,1.161695
202.021164,1.155753
201.022385,1.150317
200.023605,1.144545
198.991516,1.138383
197.992783,1.132538
196.994003,1.126691
195.961929,1.120994
194.963150,1.115253
193.964371,1.109291
192.932281,1.103192
191.933533,1.097518
190.934753,1.091653
189.902695,1.085975
188.903946,1.080011
187.905136,1.074109
186.873108,1.068124
185.874298,1.062392
184.875549,1.056836
183.843445,1.050728
182.844696,1.044968
181.845901,1.039068
180.813843,1.033032
179.815063,1.027234
178.816269,1.021564
177.784180,1.015595
176.785431,1.009889
175.786636,1.004144
174.754608,0.998104
173.755783,0.992360
172.757034,0.986868
171.724945,0.980505
170.726196,0.974836
169.727371,0.969234
168.695328,0.963088
167.696548,0.957361
166.697769,0.951554
165.665665,0.945821
164.666916,0.939984
163.668106,0.934200
162.636078,0.927919
161.637283,0.922089
160.638535,0.916390
159.606430,0.910531
158.607651,0.904774
157.608841,0.898898
156.576813,0.893255
155.578003,0.887495
154.545944,0.881202
153.547165,0.875568
152.548386,0.869757
151.516296,0.863608
150.517532,0.858042
149.518738,0.852076
148.486664,0.846165
147.487885,0.840541
146.489105,0.834720
145.457016,0.828525
144.458267,0.822973
143.459503,0.817014
142.427399,0.811029
141.428650,0.805582
140.429840,0.799707
139.397781,0.793748
138.399002,0.787868
137.400223,0.782008
136.368118,0.776010
135.369385,0.770237
134.370560,0.764557
133.338501,0.758430
132.339691,0.752633
131.340958,0.747169
130.308853,0.740947
129.310074,0.735268
128.311264,0.729427
127.279228,0.723500
126.280426,0.717707
125.281647,0.712115
124.249550,0.706020
123.250801,0.700183
122.251991,0.694424
121.219940,0.688331
120.221115,0.682628
119.222366,0.676747
118.190239,0.670799
117.191505,0.665312
116.192688,0.659595
115.160629,0.653278
114.161819,0.647767
113.163063,0.641754
112.130974,0.635962
111.132202,0.629969
110.133385,0.624124
109.101326,0.618225
108.102509,0.612494
107.103767,0.606668
106.071671,0.600750
105.072891,0.594995
104.074081,0.589301
103.042015,0.583270
102.043213,0.577410
101.011185,0.571500
100.012398,0.565784
99.013596,0.559904
97.981529,0.553899
96.982719,0.548057
95.983971,0.542311
