2,Cadillac CTS-V Racecar,baseline
Steering Wheel Angle,Yaw Rate
511.103180,2.694917
510.104462,2.415892
509.105713,2.714501
508.073700,2.579630
507.074921,2.590979
506.076233,2.593184
505.044159,2.588566
504.045410,2.586308
503.046692,2.584019
502.014679,2.580093
501.015930,2.591042
500.017181,2.686205
498.985138,2.666051
497.986389,2.675319
496.987640,2.668108
495.955627,2.657424
494.956909,2.649566
493.958160,2.641367
492.926147,2.639350
491.927399,2.628665
490.928619,2.628467
489.896606,2.623220
488.897858,2.615462
487.899139,2.610651
486.867065,2.606119
485.868317,2.599909
484.869598,2.596130
483.837555,2.586299
482.838837,2.582542
481.840027,2.577165
480.808014,2.570183
479.809296,2.564544
478.810547,2.558269
477.778534,2.552771
476.779755,2.550516
475.781006,2.541891
474.748993,2.538635
473.750244,2.531155
472.751526,2.525829
471.719452,2.519251
470.720764,2.515672
469.721985,2.507081
468.689972,2.502067
467.691223,2.498517
466.659149,2.490550
465.660400,2.487477
464.661682,2.481026
463.629669,2.475780
462.630920,2.468087
461.632141,2.463603
460.600128,2.457436
459.601379,2.453179
458.602631,2.447272
457.570587,2.439532
456.571869,2.436652
455.573090,2.429147
454.541046,2.424102
453.542328,2.418628
452.543579,2.412503
451.511505,2.406812
450.512787,2.402037
449.514038,2.394913
448.481995,2.391689
447.483276,2.384941
446.484497,2.377907
445.452484,2.372824
444.453705,2.368556
443.454987,2.362858
442.422974,2.355204
441.424194,2.352372
440.425476,2.344599
439.393402,2.339572
438.394653,2.334760
437.395905,2.326850
436.363892,2.324349
435.365143,2.316260
434.366364,2.311863
433.334320,2.306178
432.335571,2.300281
431.336823,2.294220
430.304779,2.290218
429.306061,2.282339
428.307312,2.278375
427.275269,2.272560
426.276489,2.265820
425.277771,2.262907
424.245728,2.253885
423.246979,2.250533
422.248230,2.245090
421.216156,2.238729
420.217407,2.232410
419.218658,2.228693
418.186646,2.220518
417.187897,2.217254
416.189148,2.210743
415.157104,2.204058
414.158325,2.201061
413.126312,2.192407
412.127533,2.188949
411.128784,2.182763
410.096741,2.176803
409.098022,2.171069
408.099243,2.167164
407.067230,2.159102
406.068481,2.155395
405.069702,2.149486
404.037689,2.142572
403.038910,2.139406
402.040161,2.131121
401.008118,2.127521
400.009369,2.121161
399.010620,2.115646
397.978607,2.109665
396.979797,2.105561
395.981079,2.097871
394.949005,2.094448
393.950256,2.087641
392.951538,2.081281
391.919495,2.077833
390.920715,2.071066
389.921997,2.065444
388.889893,2.060256
387.891144,2.055002
386.892426,2.048084
385.860382,2.044764
384.861633,2.037691
383.862885,2.031324
382.830811,2.026326
381.832031,2.022094
380.833282,2.016372
379.801239,2.009296
378.802521,2.005625
377.803772,1.999144
376.771698,1.992788
375.772919,1.989314
374.774170,1.981421
373.742157,1.977701
372.743378,1.971371
371.744659,1.965867
370.712555,1.960364
369.713837,1.955359
368.715057,1.948752
367.683044,1.945135
366.684296,1.937825
365.685516,1.932726
364.653442,1.928232
363.654724,1.920430
362.622681,1.917410
361.623901,1.910364
360.625153,1.905324
359.593109,1.899887
358.594330,1.894729
357.595612,1.887912
356.563568,1.884339
355.564758,1.878034
354.566010,1.871571
353.533997,1.868174
352.535248,1.860008
351.536469,1.856241
350.504425,1.850381
349.505646,1.844598
348.506927,1.839294
347.474854,1.834014
346.476105,1.827613
345.477325,1.823631
344.445282,1.816509
343.446533,1.811654
342.447784,1.807041
341.415710,1.799564
340.416962,1.796177
339.418213,1.789042
338.386139,1.784376
337.387360,1.778983
336.388641,1.773317
335.356598,1.767103
334.357849,1.763393
333.359039,1.755956
332.326996,1.751758
331.328247,1.746566
330.329498,1.739947
329.297424,1.734205
328.298645,1.729924
327.299927,1.724722
326.267853,1.718210
325.269073,1.711964
324.270355,1.707908
323.238281,1.701621
322.239502,1.696232
321.240784,1.691284
320.208710,1.686259
319.209961,1.679217
318.211212,1.675241
317.179138,1.669054
316.180359,1.663361
315.181641,1.657820
314.149536,1.653301
313.150787,1.646239
312.152069,1.642244
311.119995,1.635936
310.121185,1.630168
309.089172,1.625974
308.090393,1.618673
307.091644,1.614811
306.059570,1.608351
305.060852,1.603102
304.062042,1.597865
303.029999,1.592545
302.031219,1.586285
301.032471,1.582142
300.000427,1.575818
299.001678,1.569932
298.002899,1.564221
296.970825,1.559466
295.972076,1.555010
294.973328,1.548284
293.941254,1.542595
292.942474,1.537892
291.943726,1.533085
290.911652,1.526548
289.912903,1.520477
288.914154,1.515524
287.882080,1.510950
286.883301,1.505274
285.884552,1.498881
284.852478,1.493252
283.853729,1.488466
282.854980,1.483915
281.822876,1.477411
280.824127,1.471699
279.825317,1.466050
278.793304,1.461670
277.794556,1.456211
276.795776,1.450320
275.763702,1.444070
274.764984,1.439142
273.766174,1.434911
272.734131,1.428598
271.735382,1.422994
270.736603,1.417719
269.704529,1.412368
268.705780,1.406105
267.707001,1.402149
266.674927,1.395711
265.676178,1.390032
264.677399,1.385779
263.645355,1.378803
262.646576,1.374870
261.647827,1.368464
260.615753,1.363138
259.617004,1.357785
258.584900,1.352626
257.586182,1.346153
256.587372,1.342431
255.555344,1.336002
254.556549,1.330320
253.557785,1.325135
252.525742,1.319873
251.526947,1.313661
250.528183,1.309516
249.496140,1.303789
248.497330,1.297327
247.498581,1.292831
246.466522,1.287056
245.467773,1.281519
244.468964,1.276340
243.436951,1.271129
242.438156,1.264699
241.439392,1.260591
240.407318,1.254157
239.408585,1.248738
238.409760,1.244324
237.377716,1.237191
236.378922,1.233293
235.380157,1.227297
234.348114,1.221679
233.349335,1.216520
232.350586,1.211346
231.318527,1.204962
230.319733,1.201012
229.320969,1.194875
228.288895,1.188906
227.290115,1.184659
226.291382,1.177689
225.259277,1.173356
224.260529,1.167716
223.261749,1.162168
222.229706,1.156898
221.230927,1.151309
220.232147,1.145511
219.200073,1.141201
218.201324,1.134451
217.202515,1.129967
216.170486,1.124494
215.171677,1.118271
214.172928,1.114259
213.140839,1.107350
212.142090,1.102666
211.143280,1.097388
210.111252,1.091673
209.112442,1.086034
208.113693,1.081615
207.081604,1.074675
206.082840,1.070746
205.050766,1.064507
204.052017,1.058742
203.053238,1.054551
202.021164,1.047559
201.022385,1.043507
200.023605,1.037486
198.991516,1.031949
197.992783,1.026790
196.994003,1.021707
195.961929,1.015206
194.963150,1.011167
193.964371,1.004799
192.932281,0.999367
191.933533,0.994882
190.934753,0.988206
189.902695,0.983709
188.903946,0.978115
187.905136,0.972584
186.873108,0.967248
185.874298,0.962015
184.875549,0.956085
183.843445,0.951607
182.844696,0.945139
181.845901,0.940257
180.813843,0.935205
179.815063,0.928718
178.816269,0.924512
177.784180,0.918322
176.785431,0.913143
175.786636,0.907981
174.754608,0.902391
173.755783,0.896577
172.757034,0.892231
171.724945,0.885515
170.726196,0.880881
169.727371,0.875840
168.695328,0.869275
167.696548,0.864800
166.697769,0.859106
165.665665,0.853550
164.666916,0.848349
163.668106,0.843167
162.636078,0.837025
161.637283,0.832743
160.638535,0.826271
159.606430,0.821713
158.607651,0.816026
157.608841,0.810060
156.576813,0.805665
155.578003,0.799201
154.545944,0.794331
153.547165,0.788960
152.548386,0.783601
151.516296,0.777688
150.517532,0.773258
149.518738,0.766754
148.486664,0.761877
147.487885,0.756889
146.489105,0.750523
145.457016,0.746028
144.458267,0.740042
143.459503,0.734831
142.427399,0.729529
141.428650,0.724129
140.429840,0.718438
139.397781,0.713820
138.399002,0.707436
137.400223,0.702704
136.368118,0.697417
135.369385,0.690995
134.370560,0.686720
133.338501,0.681200
132.339691,0.675565
131.340958,0.669789
130.308853,0.664194
129.310074,0.658923
128.311264,0.654391
127.279228,0.648615
126.280426,0.642870
125.281647,0.637525
124.249550,0.632653
123.250801,0.627557
122.251991,0.621665
121.219940,0.615779
120.221115,0.610404
119.222366,0.605177
118.190239,0.600217
117.191505,0.595342
116.192688,0.589594
115.160629,0.583761
114.161819,0.578096
113.163063,0.573028
112.130974,0.568173
111.132202,0.562832
110.133385,0.556837
109.101326,0.551140
108.102509,0.546065
107.103767,0.541501
106.071671,0.535852
105.072891,0.530021
104.074081,0.524414
103.042015,0.519006
102.043213,0.514371
101.011185,0.508894
100.012398,0.503360
99.013596,0.497532
97.981529,0.491914
96.982719,0.486820
95.983971,0.481993
94.951881,0.476787
93.953102,0.470998
92.954285,0.465269
91.922226,0.460019
90.923409,0.455429
89.924667,0.449925
88.892548,0.443924
87.893791,0.438344
86.894981,0.433331
85.862923,0.428530
84.864113,0.423063
83.865334,0.417257
82.833237,0.411466
81.834457,0.406774
80.835648,0.401659
