2,Cadillac V-Series.R,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.925047
271.735382,1.924818
270.736603,1.925026
269.704529,1.922778
268.705780,1.915306
267.707001,1.908339
266.674927,1.900937
265.676178,1.831972
264.677399,1.828555
263.645355,1.822237
262.646576,1.817693
261.647827,1.817068
260.615753,1.809929
259.617004,1.803404
258.584900,1.796526
257.586182,1.790125
256.587372,1.783536
255.555344,1.776777
254.556549,1.763435
253.557785,1.756077
252.525742,1.749283
251.526947,1.748251
250.528183,1.784780
249.496140,1.779197
248.497330,1.771726
247.498581,1.764370
246.466522,1.757105
245.467773,1.749806
244.468964,1.742649
243.436951,1.735232
242.438156,1.725035
241.439392,1.716881
240.407318,1.709267
239.408585,1.701802
238.409760,1.694854
237.377716,1.687603
236.378922,1.680635
235.380157,1.673701
234.348114,1.666516
233.349335,1.659628
232.350586,1.652814
231.318527,1.645711
230.319733,1.639012
229.320969,1.631735
228.288895,1.624312
227.290115,1.617148
226.291382,1.609892
225.259277,1.602095
224.260529,1.594344
223.261749,1.586592
222.229706,1.578489
221.230927,1.571201
220.232147,1.563903
219.200073,1.556183
218.201324,1.549244
217.202515,1.542384
216.170486,1.535084
215.171677,1.527833
214.172928,1.520651
213.140839,1.513018
212.142090,1.505546
211.143280,1.498342
210.111252,1.490868
209.112442,1.483613
208.113693,1.476413
207.081604,1.468866
206.082840,1.461686
205.050766,1.454170
204.052017,1.447074
203.053238,1.439272
202.021164,1.432437
201.022385,1.425280
200.023605,1.417857
198.991516,1.410330
197.992783,1.403261
196.994003,1.395951
195.961929,1.388580
194.963150,1.381132
193.964371,1.374129
192.932281,1.366524
191.933533,1.359424
190.934753,1.352144
189.902695,1.344592
188.903946,1.337580
187.905136,1.330451
186.873108,1.322836
185.874298,1.315652
184.875549,1.308453
183.843445,1.301013
182.844696,1.293927
181.845901,1.286668
180.813843,1.279250
179.815063,1.272060
178.816269,1.264873
177.784180,1.257383
176.785431,1.250270
175.786636,1.243045
174.754608,1.235685
173.755783,1.228527
172.757034,1.221337
171.724945,1.213890
170.726196,1.206767
169.727371,1.199601
168.695328,1.192247
167.696548,1.184950
166.697769,1.177768
165.665665,1.170455
164.666916,1.163311
163.668106,1.156043
162.636078,1.148764
161.637283,1.141555
160.638535,1.134383
159.606430,1.127133
158.607651,1.119881
157.608841,1.112797
156.576813,1.105212
155.578003,1.098214
154.545944,1.090760
153.547165,1.083489
152.548386,1.076549
151.516296,1.069180
150.517532,1.062063
149.518738,1.054728
148.486664,1.047406
147.487885,1.040151
