2,Caterham 420R,baseline
Steering Wheel Angle,Yaw Rate
272.734131,3.087925
271.735382,3.088118
270.736603,3.088319
269.704529,3.085449
268.705780,3.073568
267.707001,3.061822
266.674927,3.049453
265.676178,3.037740
264.677399,3.025909
263.645355,3.013263
262.646576,3.000607
261.647827,2.988199
260.615753,2.975189
259.617004,2.962294
258.584900,2.948334
257.586182,2.935153
256.587372,2.922781
255.555344,2.909986
254.556549,2.898335
253.557785,2.886082
252.525742,2.872518
251.526947,2.860738
250.528183,2.848077
249.496140,2.835388
248.497330,2.823192
247.498581,2.810699
246.466522,2.797868
245.467773,2.785605
244.468964,2.773405
243.436951,2.760701
242.438156,2.748382
241.439392,2.735970
240.407318,2.723659
239.408585,2.711203
238.409760,2.698819
237.377716,2.686603
236.378922,2.674355
235.380157,2.662120
234.348114,2.649301
233.349335,2.637568
232.350586,2.624963
231.318527,2.612866
230.319733,2.600383
229.320969,2.588456
228.288895,2.575749
227.290115,2.563934
226.291382,2.551771
225.259277,2.539254
224.260529,2.527610
223.261749,2.515196
222.229706,2.503066
221.230927,2.491095
220.232147,2.478863
219.200073,2.466850
218.201324,2.454327
217.202515,2.442443
216.170486,2.430587
215.171677,2.418120
214.172928,2.406748
213.140839,2.393814
212.142090,2.382065
211.143280,2.370437
210.111252,2.358039
209.112442,2.346048
208.113693,2.334502
207.081604,2.322031
206.082840,2.310154
205.050766,2.298109
204.052017,2.285914
203.053238,2.274552
202.021164,2.262102
201.022385,2.250388
200.023605,2.238327
198.991516,2.226816
197.992783,2.214918
196.994003,2.202393
195.961929,2.190988
194.963150,2.178792
193.964371,2.167315
192.932281,2.155500
191.933533,2.143272
190.934753,2.131756
189.902695,2.119972
188.903946,2.107908
187.905136,2.096249
186.873108,2.084670
185.874298,2.072776
184.875549,2.061100
183.843445,2.049164
182.844696,2.037560
181.845901,2.025811
180.813843,2.014080
179.815063,2.001969
178.816269,1.990834
177.784180,1.978927
176.785431,1.966693
175.786636,1.955826
174.754608,1.943425
173.755783,1.932465
172.757034,1.920316
171.724945,1.908320
170.726196,1.896987
169.727371,1.885694
168.695328,1.873695
167.696548,1.862164
166.697769,1.850716
165.665665,1.838726
164.666916,1.827304
163.668106,1.815569
162.636078,1.804373
161.637283,1.792415
160.638535,1.781238
159.606430,1.769285
158.607651,1.757724
157.608841,1.746320
156.576813,1.734473
155.578003,1.723062
154.545944,1.711613
153.547165,1.700347
152.548386,1.688802
151.516296,1.676606
