2,Caterham Academy,baseline
Steering Wheel Angle,Yaw Rate
321.240784,3.143457
320.208710,3.143438
319.209961,3.143553
318.211212,3.136063
317.179138,3.124743
316.180359,3.115466
315.181641,3.103697
314.149536,3.092127
313.150787,3.081182
312.152069,3.070133
311.119995,3.058264
310.121185,3.046812
309.089172,3.035315
308.090393,3.024669
307.091644,3.013948
306.059570,3.003326
305.060852,2.992383
304.062042,2.981421
303.029999,2.969886
302.031219,2.959528
301.032471,2.948859
300.000427,2.937808
299.001678,2.926773
298.002899,2.915137
296.970825,2.904302
295.972076,2.893742
294.973328,2.883146
293.941254,2.872375
292.942474,2.861844
291.943726,2.850510
290.911652,2.839806
289.912903,2.829281
288.914154,2.818263
287.882080,2.806666
286.883301,2.796299
285.884552,2.785925
284.852478,2.775120
283.853729,2.764618
282.854980,2.753338
281.822876,2.742376
280.824127,2.731995
279.825317,2.721837
278.793304,2.711018
277.794556,2.699624
276.795776,2.689280
275.763702,2.678511
274.764984,2.668334
273.766174,2.657898
272.734131,2.646394
271.735382,2.636026
270.736603,2.625716
269.704529,2.615131
268.705780,2.604891
267.707001,2.593745
266.674927,2.582737
265.676178,2.572177
264.677399,2.562257
263.645355,2.551364
262.646576,2.540693
261.647827,2.530894
260.615753,2.520129
259.617004,2.509804
258.584900,2.499306
257.586182,2.488486
256.587372,2.478523
255.555344,2.467909
254.556549,2.456983
253.557785,2.446527
252.525742,2.436097
251.526947,2.426206
250.528183,2.416065
249.496140,2.404607
248.497330,2.394276
247.498581,2.384253
246.466522,2.373979
245.467773,2.363857
244.468964,2.353757
243.436951,2.342398
242.438156,2.332162
241.439392,2.322146
240.407318,2.311841
239.408585,2.301911
238.409760,2.291085
237.377716,2.280550
236.378922,2.270227
235.380157,2.260405
234.348114,2.249973
233.349335,2.239522
232.350586,2.229878
231.318527,2.219311
230.319733,2.209331
229.320969,2.198422
228.288895,2.188059
227.290115,2.178116
226.291382,2.168099
225.259277,2.158056
224.260529,2.148000
223.261749,2.137693
222.229706,2.127442
221.230927,2.117658
220.232147,2.107021
219.200073,2.096375
218.201324,2.086521
217.202515,2.076867
216.170486,2.066365
215.171677,2.056583
214.172928,2.046962
213.140839,2.035669
212.142090,2.025651
211.143280,2.015980
210.111252,2.005962
209.112442,1.996105
208.113693,1.985488
207.081604,1.975196
206.082840,1.965344
205.050766,1.955374
204.052017,1.945747
203.053238,1.935300
202.021164,1.924643
201.022385,1.914880
200.023605,1.905280
198.991516,1.895267
197.992783,1.885479
196.994003,1.875433
195.961929,1.864552
194.963150,1.854886
193.964371,1.845054
192.932281,1.835267
191.933533,1.825549
190.934753,1.815511
189.902695,1.804601
188.903946,1.794919
187.905136,1.785521
186.873108,1.775522
185.874298,1.765810
184.875549,1.755543
183.843445,1.744989
182.844696,1.735288
181.845901,1.725882
180.813843,1.715788
179.815063,1.706305
178.816269,1.696146
177.784180,1.685400
176.785431,1.675942
175.786636,1.666452
174.754608,1.656539
173.755783,1.646960
172.757034,1.636524
171.724945,1.626457
170.726196,1.617003
169.727371,1.607606
168.695328,1.597545
167.696548,1.587227
166.697769,1.577528
165.665665,1.567402
164.666916,1.557650
163.668106,1.548291
162.636078,1.538355
161.637283,1.528562
160.638535,1.519121
159.606430,1.509059
158.607651,1.499574
157.608841,1.489220
156.576813,1.479231
155.578003,1.469658
154.545944,1.459995
153.547165,1.450408
152.548386,1.440358
151.516296,1.430022
150.517532,1.420529
149.518738,1.411268
148.486664,1.401590
147.487885,1.391885
146.489105,1.381714
145.457016,1.371573
144.458267,1.362214
143.459503,1.352908
142.427399,1.343269
141.428650,1.333372
140.429840,1.323271
139.397781,1.313387
138.399002,1.304142
137.400223,1.294876
136.368118,1.284808
135.369385,1.274743
134.370560,1.265162
133.338501,1.255481
132.339691,1.246288
131.340958,1.236749
130.308853,1.226537
129.310074,1.216640
128.311264,1.207093
127.279228,1.197426
126.280426,1.188113
125.281647,1.178713
124.249550,1.168694
123.250801,1.159432
122.251991,1.149773
121.219940,1.139665
120.221115,1.129834
119.222366,1.120401
118.190239,1.110792
117.191505,1.101821
116.192688,1.091919
115.160629,1.081747
114.161819,1.072319
113.163063,1.062734
112.130974,1.053380
111.132202,1.044072
110.133385,1.033991
109.101326,1.024033
108.102509,1.014686
107.103767,1.005303
106.071671,0.995994
105.072891,0.986155
104.074081,0.976255
103.042015,0.966423
102.043213,0.957204
101.011185,0.947735
100.012398,0.938472
99.013596,0.928780
97.981529,0.918553
96.982719,0.909050
95.983971,0.899830
94.951881,0.890159
93.953102,0.880913
92.954285,0.871526
91.922226,0.861676
90.923409,0.852337
89.924667,0.842793
88.892548,0.832598
87.893791,0.823095
86.894981,0.813823
85.862923,0.803998
84.864113,0.794585
83.865334,0.785675
82.833237,0.775936
81.834457,0.766609
80.835648,0.756757
79.803581,0.746957
78.804771,0.737377
77.806030,0.728088
76.773903,0.718652
75.775154,0.709230
74.776337,0.699815
73.744286,0.690431
72.745476,0.681110
71.746696,0.671461
70.714600,0.661778
69.715820,0.652105
68.717003,0.642601
67.684944,0.632828
66.686142,0.623828
65.687355,0.614524
64.655266,0.604788
63.656487,0.595638
62.657673,0.586314
61.625610,0.576319
60.626797,0.567241
59.628021,0.557433
58.595932,0.547562
57.597145,0.538459
56.598400,0.529367
55.566277,0.519875
54.567528,0.510186
53.568687,0.500572
52.536625,0.490865
51.537811,0.481751
50.505753,0.472418
49.506939,0.463060
48.508160,0.453317
47.476070,0.443277
46.477287,0.434229
45.478477,0.425013
44.446415,0.415695
43.447601,0.406240
42.448826,0.396413
41.416702,0.386725
40.417953,0.377457
39.419140,0.368402
38.387077,0.358892
37.388233,0.349470
36.389488,0.339805
35.357365,0.329966
34.358585,0.320756
33.359772,0.311905
32.327709,0.302358
31.328901,0.292845
30.330120,0.283116
29.297997,0.273340
28.299248,0.264095
27.300406,0.255090
26.268345,0.245718
25.269531,0.236351
24.270754,0.226923
23.238661,0.217227
22.239880,0.207764
21.241070,0.198198
20.209009,0.188553
19.210163,0.179351
18.211416,0.170031
17.179293,0.160395
16.180511,0.151518
15.181702,0.142098
14.149640,0.132414
13.150796,0.123244
12.152049,0.113810
11.119988,0.103960
10.121144,0.094502
9.122396,0.085278
8.090272,0.075392
7.091493,0.066040
6.092681,0.056989
5.060620,0.047405
4.061809,0.038170
3.062997,0.029176
2.030904,0.019490
1.032093,0.010001
0.000000,0.002345
-0.998747,0.009080
-1.997624,0.018683
-3.029652,0.028144
-4.028464,0.037358
-5.027276,0.046537
-6.059368,0.056061
-7.058115,0.065352
-8.056992,0.074615
-9.089020,0.084355
-10.087896,0.093783
-11.086643,0.103144
-12.118735,0.113081
-13.117547,0.122285
-14.116360,0.131433
-15.148452,0.141098
-16.147263,0.150312
-17.146011,0.159342
-18.178169,0.169064
-19.176916,0.178466
-20.175728,0.187786
-21.207819,0.197441
-22.206633,0.206992
-23.205444,0.216380
-24.237535,0.226027
-25.236284,0.235495
-26.235159,0.244453
-27.267187,0.253900
-28.266064,0.263198
-29.264811,0.272637
-30.296968,0.282099
-31.295717,0.291615
-32.294464,0.301179
-33.326618,0.310723
-34.325367,0.320149
-35.324245,0.329511
-36.356274,0.339074
-37.355083,0.348073
-38.353897,0.357481
-39.385986,0.367242
-40.384800,0.376556
-41.383614,0.385883
-42.415703,0.395765
-43.414516,0.405006
-44.413265,0.414597
-45.445419,0.424207
-46.444168,0.433454
-47.443043,0.442713
-48.475071,0.452308
-49.473949,0.461681
-50.472694,0.470928
-51.504852,0.480690
-52.503601,0.490083
-53.535759,0.499774
-54.534504,0.509216
-55.533318,0.518568
-56.565411,0.528329
-57.564224,0.537430
-58.563034,0.546789
-59.595127,0.556504
-60.593937,0.565644
-61.592751,0.575110
-62.624840,0.584959
-63.623653,0.594398
-64.622467,0.603847
-65.654556,0.613563
-66.653366,0.622831
-67.652184,0.632074
-68.684273,0.641772
-69.683090,0.651079
-70.681831,0.660335
-71.713989,0.670063
-72.712738,0.679579
-73.711617,0.689027
-74.743645,0.698844
-75.742516,0.708340
-76.741264,0.717636
-77.773361,0.727311
-78.772171,0.736807
-79.770981,0.746077
-80.803070,0.755639
-81.801888,0.765040
-82.800697,0.774571
-83.832787,0.784230
-84.831604,0.793829
-85.830414,0.803288
-86.862572,0.813040
-87.861313,0.822375
-88.860130,0.831809
-89.892227,0.841459
-90.891098,0.850754
-91.889847,0.860170
-92.921997,0.870048
-93.920753,0.879449
-94.919624,0.889053
-95.951653,0.898871
-96.950531,0.908168
-97.949280,0.917505
-98.981438,0.927249
-99.980179,0.936774
-100.979065,0.946414
-102.011093,0.956131
-103.009964,0.965441
-104.008705,0.974849
-105.040863,0.984581
-106.039619,0.994377
-107.071777,1.004032
-108.070587,1.013573
-109.069389,1.023080
-110.101486,1.032945
-111.100304,1.042256
-112.099113,1.051700
-113.131271,1.061446
-114.130020,1.071091
-115.128899,1.080363
-116.160927,1.090381
-117.159798,1.099871
-118.158554,1.109440
-119.190704,1.119360
-120.189453,1.128905
-121.188255,1.138315
-122.220421,1.148172
-123.219162,1.157516
-124.218033,1.167019
-125.250061,1.176905
-126.248947,1.186557
-127.247688,1.196065
-128.279846,1.206060
-129.278656,1.215636
-130.277481,1.225224
-131.309555,1.234966
-132.308380,1.244430
-133.307190,1.253984
-134.339355,1.263927
-135.338089,1.273595
-136.336975,1.283243
-137.369003,1.293012
-138.367874,1.302578
-139.366684,1.312117
-140.398773,1.322139
-141.397583,1.331797
-142.396408,1.341390
-143.428497,1.351165
-144.427368,1.360666
-145.426117,1.370452
-146.458282,1.380511
-147.457077,1.390099
-148.455902,1.399624
-149.487991,1.409566
-150.486877,1.419181
-151.485611,1.428849
-152.517776,1.438920
-153.516525,1.448601
-154.515396,1.458162
-155.547485,1.467918
-156.546295,1.477723
-157.578400,1.487856
-158.577271,1.497637
-159.576004,1.507115
-160.608170,1.517195
-161.606918,1.526694
-162.605804,1.536541
-163.637894,1.546555
-164.636765,1.556301
-165.635513,1.565914
-166.667603,1.575866
-167.666428,1.585671
-168.665222,1.595493
-169.697372,1.605558
-170.696136,1.615255
-171.695007,1.624905
-172.727097,1.634923
-173.725922,1.644781
-174.724731,1.654545
-175.756882,1.664522
-176.755630,1.674405
-177.754501,1.684116
-178.786606,1.694159
-179.785477,1.703913
-180.784225,1.713703
-181.816376,1.724059
-182.815125,1.733732
-183.813995,1.743562
-184.846100,1.753689
-185.844971,1.763435
-186.843719,1.773330
-187.875870,1.783446
-188.874695,1.793364
-189.873505,1.803119
-190.905594,1.813317
-191.904465,1.823138
-192.903214,1.832990
-193.935364,1.843315
-194.934189,1.853185
-195.933060,1.862931
-196.965088,1.873203
-197.963959,1.883053
-198.962769,1.893004
-199.994934,1.903310
-200.993683,1.913217
-201.992554,1.922862
-203.024643,1.933135
-204.023468,1.943327
-205.022263,1.953185
-206.054428,1.963397
-207.053177,1.973418
-208.085403,1.983488
-209.084137,1.993751
-210.082886,2.003583
-211.115112,2.013860
-212.113861,2.023643
-213.112732,2.033836
-214.144836,2.044269
-215.143646,2.054196
-216.142456,2.064131
-217.174606,2.074527
-218.173355,2.084539
-219.172241,2.094601
-220.204330,2.105035
-221.203201,2.114970
-222.201950,2.124980
-223.234177,2.135461
-224.232925,2.145426
-225.231796,2.155565
-226.263885,2.166090
-227.262772,2.176114
-228.261505,2.186152
-229.293671,2.196683
-230.292496,2.206763
-231.291367,2.217013
-232.323380,2.227161
-233.322250,2.237477
-234.321075,2.247656
-235.353226,2.258094
-236.351990,2.268319
-237.350861,2.278389
-238.382965,2.288853
-239.381836,2.299051
-240.380569,2.309249
-241.412811,2.319937
-242.411545,2.330093
-243.410416,2.340137
-244.442505,2.350707
-245.441391,2.361009
-246.440125,2.371281
-247.472305,2.381760
-248.471100,2.392104
-249.469971,2.402533
-250.502060,2.412887
-251.500946,2.423332
-252.499710,2.433348
-253.531860,2.444254
-254.530670,2.454457
-255.529404,2.464660
-256.561554,2.475302
-257.560394,2.485656
-258.559265,2.496055
-259.591339,2.506752
-260.590240,2.517192
-261.622253,2.527843
-262.621124,2.538162
-263.619934,2.548517
-264.652100,2.559263
-265.650909,2.569691
-266.649780,2.580226
-267.681824,2.590822
-268.680695,2.601226
-269.679504,2.611842
-270.711670,2.622510
-271.710449,2.632782
-272.709351,2.643665
-273.741425,2.654303
-274.740295,2.664761
-275.739075,2.675365
-276.771210,2.686149
-277.770050,2.696808
-278.768921,2.707094
-279.800995,2.718035
-280.799866,2.728578
-281.798615,2.739111
-282.830841,2.750010
-283.829590,2.760747
-284.828461,2.771379
-285.860565,2.782168
-286.859436,2.792827
-287.858246,2.803627
-288.890411,2.814231
-289.889130,2.824866
-290.888000,2.835769
-291.920105,2.846672
-292.918976,2.857342
-293.917816,2.868007
-294.949951,2.879328
-295.948761,2.889891
-296.947662,2.900526
-297.979736,2.911639
-298.978485,2.922373
-299.977356,2.933320
-301.009460,2.944289
-302.008331,2.955110
-303.007141,2.965845
-304.039307,2.976964
-305.038116,2.987976
-306.036987,2.998571
-307.069031,3.009743
-308.067963,3.020737
-309.066711,3.031486
-310.098877,3.042832
-311.097656,3.053650
-312.129852,3.064919
-313.128632,3.076059
-314.127502,3.086794
-315.159607,3.098075
-316.158478,3.109005
-317.157318,3.119952
-318.189453,3.131576
-319.188263,3.139167
-320.187134,3.138772
-321.219177,3.138998
