2,Chevrolet Camaro Class B,watkinsglen
Steering Wheel Angle,Yaw Rate
372.021210,2.882010
371.161163,2.899326
370.328857,2.950425
369.496582,2.950805
368.636566,2.940963
367.804291,2.913129
366.971954,2.913055
366.111938,2.917136
365.279633,2.924725
364.447357,2.931895
363.587311,2.930887
362.755035,2.925008
361.922760,2.917178
361.062714,2.903211
360.230408,2.898493
359.398132,2.893368
358.538086,2.885254
357.705811,2.879110
356.873505,2.870691
356.013458,2.864263
355.181152,2.857894
354.348877,2.851336
353.488861,2.842580
352.656586,2.837421
351.824280,2.830760
350.964233,2.822855
350.131927,2.815899
349.271912,2.808531
348.439606,2.801805
347.607300,2.794704
346.747284,2.787385
345.915009,2.780905
345.082703,2.773923
344.222687,2.767136
343.390381,2.759755
342.558075,2.752631
341.698059,2.745702
340.865753,2.738897
340.033447,2.731950
339.173431,2.724305
338.341125,2.718539
337.508850,2.710197
336.648834,2.704462
335.816498,2.696988
334.984222,2.690502
334.124176,2.683104
333.291870,2.676772
332.459595,2.669143
331.599579,2.662240
330.767242,2.654888
329.934998,2.648851
329.074890,2.641673
328.242615,2.634453
327.410339,2.628206
326.550323,2.620214
325.718018,2.613642
324.885742,2.606324
324.025665,2.599896
323.193359,2.591601
322.361053,2.586321
321.501038,2.576889
320.668762,2.571878
319.836456,2.563528
318.976410,2.558227
318.144104,2.550082
317.311798,2.544489
316.451782,2.537735
315.619476,2.530298
314.787201,2.523910
313.927124,2.516237
313.094849,2.509887
312.262543,2.501962
311.402527,2.496026
310.570251,2.487640
309.737915,2.481952
308.877869,2.473453
308.045593,2.468121
307.185547,2.461188
306.353241,2.453924
305.520966,2.447407
304.660919,2.440516
303.828613,2.433068
302.996338,2.426896
302.136292,2.419203
301.303955,2.412492
300.471680,2.405678
299.611664,2.398209
298.779358,2.390453
297.947052,2.386112
297.087006,2.378064
296.254700,2.371089
295.422424,2.363968
294.562378,2.356661
293.730072,2.350681
292.897766,2.343647
292.037720,2.336979
291.205444,2.330213
290.373138,2.322019
289.513092,2.313852
288.680786,2.309661
287.848511,2.300895
286.988434,2.295905
286.156128,2.288003
285.323853,2.282099
284.463837,2.275170
283.631531,2.268070
282.799194,2.261106
281.939148,2.253435
281.106873,2.247485
280.274567,2.239358
279.414520,2.233749
278.582184,2.225106
277.749939,2.220829
276.889862,2.213134
276.057556,2.206883
275.225281,2.198280
274.365234,2.191390
273.532898,2.185591
272.700653,2.177386
271.840576,2.172508
271.008301,2.164346
270.175995,2.158717
269.315948,2.151042
268.483612,2.144369
267.651367,2.137417
266.791260,2.130909
265.958984,2.124456
265.126709,2.117474
264.266663,2.109518
263.434326,2.102182
262.574310,2.097453
261.741974,2.087693
260.909698,2.083339
260.049622,2.076090
259.217377,2.069336
258.385040,2.062010
257.524994,2.054545
256.692688,2.048671
255.860382,2.041680
255.000351,2.035884
254.168060,2.028297
253.335739,2.022121
252.475677,2.013787
251.643387,2.008823
250.811096,2.001163
249.951035,1.994432
249.118729,1.987725
248.286438,1.981637
247.426376,1.972128
246.594086,1.966678
245.761795,1.961470
244.901733,1.954293
244.069412,1.947140
243.237122,1.940151
242.377060,1.933386
241.544769,1.926347
240.712479,1.920373
239.852386,1.912696
239.020096,1.906436
238.187759,1.899847
237.327744,1.891629
236.495453,1.886659
235.663147,1.878399
234.803085,1.872941
233.970810,1.864022
233.138474,1.859895
232.278442,1.851706
231.446152,1.845241
230.613831,1.838244
229.753769,1.831894
228.921478,1.825908
228.089157,1.817782
227.229095,1.811061
226.396805,1.805031
225.564499,1.798036
224.704453,1.791270
223.872147,1.783998
223.039856,1.777981
222.179794,1.770937
221.347504,1.764749
220.487411,1.757307
219.655151,1.750282
218.822800,1.744151
217.962799,1.736549
217.130447,1.730563
216.298157,1.722441
215.438126,1.717599
214.605789,1.709049
213.773499,1.703305
212.913452,1.696293
212.081100,1.688699
211.248810,1.683653
210.388763,1.676527
209.556473,1.669888
208.724136,1.663189
207.864120,1.656232
207.031799,1.648765
206.199493,1.641668
205.339432,1.635377
204.507156,1.628078
203.674789,1.623027
202.814758,1.614841
201.982437,1.608711
