2,Chevrolet Camaro ZL1 Class A,watkinsglen
Steering Wheel Angle,Yaw Rate
370.684296,2.856300
369.685516,2.864102
368.653442,2.921661
367.654724,2.926031
366.622681,2.921536
365.623901,2.896156
364.625153,2.889962
363.593109,2.889709
362.594330,2.882867
361.595612,2.883314
360.563568,2.879928
359.564758,2.872001
358.566010,2.864631
357.533997,2.850158
356.535248,2.842332
355.536469,2.836019
354.504425,2.827560
353.505646,2.818633
352.506927,2.811714
351.474854,2.802423
350.476105,2.794728
349.477325,2.786659
348.445282,2.777940
347.446533,2.769571
346.447784,2.761414
345.415710,2.752326
344.416962,2.744486
343.418213,2.736174
342.386139,2.728519
341.387360,2.719604
340.388641,2.712064
339.356598,2.703723
338.357849,2.694313
337.359039,2.686903
336.326996,2.678052
335.328247,2.670678
334.329498,2.662212
333.297424,2.654550
332.298645,2.645656
331.299927,2.637168
330.267853,2.628694
329.269073,2.620247
328.270355,2.612507
327.238281,2.603935
326.239502,2.596439
325.240784,2.587723
324.208710,2.579439
323.209961,2.571303
322.211212,2.563435
321.179138,2.555048
320.180359,2.546900
319.181641,2.538258
318.149536,2.529998
317.150787,2.521646
316.152069,2.514203
315.119995,2.505028
314.121185,2.498353
313.089172,2.489071
312.090393,2.480476
311.091644,2.473223
310.059570,2.464212
309.060852,2.457091
308.062042,2.447774
307.029999,2.440161
306.031219,2.431587
305.032471,2.423692
304.000427,2.414662
303.001678,2.407560
302.002899,2.400424
300.970825,2.391001
299.972076,2.382244
298.973328,2.375244
297.941254,2.367097
296.942474,2.358468
295.943726,2.349696
294.911652,2.342772
293.912903,2.333173
292.914154,2.325137
291.882080,2.317818
290.883301,2.309664
289.884552,2.300682
288.852478,2.292171
287.853729,2.285433
286.854980,2.276958
285.822876,2.268669
284.824127,2.260554
283.825317,2.252100
282.793304,2.243433
281.794556,2.236729
280.795776,2.227675
279.763702,2.219419
278.764984,2.211702
277.766174,2.203345
276.734131,2.195260
275.735382,2.186804
274.736603,2.179481
273.704529,2.170433
272.705780,2.162699
271.707001,2.154422
270.674927,2.146711
269.676178,2.138255
268.677399,2.130938
267.645355,2.121448
266.646576,2.114448
265.647827,2.105502
264.615753,2.098365
263.617004,2.089284
262.584900,2.081291
261.586182,2.073561
260.587372,2.065108
259.555359,2.056370
258.556549,2.049236
257.557800,2.041440
256.525757,2.032856
255.526947,2.025265
254.528183,2.016759
253.496140,2.008720
252.497330,2.000079
251.498581,1.991992
250.466522,1.983907
249.467773,1.976559
248.468964,1.967742
247.436951,1.960115
246.438156,1.950822
245.439392,1.944624
