2,Chevrolet Corvette C6R GT1,baseline
Steering Wheel Angle,Yaw Rate
234.348114,1.483877
233.349335,1.479877
232.350586,1.481337
231.318527,1.476970
230.319733,1.473179
229.320969,1.468914
228.288895,1.463989
227.290115,1.458713
226.291382,1.452422
225.259277,1.445715
224.260529,1.439242
223.261749,1.432871
222.229706,1.426261
221.230927,1.419759
220.232147,1.413363
219.200073,1.406739
218.201324,1.400286
217.202515,1.393896
216.170486,1.387226
215.171677,1.380809
214.172928,1.374392
213.140839,1.367715
212.142090,1.361317
211.143280,1.354938
210.111252,1.348243
209.112442,1.341859
208.113693,1.335426
207.081604,1.328787
206.082840,1.322440
205.050766,1.315855
204.052017,1.309385
203.053238,1.302962
202.021164,1.296315
201.022385,1.290003
200.023605,1.283774
198.991516,1.277483
197.992783,1.271176
196.994003,1.263938
195.961929,1.255527
194.963150,1.248997
193.964371,1.242251
192.932281,1.237249
191.933533,1.230983
190.934753,1.223223
189.902695,1.217746
188.903946,1.210499
187.905136,1.204507
186.873108,1.197509
185.874298,1.190747
184.875549,1.184638
183.843445,1.178421
182.844696,1.171865
181.845901,1.164911
180.813843,1.158096
179.815063,1.152113
178.816269,1.146168
177.784180,1.139255
176.785431,1.132436
175.786636,1.125696
174.754608,1.119306
173.755783,1.113283
172.757034,1.106906
171.724945,1.100148
170.726196,1.093383
169.727371,1.086881
168.695328,1.080649
167.696548,1.074140
166.697769,1.067416
165.665665,1.060975
164.666916,1.054087
163.668106,1.047989
162.636078,1.041076
161.637283,1.035140
160.638535,1.027971
159.606430,1.022185
158.607651,1.015468
157.608841,1.008934
156.576813,1.002051
155.578003,0.995757
154.545944,0.989146
153.547165,0.982837
152.548386,0.976095
151.516296,0.969432
150.517532,0.963393
149.518738,0.957032
148.486664,0.949886
147.487885,0.943416
146.489105,0.937289
145.457016,0.930567
144.458267,0.923795
143.459503,0.917931
142.427399,0.911237
141.428650,0.904524
140.429840,0.898486
139.397781,0.891035
138.399002,0.885253
137.400223,0.878237
136.368118,0.871867
135.369385,0.865853
134.370560,0.859295
133.338501,0.851984
132.339691,0.846129
131.340958,0.839674
130.308853,0.832920
129.310074,0.826711
128.311264,0.819969
127.279228,0.813596
126.280426,0.807072
125.281647,0.800398
124.249550,0.793988
123.250801,0.787545
122.251991,0.781172
121.219940,0.774279
120.221115,0.767866
119.222366,0.761653
118.190239,0.754832
117.191505,0.748446
116.192688,0.741974
115.160629,0.735276
114.161819,0.728904
113.163063,0.722444
112.130974,0.715416
111.132202,0.709507
110.133385,0.702286
109.101326,0.695607
108.102509,0.689575
107.103767,0.683266
106.071671,0.676823
105.072891,0.670170
104.074081,0.663643
103.042015,0.657153
102.043213,0.650767
101.011185,0.644062
100.012398,0.637373
99.013596,0.631136
97.981529,0.624553
96.982719,0.617609
95.983971,0.611190
94.951881,0.604923
93.953102,0.598492
92.954285,0.591508
91.922226,0.585244
90.923409,0.578980
89.924667,0.572421
88.892548,0.565884
87.893791,0.559328
86.894981,0.552546
85.862923,0.546375
84.864113,0.540145
83.865334,0.533036
82.833237,0.526886
81.834457,0.520102
80.835648,0.513625
79.803581,0.507149
78.804771,0.500528
77.806030,0.494341
76.773903,0.487470
75.775154,0.480839
74.776337,0.474844
73.744286,0.468114
72.745476,0.461478
71.746696,0.455321
70.714600,0.447979
69.715820,0.442318
68.717003,0.435156
67.684944,0.428979
66.686142,0.422653
65.687355,0.415932
64.655266,0.409113
63.656487,0.402735
62.657673,0.396443
61.625610,0.389637
60.626797,0.383471
59.628021,0.376909
58.595932,0.370209
57.597145,0.364005
56.598400,0.357309
55.566277,0.350742
54.567528,0.344242
53.568687,0.337697
52.536625,0.331242
51.537811,0.324615
50.505753,0.317713
49.506939,0.311340
48.508160,0.305118
47.476070,0.298688
46.477287,0.292305
45.478477,0.285703
44.446415,0.278724
43.447601,0.272498
42.448826,0.266244
41.416702,0.259543
40.417953,0.253067
39.419140,0.246301
38.387077,0.240041
37.388233,0.233068
36.389488,0.226939
35.357365,0.220445
34.358585,0.213634
33.359772,0.207315
32.327709,0.200728
31.328901,0.194305
30.330120,0.188275
29.297997,0.181400
28.299248,0.174886
27.300406,0.168344
26.268345,0.161829
25.269531,0.155469
24.270754,0.148502
23.238661,0.142033
22.239880,0.135656
21.241070,0.129160
20.209009,0.122638
19.210163,0.116416
18.211416,0.109902
17.179293,0.103200
16.180511,0.096540
15.181702,0.089969
14.149640,0.083337
13.150796,0.077117
12.152049,0.070585
11.119988,0.063938
10.121144,0.057651
9.122396,0.051211
8.090272,0.044310
7.091493,0.038216
6.092681,0.031770
5.060620,0.026095
4.061809,0.021010
3.062997,0.015908
2.030904,0.010772
1.032093,0.005599
0.000000,0.001406
-0.998747,0.004810
-1.997624,0.009866
-3.029652,0.015164
-4.028464,0.020313
-5.027276,0.025475
-6.059368,0.032436
-7.058115,0.039124
-8.056992,0.045715
-9.089020,0.051956
-10.087896,0.058503
-11.086643,0.065144
-12.118735,0.071632
-13.117547,0.077825
-14.116360,0.084231
-15.148452,0.091061
-16.147263,0.097704
-17.146011,0.104202
-18.178169,0.110875
-19.176916,0.117051
-20.175728,0.123375
-21.207819,0.130034
-22.206633,0.136537
-23.205444,0.142900
-24.237535,0.149566
-25.236284,0.156043
-26.235159,0.162432
-27.267187,0.169281
-28.266064,0.175546
-29.264811,0.181981
-30.296968,0.188882
-31.295717,0.195439
-32.294464,0.201849
-33.326618,0.208330
-34.325367,0.214599
-35.324245,0.221037
-36.356274,0.227755
-37.355083,0.233937
-38.353897,0.240558
-39.385986,0.247405
-40.384800,0.254030
-41.383614,0.260635
-42.415703,0.267051
-43.414516,0.273237
-44.413265,0.279536
-45.445419,0.286596
-46.444168,0.293040
-47.443043,0.299170
