2,Chevrolet Corvette C8.R,baseline
Steering Wheel Angle,Yaw Rate
259.617004,1.561782
258.584900,1.561893
257.586182,1.562747
256.587372,1.560958
255.555344,1.555553
254.556549,1.550309
253.557785,1.544797
252.525742,1.539204
251.526947,1.533630
250.528183,1.528014
249.496140,1.522161
248.497330,1.516565
247.498581,1.510497
246.466522,1.504051
245.467773,1.497840
244.468964,1.491748
243.436951,1.485322
242.438156,1.479218
241.439392,1.473115
240.407318,1.466747
239.408585,1.460525
238.409760,1.454310
237.377716,1.448070
236.378922,1.441923
235.380157,1.435772
234.348114,1.429354
233.349335,1.423221
232.350586,1.417074
231.318527,1.410849
230.319733,1.404664
229.320969,1.398422
228.288895,1.391722
227.290115,1.384952
226.291382,1.378068
225.259277,1.371003
224.260529,1.364577
223.261749,1.358315
222.229706,1.352154
221.230927,1.345842
220.232147,1.340617
219.200073,1.334968
218.201324,1.328690
217.202515,1.322610
216.170486,1.316144
215.171677,1.309371
214.172928,1.303673
213.140839,1.297435
212.142090,1.290763
211.143280,1.285069
210.111252,1.278734
209.112442,1.272194
208.113693,1.266026
207.081604,1.259967
206.082840,1.253542
205.050766,1.247249
204.052017,1.241176
203.053238,1.235022
202.021164,1.228857
201.022385,1.222386
200.023605,1.216500
198.991516,1.210145
197.992783,1.203685
196.994003,1.197623
195.961929,1.191342
194.963150,1.185576
193.964371,1.179128
192.932281,1.172573
191.933533,1.166917
190.934753,1.160670
189.902695,1.154238
188.903946,1.147754
187.905136,1.142026
186.873108,1.135776
185.874298,1.129257
184.875549,1.123289
183.843445,1.116786
182.844696,1.110883
181.845901,1.104690
180.813843,1.098346
179.815063,1.092043
178.816269,1.085830
177.784180,1.079701
176.785431,1.073394
175.786636,1.067644
174.754608,1.061143
173.755783,1.054837
172.757034,1.048729
171.724945,1.042607
170.726196,1.036174
169.727371,1.030179
168.695328,1.023795
167.696548,1.017564
166.697769,1.011635
165.665665,1.005025
164.666916,0.998813
163.668106,0.993155
162.636078,0.986715
161.637283,0.980454
160.638535,0.974277
159.606430,0.968041
158.607651,0.962075
157.608841,0.955635
156.576813,0.949333
155.578003,0.943502
154.545944,0.937091
153.547165,0.930991
152.548386,0.924495
151.516296,0.918252
150.517532,0.912464
149.518738,0.906057
148.486664,0.899762
147.487885,0.893743
146.489105,0.887450
145.457016,0.881180
144.458267,0.875173
143.459503,0.869126
142.427399,0.862766
141.428650,0.856450
140.429840,0.850266
139.397781,0.844005
138.399002,0.837823
137.400223,0.831858
136.368118,0.825456
135.369385,0.819381
134.370560,0.813356
133.338501,0.806845
132.339691,0.800859
131.340958,0.794418
130.308853,0.788240
129.310074,0.782159
128.311264,0.776244
127.279228,0.770002
126.280426,0.763604
125.281647,0.757651
124.249550,0.751494
123.250801,0.744953
