2,Chevrolet Corvette Z06 GT3.R,baseline
Steering Wheel Angle,Yaw Rate
252.525742,1.858362
251.526947,1.858895
250.528183,1.859869
249.496140,1.854652
248.497330,1.848036
247.498581,1.841297
246.466522,1.834202
245.467773,1.820086
244.468964,1.760764
243.436951,1.757210
242.438156,1.752315
241.439392,1.759834
240.407318,1.752600
239.408585,1.745826
238.409760,1.739026
237.377716,1.731844
236.378922,1.724841
235.380157,1.717575
234.348114,1.710163
233.349335,1.702970
232.350586,1.695776
231.318527,1.688363
230.319733,1.681216
229.320969,1.673970
228.288895,1.666609
227.290115,1.659420
226.291382,1.652211
225.259277,1.644836
224.260529,1.637650
223.261749,1.630488
222.229706,1.623007
221.230927,1.615830
220.232147,1.608695
219.200073,1.601269
218.201324,1.594110
217.202515,1.586920
216.170486,1.579498
215.171677,1.572318
214.172928,1.565125
213.140839,1.557700
212.142090,1.550533
211.143280,1.543372
210.111252,1.535960
209.112442,1.528747
208.113693,1.521611
207.081604,1.514140
206.082840,1.506967
205.050766,1.499583
204.052017,1.492414
203.053238,1.485247
202.021164,1.477756
201.022385,1.470627
200.023605,1.463448
198.991516,1.456064
197.992783,1.448884
196.994003,1.441697
195.961929,1.434264
194.963150,1.427125
193.964371,1.419886
192.932281,1.412563
191.933533,1.405329
190.934753,1.398169
189.902695,1.390704
188.903946,1.383516
187.905136,1.376449
186.873108,1.368974
185.874298,1.361807
184.875549,1.354689
183.843445,1.347518
182.844696,1.340346
181.845901,1.333230
180.813843,1.325846
179.815063,1.316806
178.816269,1.309434
177.784180,1.301826
176.785431,1.294436
175.786636,1.287997
174.754608,1.288315
173.755783,1.283732
172.757034,1.276486
171.724945,1.268828
170.726196,1.261432
169.727371,1.254053
168.695328,1.246392
167.696548,1.239072
166.697769,1.231662
165.665665,1.223951
164.666916,1.216579
163.668106,1.209209
162.636078,1.201532
161.637283,1.194137
160.638535,1.186738
159.606430,1.179036
158.607651,1.171676
157.608841,1.164246
156.576813,1.156561
155.578003,1.149156
154.545944,1.141506
153.547165,1.134061
152.548386,1.126615
151.516296,1.118936
150.517532,1.111539
149.518738,1.104079
148.486664,1.096402
147.487885,1.089004
146.489105,1.081581
145.457016,1.073852
144.458267,1.066449
143.459503,1.059043
142.427399,1.051301
141.428650,1.043889
140.429840,1.036451
139.397781,1.028790
138.399002,1.021282
137.400223,1.013855
136.368118,1.006148
135.369385,0.998762
