2,Chevrolet Impala Old Class B,phoenix_2021
Steering Wheel Angle,Yaw Rate
371.187897,2.853731
370.327820,2.931310
369.495544,2.964593
368.663239,2.934313
367.803223,2.897638
366.970947,2.894202
366.138641,2.902996
365.278595,2.911285
364.446289,2.918078
363.614014,2.919353
362.753967,2.914634
361.921722,2.909374
361.089417,2.895499
360.229370,2.892574
359.397064,2.887017
358.564789,2.882357
357.704773,2.876589
356.872467,2.870353
356.040192,2.865167
355.180115,2.858814
354.347839,2.853555
353.515533,2.847416
352.655518,2.836539
351.823242,2.780347
350.990936,2.834328
350.130920,2.781004
349.298584,2.765387
348.438599,2.816843
347.606262,2.777183
346.773987,2.722378
345.913940,2.737242
345.081665,2.788462
344.249359,2.783042
343.389343,2.709690
342.557068,2.748796
341.724731,2.729924
340.864746,2.683606
340.032410,2.708704
339.200134,2.729940
338.340088,2.705540
337.507812,2.712450
336.675507,2.718277
335.815491,2.711746
334.983154,2.696612
334.150879,2.683682
333.290833,2.675117
332.458527,2.682358
331.626282,2.673916
330.766235,2.680136
329.933929,2.674720
329.101654,2.660133
328.241577,2.651807
327.409271,2.649459
326.577026,2.641241
325.716980,2.634425
324.884674,2.627810
324.052399,2.620137
323.192322,2.612388
322.360016,2.606002
321.527740,2.598695
320.667694,2.591264
319.835419,2.583886
319.003143,2.576836
318.143066,2.569959
317.310760,2.561696
316.478455,2.554769
315.618469,2.547483
314.786133,2.541005
313.953888,2.533556
313.093781,2.526075
312.261536,2.517613
311.429199,2.512205
310.569183,2.503254
309.736908,2.498137
308.904602,2.489610
308.044525,2.483508
307.212250,2.476242
306.352234,2.468864
305.519897,2.462039
304.687622,2.454333
303.827576,2.447333
302.995270,2.440032
302.162994,2.433052
301.302979,2.425084
300.470612,2.417942
299.638336,2.411365
298.778320,2.403589
297.946045,2.397877
297.113708,2.390248
296.253693,2.382374
295.421356,2.375801
294.589111,2.368131
293.729034,2.360484
292.896759,2.354456
292.064423,2.347192
291.204407,2.339694
290.372101,2.332915
289.539825,2.325408
288.679749,2.318301
287.847473,2.310920
287.015167,2.304471
286.155121,2.297314
285.322784,2.289638
284.490540,2.283143
283.630493,2.275416
282.798187,2.268363
281.965851,2.261450
281.105835,2.253628
280.273529,2.246363
279.441254,2.240478
278.581177,2.231767
277.748871,2.225694
276.916595,2.216408
276.056549,2.211723
275.224213,2.202479
274.391968,2.198246
273.531891,2.189739
272.699585,2.182677
271.867310,2.175737
271.007263,2.168184
270.174957,2.161035
269.342682,2.154633
268.482605,2.145460
267.650299,2.139863
266.818024,2.134225
265.957947,2.126781
265.125641,2.119483
264.293396,2.111601
263.433319,2.105273
262.600983,2.096820
261.740967,2.091441
260.908661,2.081423
260.076355,2.077547
259.216309,2.069795
258.384033,2.063042
257.551697,2.055949
256.691650,2.049127
255.859344,2.041812
255.027054,2.034646
254.167023,2.027034
253.334732,2.019854
252.502411,2.011318
251.642349,2.006817
250.810059,1.999261
249.977768,1.992001
249.117706,1.984760
248.285385,1.978198
247.453094,1.971034
246.593033,1.963677
245.760742,1.957104
244.928452,1.949609
244.068390,1.942799
243.236084,1.933997
242.403793,1.929123
241.543732,1.919994
240.711441,1.915953
239.879150,1.906306
239.019058,1.901797
238.186768,1.893252
237.354431,1.887072
236.494415,1.878931
235.662125,1.873061
234.829803,1.864169
233.969742,1.858936
233.137482,1.850396
232.305145,1.845382
231.445099,1.836368
230.612808,1.831691
229.780502,1.822718
228.920441,1.817558
228.088150,1.810133
227.255829,1.803035
226.395767,1.795671
225.563477,1.787524
224.731155,1.782892
223.871124,1.774673
223.038803,1.767957
222.206512,1.761140
221.346451,1.753961
220.514160,1.747308
219.654083,1.739877
218.821808,1.731056
217.989471,1.726641
217.129456,1.719365
216.297119,1.711829
215.464828,1.705780
214.604797,1.697971
213.772446,1.691458
212.940155,1.684490
212.080109,1.677704
211.247772,1.670435
210.415482,1.663607
209.555435,1.656941
208.723145,1.650193
207.890793,1.642967
207.030792,1.636116
206.198456,1.628843
