2,Chevrolet Impala-COT,baseline
Steering Wheel Angle,Yaw Rate
368.687897,2.926650
367.827820,2.973712
366.995544,3.024484
366.163239,3.016272
365.303223,2.989534
364.470947,2.976016
363.638641,2.975589
362.778595,2.967457
361.946289,2.969543
361.114014,2.970285
360.253967,2.965015
359.421722,2.958699
358.589417,2.946597
357.729370,2.945567
356.897064,2.938068
356.064789,2.931615
355.204773,2.925042
354.372467,2.920722
353.540192,2.914146
352.680115,2.909005
351.847839,2.902580
351.015533,2.896332
350.155518,2.891049
349.323242,2.884806
348.490936,2.878730
347.630920,2.873900
346.798584,2.866246
345.938599,2.860766
345.106262,2.856109
344.273987,2.848670
343.413940,2.843336
342.581665,2.781214
341.749359,2.844003
340.889343,2.754208
340.057068,2.834256
339.224731,2.799527
338.364746,2.743474
337.532410,2.814735
336.700134,2.732024
335.840088,2.788448
335.007812,2.790102
334.175507,2.772363
333.315491,2.764012
332.483154,2.756772
331.650879,2.754233
330.790833,2.747540
329.958527,2.739922
329.126282,2.733162
328.266235,2.724938
327.433929,2.718846
326.601654,2.711753
325.741577,2.703725
324.909271,2.696843
324.077026,2.689627
323.216980,2.682219
322.384674,2.674928
321.552399,2.667917
320.692322,2.660595
319.860016,2.653812
319.027740,2.646328
318.167694,2.639361
317.335419,2.631805
316.503143,2.624709
315.643066,2.617587
314.810760,2.610625
313.978455,2.602856
313.118469,2.595859
312.286133,2.588509
311.453888,2.581739
310.593781,2.574714
309.761536,2.567350
308.929199,2.560321
308.069183,2.552482
307.236908,2.545401
306.404602,2.538924
305.544525,2.531366
304.712250,2.524187
303.852234,2.517272
303.019897,2.509567
302.187622,2.502254
301.327576,2.495655
300.495270,2.488152
299.662994,2.481090
298.802979,2.474007
297.970612,2.466299
297.138336,2.459413
296.278320,2.452759
295.446045,2.445668
294.613708,2.438484
293.753693,2.430934
292.921356,2.424284
292.089111,2.416705
291.229034,2.409846
290.396759,2.401676
289.564423,2.395473
288.704407,2.387974
287.872101,2.381376
287.039825,2.374463
286.179749,2.367585
285.347473,2.360016
284.515167,2.352825
283.655121,2.345371
282.822784,2.337881
281.990540,2.331411
281.130493,2.324184
280.298187,2.317420
279.465851,2.309828
278.605835,2.303350
277.773529,2.296015
276.941254,2.289169
276.081177,2.281793
275.248871,2.275148
274.416595,2.267419
273.556549,2.260407
272.724213,2.253660
271.891968,2.246231
271.031891,2.239373
270.199585,2.232740
269.367310,2.225529
268.507263,2.218847
267.674957,2.210994
266.842682,2.203950
265.982605,2.196994
265.150299,2.190212
264.318024,2.183523
263.457947,2.176097
262.625641,2.169118
261.793396,2.161714
260.933319,2.154585
260.100983,2.147699
259.240967,2.140373
258.408661,2.133261
257.576355,2.126041
256.716309,2.119586
255.884033,2.112195
255.051697,2.105419
254.191666,2.096673
253.359344,2.092052
252.527054,2.084309
251.667023,2.077450
250.834732,2.070686
250.002411,2.063237
249.142349,2.056381
248.310059,2.048383
247.477768,2.043320
246.617706,2.033865
245.785385,2.029655
244.953094,2.021801
244.093033,2.014360
243.260742,2.007547
242.428452,2.000105
241.568390,1.993451
240.736084,1.986703
239.903793,1.980027
239.043732,1.972136
238.211441,1.965622
237.379150,1.958558
236.519058,1.950978
235.686768,1.944755
234.854431,1.937549
233.994415,1.930670
233.162125,1.922971
232.329803,1.916928
231.469742,1.909109
230.637482,1.903213
229.805145,1.894392
228.945099,1.888996
228.112808,1.881673
227.280502,1.875258
226.420441,1.867563
225.588150,1.860554
224.755829,1.854621
223.895767,1.846993
223.063477,1.840107
222.231155,1.832691
221.371124,1.826354
220.538803,1.818251
219.706512,1.812835
218.846451,1.804150
218.014160,1.799531
217.154083,1.791561
216.321808,1.784520
215.489471,1.777804
214.629456,1.769786
213.797119,1.764261
212.964813,1.755838
212.104782,1.750881
211.272446,1.743143
210.440155,1.734909
209.580109,1.729836
208.747772,1.722607
207.915482,1.715739
207.055435,1.707843
206.223145,1.702104
205.390793,1.694453
204.530792,1.687900
203.698456,1.679886
202.866150,1.675044
202.006088,1.667021
201.173813,1.660338
200.341461,1.653545
199.481430,1.645736
198.649094,1.639748
197.816788,1.632756
196.956757,1.626159
196.124435,1.618557
195.292145,1.612268
194.432098,1.604066
193.599777,1.599070
192.767471,1.591591
191.907410,1.584433
191.075089,1.577500
190.242813,1.569593
189.382721,1.564844
188.550430,1.557080
187.718124,1.550058
186.858078,1.543322
186.025772,1.536156
185.193451,1.529293
184.333389,1.522933
183.501099,1.515585
182.668762,1.508866
181.808731,1.502069
180.976395,1.494323
180.144104,1.489498
179.284027,1.480608
178.451736,1.474694
177.619400,1.467869
176.759369,1.461136
175.927032,1.453915
175.094742,1.448020
174.234665,1.440447
173.402359,1.433658
172.542297,1.426423
171.710007,1.420110
170.877701,1.413246
170.017639,1.406199
169.185318,1.399431
168.352997,1.392221
167.492920,1.385588
166.660645,1.378800
165.828339,1.372020
164.968277,1.365266
164.135956,1.356886
163.303635,1.352279
162.443558,1.344830
161.611267,1.337396
160.778961,1.331481
159.918915,1.324177
159.086624,1.317763
158.254272,1.310460
157.394257,1.303893
156.561905,1.296762
155.729614,1.289443
154.869537,1.283667
154.037247,1.276669
153.204910,1.270214
152.344864,1.262653
151.512543,1.256147
150.680222,1.249350
149.820145,1.241892
148.987854,1.236551
148.155533,1.228524
147.295502,1.222557
146.463150,1.214865
145.630859,1.209564
144.770782,1.201341
143.938492,1.195886
143.106140,1.188821
142.246109,1.181726
141.413788,1.174474
140.581467,1.168993
139.721390,1.160908
138.889099,1.155245
138.056747,1.147648
137.196732,1.141832
136.364395,1.133694
135.532104,1.128429
134.672028,1.120570
133.839706,1.115018
133.007370,1.106892
132.147339,1.101406
131.315002,1.093192
130.454956,1.087182
129.622635,1.080542
128.790314,1.073860
127.930244,1.066007
127.097939,1.060430
126.265610,1.053061
125.405548,1.047451
124.573235,1.039485
123.740921,1.033509
122.880844,1.026243
122.048553,1.019439
121.216248,1.013224
120.356163,1.005434
119.523872,0.999880
118.691528,0.993065
117.831482,0.985660
116.999168,0.979742
116.166847,0.972106
115.306763,0.966610
114.474487,0.958392
113.642128,0.953269
112.782082,0.945652
111.949738,0.939433
111.117462,0.931853
110.257378,0.926139
109.425056,0.918655
108.592720,0.912621
107.732697,0.904685
106.900352,0.899097
106.068039,0.891010
105.207954,0.885451
104.375664,0.878563
103.543327,0.871192
102.683281,0.865534
101.850929,0.858081
101.018639,0.852088
100.158531,0.844943
99.326256,0.838411
98.493904,0.830912
97.633858,0.824836
96.801514,0.817326
95.969215,0.811214
95.109146,0.805037
94.276833,0.797096
93.444489,0.791906
92.584435,0.783956
91.752090,0.778200
90.919807,0.771313
90.059723,0.763515
89.227409,0.758331
88.395065,0.750357
87.535011,0.743719
86.702675,0.738008
85.842651,0.730090
85.010330,0.724474
84.177994,0.717754
83.317940,0.709669
82.485596,0.704638
81.653305,0.697445
80.793236,0.689319
79.960915,0.683877
79.128571,0.677468
78.268517,0.669898
77.436172,0.663996
76.603889,0.656669
75.743790,0.650316
74.911491,0.643359
74.079147,0.636897
73.219101,0.629767
72.386757,0.623426
71.554443,0.616669
70.694359,0.609915
69.862045,0.602416
69.029701,0.597210
68.169647,0.589059
67.337311,0.583727
66.505020,0.576089
65.644920,0.569398
64.812630,0.563259
63.980278,0.556571
63.120235,0.549550
62.287895,0.542677
61.455578,0.536885
60.595497,0.528986
59.763184,0.523322
58.930836,0.515907
58.070786,0.509520
57.238449,0.502806
56.406128,0.496380
55.546055,0.488653
54.713737,0.483372
53.881390,0.475714
53.021339,0.469160
52.188995,0.462999
51.356682,0.455128
50.496609,0.449707
49.664288,0.441723
48.832001,0.436524
47.971897,0.428518
47.139606,0.422106
46.307240,0.416096
45.447186,0.408397
44.614841,0.402357
43.754791,0.396134
42.922447,0.387947
