2,Chevrolet National Impala,road
Steering Wheel Angle,Yaw Rate
368.684296,3.001877
367.685516,3.008919
366.653442,3.066189
365.654724,3.065363
364.622681,3.057966
363.623901,3.029936
362.625153,3.020715
361.593109,3.010985
360.594330,3.006086
359.595612,3.005531
358.563568,2.998892
357.564758,2.991391
356.566010,2.982931
355.533997,2.967947
354.535248,2.962751
353.536469,2.955044
352.504425,2.945775
351.505646,2.937831
350.506927,2.929655
349.474854,2.919911
348.476105,2.910977
347.477325,2.903319
346.445282,2.894501
345.446533,2.885734
344.447784,2.877163
343.415710,2.868722
342.416962,2.859043
341.418213,2.850774
340.386139,2.840316
339.387360,2.834531
338.388641,2.824983
337.356598,2.816649
336.357849,2.807674
335.359039,2.798535
334.326996,2.790969
333.328247,2.782046
332.329498,2.773625
331.297424,2.764902
330.298645,2.755957
329.299927,2.747657
328.267853,2.738396
327.269073,2.730066
326.270355,2.721745
325.238281,2.712610
324.239502,2.703595
323.240784,2.695444
322.208710,2.684570
321.209961,2.679957
320.211212,2.668093
319.179138,2.661959
318.180359,2.652789
317.181641,2.644256
316.149536,2.635844
315.150787,2.627387
314.152069,2.619127
313.119995,2.609908
312.121185,2.601284
311.089172,2.592223
310.090393,2.584796
309.091644,2.575613
308.059570,2.566750
307.060852,2.557598
306.062042,2.549688
305.029999,2.541263
304.031219,2.530009
303.032471,2.524208
302.000427,2.514219
301.001678,2.506984
300.002899,2.498193
298.970825,2.490239
297.972076,2.480138
296.973328,2.473101
295.941254,2.463186
294.942474,2.455485
293.943726,2.446507
292.911652,2.438635
291.912903,2.428079
290.914154,2.421860
289.882080,2.412532
288.883301,2.404560
287.884552,2.395938
286.852478,2.386836
285.853729,2.378347
284.854980,2.369904
283.822876,2.361535
282.824127,2.351802
281.825317,2.344453
280.793304,2.334366
279.794556,2.327544
278.795776,2.318860
277.763702,2.309044
276.764984,2.302392
275.766174,2.292020
274.734131,2.284265
273.735382,2.275564
272.736603,2.267794
271.704529,2.259474
270.705780,2.250735
269.707001,2.242062
268.674927,2.232977
267.676178,2.222497
266.677399,2.217157
265.645355,2.207143
264.646576,2.199724
263.647827,2.190913
262.615753,2.181654
261.617004,2.173651
260.584900,2.165321
259.586182,2.156053
258.587372,2.148514
257.555359,2.138927
256.556549,2.131253
255.557785,2.123353
254.525742,2.113929
253.526947,2.105594
252.528183,2.096634
251.496140,2.088293
250.497330,2.078578
249.498581,2.071559
248.466522,2.061310
247.467773,2.055513
246.468964,2.043381
245.436951,2.038205
244.438156,2.029034
243.439392,2.019561
242.407318,2.012506
241.408585,2.002079
240.409760,1.995834
239.377716,1.985098
238.378922,1.978823
237.380157,1.969074
236.348114,1.961691
235.349335,1.952317
234.350586,1.944493
233.318527,1.934783
232.319733,1.928348
231.320969,1.918683
230.288895,1.910381
229.290115,1.901746
228.291382,1.892623
227.259277,1.885155
226.260529,1.876367
225.261749,1.868170
224.229706,1.859251
223.230927,1.851695
222.232147,1.842867
221.200073,1.834240
220.201324,1.825604
219.202515,1.816448
218.170486,1.809333
217.171677,1.798504
216.172928,1.791569
215.140839,1.783819
214.142090,1.773412
213.143280,1.767394
212.111252,1.756836
211.112442,1.750497
210.113693,1.741978
209.081604,1.733065
208.082840,1.723413
207.050766,1.716160
206.052017,1.706500
205.053238,1.699865
204.021164,1.690411
203.022385,1.682256
202.023605,1.672256
200.991516,1.665628
199.992783,1.656343
198.994003,1.649007
197.961929,1.639261
196.963150,1.632298
195.964371,1.621625
194.932281,1.614409
193.933533,1.606506
192.934753,1.597690
191.902695,1.589589
190.903946,1.579981
189.905136,1.571256
188.873108,1.563672
187.874298,1.556186
186.875549,1.545858
185.843445,1.539446
184.844696,1.530433
183.845901,1.522817
182.813843,1.513559
181.815063,1.505292
180.816269,1.496783
179.784180,1.488593
178.785431,1.479151
177.786636,1.471601
176.754608,1.463407
175.755783,1.453963
174.757034,1.447179
173.724945,1.436674
172.726196,1.429751
171.727371,1.421677
170.695328,1.412336
169.696548,1.404758
168.697769,1.395823
167.665665,1.387929
166.666916,1.379175
165.668106,1.370101
164.636078,1.362160
163.637283,1.353715
162.638535,1.346432
161.606430,1.335829
160.607651,1.328602
159.608841,1.321518
158.576813,1.311242
157.578003,1.303515
156.545944,1.295606
155.547165,1.285891
154.548386,1.279001
153.516296,1.270388
152.517532,1.261085
151.518738,1.253832
150.486664,1.244659
149.487885,1.236836
148.489105,1.226905
147.457016,1.220714
146.458267,1.210634
145.459503,1.202040
144.427399,1.195171
143.428650,1.185309
142.429840,1.179274
141.397781,1.168729
140.399002,1.159791
139.400223,1.152803
138.368118,1.144852
137.369385,1.134663
136.370560,1.128045
135.338501,1.119597
134.339691,1.109904
133.340958,1.102608
132.308853,1.094145
131.310074,1.085710
130.311264,1.077235
129.279236,1.068814
128.280426,1.060463
127.281647,1.052519
126.249550,1.043779
125.250801,1.035088
124.251991,1.027640
123.219940,1.018026
122.221115,1.010605
121.222366,1.002168
120.190239,0.992751
119.191505,0.985329
118.192688,0.977591
117.160629,0.968429
116.161819,0.959518
115.163063,0.952414
114.130974,0.943540
113.132202,0.934370
112.133385,0.926860
111.101326,0.916177
110.102509,0.910247
109.103767,0.902055
108.071671,0.891929
107.072891,0.885535
106.074081,0.876638
105.042015,0.868082
104.043213,0.859519
103.011185,0.851251
102.012398,0.841700
101.013596,0.833965
99.981529,0.826752
98.982719,0.816760
97.983971,0.808907
96.951881,0.801350
95.953102,0.792353
94.954285,0.784519
93.922226,0.775748
92.923409,0.767402
91.924667,0.759028
90.892548,0.750830
89.893791,0.741275
88.894981,0.732984
87.862923,0.724724
86.864113,0.717326
85.865334,0.709359
84.833237,0.699647
83.834457,0.692778
82.835648,0.683475
81.803581,0.675618
80.804771,0.667363
79.806030,0.658560
78.773903,0.649369
77.775154,0.641389
76.776337,0.633324
75.744286,0.624889
74.745476,0.615435
73.746696,0.608126
72.714600,0.600584
71.715820,0.591705
70.717003,0.583209
69.684944,0.573819
68.686142,0.565241
67.687355,0.558026
66.655266,0.550097
65.656487,0.540297
64.657669,0.533114
63.625610,0.523871
62.626797,0.515164
61.628021,0.507771
60.595932,0.498534
59.597145,0.490305
58.598400,0.483283
57.566277,0.472848
56.567528,0.466610
55.568687,0.457871
54.536625,0.447979
53.537811,0.441323
52.505753,0.431357
51.506939,0.424463
50.508160,0.414706
49.476070,0.407835
48.477287,0.398680
47.478477,0.389496
46.446415,0.381015
45.447601,0.374546
44.448826,0.365174
43.416702,0.356216
42.417953,0.349097
41.419140,0.339596
40.387077,0.330772
39.388233,0.323204
38.389488,0.315553
37.357365,0.305856
36.358585,0.303144
35.359772,0.297377
34.327709,0.291998
33.328903,0.291751
32.330120,0.290811
31.297997,0.283436
30.299248,0.274464
29.300406,0.264434
28.268345,0.256469
27.269531,0.248656
