2,Chevrolet SS Class A,bristol
Steering Wheel Angle,Yaw Rate
372.684296,2.806130
371.685516,2.902673
370.653442,2.910616
369.654724,2.915642
368.622681,2.885335
367.623901,2.884305
366.625153,2.883438
365.593109,2.895707
364.594330,2.901383
363.595612,2.899315
362.563568,2.892838
361.564758,2.876257
360.566010,2.873703
359.533997,2.867365
358.535248,2.861599
357.536469,2.851393
356.504425,2.844293
355.505646,2.833390
354.506927,2.826962
353.474854,2.821197
352.476105,2.814295
351.477325,2.808310
350.445282,2.804356
349.446533,2.795793
348.447784,2.786141
347.415710,2.777174
346.416962,2.770415
345.418213,2.764853
344.386139,2.755825
343.387360,2.748345
342.388641,2.742842
341.356598,2.736576
340.357849,2.728037
339.359039,2.720396
338.326996,2.712983
337.328247,2.703473
336.329498,2.697033
335.297424,2.690240
334.298645,2.684216
333.299927,2.676592
332.267853,2.666317
331.269073,2.660101
330.270355,2.654633
329.238281,2.644819
328.239502,2.615025
327.240784,2.659027
326.208710,2.569778
325.209961,2.573745
324.211212,2.623425
323.179138,2.625908
322.180359,2.541067
321.181641,2.582479
320.149536,2.576644
319.150787,2.552541
318.152069,2.553355
317.119995,2.560368
316.121185,2.535536
315.089172,2.539369
314.090393,2.532935
313.091644,2.519754
312.059570,2.514215
311.060852,2.504845
310.062042,2.497498
309.029999,2.487855
308.031219,2.481031
307.032471,2.472268
306.000427,2.463513
305.001678,2.454652
304.002899,2.447309
302.970825,2.437881
301.972076,2.430585
300.973328,2.421949
299.941254,2.412897
298.942474,2.404773
297.943726,2.396386
296.911652,2.386973
295.912903,2.378878
294.914154,2.370956
293.882080,2.363209
292.883301,2.353236
291.884552,2.346831
290.852478,2.336615
289.853729,2.329032
288.854980,2.319817
287.822876,2.312379
286.824127,2.303610
285.825317,2.295747
284.793304,2.286351
283.794556,2.279394
282.795776,2.269846
281.763702,2.262469
280.764984,2.254494
279.766174,2.245411
278.734131,2.236472
277.735382,2.229791
276.736603,2.219968
275.704529,2.211110
274.705780,2.203185
273.707001,2.194791
272.674927,2.186533
271.676178,2.178549
270.677399,2.169520
269.645355,2.162589
268.646576,2.152776
267.647827,2.144899
266.615753,2.136055
265.617004,2.128280
264.584900,2.119378
263.586182,2.110745
262.587372,2.103314
261.555359,2.094817
260.556549,2.086830
259.557800,2.078161
258.525757,2.069263
257.526947,2.061417
256.528198,2.053860
255.496140,2.044313
254.497330,2.035980
253.498581,2.028172
252.466522,2.019712
251.467773,2.010875
250.468964,2.004049
249.436951,1.994279
248.438156,1.986811
247.439392,1.978470
246.407318,1.970728
245.408585,1.962511
244.409760,1.953490
243.377716,1.945048
242.378922,1.935957
241.380157,1.929504
240.348114,1.920261
239.349335,1.912297
238.350586,1.903518
237.318527,1.896034
236.319733,1.886989
235.320969,1.879989
234.288895,1.869829
233.290115,1.862845
232.291382,1.853465
231.259277,1.846156
230.260529,1.837738
229.261749,1.828280
228.229706,1.820583
227.230927,1.812905
226.232147,1.804983
225.200073,1.795592
224.201324,1.787774
223.202515,1.779609
222.170486,1.771891
221.171677,1.761683
220.172928,1.755771
219.140839,1.744859
218.142090,1.738847
217.143280,1.728407
216.111252,1.722679
215.112442,1.712970
214.113693,1.706103
213.081604,1.696633
212.082840,1.688927
211.050766,1.679402
210.052017,1.673066
209.053238,1.664101
208.021164,1.655607
207.022385,1.646258
206.023605,1.639129
204.991516,1.630440
203.992783,1.622721
202.994003,1.614439
201.961929,1.606195
200.963150,1.598032
199.964371,1.588753
198.932281,1.582505
197.933533,1.572392
196.934753,1.565179
195.902695,1.555926
194.903946,1.549626
193.905136,1.540859
192.873108,1.532088
191.874298,1.523041
190.875549,1.516136
189.843445,1.508078
188.844696,1.499264
187.845901,1.491280
186.813843,1.483192
185.815063,1.473597
184.816269,1.466472
183.784180,1.458238
182.785431,1.450211
181.786636,1.440993
180.754608,1.434079
179.755783,1.424823
178.757034,1.418024
177.724945,1.408012
176.726196,1.401670
175.727371,1.391052
174.695328,1.384732
173.696548,1.377257
172.697769,1.368309
171.665665,1.359150
170.666916,1.352245
169.668106,1.342505
168.636078,1.335317
167.637283,1.327020
166.638535,1.318947
165.606430,1.311125
164.607651,1.302513
