2,Chevrolet Silverado,cota_gp
Steering Wheel Angle,Yaw Rate
363.021423,2.843246
362.005157,2.834521
361.016418,2.836225
360.000214,2.834424
359.011444,2.741227
357.995178,2.755674
357.006439,2.755354
356.017670,2.754307
355.001465,2.752065
354.012695,2.749030
352.996490,2.744668
352.007721,2.749330
351.018951,2.800071
350.002716,2.792977
349.013947,2.785405
347.997711,2.776002
347.008942,2.763699
346.020203,2.748816
345.003998,2.733270
344.015228,2.719401
342.998962,2.708184
342.010223,2.698338
341.021454,2.688716
340.005219,2.680500
339.016449,2.679676
338.000214,2.677441
337.011475,2.672255
336.022736,2.664605
335.006500,2.655986
334.017700,2.641903
333.001465,2.634615
332.012726,2.628124
330.996490,2.620948
330.007721,2.612857
329.018951,2.604125
328.002747,2.595918
327.013977,2.588478
325.997711,2.579520
325.008972,2.570881
324.020203,2.564309
323.003998,2.556093
322.015228,2.547282
320.998962,2.539634
320.010193,2.531013
319.021454,2.523044
318.005219,2.513807
317.016479,2.507428
316.000183,2.497817
315.011414,2.489852
314.022675,2.482494
313.006470,2.473153
312.017700,2.466672
311.001404,2.457125
310.012665,2.450651
309.023926,2.442201
308.007690,2.434713
307.018921,2.426070
306.002686,2.417742
305.013916,2.409504
303.997681,2.401432
303.008911,2.392887
302.020142,2.384858
301.003906,2.378066
300.015137,2.368669
298.998901,2.360301
298.010132,2.354056
297.021332,2.344178
296.005127,2.336779
295.016357,2.327946
294.000153,2.320277
293.011322,2.312707
292.022583,2.303406
291.006378,2.296821
290.017578,2.288127
289.001343,2.279934
288.012573,2.273033
287.023834,2.263455
286.007568,2.256061
285.018768,2.248273
284.002563,2.239536
283.013824,2.232074
281.997528,2.223754
281.008789,2.215997
280.020020,2.208026
279.003784,2.199708
278.014984,2.191944
276.998779,2.183578
276.010010,2.175534
275.021179,2.167693
274.005005,2.160125
273.016235,2.152045
271.999969,2.143846
271.011169,2.135374
270.022430,2.126995
269.006195,2.120078
268.017395,2.111867
267.001190,2.103208
266.012421,2.096415
265.023651,2.087513
264.007385,2.079844
263.018616,2.071520
262.002350,2.064125
261.013611,2.055254
260.024841,2.048241
259.008575,2.040269
258.019806,2.031988
257.003571,2.023553
256.014801,2.016212
254.998566,2.007854
254.009781,2.000135
253.021011,1.992354
252.004791,1.984063
251.015961,1.975493
249.999741,1.968413
249.010956,1.960564
248.022217,1.952266
247.005966,1.944589
246.017166,1.935907
245.000916,1.927678
244.012177,1.920099
243.023422,1.910954
242.007141,1.904623
241.018341,1.896321
240.002121,1.888229
239.013351,1.880359
238.024597,1.872260
237.008316,1.863595
236.019547,1.856205
235.003296,1.848624
234.014542,1.840552
233.025772,1.833087
232.009491,1.825027
231.020752,1.816655
230.004471,1.808191
229.015686,1.801234
227.999451,1.793217
227.010681,1.784662
226.021896,1.777094
225.005646,1.768930
224.016876,1.761678
223.000626,1.753620
222.011841,1.745175
221.023071,1.738163
220.006836,1.729292
219.018051,1.721698
218.001816,1.713895
217.013016,1.706221
216.024261,1.698106
215.007996,1.690014
214.019226,1.682662
213.002960,1.674393
212.014175,1.666551
211.025421,1.658802
210.009140,1.650766
209.020386,1.643033
208.004135,1.634969
207.015366,1.627488
206.026566,1.619391
205.010300,1.610719
204.021530,1.603035
203.005295,1.594988
202.016510,1.587493
201.000275,1.579170
200.011475,1.571991
199.022705,1.564276
198.006454,1.555793
197.017670,1.548591
196.001419,1.539726
195.012619,1.531361
194.023849,1.525058
193.007599,1.514733
192.018814,1.508198
191.002563,1.500930
190.013794,1.491543
189.024994,1.485902
188.008728,1.476544
187.019974,1.468878
186.003708,1.460712
185.014938,1.453709
184.026154,1.445302
183.009888,1.437228
182.021133,1.430041
181.004852,1.420188
180.016098,1.414700
178.999817,1.405319
178.011047,1.398843
177.022247,1.391031
176.005981,1.382492
175.017227,1.374369
174.000961,1.366771
173.012192,1.358404
172.023392,1.351680
171.007111,1.343220
170.018356,1.335518
169.002075,1.327252
168.013321,1.320279
167.024506,1.311687
166.008270,1.302495
165.019485,1.296735
164.003220,1.288345
163.014450,1.279760
162.025650,1.273097
161.009415,1.264954
160.020615,1.256395
159.004333,1.247427
158.015564,1.241796
157.026764,1.233684
156.010544,1.224925
155.021729,1.218657
154.005478,1.210173
153.016708,1.202276
152.000443,1.194093
151.011673,1.186051
150.022858,1.177718
149.006622,1.170597
148.017822,1.161897
147.001556,1.153876
146.012772,1.147987
145.023972,1.139859
144.007736,1.131254
143.018936,1.123691
142.002655,1.116202
141.013901,1.108155
140.025085,1.099818
139.008850,1.093019
138.020050,1.083143
137.003769,1.076459
136.014999,1.069747
135.026199,1.061227
134.009964,1.052952
133.021164,1.045446
132.004913,1.037930
131.016113,1.029868
130.027283,1.022410
129.011078,1.013000
128.022263,1.006808
127.006020,0.999099
126.017204,0.990039
125.000938,0.983777
124.012169,0.975116
123.023369,0.967300
122.007118,0.959395
121.018311,0.950677
120.002029,0.944648
119.013283,0.936656
118.024460,0.928892
117.008224,0.919963
116.019402,0.912553
115.003166,0.905192
114.014351,0.897437
113.025566,0.889517
112.009323,0.880418
111.020508,0.874527
110.004265,0.864809
109.015457,0.858956
108.026642,0.849344
107.010399,0.842540
106.021584,0.834539
105.005371,0.827293
104.016556,0.817958
103.027771,0.812241
