2,Chevrolet Silverado,road
Steering Wheel Angle,Yaw Rate
370.354553,2.817691
369.494507,2.822376
368.662201,2.860238
367.829926,2.868340
366.969910,2.864547
366.137604,2.859324
365.305298,2.842147
364.445251,2.841462
363.612976,2.841476
362.780670,2.834212
361.920654,2.830408
361.088379,2.830181
360.256073,2.823750
359.396057,2.817794
358.563721,2.805836
357.731476,2.802094
356.871429,2.794601
356.039154,2.789318
355.206848,2.782344
354.346802,2.774819
353.514496,2.768154
352.682220,2.761426
351.822205,2.755502
350.989899,2.747633
350.157623,2.741584
349.297577,2.734097
348.465271,2.727813
347.605255,2.720773
346.772949,2.714248
345.940643,2.707171
345.080597,2.700628
344.248352,2.693637
343.416016,2.687794
342.556030,2.680252
341.723724,2.674343
340.891418,2.666958
340.031403,2.659416
339.199097,2.653557
338.366791,2.646492
337.506744,2.640041
336.674469,2.632385
335.842163,2.626702
334.982178,2.619043
334.149811,2.613372
333.317566,2.605416
332.457489,2.598960
331.625214,2.592691
330.792938,2.585257
329.932892,2.578979
329.100586,2.571951
328.268311,2.566111
327.408234,2.559006
326.575958,2.552703
325.743683,2.545444
324.883636,2.538197
324.051361,2.531610
323.219055,2.525227
322.359009,2.518512
321.526672,2.511886
320.694397,2.504981
319.834351,2.498883
319.002106,2.491664
318.169800,2.484715
317.309753,2.478035
316.477417,2.470825
315.645142,2.464497
314.785126,2.457927
313.952820,2.451396
313.120544,2.444850
312.260468,2.437603
311.428192,2.430540
310.595886,2.424409
309.735870,2.417367
308.903564,2.410656
308.071259,2.403684
307.211182,2.397178
306.378937,2.390545
305.518890,2.384355
304.686584,2.377366
303.854279,2.370612
302.994263,2.363488
302.161926,2.356788
301.329681,2.350428
300.469635,2.342623
299.637299,2.337179
298.804993,2.330207
297.944977,2.322976
297.112701,2.317164
296.280396,2.310346
295.420349,2.303356
294.588043,2.296433
293.755768,2.290606
292.895691,2.283188
292.063416,2.276686
291.231110,2.270061
290.371063,2.263474
289.538757,2.256726
288.706482,2.249533
287.846405,2.243679
287.014130,2.236197
286.181824,2.230487
285.321777,2.223213
284.489471,2.217080
283.657196,2.209713
282.797150,2.202863
281.964874,2.195876
281.132538,2.189498
280.272491,2.182849
279.440186,2.176112
278.607910,2.169518
277.747833,2.163736
276.915527,2.156486
276.083252,2.149501
275.223206,2.142816
274.390900,2.135152
273.558624,2.130011
272.698547,2.122178
271.866241,2.116639
271.033966,2.109701
270.173920,2.103150
269.341614,2.096487
268.509338,2.089747
267.649261,2.083298
266.816956,2.075701
265.984680,2.069435
265.124603,2.062918
264.292328,2.055813
263.460052,2.049686
262.599976,2.042422
261.767639,2.035949
260.907623,2.029386
260.075317,2.022939
259.243042,2.016090
258.382965,2.009133
257.550690,2.002866
256.718353,1.994719
255.858322,1.990629
255.026016,1.982774
254.193726,1.975910
253.333679,1.969088
252.501389,1.961391
251.669083,1.957374
250.809021,1.949698
249.976730,1.942859
249.144440,1.936761
248.284378,1.929270
247.452057,1.922424
246.619766,1.915971
245.759705,1.909841
244.927414,1.903359
244.095123,1.896728
243.235062,1.889644
242.402740,1.882726
241.570450,1.876258
240.710388,1.869270
239.878098,1.862809
239.045807,1.856607
238.185730,1.849551
237.353439,1.843054
236.521088,1.836132
235.661087,1.829165
234.828796,1.823899
233.996475,1.815709
233.136414,1.810070
232.304153,1.802513
231.471802,1.797470
230.611771,1.789906
229.779480,1.783251
228.947159,1.777251
228.087097,1.770200
227.254807,1.763362
226.422501,1.757552
225.562439,1.750023
224.730148,1.743631
223.897827,1.737709
223.037796,1.730739
222.205475,1.723692
221.373184,1.717136
220.513123,1.710824
219.680832,1.704045
218.820740,1.697167
217.988480,1.690528
217.156143,1.684206
216.296127,1.677414
215.463791,1.671118
214.631500,1.664436
213.771454,1.657169
212.939117,1.651752
212.106812,1.643942
211.246780,1.639080
210.414444,1.631239
209.582153,1.625035
208.722092,1.618421
207.889801,1.611601
207.057465,1.605574
206.197449,1.598850
205.365128,1.591954
204.532822,1.585701
203.672760,1.578565
202.840485,1.572480
202.008133,1.565596
201.148087,1.559201
200.315765,1.552510
199.483459,1.546089
198.623428,1.538362
197.791107,1.533048
196.958817,1.527559
196.098770,1.519753
195.266434,1.513527
194.434143,1.506283
193.574081,1.500257
192.741760,1.493858
191.909485,1.487070
191.049393,1.479897
190.217102,1.473773
189.384781,1.467586
188.524750,1.460474
187.692429,1.453825
186.860123,1.446654
186.000061,1.441749
185.167770,1.433791
184.335419,1.427745
183.475403,1.421138
182.643066,1.414686
181.810776,1.408560
180.950699,1.401462
180.118408,1.395205
179.286057,1.388431
178.426041,1.382247
177.593704,1.375314
176.761414,1.369082
175.901337,1.362144
175.069031,1.355046
174.208969,1.349804
173.376678,1.342969
172.544357,1.336309
171.684296,1.329333
170.851990,1.322987
170.019669,1.315890
169.159592,1.309898
168.327316,1.302824
167.494995,1.297699
166.634933,1.290558
165.802628,1.283014
164.970306,1.276960
164.110229,1.270567
163.277939,1.264024
162.445618,1.257984
161.585571,1.250567
160.753281,1.245328
159.920944,1.237014
159.060913,1.231975
158.228577,1.225340
157.396286,1.217232
156.536194,1.211229
155.703903,1.205836
154.871582,1.199201
154.011536,1.192026
153.179214,1.186420
152.346893,1.179189
151.486816,1.172665
150.654526,1.165595
149.822189,1.159457
148.962173,1.153745
148.129822,1.146868
147.297531,1.140119
146.437454,1.133213
145.605164,1.127087
144.772812,1.119884
143.912766,1.114265
143.080460,1.108117
142.248138,1.101210
141.388046,1.094427
140.555756,1.087202
139.723419,1.082266
138.863388,1.074998
138.031067,1.068037
137.198776,1.062702
136.338684,1.055442
135.506378,1.048986
134.674026,1.042423
133.814011,1.035769
132.981659,1.029273
132.121613,1.022650
131.289307,1.015551
130.456985,1.010360
129.596909,1.002845
128.764603,0.997394
127.932281,0.990220
127.072220,0.983544
126.239899,0.976379
125.407585,0.971206
124.547508,0.964506
123.715218,0.957239
122.882919,0.951739
122.022827,0.944085
121.190536,0.938676
120.358200,0.931297
119.498146,0.925696
118.665833,0.917847
117.833519,0.912714
116.973427,0.905274
116.141151,0.899501
115.308800,0.892824
114.448746,0.885681
113.616409,0.879767
112.784126,0.872865
111.924042,0.866696
111.091728,0.860193
110.259384,0.853699
109.399361,0.847179
108.567017,0.840052
107.734703,0.834308
106.874619,0.828136
106.042336,0.820407
105.209991,0.814806
104.349945,0.808515
103.517593,0.801303
102.685303,0.795162
101.825195,0.787977
100.992920,0.782898
100.160568,0.775786
99.300522,0.768258
98.468178,0.763271
97.635887,0.755575
96.775810,0.750411
95.943497,0.743012
95.111153,0.736665
94.251106,0.729481
93.418755,0.724256
92.586472,0.717514
91.726387,0.710495
90.894073,0.704096
90.061729,0.697263
89.201675,0.691815
88.369339,0.684902
87.509315,0.677273
86.676994,0.671668
85.844658,0.665289
84.984604,0.658118
84.152267,0.652049
83.319977,0.644965
82.459900,0.639209
81.627586,0.632480
80.795235,0.625331
79.935188,0.619038
79.102837,0.613421
78.270554,0.607450
77.410454,0.600134
76.578156,0.593681
75.745819,0.586273
74.885765,0.580251
74.053429,0.574617
73.221107,0.567092
72.361031,0.561291
71.528709,0.555338
70.696373,0.547592
69.836319,0.541481
69.003975,0.535919
68.171692,0.528535
67.311584,0.521224
66.479294,0.516160
65.646942,0.509455
64.786903,0.502074
63.954563,0.496907
63.122246,0.489078
62.262165,0.482969
61.429848,0.477063
60.597500,0.469802
59.737453,0.462710
58.905117,0.456809
58.072796,0.451401
57.212719,0.443153
56.380405,0.437901
55.548058,0.431649
54.688007,0.423725
53.855667,0.418917
53.023350,0.411562
52.163277,0.404481
51.330952,0.399291
50.498665,0.391960
49.638561,0.385001
48.806271,0.379621
47.973904,0.372435
47.113853,0.365526
46.281509,0.360166
45.421459,0.352408
44.589115,0.347172
43.756798,0.339793
