2,Chevrolet Silverado,watkinsglen
Steering Wheel Angle,Yaw Rate
366.684296,2.828402
365.685516,2.839592
364.653442,2.891325
363.654724,2.893059
362.622681,2.879774
361.623901,2.849494
360.625153,2.833085
359.593109,2.823965
358.594330,2.823840
357.595612,2.822503
356.563568,2.815674
355.564758,2.808751
354.566010,2.799766
353.533997,2.784513
352.535248,2.779817
351.536469,2.772289
350.504425,2.764200
349.505646,2.756164
348.506927,2.748161
347.474854,2.739259
346.476105,2.730828
345.477325,2.723446
344.445282,2.714158
343.446533,2.705974
342.447784,2.698504
341.415710,2.689865
340.416962,2.681711
339.418213,2.673546
338.386139,2.665277
337.387360,2.657052
336.388641,2.648740
335.356598,2.639910
334.357849,2.631727
333.359039,2.623534
332.326996,2.616170
331.328247,2.605474
330.329498,2.599981
329.297424,2.590776
328.298645,2.583092
327.299927,2.574467
326.267853,2.566071
325.269073,2.558156
324.270355,2.550216
323.238281,2.541434
322.239502,2.533666
321.240784,2.525829
320.208710,2.516993
319.209961,2.508245
318.211212,2.501128
317.179138,2.492440
316.180359,2.484663
315.181641,2.476563
314.149536,2.467807
313.150787,2.459185
312.152069,2.452168
311.119995,2.442791
310.121185,2.434936
309.089172,2.426636
308.090393,2.418786
307.091644,2.410150
306.059570,2.402175
305.060852,2.395063
304.062042,2.386556
303.029999,2.378025
302.031219,2.369805
301.032471,2.361627
300.000427,2.353758
299.001678,2.345498
298.002899,2.337056
296.970825,2.329204
295.972076,2.320413
294.973328,2.312847
293.941254,2.303411
292.942474,2.296985
291.943726,2.288488
290.911652,2.280212
289.912903,2.271370
288.914154,2.263470
287.882080,2.255006
286.883301,2.247294
285.884552,2.238018
284.852478,2.232090
283.853729,2.223004
282.854980,2.215260
281.822876,2.207391
280.824127,2.199365
279.825317,2.191277
278.793304,2.182681
277.794556,2.174441
276.795776,2.167208
275.763702,2.158775
274.764984,2.150681
273.766174,2.142704
272.734131,2.133894
271.735382,2.126136
270.736603,2.117335
269.704529,2.110111
268.705780,2.102512
267.707001,2.093543
266.674927,2.085484
265.676178,2.077821
264.677399,2.068283
263.645355,2.062381
262.646576,2.053162
261.647827,2.045442
260.615753,2.036774
259.617004,2.029653
258.584900,2.021331
257.586182,2.012570
256.587372,2.005291
255.555344,1.996643
254.556549,1.988485
253.557785,1.980992
252.525742,1.971913
251.526947,1.964860
250.528183,1.956569
249.496140,1.948038
248.497330,1.940315
247.498581,1.932631
246.466522,1.924566
245.467773,1.916326
244.468964,1.908779
243.436951,1.900310
242.438156,1.892254
241.439392,1.884351
240.407318,1.876444
239.408585,1.868651
238.409760,1.860538
237.377716,1.852281
236.378922,1.844215
235.380157,1.835243
234.348114,1.828838
233.349335,1.819694
232.350586,1.812192
231.318527,1.804408
230.319733,1.795649
229.320969,1.788951
228.288895,1.780227
227.290115,1.772728
226.291382,1.763864
225.259277,1.755957
224.260529,1.749100
223.261749,1.740332
222.229706,1.732393
221.230927,1.724510
220.232147,1.716734
219.200073,1.707411
218.201324,1.700709
217.202515,1.691064
216.170486,1.684271
215.171677,1.677344
214.172928,1.668851
213.140839,1.660103
212.142090,1.652667
211.143280,1.644453
210.111252,1.636400
209.112442,1.628890
208.113693,1.621184
207.081604,1.612060
206.082840,1.604911
205.050766,1.596890
204.052017,1.587449
203.053238,1.581917
202.021164,1.572539
201.022385,1.564857
200.023605,1.556357
198.991516,1.548689
197.992783,1.541019
196.994003,1.533564
195.961929,1.524201
194.963150,1.516732
193.964371,1.508170
192.932281,1.501412
191.933533,1.493516
190.934753,1.485777
189.902695,1.477211
188.903946,1.469773
187.905136,1.461368
186.873108,1.453935
185.874298,1.445389
184.875549,1.437997
183.843445,1.429388
182.844696,1.421313
181.845901,1.414549
180.813843,1.405499
179.815063,1.398392
178.816269,1.390211
177.784180,1.382317
176.785431,1.372777
175.786636,1.366372
174.754608,1.359165
173.755783,1.350726
172.757034,1.342768
171.724945,1.334273
170.726196,1.326562
169.727371,1.318991
168.695328,1.310428
167.696548,1.303372
166.697769,1.295246
165.665665,1.286692
164.666916,1.279186
163.668106,1.270845
162.636078,1.263729
161.637283,1.255003
160.638535,1.247471
159.606430,1.239701
158.607651,1.231676
157.608841,1.222448
156.576813,1.215919
155.578003,1.208897
154.545944,1.198842
153.547165,1.192934
152.548386,1.183788
151.516296,1.176133
150.517532,1.167475
149.518738,1.161581
148.486664,1.151894
147.487885,1.145143
