2,Corvette C7 Daytona Prototype,baseline
Steering Wheel Angle,Yaw Rate
265.676178,2.152720
264.677399,2.144761
263.645355,2.145653
262.646576,2.140421
261.647827,2.134934
260.615753,2.128903
259.617004,2.122995
258.584900,2.116534
257.586182,2.109887
256.587372,2.102215
255.555344,2.093740
254.556549,2.085462
253.557785,2.077346
252.525742,2.067717
251.526947,2.057377
250.528183,2.046450
249.496140,2.036121
248.497330,2.027943
247.498581,2.019569
246.466522,2.012427
245.467773,2.005970
244.468964,1.997757
243.436951,1.987916
242.438156,1.980584
241.439392,1.971523
240.407318,1.963483
239.408585,1.954532
238.409760,1.945913
237.377716,1.938421
236.378922,1.929383
235.380157,1.921042
234.348114,1.912790
233.349335,1.904525
232.350586,1.896480
231.318527,1.887598
230.319733,1.879112
229.320969,1.870846
228.288895,1.862277
227.290115,1.854474
226.291382,1.845885
225.259277,1.837345
224.260529,1.829391
223.261749,1.820925
222.229706,1.812995
221.230927,1.804142
220.232147,1.795781
219.200073,1.787530
218.201324,1.780030
217.202515,1.771204
216.170486,1.762906
215.171677,1.754430
214.172928,1.746070
213.140839,1.737113
212.142090,1.729052
211.143280,1.720823
210.111252,1.712566
209.112442,1.704148
208.113693,1.696003
207.081604,1.688305
206.082840,1.679498
205.050766,1.671015
204.052017,1.662811
203.053238,1.654354
202.021164,1.646472
201.022385,1.638159
200.023605,1.629713
198.991516,1.620882
197.992783,1.612883
196.994003,1.604315
195.961929,1.596327
194.963150,1.587513
193.964371,1.579358
192.932281,1.571413
191.933533,1.562865
190.934753,1.554650
189.902695,1.546046
188.903946,1.537753
187.905136,1.529375
186.873108,1.521181
185.874298,1.513065
184.875549,1.505316
183.843445,1.496105
182.844696,1.488041
181.845901,1.479792
180.813843,1.471782
179.815063,1.463537
178.816269,1.454801
177.784180,1.446207
176.785431,1.438163
175.786636,1.430181
174.754608,1.421586
173.755783,1.413565
172.757034,1.405150
171.724945,1.396536
170.726196,1.388550
169.727371,1.380852
168.695328,1.372261
167.696548,1.363869
166.697769,1.355567
165.665665,1.346952
164.666916,1.338771
163.668106,1.330575
162.636078,1.322086
161.637283,1.314323
160.638535,1.305955
159.606430,1.297423
158.607651,1.289652
157.608841,1.281293
156.576813,1.272458
155.578003,1.264681
154.545944,1.255845
153.547165,1.248056
152.548386,1.239472
151.516296,1.231170
150.517532,1.222791
149.518738,1.214426
148.486664,1.205990
147.487885,1.198334
146.489105,1.189870
145.457016,1.181329
144.458267,1.173046
143.459503,1.164754
142.427399,1.156383
141.428650,1.148719
140.429840,1.140280
139.397781,1.131642
138.399002,1.123467
137.400223,1.115463
136.368118,1.106918
135.369385,1.099154
134.370560,1.090569
133.338501,1.082253
132.339691,1.074041
131.340958,1.065584
