2,Dallara DW-12,baseline
Steering Wheel Angle,Yaw Rate
272.734131,1.970967
271.735382,1.972028
270.736603,1.978267
269.704529,1.973510
268.705780,1.965281
267.707001,1.957035
266.674927,1.946682
265.676178,1.939658
264.677399,1.931964
263.645355,1.924450
262.646576,1.917574
261.647827,1.910629
260.615753,1.903207
259.617004,1.895688
258.584900,1.887791
257.586182,1.880278
256.587372,1.872450
255.555344,1.864683
254.556549,1.857058
253.557785,1.849588
252.525742,1.841904
251.526947,1.834504
250.528183,1.826826
249.496140,1.819067
248.497330,1.811667
247.498581,1.804153
246.466522,1.796423
245.467773,1.788985
244.468964,1.781424
243.436951,1.773773
242.438156,1.766211
241.439392,1.758862
240.407318,1.751054
239.408585,1.743552
238.409760,1.736120
237.377716,1.728384
236.378922,1.720879
235.380157,1.713373
234.348114,1.705780
233.349335,1.698322
232.350586,1.690725
231.318527,1.683223
230.319733,1.675644
229.320969,1.668156
228.288895,1.660569
227.290115,1.652997
226.291382,1.645677
225.259277,1.637771
224.260529,1.630404
223.261749,1.623004
222.229706,1.615128
221.230927,1.607744
220.232147,1.600282
219.200073,1.592553
218.201324,1.585058
217.202515,1.577509
216.170486,1.569741
215.171677,1.560590
214.172928,1.553481
213.140839,1.545997
212.142090,1.538520
211.143280,1.531265
210.111252,1.523337
209.112442,1.516183
208.113693,1.508559
207.081604,1.501025
206.082840,1.493613
205.050766,1.485975
204.052017,1.478629
203.053238,1.471271
202.021164,1.463511
201.022385,1.456309
200.023605,1.448877
198.991516,1.441330
197.992783,1.433884
196.994003,1.426615
195.961929,1.418857
194.963150,1.411601
193.964371,1.404150
192.932281,1.396524
191.933533,1.389334
190.934753,1.381804
189.902695,1.374282
188.903946,1.366892
187.905136,1.359563
186.873108,1.351893
185.874298,1.344619
184.875549,1.337234
183.843445,1.329693
182.844696,1.322343
181.845901,1.315032
180.813843,1.307422
179.815063,1.300043
178.816269,1.292736
177.784180,1.285357
176.785431,1.277749
175.786636,1.270525
174.754608,1.262920
173.755783,1.255644
172.757034,1.248313
171.724945,1.240774
170.726196,1.233421
169.727371,1.226197
168.695328,1.218533
167.696548,1.211207
166.697769,1.203874
165.665665,1.196399
164.666916,1.189170
163.668106,1.181668
162.636078,1.174177
161.637283,1.167019
160.638535,1.159437
159.606430,1.151986
158.607651,1.144731
157.608841,1.137499
156.576813,1.129977
155.578003,1.122689
154.545944,1.115108
153.547165,1.107940
152.548386,1.100362
151.516296,1.092939
150.517532,1.085735
149.518738,1.078259
148.486664,1.070750
147.487885,1.063444
146.489105,1.056210
145.457016,1.048682
144.458267,1.041395
143.459503,1.034038
142.427399,1.026532
141.428650,1.019161
140.429840,1.012152
139.397781,1.004201
138.399002,0.997252
137.400223,0.989688
136.368118,0.982476
135.369385,0.974850
134.370560,0.967668
133.338501,0.960148
132.339691,0.952909
131.340958,0.945505
130.308853,0.938036
129.310074,0.930854
128.311264,0.923563
127.279228,0.916166
126.280426,0.908892
125.281647,0.901362
124.249550,0.893976
123.250801,0.886772
122.251991,0.879551
121.219940,0.871953
120.221115,0.864574
119.222366,0.857346
118.190239,0.849830
117.191505,0.842691
116.192688,0.835508
115.160629,0.827664
114.161819,0.820670
113.163063,0.813245
112.130974,0.805714
111.132202,0.798531
110.133385,0.791227
109.101326,0.783772
108.102509,0.776657
107.103767,0.769260
106.071671,0.761829
105.072891,0.754508
104.074081,0.747162
103.042015,0.739877
102.043213,0.732462
101.011185,0.724993
100.012398,0.717877
99.013596,0.710570
97.981529,0.703008
96.982719,0.695887
95.983971,0.688433
94.951881,0.681121
93.953102,0.673654
92.954285,0.666687
91.922226,0.658989
90.923409,0.651799
89.924667,0.644585
88.892548,0.637021
87.893791,0.629961
86.894981,0.622496
85.862923,0.615185
84.864113,0.607956
83.865334,0.600525
82.833237,0.593288
81.834457,0.585869
80.835648,0.578707
79.803581,0.571094
78.804771,0.563963
77.806030,0.556687
76.773903,0.549277
75.775154,0.541931
74.776337,0.534787
73.744286,0.527270
72.745476,0.519881
71.746696,0.512813
70.714600,0.505218
69.715820,0.498108
68.717003,0.490797
67.684944,0.483278
66.686142,0.476199
65.687355,0.468980
64.655266,0.461343
63.656487,0.454193
62.657673,0.446964
61.625610,0.439427
60.626797,0.432255
59.628021,0.425119
58.595932,0.417545
57.597145,0.410247
56.598400,0.403192
55.566277,0.395512
54.567528,0.388293
53.568687,0.381338
52.536625,0.373864
51.537811,0.366428
50.505753,0.358993
49.506939,0.351789
48.508160,0.344491
47.476070,0.337178
46.477287,0.329705
45.478477,0.322710
44.446415,0.315022
43.447601,0.308004
42.448826,0.300705
41.416702,0.293178
40.417953,0.286096
39.419140,0.278615
38.387077,0.271451
37.388233,0.263923
36.389488,0.256960
35.357365,0.249405
34.358585,0.242000
33.359772,0.234841
32.327709,0.227423
31.328901,0.220342
30.330120,0.212938
29.297997,0.205524
28.299248,0.198299
27.300406,0.191011
26.268345,0.183721
25.269531,0.176290
24.270754,0.169229
23.238661,0.161678
22.239880,0.154483
21.241070,0.147379
20.209009,0.139788
19.210163,0.132472
18.211416,0.125439
17.179293,0.117840
16.180511,0.110511
15.181702,0.103457
14.149640,0.095869
13.150796,0.088650
12.152049,0.081509
11.119988,0.074034
10.121144,0.066783
9.122396,0.059558
8.090272,0.052076
7.091493,0.044929
6.092681,0.037675
5.060620,0.030455
4.061809,0.024292
3.062997,0.018235
2.030904,0.011869
1.032093,0.005860
0.000000,0.001369
-0.998747,0.006627
-1.997624,0.012685
-3.029652,0.018952
-4.028464,0.025138
-5.027276,0.031141
-6.059368,0.037928
-7.058115,0.045174
-8.056992,0.052200
-9.089020,0.059893
-10.087896,0.066946
-11.086643,0.074053
-12.118735,0.081779
-13.117547,0.088975
-14.116360,0.096209
-15.148452,0.103500
-16.147263,0.110938
-17.146011,0.117911
-18.178169,0.125339
-19.176916,0.132666
-20.175728,0.140020
-21.207819,0.147416
-22.206633,0.154762
-23.205444,0.161747
-24.237535,0.169278
-25.236284,0.176623
-26.235159,0.183828
-27.267187,0.191079
-28.266064,0.198499
-29.264811,0.205541
-30.296968,0.213183
-31.295717,0.220309
-32.294464,0.227781
-33.326618,0.234885
-34.325367,0.242378
-35.324245,0.249583
-36.356274,0.256991
-37.355083,0.264250
-38.353897,0.271494
-39.385986,0.278775
-40.384800,0.286229
-41.383614,0.293427
-42.415703,0.300732
-43.414516,0.307989
-44.413265,0.315429
-45.445419,0.322699
-46.444168,0.329990
-47.443043,0.337266
-48.475071,0.344671
-49.473949,0.351952
-50.472694,0.359140
-51.504852,0.366633
-52.503601,0.373805
-53.535759,0.381385
-54.534504,0.388501
-55.533318,0.395861
-56.565411,0.403230
-57.564224,0.410541
-58.563034,0.417561
-59.595127,0.425313
-60.593937,0.432396
-61.592751,0.439796
-62.624840,0.447195
-63.623653,0.454558
-64.622467,0.461602
-65.654556,0.469057
-66.653366,0.476394
-67.652184,0.483439
-68.684273,0.491142
-69.683090,0.498414
