2,Dallara F312 F3,baseline
Steering Wheel Angle,Yaw Rate
206.082840,1.511747
205.050766,1.512133
204.052017,1.505401
203.053238,1.499106
202.021164,1.492313
201.022385,1.485555
200.023605,1.478577
198.991516,1.471054
197.992783,1.463647
196.994003,1.456104
195.961929,1.448253
194.963150,1.440751
193.964371,1.433287
192.932281,1.425490
191.933533,1.418104
190.934753,1.410506
189.902695,1.402617
188.903946,1.395129
187.905136,1.387741
186.873108,1.379113
185.874298,1.371170
184.875549,1.363441
183.843445,1.355669
182.844696,1.348164
181.845901,1.341076
180.813843,1.333793
179.815063,1.326285
178.816269,1.318438
177.784180,1.311147
176.785431,1.303331
175.786636,1.295967
174.754608,1.288233
173.755783,1.280759
172.757034,1.273159
171.724945,1.265369
170.726196,1.258042
169.727371,1.250513
168.695328,1.242967
167.696548,1.235486
166.697769,1.228009
165.665665,1.220110
164.666916,1.212568
163.668106,1.205465
162.636078,1.197580
161.637283,1.190132
160.638535,1.182765
159.606430,1.175043
158.607651,1.167519
157.608841,1.159969
156.576813,1.152484
155.578003,1.145144
154.545944,1.137121
153.547165,1.129950
152.548386,1.122217
151.516296,1.114539
150.517532,1.107154
149.518738,1.100052
148.486664,1.091767
147.487885,1.084606
146.489105,1.077280
145.457016,1.069123
144.458267,1.061853
143.459503,1.054468
142.427399,1.046905
141.428650,1.039598
140.429840,1.032097
139.397781,1.024423
138.399002,1.016877
137.400223,1.009288
136.368118,1.001788
135.369385,0.994438
134.370560,0.986885
133.338501,0.979260
132.339691,0.971829
131.340958,0.964435
130.308853,0.956837
129.310074,0.949312
128.311264,0.941684
127.279228,0.934196
126.280426,0.926591
125.281647,0.919374
124.249550,0.911576
123.250801,0.904242
122.251991,0.896910
121.219940,0.888913
120.221115,0.881632
119.222366,0.874199
118.190239,0.866441
117.191505,0.859256
116.192688,0.851766
115.160629,0.844224
114.161819,0.836534
113.163063,0.829235
112.130974,0.821490
111.132202,0.814193
110.133385,0.806771
109.101326,0.798956
108.102509,0.791696
107.103767,0.784327
106.071671,0.776770
105.072891,0.769178
104.074081,0.761721
103.042015,0.754252
102.043213,0.746868
101.011185,0.739184
100.012398,0.731454
99.013596,0.724325
97.981529,0.716710
96.982719,0.709303
95.983971,0.701528
94.951881,0.694321
93.953102,0.686764
92.954285,0.679360
91.922226,0.671776
90.923409,0.664511
89.924667,0.656871
88.892548,0.649335
87.893791,0.641891
86.894981,0.634495
85.862923,0.626849
84.864113,0.619510
83.865334,0.611999
82.833237,0.604183
81.834457,0.597096
