2,Dallara IL15 Indy NXT,baseline
Steering Wheel Angle,Yaw Rate
291.943726,1.940637
290.911652,1.941002
289.912903,1.941551
288.914154,1.940564
287.882080,1.934181
286.883301,1.928248
285.884552,1.922254
284.852478,1.915742
283.853729,1.909545
282.854980,1.903403
281.822876,1.896953
280.824127,1.890739
279.825317,1.884485
278.793304,1.878001
277.794556,1.871703
276.795776,1.865404
275.763702,1.858681
274.764984,1.852199
273.766174,1.845238
272.734131,1.837950
271.735382,1.830923
270.736603,1.823906
269.704529,1.816169
268.705780,1.808449
267.707001,1.800490
266.674927,1.792124
265.676178,1.783857
264.677399,1.775565
263.645355,1.766786
262.646576,1.758519
261.647827,1.749988
260.615753,1.742597
259.617004,1.735538
258.584900,1.728233
257.586182,1.721187
256.587372,1.715406
255.555344,1.709159
254.556549,1.703273
253.557785,1.697193
252.525742,1.690935
251.526947,1.684551
250.528183,1.677527
249.496140,1.670230
248.497330,1.663208
247.498581,1.655452
246.466522,1.647186
245.467773,1.639531
244.468964,1.632601
243.436951,1.625340
242.438156,1.619197
241.439392,1.612264
240.407318,1.604536
239.408585,1.597760
238.409760,1.590560
237.377716,1.583456
236.378922,1.576429
235.380157,1.569567
234.348114,1.562309
233.349335,1.555561
232.350586,1.548330
231.318527,1.541428
230.319733,1.534371
229.320969,1.527394
228.288895,1.520264
227.290115,1.513425
226.291382,1.506347
225.259277,1.499191
224.260529,1.492069
223.261749,1.485592
222.229706,1.478202
221.230927,1.471443
220.232147,1.464478
219.200073,1.457479
218.201324,1.450613
217.202515,1.443409
216.170486,1.436352
215.171677,1.429508
214.172928,1.422809
213.140839,1.415641
212.142090,1.408604
211.143280,1.401913
210.111252,1.394505
209.112442,1.388084
208.113693,1.380787
207.081604,1.374061
206.082840,1.367132
205.050766,1.360003
204.052017,1.353094
203.053238,1.346281
202.021164,1.339089
201.022385,1.332607
200.023605,1.325541
198.991516,1.318364
197.992783,1.311678
196.994003,1.304783
195.961929,1.297771
194.963150,1.291007
193.964371,1.283975
192.932281,1.276973
191.933533,1.270262
190.934753,1.263419
189.902695,1.256429
188.903946,1.249571
187.905136,1.242833
186.873108,1.235699
185.874298,1.229002
184.875549,1.221984
183.843445,1.215186
182.844696,1.208374
181.845901,1.201655
180.813843,1.194539
179.815063,1.187836
178.816269,1.181006
177.784180,1.174040
176.785431,1.167169
175.786636,1.160387
174.754608,1.153513
173.755783,1.146762
172.757034,1.139906
171.724945,1.132841
170.726196,1.126214
169.727371,1.119530
168.695328,1.112493
167.696548,1.105633
166.697769,1.099125
165.665665,1.091857
164.666916,1.085344
163.668106,1.078512
162.636078,1.071460
161.637283,1.064992
160.638535,1.058208
159.606430,1.051142
158.607651,1.044319
157.608841,1.037747
156.576813,1.030799
155.578003,1.024020
154.545944,1.017018
153.547165,1.010380
152.548386,1.003654
151.516296,0.996860
