2,Dallara IR-05,baseline
Steering Wheel Angle,Yaw Rate
261.647827,1.874116
260.615753,1.853416
259.617004,1.862274
258.584900,1.866130
257.586182,1.842869
256.587372,1.874351
255.555344,1.816447
254.556549,1.811705
253.557785,1.878026
252.525742,1.804391
251.526947,1.818822
250.528183,1.804397
249.496140,1.785768
248.497330,1.793763
247.498581,1.787798
246.466522,1.751294
245.467773,1.756782
244.468964,1.721181
243.436951,1.753045
242.438156,1.718007
241.439392,1.731388
240.407318,1.727537
239.408585,1.719872
238.409760,1.688187
237.377716,1.696476
236.378922,1.675959
235.380157,1.663650
234.348114,1.681177
233.349335,1.670998
232.350586,1.676926
231.318527,1.639781
230.319733,1.717755
229.320969,1.683442
228.288895,1.699060
227.290115,1.693900
226.291382,1.683187
225.259277,1.674258
224.260529,1.666222
223.261749,1.659140
222.229706,1.651685
221.230927,1.643927
220.232147,1.636050
219.200073,1.627695
218.201324,1.619768
217.202515,1.612113
216.170486,1.604107
215.171677,1.596285
214.172928,1.588405
213.140839,1.580430
212.142090,1.572671
211.143280,1.564968
210.111252,1.557003
209.112442,1.548978
208.113693,1.541174
207.081604,1.533438
206.082840,1.525769
205.050766,1.517765
204.052017,1.509872
203.053238,1.501964
202.021164,1.494014
201.022385,1.486145
200.023605,1.478449
198.991516,1.470679
197.992783,1.463155
196.994003,1.455057
195.961929,1.446968
194.963150,1.439247
193.964371,1.431606
192.932281,1.423607
191.933533,1.415945
190.934753,1.408218
189.902695,1.400282
188.903946,1.392575
187.905136,1.384962
186.873108,1.377064
185.874298,1.369392
184.875549,1.361652
183.843445,1.353605
182.844696,1.345778
181.845901,1.338142
180.813843,1.330181
179.815063,1.322337
178.816269,1.314577
177.784180,1.306824
176.785431,1.299312
175.786636,1.291569
174.754608,1.283519
173.755783,1.275960
172.757034,1.268192
171.724945,1.260175
170.726196,1.252652
169.727371,1.245076
168.695328,1.236969
167.696548,1.229312
166.697769,1.221597
165.665665,1.213606
164.666916,1.206038
163.668106,1.198479
162.636078,1.190541
161.637283,1.182907
160.638535,1.175411
159.606430,1.167299
158.607651,1.159530
157.608841,1.151960
156.576813,1.143985
155.578003,1.136284
154.545944,1.128465
153.547165,1.120736
152.548386,1.113181
151.516296,1.105315
150.517532,1.097707
149.518738,1.089900
148.486664,1.082129
147.487885,1.074459
146.489105,1.066697
145.457016,1.058964
144.458267,1.051500
143.459503,1.043911
142.427399,1.035846
141.428650,1.028128
140.429840,1.020580
139.397781,1.012710
138.399002,1.005258
137.400223,0.997664
136.368118,0.989466
135.369385,0.981825
134.370560,0.974444
133.338501,0.966496
132.339691,0.959065
131.340958,0.951390
130.308853,0.943534
129.310074,0.935848
128.311264,0.928402
127.279228,0.920522
126.280426,0.912914
125.281647,0.905261
124.249550,0.897401
123.250801,0.889652
122.251991,0.882212
121.219940,0.874409
120.221115,0.866899
119.222366,0.859048
118.190239,0.851450
117.191505,0.843690
116.192688,0.836203
115.160629,0.828427
114.161819,0.820873
113.163063,0.813306
112.130974,0.805508
111.132202,0.797723
110.133385,0.790194
109.101326,0.782371
108.102509,0.774608
107.103767,0.767208
106.071671,0.759401
105.072891,0.751608
104.074081,0.744366
103.042015,0.736307
102.043213,0.728761
101.011185,0.721073
100.012398,0.713603
99.013596,0.705910
97.981529,0.697987
96.982719,0.690499
95.983971,0.682904
94.951881,0.675319
93.953102,0.667792
92.954285,0.660263
91.922226,0.652406
90.923409,0.644749
89.924667,0.637261
88.892548,0.629241
87.893791,0.621792
86.894981,0.614167
85.862923,0.606522
84.864113,0.598990
83.865334,0.591364
82.833237,0.583590
81.834457,0.576160
80.835648,0.568442
79.803581,0.560686
78.804771,0.552983
77.806030,0.545637
76.773903,0.537821
75.775154,0.530148
74.776337,0.522593
73.744286,0.514853
72.745476,0.507348
71.746696,0.499925
70.714600,0.491828
69.715820,0.484388
68.717003,0.476941
67.684944,0.469008
66.686142,0.461673
65.687355,0.454013
64.655266,0.446347
63.656487,0.438815
62.657673,0.431131
61.625610,0.423286
60.626797,0.415832
59.628021,0.408392
58.595932,0.400351
57.597145,0.393023
56.598400,0.385640
55.566277,0.377666
54.567528,0.370122
53.568687,0.362693
52.536625,0.354669
51.537811,0.347244
50.505753,0.339594
49.506939,0.331970
48.508160,0.324560
47.476070,0.316632
46.477287,0.309242
45.478477,0.301742
44.446415,0.293961
43.447601,0.286275
42.448826,0.278787
41.416702,0.271251
40.417953,0.263615
39.419140,0.256128
38.387077,0.248285
37.388233,0.240728
36.389488,0.233124
35.357365,0.225341
34.358585,0.217684
33.359772,0.210216
32.327709,0.202638
31.328901,0.195133
30.330120,0.187534
29.297997,0.179808
28.299248,0.172325
27.300406,0.164692
26.268345,0.157027
25.269531,0.149531
24.270754,0.141756
23.238661,0.134044
22.239880,0.126658
21.241070,0.119260
20.209009,0.111273
19.210163,0.103956
18.211416,0.096514
17.179293,0.088638
16.180511,0.080975
15.181702,0.073592
14.149640,0.065761
13.150796,0.058147
12.152049,0.050699
11.119988,0.042888
10.121144,0.035673
9.122396,0.028028
8.090272,0.020389
7.091493,0.012787
6.092681,0.005213
5.060620,0.002871
4.061809,0.009661
3.062997,0.016166
2.030904,0.024293
1.032093,0.031858
0.000000,0.039681
-0.998747,0.047061
-1.997624,0.054654
-3.029652,0.062411
-4.028464,0.069910
-5.027276,0.077315
-6.059368,0.085283
-7.058115,0.092724
-8.056992,0.100252
-9.089020,0.108187
-10.087896,0.115657
-11.086643,0.122926
-12.118735,0.130664
-13.117547,0.138455
-14.116360,0.145835
-15.148452,0.153573
-16.147263,0.161057
-17.146011,0.168573
-18.178169,0.176354
-19.176916,0.183979
-20.175728,0.191525
-21.207819,0.199295
-22.206633,0.206756
-23.205444,0.214120
-24.237535,0.221890
-25.236284,0.229161
-26.235159,0.237036
-27.267187,0.244836
-28.266064,0.252294
-29.264811,0.259860
-30.296968,0.267463
-31.295717,0.275216
-32.294464,0.282718
-33.326618,0.290306
-34.325367,0.298013
-35.324245,0.305413
-36.356274,0.313248
-37.355083,0.320591
-38.353897,0.328464
-39.385986,0.336120
-40.384800,0.343524
-41.383614,0.351185
-42.415703,0.358822
-43.414516,0.366239
-44.413265,0.373993
-45.445419,0.381606
-46.444168,0.389310
-47.443043,0.396753
-48.475071,0.404422
-49.473949,0.412034
-50.472694,0.419534
-51.504852,0.427445
-52.503601,0.434878
-53.535759,0.442472
-54.534504,0.450219
-55.533318,0.457659
-56.565411,0.465578
-57.564224,0.472982
-58.563034,0.480402
-59.595127,0.488350
-60.593937,0.495918
-61.592751,0.503304
-62.624840,0.511023
-63.623653,0.518545
-64.622467,0.526136
-65.654556,0.534040
-66.653366,0.541515
-67.652184,0.549041
-68.684273,0.556993
-69.683090,0.564409
-70.681831,0.571906
-71.713989,0.579793
-72.712738,0.587358
-73.711617,0.594696
-74.743645,0.602726
-75.742516,0.610132
-76.741264,0.617804
-77.773361,0.625457
-78.772171,0.632886
-79.770981,0.640504
-80.803070,0.648470
-81.801888,0.656041
-82.800697,0.663412
-83.832787,0.671189
-84.831604,0.678950
-85.830414,0.686453
-86.862572,0.694185
-87.861313,0.701640
-88.860130,0.709220
-89.892227,0.716890
-90.891098,0.724518
-91.889847,0.732260
-92.921997,0.739938
-93.920753,0.747460
-94.919624,0.754954
-95.951653,0.762792
-96.950531,0.770435
-97.949280,0.778244
-98.981438,0.786164
-99.980179,0.793222
-100.979065,0.800957
-102.011093,0.809054
-103.009964,0.816552
-104.008705,0.823992
-105.040863,0.831705
-106.039619,0.839423
-107.071777,0.847435
-108.070587,0.854964
-109.069389,0.862414
-110.101486,0.870355
-111.100304,0.877955
-112.099113,0.885226
-113.131271,0.893136
-114.130020,0.900718
-115.128899,0.908292
-116.160927,0.916409
-117.159798,0.923995
-118.158554,0.931297
-119.190704,0.939324
-120.189453,0.946923
-121.188255,0.954269
-122.220421,0.962160
-123.219162,0.969756
-124.218033,0.977293
-125.250061,0.985267
-126.248947,0.992700
-127.247688,1.000428
-128.279846,1.008190
-129.278656,1.015929
-130.277481,1.023352
-131.309555,1.031375
-132.308380,1.039013
-133.307190,1.046454
-134.339355,1.054333
-135.338089,1.061954
-136.336975,1.069465
-137.369003,1.077468
-138.367874,1.084943
-139.366684,1.092562
-140.398773,1.100546
-141.397583,1.108143
-142.396408,1.115923
-143.428497,1.123817
-144.427368,1.131348
-145.426117,1.138900
-146.458282,1.146897
-147.457077,1.154268
-148.455902,1.162023
-149.487991,1.169748
-150.486877,1.177526
-151.485611,1.185263
-152.517776,1.193223
-153.516525,1.200667
-154.515396,1.208444
-155.547485,1.216440
-156.546295,1.224128
-157.578400,1.232040
-158.577271,1.239436
-159.576004,1.247303
-160.608170,1.255133
-161.606918,1.262637
-162.605804,1.270122
-163.637894,1.278008
-164.636765,1.285831
-165.635513,1.293791
-166.667603,1.301551
-167.666428,1.309027
-168.665222,1.316702
-169.697372,1.324616
-170.696136,1.332267
-171.695007,1.340093
-172.727097,1.348007
-173.725922,1.355571
-174.724731,1.363435
-175.756882,1.371480
-176.755630,1.378938
-177.754501,1.386847
-178.786606,1.394530
-179.785477,1.402174
-180.784225,1.409863
-181.816376,1.417808
-182.815125,1.425634
-183.813995,1.433185
-184.846100,1.441124
-185.844971,1.448767
-186.843719,1.456460
-187.875870,1.464351
-188.874695,1.472251
-189.873505,1.479835
-190.905594,1.487912
-191.904465,1.495542
-192.903214,1.503379
-193.935364,1.511151
-194.934189,1.518828
-195.933060,1.526616
-196.965088,1.534756
-197.963959,1.542285
-198.962769,1.550056
-199.994934,1.558043
-200.993683,1.565748
-201.992554,1.573352
-203.024643,1.581505
-204.023468,1.589204
-205.022263,1.597060
-206.054428,1.605023
-207.053177,1.612879
-208.085403,1.620956
-209.084137,1.628620
-210.082886,1.636388
-211.115112,1.643919
-212.113861,1.651731
-213.112732,1.659858
-214.144836,1.667838
-215.143646,1.675503
-216.142456,1.683196
-217.174606,1.691179
-218.173355,1.697967
-219.172241,1.702893
-220.204330,1.712749
-221.203201,1.672885
-222.201950,1.722246
-223.234177,1.638708
-224.232925,1.643382
-225.231796,1.736044
-226.263885,1.762004
