2,Dallara IR01,baseline
Steering Wheel Angle,Yaw Rate
227.290115,1.504716
226.291382,1.497723
225.259277,1.510159
224.260529,1.511281
223.261749,1.505832
222.229706,1.500293
221.230927,1.493950
220.232147,1.486818
219.200073,1.479536
218.201324,1.472547
217.202515,1.465517
216.170486,1.458331
215.171677,1.451384
214.172928,1.445259
213.140839,1.438705
212.142090,1.431872
211.143280,1.424911
210.111252,1.417630
209.112442,1.410784
208.113693,1.403862
207.081604,1.396826
206.082840,1.389935
205.050766,1.382773
204.052017,1.375908
203.053238,1.369022
202.021164,1.361961
201.022385,1.355052
200.023605,1.348114
198.991516,1.341174
197.992783,1.334265
196.994003,1.327474
195.961929,1.320385
194.963150,1.313500
193.964371,1.306667
192.932281,1.299563
191.933533,1.292789
190.934753,1.285908
189.902695,1.278806
188.903946,1.271985
187.905136,1.265135
186.873108,1.258109
185.874298,1.251228
184.875549,1.244448
183.843445,1.237397
182.844696,1.230550
181.845901,1.223758
180.813843,1.216528
179.815063,1.209814
178.816269,1.203035
177.784180,1.195989
176.785431,1.189128
175.786636,1.182143
174.754608,1.173699
173.755783,1.166443
172.757034,1.159756
171.724945,1.152507
170.726196,1.145728
169.727371,1.138884
168.695328,1.131880
167.696548,1.125073
166.697769,1.118248
165.665665,1.111197
164.666916,1.104389
163.668106,1.097623
162.636078,1.090547
161.637283,1.083747
160.638535,1.076951
159.606430,1.069851
158.607651,1.063127
157.608841,1.056298
156.576813,1.049278
155.578003,1.042527
154.545944,1.035475
153.547165,1.028693
152.548386,1.021850
151.516296,1.014830
150.517532,1.007998
149.518738,1.001198
148.486664,0.994255
147.487885,0.987391
146.489105,0.980718
145.457016,0.973674
144.458267,0.966853
143.459503,0.960156
142.427399,0.953117
141.428650,0.946366
140.429840,0.939594
139.397781,0.932545
138.399002,0.925723
137.400223,0.919002
136.368118,0.911961
135.369385,0.905192
134.370560,0.898412
133.338501,0.891380
132.339691,0.884651
131.340958,0.877841
130.308853,0.870905
129.310074,0.864063
128.311264,0.857382
127.279228,0.850308
126.280426,0.843540
125.281647,0.836793
124.249550,0.829862
123.250801,0.823042
122.251991,0.816252
121.219940,0.809289
120.221115,0.802513
119.222366,0.795798
118.190239,0.788790
117.191505,0.782035
116.192688,0.775283
115.160629,0.768282
114.161819,0.761564
113.163063,0.754777
112.130974,0.747807
111.132202,0.741067
110.133385,0.734326
109.101326,0.727327
108.102509,0.720630
107.103767,0.713841
106.071671,0.706824
105.072891,0.700091
104.074081,0.693357
103.042015,0.686411
102.043213,0.679621
101.011185,0.672649
100.012398,0.665828
99.013596,0.659129
97.981529,0.652098
96.982719,0.645342
95.983971,0.638673
94.951881,0.631606
93.953102,0.624924
92.954285,0.618172
91.922226,0.611183
90.923409,0.604472
89.924667,0.597693
88.892548,0.590706
87.893791,0.583999
86.894981,0.577223
85.862923,0.570253
84.864113,0.563505
83.865334,0.556749
82.833237,0.549833
81.834457,0.543057
80.835648,0.536331
79.803581,0.529389
78.804771,0.522655
77.806030,0.515919
76.773903,0.508954
75.775154,0.502182
74.776337,0.495458
73.744286,0.488463
72.745476,0.481753
71.746696,0.475045
70.714600,0.468103
69.715820,0.461362
68.717003,0.454637
67.684944,0.447684
66.686142,0.440982
65.687355,0.434153
64.655266,0.427254
63.656487,0.420473
62.657673,0.413750
61.625610,0.406770
60.626797,0.400064
59.628021,0.393341
58.595932,0.386421
57.597145,0.379708
56.598400,0.372942
55.566277,0.366002
54.567528,0.359289
53.568687,0.352497
52.536625,0.345644
51.537811,0.338845
50.505753,0.331874
49.506939,0.325195
48.508160,0.318509
47.476070,0.311525
46.477287,0.304816
45.478477,0.298095
44.446415,0.291248
43.447601,0.284505
42.448826,0.277751
41.416702,0.270719
40.417953,0.264034
39.419140,0.257310
38.387077,0.250426
37.388233,0.243564
36.389488,0.236938
35.357365,0.230032
34.358585,0.223261
33.359772,0.216568
32.327709,0.209670
31.328901,0.202813
30.330120,0.196252
29.297997,0.189192
28.299248,0.182527
27.300406,0.175795
26.268345,0.168960
25.269531,0.162189
24.270754,0.155477
23.238661,0.148499
22.239880,0.141846
21.241070,0.135146
20.209009,0.128188
19.210163,0.121418
18.211416,0.114645
17.179293,0.107810
16.180511,0.101165
15.181702,0.094402
14.149640,0.087418
13.150796,0.080752
12.152049,0.073908
11.119988,0.066949
10.121144,0.060406
9.122396,0.053662
8.090272,0.046676
7.091493,0.040270
6.092681,0.034609
5.060620,0.028791
4.061809,0.023135
3.062997,0.017455
2.030904,0.011684
1.032093,0.006125
0.000000,0.000643
-0.998747,0.005468
-1.997624,0.011143
-3.029652,0.016939
-4.028464,0.022635
-5.027276,0.028282
-6.059368,0.034029
-7.058115,0.039821
-8.056992,0.046780
-9.089020,0.053545
-10.087896,0.060406
-11.086643,0.066947
-12.118735,0.073926
-13.117547,0.080714
-14.116360,0.087374
-15.148452,0.094391
-16.147263,0.101126
-17.146011,0.107732
-18.178169,0.114709
-19.176916,0.121490
-20.175728,0.128133
-21.207819,0.135090
-22.206633,0.141775
-23.205444,0.148428
-24.237535,0.155433
-25.236284,0.162136
-26.235159,0.168912
-27.267187,0.175929
-28.266064,0.182604
-29.264811,0.189290
-30.296968,0.196151
-31.295717,0.202911
-32.294464,0.209734
-33.326618,0.216591
-34.325367,0.223262
-35.324245,0.229997
-36.356274,0.236930
-37.355083,0.243685
-38.353897,0.250385
-39.385986,0.257303
-40.384800,0.263980
-41.383614,0.270768
-42.415703,0.277777
-43.414516,0.284492
-44.413265,0.291116
-45.445419,0.298148
-46.444168,0.304931
-47.443043,0.311517
-48.475071,0.318593
-49.473949,0.325264
-50.472694,0.331952
-51.504852,0.338974
-52.503601,0.345601
-53.535759,0.352520
-54.534504,0.359367
-55.533318,0.366003
-56.565411,0.372944
-57.564224,0.379719
-58.563034,0.386441
-59.595127,0.393317
-60.593937,0.400099
-61.592751,0.406842
-62.624840,0.413842
-63.623653,0.420527
-64.622467,0.427255
-65.654556,0.434181
-66.653366,0.440923
-67.652184,0.447654
-68.684273,0.454545
-69.683090,0.461304
-70.681831,0.468030
-71.713989,0.475035
-72.712738,0.481694
-73.711617,0.488462
-74.743645,0.495462
-75.742516,0.502238
-76.741264,0.508935
-77.773361,0.515904
-78.772171,0.522704
-79.770981,0.529383
-80.803070,0.536354
-81.801888,0.543176
-82.800697,0.549890
-83.832787,0.556815
-84.831604,0.563599
-85.830414,0.570283
-86.862572,0.577283
-87.861313,0.584106
-88.860130,0.590707
-89.892227,0.597745
-90.891098,0.604493
-91.889847,0.611224
-92.921997,0.618227
-93.920753,0.624984
-94.919624,0.631738
-95.951653,0.638679
-96.950531,0.645385
-97.949280,0.652117
-98.981438,0.659029
-99.980179,0.665877
-100.979065,0.672657
-102.011093,0.679651
-103.009964,0.686385
-104.008705,0.693129
-105.040863,0.700163
-106.039619,0.706951
-107.071777,0.713931
-108.070587,0.720576
-109.069389,0.727304
-110.101486,0.734313
-111.100304,0.741097
-112.099113,0.747824
-113.131271,0.754918
-114.130020,0.761633
-115.128899,0.768330
-116.160927,0.775348
-117.159798,0.782175
-118.158554,0.788941
-119.190704,0.795872
-120.189453,0.802653
-121.188255,0.809311
-122.220421,0.816426
-123.219162,0.823164
-124.218033,0.829862
-125.250061,0.836876
-126.248947,0.843620
-127.247688,0.850409
-128.279846,0.857421
-129.278656,0.864190
-130.277481,0.870995
-131.309555,0.878029
-132.308380,0.884803
-133.307190,0.891439
-134.339355,0.898487
-135.338089,0.905288
-136.336975,0.912228
-137.369003,0.919231
-138.367874,0.925848
-139.366684,0.932632
-140.398773,0.939639
-141.397583,0.946393
-142.396408,0.953244
-143.428497,0.960192
-144.427368,0.966927
-145.426117,0.973768
-146.458282,0.980718
-147.457077,0.987626
-148.455902,0.994410
-149.487991,1.001332
-150.486877,1.008286
-151.485611,1.014983
-152.517776,1.022088
-153.516525,1.028895
-154.515396,1.035593
-155.547485,1.042711
-156.546295,1.049467
-157.578400,1.056458
-158.577271,1.063318
-159.576004,1.070043
-160.608170,1.077084
-161.606918,1.083868
-162.605804,1.090740
-163.637894,1.097857
-164.636765,1.104567
-165.635513,1.111346
-166.667603,1.118558
-167.666428,1.125317
-168.665222,1.131994
-169.697372,1.139161
-170.696136,1.145942
-171.695007,1.152698
-172.727097,1.159838
-173.725922,1.166702
-174.724731,1.173435
-175.756882,1.180561
-176.755630,1.187351
-177.754501,1.194059
-178.786606,1.201264
-179.785477,1.207994
-180.784225,1.214911
-181.816376,1.221952
-182.815125,1.228770
-183.813995,1.235767
-184.846100,1.243938
-185.844971,1.250864
-186.843719,1.257927
-187.875870,1.265291
