2,Dallara P217 LMP2,baseline
Steering Wheel Angle,Yaw Rate
274.764984,2.241892
273.766174,2.219527
272.734131,2.249506
271.735382,2.248323
270.736603,2.197453
269.704529,2.281296
268.705780,2.246999
267.707001,2.244239
266.674927,2.238590
265.676178,2.233166
264.677399,2.266111
263.645355,2.263000
262.646576,2.260419
261.647827,2.255593
260.615753,2.247773
259.617004,2.240212
258.584900,2.228737
257.586182,2.189524
256.587372,2.180093
255.555344,2.171003
254.556549,2.162206
253.557785,2.153404
252.525742,2.144249
251.526947,2.135468
250.528183,2.126769
249.496140,2.117597
248.497330,2.092301
247.498581,2.083400
246.466522,2.074968
245.467773,2.066552
244.468964,2.110987
243.436951,2.097498
242.438156,2.093347
241.439392,2.088177
240.407318,2.032941
239.408585,2.002983
238.409760,2.000873
237.377716,1.981677
236.378922,1.999324
235.380157,1.965562
234.348114,1.999124
233.349335,1.932946
232.350586,1.933488
231.318527,1.918118
230.319733,1.902949
229.320969,1.885557
228.288895,1.871803
227.290115,1.915966
226.291382,1.886639
225.259277,1.882269
224.260529,1.893914
223.261749,1.873971
222.229706,1.868111
221.230927,1.872883
220.232147,1.898413
219.200073,1.892102
218.201324,1.887205
217.202515,1.878814
216.170486,1.869559
215.171677,1.860551
214.172928,1.851633
213.140839,1.842245
212.142090,1.833301
211.143280,1.824256
210.111252,1.814857
209.112442,1.805312
208.113693,1.795276
207.081604,1.784635
206.082840,1.774190
205.050766,1.763282
204.052017,1.752875
203.053238,1.744644
202.021164,1.735655
201.022385,1.727076
200.023605,1.719665
198.991516,1.712324
197.992783,1.704974
196.994003,1.697001
195.961929,1.687775
194.963150,1.678970
193.964371,1.670148
192.932281,1.659919
191.933533,1.650594
190.934753,1.641848
189.902695,1.633433
188.903946,1.623970
187.905136,1.615264
186.873108,1.606261
185.874298,1.597686
184.875549,1.588799
183.843445,1.579975
182.844696,1.571170
181.845901,1.562472
180.813843,1.553312
179.815063,1.544437
178.816269,1.535980
177.784180,1.526981
176.785431,1.518090
175.786636,1.509464
174.754608,1.500359
173.755783,1.491503
172.757034,1.483028
171.724945,1.473848
170.726196,1.465193
169.727371,1.456442
168.695328,1.447730
167.696548,1.438889
166.697769,1.430157
165.665665,1.421131
164.666916,1.412580
163.668106,1.403525
162.636078,1.394628
161.637283,1.386165
160.638535,1.377458
159.606430,1.368123
158.607651,1.359919
157.608841,1.351044
156.576813,1.341667
155.578003,1.333119
154.545944,1.324430
153.547165,1.315590
152.548386,1.306721
151.516296,1.298212
150.517532,1.289084
149.518738,1.280718
148.486664,1.272077
147.487885,1.262952
146.489105,1.254024
145.457016,1.245496
144.458267,1.236701
143.459503,1.228107
142.427399,1.218825
141.428650,1.210407
140.429840,1.201717
139.397781,1.192851
138.399002,1.184194
137.400223,1.175475
136.368118,1.166649
135.369385,1.157781
134.370560,1.149171
133.338501,1.140209
132.339691,1.131676
131.340958,1.123056
130.308853,1.113983
129.310074,1.105337
128.311264,1.096639
127.279228,1.087700
126.280426,1.078972
125.281647,1.070345
124.249550,1.061739
123.250801,1.052804
122.251991,1.044296
121.219940,1.035458
120.221115,1.026549
119.222366,1.018274
118.190239,1.009278
117.191505,1.000575
116.192688,0.991863
115.160629,0.983131
114.161819,0.974436
113.163063,0.965619
112.130974,0.956944
111.132202,0.948200
110.133385,0.939704
109.101326,0.930759
108.102509,0.922305
107.103767,0.914013
106.071671,0.904697
105.072891,0.896024
104.074081,0.887489
103.042015,0.878333
102.043213,0.869856
101.011185,0.860852
100.012398,0.852432
99.013596,0.843891
97.981529,0.834890
96.982719,0.826219
95.983971,0.817635
94.951881,0.808795
93.953102,0.800279
92.954285,0.791443
91.922226,0.782649
90.923409,0.774030
89.924667,0.765486
88.892548,0.756598
87.893791,0.747957
86.894981,0.739353
85.862923,0.730546
84.864113,0.722181
83.865334,0.713383
82.833237,0.704491
81.834457,0.696101
80.835648,0.687127
79.803581,0.678323
78.804771,0.670025
77.806030,0.661259
76.773903,0.652296
75.775154,0.643827
74.776337,0.635083
73.744286,0.626400
72.745476,0.618018
71.746696,0.609298
70.714600,0.600187
69.715820,0.591968
68.717003,0.583196
67.684944,0.574615
66.686142,0.565964
65.687355,0.556944
64.655266,0.548524
63.656487,0.539565
62.657673,0.530965
61.625610,0.522376
60.626797,0.513642
59.628021,0.505246
58.595932,0.496136
57.597145,0.487949
56.598400,0.479341
