2,Dirt 358 Modified,baseline
Steering Wheel Angle,Yaw Rate
121.219940,2.631141
120.221115,2.549484
119.222366,2.482948
118.190239,2.455904
117.191505,2.452987
116.192688,2.467492
115.160629,2.499035
114.161819,2.548284
113.163063,2.618121
112.130974,2.710617
111.132202,2.819503
110.133385,2.896777
109.101326,2.947057
108.102509,2.972697
107.103767,2.984140
106.071671,2.982493
105.072891,2.968884
104.074081,2.932648
103.042015,2.880052
102.043213,2.837477
101.011185,2.798909
100.012398,2.763305
99.013596,2.739308
97.981529,2.717027
96.982719,2.676059
95.983971,2.649960
94.951881,2.626990
93.953102,2.607840
92.954285,2.575144
91.922226,2.538083
90.923409,2.526878
89.924667,2.509198
88.892548,2.477730
87.893791,2.455150
86.894981,2.440539
85.862923,2.412295
84.864113,2.393461
83.865334,2.372358
82.833237,2.349066
81.834457,2.327924
80.835648,2.307242
79.803581,2.286374
78.804771,2.266115
77.806030,2.246509
76.773903,2.226471
75.775154,2.208126
74.776337,2.191913
73.744286,2.180340
72.745476,2.178588
71.746696,2.196547
70.714600,2.186969
69.715820,2.167747
68.717003,2.148150
67.684944,2.146355
66.686142,1.937785
65.687355,2.174297
64.655266,1.795925
63.656487,2.027569
62.657673,2.124736
61.625610,1.902039
60.626797,2.072526
59.628021,2.039043
58.595932,2.007493
57.597145,1.965639
56.598400,1.922592
55.566277,1.874138
54.567528,1.822256
53.568687,1.765714
52.536625,1.704545
51.537811,1.643892
50.505753,1.322642
49.506939,1.446471
48.508160,1.387323
47.476070,1.429439
46.477287,1.427487
45.478477,1.433502
44.446415,1.430196
43.447601,1.421728
42.448826,1.362056
41.416702,1.351244
40.417953,1.328940
39.419140,1.314965
38.387077,1.297762
37.388233,1.282260
36.389488,1.260447
35.357365,1.235984
34.358585,1.209387
33.359772,1.180950
32.327709,1.149723
31.328901,1.116821
30.330120,1.081352
29.297997,1.043212
28.299248,1.002765
27.300406,0.959848
26.268345,0.913715
25.269531,0.910833
24.270754,0.858491
23.238661,0.810071
22.239880,0.764471
21.241070,0.721160
20.209009,0.680676
19.210163,0.643131
18.211416,0.608190
17.179293,0.574929
16.180511,0.544455
15.181702,0.514190
14.149640,0.483064
13.150796,0.453070
12.152049,0.424085
11.119988,0.394992
10.121144,0.367042
9.122396,0.339471
8.090272,0.311916
7.091493,0.285216
6.092681,0.260101
5.060620,0.250432
4.061809,0.235883
3.062997,0.223342
2.030904,0.207618
1.032093,0.192680
0.000000,0.176674
-0.998747,0.161510
-1.997624,0.146315
-3.029652,0.130666
-4.028464,0.115389
-5.027276,0.100243
-6.059368,0.084590
-7.058115,0.069194
-8.056992,0.053848
-9.089020,0.038060
-10.087896,0.022756
-11.086643,0.007420
-12.118735,0.009130
-13.117547,0.023639
-14.116360,0.039552
-15.148452,0.056003
-16.147263,0.071084
-17.146011,0.085181
-18.178169,0.093905
-19.176916,0.108029
-20.175728,0.091492
-21.207819,0.111144
-22.206633,0.121223
-23.205444,0.140677
-24.237535,0.158968
-25.236284,0.180498
-26.235159,0.206316
-27.267187,0.234172
-28.266064,0.264720
-29.264811,0.290133
-30.296968,0.316751
-31.295717,0.345758
-32.294464,0.371348
-33.326618,0.398002
-34.325367,0.424429
-35.324245,0.451083
-36.356274,0.479613
-37.355083,0.506684
-38.353897,0.534034
-39.385986,0.561765
-40.384800,0.589183
-41.383614,0.616509
-42.415703,0.644705
-43.414516,0.672075
-44.413265,0.699416
-45.445419,0.727475
-46.444168,0.755594
-47.443043,0.782932
-48.475071,0.811224
-49.473949,0.838940
-50.472694,0.866604
-51.504852,0.894422
-52.503601,0.922588
-53.535759,0.950738
-54.534504,0.979239
-55.533318,1.006922
-56.565411,1.035777
-57.564224,1.062972
-58.563034,1.090570
-59.595127,1.118680
-60.593937,1.146399
-61.592751,1.173962
-62.624840,1.202012
-63.623653,1.229355
-64.622467,1.256896
-65.654556,1.160909
-66.653366,0.991154
-67.652184,1.004863
-68.684273,1.036522
-69.683090,1.062021
-70.681831,1.088903
-71.713989,1.118185
-72.712738,1.146298
-73.711617,1.174917
-74.743645,1.204422
-75.742516,1.233544
-76.741264,1.262181
-77.773361,1.291931
-78.772171,1.320617
-79.770981,1.349357
-80.803070,1.379056
-81.801888,1.408180
-82.800697,1.437460
-83.832787,1.466880
-84.831604,1.495765
-85.830414,1.524304
-86.862572,1.555605
-87.861313,1.584072
-88.860130,1.612412
-89.892227,1.641990
-90.891098,1.671051
-91.889847,1.699837
-92.921997,1.729460
-93.920753,1.758115
-94.919624,1.787097
-95.951653,1.816067
-96.950531,1.844866
-97.949280,1.873224
-98.981438,1.902215
-99.980179,1.930823
-100.979065,1.959333
-102.011093,1.988147
-103.009964,2.016472
-104.008705,2.044713
-105.040863,2.073103
-106.039619,2.100742
-107.071777,2.129000
-108.070587,2.156862
-109.069389,2.184466
-110.101486,2.212375
-111.100304,2.239690
-112.099113,2.266910
-113.131271,2.294217
-114.130020,2.321090
-115.128899,2.347452
-116.160927,2.374078
-117.159798,2.400641
-118.158554,2.426520
-119.190704,2.452594
-120.189453,2.478383
-121.188255,2.499078
