2,Dirt Big Block Modified,baseline
Steering Wheel Angle,Yaw Rate
113.163063,2.441911
112.130974,2.357389
111.132202,2.296172
110.133385,2.290748
109.101326,2.320220
108.102509,2.381296
107.103767,2.476612
106.071671,2.589983
105.072891,2.658005
104.074081,2.698296
103.042015,2.722060
102.043213,2.743263
101.011185,2.751206
100.012398,2.761662
99.013596,2.759305
97.981529,2.740092
96.982719,2.717931
95.983971,2.704518
94.951881,2.686978
93.953102,2.666277
92.954285,2.644481
91.922226,2.579054
90.923409,2.543649
89.924667,2.508195
88.892548,2.478991
87.893791,2.452342
86.894981,2.427946
85.862923,2.402410
84.864113,2.377814
83.865334,2.354518
82.833237,2.331626
81.834457,2.308066
80.835648,2.286170
79.803581,2.264074
78.804771,2.241473
77.806030,2.219797
76.773903,2.197483
75.775154,2.177133
74.776337,2.155337
73.744286,2.134993
72.745476,2.114882
71.746696,2.095025
70.714600,2.075322
69.715820,2.056393
68.717003,2.037547
67.684944,2.020504
66.686142,2.008367
65.687355,2.001778
64.655266,2.009582
63.656487,2.029680
62.657673,2.010930
61.625610,1.990738
60.626797,1.970589
59.628021,1.950502
58.595932,1.913893
57.597145,1.780097
56.598400,1.752689
55.566277,1.587725
54.567528,1.502014
53.568687,1.928213
52.536625,1.864470
51.537811,1.843612
50.505753,1.802317
49.506939,1.759943
48.508160,1.712431
47.476070,1.659413
46.477287,1.601383
45.478477,1.537883
44.446415,1.470106
43.447601,1.410889
42.448826,1.225279
41.416702,1.138387
40.417953,1.127487
39.419140,1.161519
38.387077,1.166988
37.388233,1.173579
36.389488,1.169468
35.357365,1.166713
34.358585,1.157854
33.359772,1.145998
32.327709,1.128197
31.328901,1.106155
30.330120,1.084321
29.297997,1.060166
28.299248,1.033288
27.300406,1.003983
26.268345,0.971412
25.269531,0.936703
24.270754,0.898935
23.238661,0.857840
22.239880,0.813875
21.241070,0.767033
20.209009,0.716916
19.210163,0.664595
18.211416,0.611405
17.179293,0.570454
16.180511,0.529391
15.181702,0.491255
14.149640,0.454106
13.150796,0.419288
12.152049,0.385776
11.119988,0.352720
10.121144,0.320629
9.122396,0.289428
8.090272,0.293963
7.091493,0.259651
6.092681,0.228826
5.060620,0.197316
4.061809,0.165880
3.062997,0.135828
2.030904,0.121998
1.032093,0.109491
0.000000,0.093549
-0.998747,0.077863
-1.997624,0.062434
-3.029652,0.046351
-4.028464,0.031358
-5.027276,0.015669
-6.059368,0.004267
-7.058115,0.015652
-8.056992,0.031220
-9.089020,0.047380
-10.087896,0.062926
-11.086643,0.078263
-12.118735,0.092675
-13.117547,0.105877
-14.116360,0.120051
-15.148452,0.135943
-16.147263,0.150690
-17.146011,0.165293
-18.178169,0.182701
-19.176916,0.196775
-20.175728,0.210722
-21.207819,0.226838
-22.206633,0.241083
-23.205444,0.255993
-24.237535,0.270934
-25.236284,0.285273
-26.235159,0.300100
-27.267187,0.314809
-28.266064,0.329165
-29.264811,0.343333
-30.296968,0.358099
-31.295717,0.371990
-32.294464,0.350071
-33.326618,0.392021
-34.325367,0.396511
-35.324245,0.402546
-36.356274,0.434213
-37.355083,0.459840
-38.353897,0.486942
-39.385986,0.512422
-40.384800,0.538669
-41.383614,0.564926
-42.415703,0.591334
-43.414516,0.618670
-44.413265,0.645696
-45.445419,0.673349
-46.444168,0.700936
-47.443043,0.728763
-48.475071,0.756464
-49.473949,0.783628
-50.472694,0.811035
-51.504852,0.839525
-52.503601,0.866310
-53.535759,0.894537
-54.534504,0.922089
-55.533318,0.949553
-56.565411,0.977401
-57.564224,1.004220
-58.563034,1.031859
-59.595127,0.939055
-60.593937,0.789757
-61.592751,0.793715
-62.624840,0.824143
-63.623653,0.850843
-64.622467,0.879105
-65.654556,0.908251
-66.653366,0.936821
-67.652184,0.965733
-68.684273,0.995261
-69.683090,1.024284
-70.681831,1.053274
-71.713989,1.083263
-72.712738,1.112531
-73.711617,1.142117
-74.743645,1.171422
-75.742516,1.200620
-76.741264,1.231049
-77.773361,1.261244
-78.772171,1.290099
-79.770981,1.319125
-80.803070,1.348780
-81.801888,1.379387
-82.800697,1.408525
-83.832787,1.438396
-84.831604,1.467993
-85.830414,1.496567
-86.862572,1.526935
-87.861313,1.555148
-88.860130,1.585432
-89.892227,1.614912
-90.891098,1.643737
-91.889847,1.672646
-92.921997,1.702205
-93.920753,1.731216
-94.919624,1.759718
-95.951653,1.789871
-96.950531,1.818437
-97.949280,1.846570
-98.981438,1.875069
-99.980179,1.902824
-100.979065,1.930704
-102.011093,1.959120
-103.009964,1.986559
-104.008705,2.013524
-105.040863,2.041119
-106.039619,2.068270
-107.071777,2.097354
-108.070587,2.122416
-109.069389,2.148438
-110.101486,2.174788
-111.100304,2.199775
-112.099113,2.225366
-113.131271,2.244577
