2,Dirt Limited Late Model,baseline
Steering Wheel Angle,Yaw Rate
289.296204,4.928610
288.047699,4.879325
286.799255,4.852714
285.509155,4.861139
284.260742,4.877280
283.012207,4.872124
281.722137,4.888876
280.473663,4.919566
279.225189,4.901182
277.935150,4.877254
276.686676,4.836221
275.438232,4.767632
274.148163,4.698041
272.899658,4.629388
271.651215,4.560270
270.361115,4.490592
269.112640,4.423007
267.864227,4.357940
266.574097,4.349966
265.325653,4.351596
264.077179,4.288408
262.787140,4.236009
261.538666,4.193706
260.290192,4.155586
259.000092,4.120316
257.751648,4.086845
256.503143,4.054685
255.213104,4.023623
253.964600,3.993310
252.716156,3.963613
251.426056,3.934642
250.177612,3.906604
248.929108,3.879095
247.639069,3.852733
246.390549,3.826991
245.142120,3.802435
243.852005,3.778736
242.603546,3.756157
241.313461,3.734957
240.065018,3.714761
238.816544,3.695666
237.526459,3.677916
236.277985,3.661314
235.029510,3.645886
233.739395,3.631733
232.490982,3.618725
231.242508,3.601767
229.952408,3.629399
228.703934,3.681979
227.455460,3.654140
226.165344,3.636689
224.916916,3.615667
223.668442,3.597439
222.378372,3.582571
221.129929,3.579239
219.881424,3.626775
218.591385,3.631828
217.342865,3.610957
216.094437,3.591180
214.804306,3.587690
213.555878,3.661536
212.307373,3.673035
211.017303,3.652371
209.768829,3.608094
208.520340,3.563266
207.230225,3.519385
205.981781,3.477545
204.733292,3.489532
203.443268,3.432762
202.194733,3.380344
200.946289,3.325127
199.656189,3.270454
198.407745,3.210298
197.159210,3.187879
195.869156,3.193992
194.620682,3.151519
193.372208,3.130789
192.082077,3.064268
190.833649,2.998435
189.585129,2.942366
188.295105,2.892515
187.046600,2.849928
185.798172,2.813993
184.508041,2.784215
183.259567,2.759975
182.011047,2.702184
180.721008,2.812914
179.472504,2.770369
178.182434,2.760139
176.933960,2.749440
175.685486,2.711262
174.395370,2.815455
173.146912,2.803689
171.898422,2.802096
170.608337,2.875417
169.359863,2.881831
168.111389,2.903002
166.821274,2.931113
165.572830,2.967283
164.324371,3.011077
163.034241,3.061745
161.785812,3.118464
160.537292,3.180824
159.247223,3.247482
157.998749,3.316802
156.750275,3.386409
155.460144,3.451866
154.211731,3.504681
152.963196,3.497082
151.673126,3.454228
150.424622,3.407836
149.176193,3.360150
147.886063,3.312109
146.637589,3.263597
145.389084,3.213754
144.099030,3.162385
142.850525,3.114926
141.602051,3.193111
140.311935,3.223885
139.063507,3.166089
137.814987,3.105012
136.524933,3.052757
135.276398,3.004487
134.027954,2.959824
132.737793,2.918360
131.489380,2.880635
130.240860,2.841402
128.950790,2.791428
127.702271,2.712785
126.453827,2.699059
125.163719,2.659120
123.915253,2.622806
122.666733,2.587270
121.376656,2.551750
120.128136,2.517994
118.879707,2.512497
117.589584,2.492916
116.341110,2.458564
115.092606,2.495505
113.802521,2.415984
112.554016,2.390317
111.263977,2.354072
110.015495,2.327963
108.766998,2.301301
107.476913,2.275544
106.228401,2.252120
104.979965,2.229740
103.689850,2.205245
102.441376,2.181586
101.192856,2.158141
99.902786,2.133163
98.654259,2.106284
97.405838,2.079536
96.115685,2.049919
94.867241,2.022756
93.618729,1.996427
92.328651,1.968867
91.080139,1.942709
89.831665,1.917833
88.541550,1.890774
87.293076,1.863877
86.044556,1.838919
84.754478,1.811242
83.505966,1.786406
82.257538,1.975862
80.967377,1.912994
79.718941,1.843781
78.470421,1.924087
77.180359,1.913159
75.931847,2.038788
74.683372,1.959770
73.393250,1.910247
72.144775,1.864882
70.896255,1.822427
69.606178,1.695422
68.357681,1.522274
67.109192,1.652651
65.819084,1.548509
64.570610,1.556933
63.322090,1.534531
62.032013,1.515195
60.783497,1.497208
59.535027,1.480334
58.244915,1.462937
56.996429,1.446570
55.748001,1.429479
54.457848,1.411670
53.209412,1.394778
51.960861,1.378147
50.670780,1.359957
49.422264,1.343577
48.132191,1.325952
46.883675,1.309043
45.635201,1.292310
44.345089,1.274898
43.096611,1.257734
41.848099,1.241017
40.558018,1.223713
39.309502,1.206509
38.061031,1.189761
36.770878,1.167015
35.522442,1.139384
34.273926,1.109942
32.983849,1.076981
31.735291,1.060631
30.486860,1.026398
29.196705,0.985829
27.948231,0.943094
26.699715,0.896790
25.409637,0.852070
24.161127,0.806210
22.912651,0.761548
21.622496,0.716463
20.374060,0.671031
19.125507,0.625724
17.835430,0.580164
16.586914,0.535455
15.338442,0.491086
14.048326,0.446379
12.799850,0.402921
11.551337,0.360317
10.261261,0.361414
9.012704,0.336060
7.764270,0.329420
6.474116,0.308702
5.225639,0.294521
3.977127,0.280022
2.687050,0.263373
1.438495,0.247537
0.190061,0.231721
-1.100014,0.214988
-2.348570,0.199230
-3.597004,0.183358
-4.887160,0.165998
-6.135634,0.148851
-7.384149,0.131619
-8.674225,0.113475
-9.922739,0.095015
-11.171254,0.076357
-12.461369,0.069191
-13.709884,0.039931
-15.000000,0.066335
-16.248434,0.034583
-17.497028,0.029438
-18.787064,0.004189
-20.035580,0.030303
-21.284094,0.052539
-22.574211,0.084466
-23.822643,0.106479
-25.071239,0.136926
-26.361275,0.161727
-27.609871,0.180625
-28.858303,0.205834
-30.148420,0.236586
-31.396933,0.261512
-32.645451,0.290991
-33.935566,0.318444
-35.184078,0.344853
-36.432514,0.372744
-37.722710,0.401094
-38.971146,0.428409
-40.219658,0.456636
-41.509773,0.485032
-42.758293,0.512419
-44.006805,0.540999
-45.296917,0.569087
-46.545353,0.596769
-47.793953,0.625725
-49.083984,0.652986
-50.332581,0.682172
-51.581009,0.709026
-52.871208,0.740012
-54.119644,0.766201
-55.368080,0.794257
-56.658272,0.823506
-57.906708,0.852014
-59.155308,0.878682
-60.445343,0.909568
-61.693855,0.936083
-62.942371,0.965037
-64.232483,0.994462
-65.481003,1.021086
-66.729515,1.050990
-68.019630,1.078837
-69.268143,1.107097
-70.516579,1.135915
-71.806778,1.164110
-73.055206,1.191888
-74.303802,1.222228
-75.593842,1.248441
-76.842438,1.279833
-78.090866,1.304774
-79.381065,1.294022
-80.629501,1.346221
-81.919701,1.366184
-83.168121,1.392970
-84.416649,1.425051
-85.706772,1.453219
-86.955276,1.481452
-88.203796,1.510232
-89.493904,1.539616
-90.742416,1.568226
-91.990936,1.596192
-93.281052,1.626742
-94.529572,1.654136
-95.778084,1.683798
-97.068192,1.712719
-98.316711,1.740558
-99.565231,1.770236
-100.855339,1.798921
-102.103867,1.827811
-103.352287,1.856428
-104.642487,1.884803
-105.890923,1.915691
-107.139519,1.940851
-108.429558,1.975026
-109.678146,1.998750
-110.926582,2.032641
-112.216705,2.057143
-113.465210,2.087848
-114.713730,2.116590
-116.003838,2.145102
-117.252357,2.174693
-118.500870,2.201020
-119.790985,2.234437
-121.039505,2.258333
-122.288017,2.291712
-123.578217,2.320533
-124.826645,2.346226
-126.075165,2.374822
-127.365280,2.404424
-128.613876,2.436265
-129.862305,2.459016
-131.152496,2.494146
-132.400940,2.519170
-133.649536,2.549477
-134.939560,2.578992
-136.188171,2.607111
-137.436600,2.570556
-138.726791,2.602807
-139.975220,2.630758
-141.223831,2.663300
-142.513870,2.693882
-143.762451,2.730426
-145.010880,2.742913
-146.301086,2.764906
-147.549530,2.786175
-148.839722,2.810791
-150.088226,2.836185
-151.336731,2.860405
-152.626862,2.881383
-153.875381,2.905032
-155.123886,2.928374
-156.414093,2.950460
-157.662521,2.975144
-158.911118,2.995793
-160.201141,3.020779
-161.449738,3.041551
-162.698196,3.064474
-163.988373,3.088795
-165.236816,3.109305
-166.485321,3.134266
-167.775543,3.155913
-169.023956,3.179204
-170.272537,3.201834
-171.562576,3.225102
-172.811188,3.247442
-174.059601,3.270616
-175.349808,3.293303
-176.598328,3.316975
-177.846848,3.338217
-179.136948,3.362900
-180.385468,3.385091
-181.633987,3.408265
-182.924194,3.431274
-184.172607,3.454127
-185.421219,3.476366
-186.711258,3.498486
-187.959839,3.523831
-189.208359,3.544637
-190.498474,3.568497
-191.746979,3.590090
-192.995514,3.613998
-194.285614,3.636555
-195.534210,3.659686
-196.782654,3.683144
-198.072845,3.704029
-199.321350,3.728095
-200.569885,3.748806
-201.859985,3.784729
-203.108597,3.791052
-204.357010,3.822119
-205.647217,3.840816
-206.895660,3.865886
-208.144241,3.889723
-209.434357,3.911338
-210.682861,3.935902
-211.972992,3.959236
-213.221588,3.982762
-214.470001,4.005147
-215.760208,4.029675
-217.008652,4.052989
-218.257263,4.074285
-219.547363,4.100976
-220.795959,4.121436
-222.044388,4.147326
-223.334503,4.171589
-224.583038,4.193764
-225.831528,4.217445
