2,Dirt Midget,baseline
Steering Wheel Angle,Yaw Rate
131.340958,1.679671
130.308853,1.572378
129.310074,1.392846
128.311264,1.274917
127.279228,1.218836
126.280426,1.140483
125.281647,1.080142
124.249550,1.025331
123.250801,0.986940
122.251991,1.548330
121.219940,2.328784
120.221115,3.195095
119.222366,3.949474
118.190239,4.525760
117.191505,4.913360
116.192688,5.290101
115.160629,5.462584
114.161819,5.464290
113.163063,5.610500
112.130974,5.592886
111.132202,5.574195
110.133385,5.656837
109.101326,5.702262
108.102509,5.686832
107.103767,5.642234
106.071671,5.590921
105.072891,5.529007
104.074081,5.458221
103.042015,5.371303
102.043213,5.279544
101.011185,5.128987
100.012398,4.994064
99.013596,4.950387
97.981529,4.895868
96.982719,4.824807
95.983971,4.780716
94.951881,4.716002
93.953102,4.660141
92.954285,4.604721
91.922226,4.555120
90.923409,4.555846
89.924667,4.521849
88.892548,4.461686
87.893791,4.389802
86.894981,4.307571
85.862923,4.213200
84.864113,4.121504
83.865334,4.020314
82.833237,3.996232
81.834457,3.959977
80.835648,3.949641
79.803581,3.889124
78.804771,3.847168
77.806030,3.715914
76.773903,3.586155
75.775154,3.547527
74.776337,3.493574
73.744286,3.440957
72.745476,3.394664
71.746696,3.342420
70.714600,3.292363
69.715820,3.232397
68.717003,3.171688
67.684944,3.113636
66.686142,3.050272
65.687355,2.986387
64.655266,2.913505
63.656487,2.828520
62.657673,2.779417
61.625610,2.893199
60.626797,2.867958
59.628021,2.558546
58.595932,2.525401
57.597145,2.488835
56.598400,2.404780
55.566277,2.389552
54.567528,2.327216
53.568687,2.266904
52.536625,2.200299
51.537811,2.142761
50.505753,2.070426
49.506939,2.011271
48.508160,1.962345
47.476070,1.914304
46.477287,1.869893
45.478477,1.836422
44.446415,1.804355
43.447601,1.858659
42.448826,1.825412
41.416702,1.911031
40.417953,1.741489
39.419140,1.682580
38.387077,1.610028
37.388233,1.552080
36.389488,1.500849
35.357365,1.463637
34.358585,1.435061
33.359772,1.386657
32.327709,1.347535
31.328901,1.312761
30.330120,1.351186
29.297997,1.148350
28.299248,1.101392
27.300406,1.115830
26.268345,1.061114
25.269531,1.032707
24.270754,1.001686
23.238661,0.966621
22.239880,0.935079
21.241070,0.903631
20.209009,0.870468
19.210163,0.836511
18.211416,0.802633
17.179293,0.768506
16.180511,0.736055
15.181702,0.704591
14.149640,0.671980
13.150796,0.640654
12.152049,0.609658
11.119988,0.578381
10.121144,0.546091
9.122396,0.512917
8.090272,0.480080
7.091493,0.448796
6.092681,0.419725
5.060620,0.388151
4.061809,0.359257
3.062997,0.326392
2.030904,0.294034
1.032093,0.263284
0.000000,0.234720
-0.998747,0.205269
-1.997624,0.173704
-3.029652,0.143338
-4.028464,0.063540
-5.027276,0.035048
-6.059368,0.110853
-7.058115,0.180309
-8.056992,0.186293
-9.089020,0.227961
-10.087896,0.326715
-11.086643,0.359732
-12.118735,0.354236
-13.117547,0.407939
-14.116360,0.598126
-15.148452,0.492403
-16.147263,0.545071
-17.146011,0.574590
-18.178169,0.617609
-19.176916,0.740666
-20.175728,0.715902
-21.207819,0.826255
-22.206633,0.938805
-23.205444,0.825506
-24.237535,0.870083
-25.236284,0.913036
-26.235159,1.134315
-27.267187,1.197729
-28.266064,1.219794
-29.264811,1.164304
-30.296968,1.135090
-31.295717,1.228913
-32.294464,1.431167
-33.326618,1.404819
-34.325367,1.536690
-35.324245,1.240989
-36.356274,1.450844
-37.355083,1.506758
-38.353897,1.605934
-39.385986,1.648752
-40.384800,1.647597
-41.383614,1.767899
-42.415703,1.607021
-43.414516,1.589446
-44.413265,1.670645
-45.445419,2.033198
-46.444168,1.762695
-47.443043,1.983706
-48.475071,2.050282
-49.473949,2.156533
-50.472694,2.200633
-51.504852,2.281258
-52.503601,2.355126
-53.535759,2.064819
-54.534504,2.172238
-55.533318,2.243232
-56.565411,2.305492
-57.564224,2.370511
-58.563034,2.422703
-59.595127,2.478275
-60.593937,2.494776
-61.592751,2.539386
-62.624840,2.660230
-63.623653,2.870330
-64.622467,2.781187
-65.654556,2.843049
-66.653366,2.853189
-67.652184,2.953090
-68.684273,3.055227
-69.683090,3.151209
-70.681831,3.051100
-71.713989,3.001796
-72.712738,2.996457
-73.711617,3.153430
-74.743645,3.395967
-75.742516,3.484010
-76.741264,3.499798
-77.773361,3.520048
-78.772171,3.621598
-79.770981,3.722680
-80.803070,3.859126
-81.801888,3.963837
-82.800697,3.666730
-83.832787,3.621259
-84.831604,3.687165
-85.830414,3.738425
-86.862572,3.775366
-87.861313,3.810302
-88.860130,3.845234
-89.892227,4.203205
-90.891098,4.472390
-91.889847,4.450087
-92.921997,4.656471
-93.920753,4.871650
-94.919624,4.762573
-95.951653,4.494658
-96.950531,4.592118
-97.949280,4.773077
-98.981438,4.892150
-99.980179,4.964162
-100.979065,4.800250
-102.011093,4.709067
-103.009964,4.720323
-104.008705,5.146137
-105.040863,5.089398
-106.039619,5.115634
-107.071777,5.226646
-108.070587,5.467046
-109.069389,5.824386
-110.101486,6.010131
-111.100304,6.102778
-112.099113,6.170782
-113.131271,6.057515
-114.130020,5.982346
-115.128899,5.783953
-116.160927,5.758264
-117.159798,5.782818
-118.158554,5.686340
-119.190704,5.731188
-120.189453,5.995208
-121.188255,6.440691
-122.220421,6.758776
-123.219162,6.935405
-124.218033,7.031238
-125.250061,7.071133
-126.248947,7.453869
-127.247688,8.290730
-128.279846,8.970372
-129.278656,9.929806
-130.277481,11.669104
-131.309555,6.868574
