2,Dirt Mini Stock,baseline
Steering Wheel Angle,Yaw Rate
394.949005,3.098528
393.950256,3.113307
392.951538,3.124367
391.919495,3.065371
390.920715,3.070471
389.921997,3.066605
388.889893,3.060330
387.891144,3.052673
386.892426,3.042963
385.860382,3.030582
384.861633,3.015682
383.862885,3.000532
382.830811,2.984013
381.832031,3.023159
380.833282,2.989113
379.801239,2.965465
378.802521,2.948630
377.803772,2.933676
376.771698,2.923273
375.772919,2.923276
374.774170,2.926296
373.742157,2.921722
372.743378,2.914920
371.744659,2.904004
370.712555,2.885334
369.713837,2.871073
368.715057,2.865035
367.683044,2.861907
366.684296,2.847337
365.685516,2.832861
364.653442,2.826444
363.654724,2.821098
362.622681,2.805575
361.623901,2.794315
360.625153,2.790425
359.593109,2.774935
358.594330,2.763198
357.595612,2.759592
356.563568,2.745860
355.564758,2.733250
354.566010,2.728989
353.533997,2.715023
352.535248,2.703044
351.536469,2.698519
350.504425,2.685925
349.505646,2.673081
348.506927,2.665041
347.474854,2.657925
346.476105,2.645863
345.477325,2.634779
344.445282,2.627882
343.446533,2.617887
342.447784,2.607037
341.415710,2.597212
340.416962,2.589822
339.418213,2.580900
338.386139,2.571118
337.387360,2.560871
336.388641,2.552917
335.356598,2.546000
334.357849,2.536305
333.359039,2.525551
332.326996,2.519892
331.328247,2.514260
330.329498,2.502984
329.297424,2.491915
328.298645,2.489451
327.299927,2.484401
326.267853,2.471412
325.269073,2.460726
324.270355,2.461499
323.238281,2.456514
322.239502,2.441736
321.240784,2.432438
320.208710,2.435135
319.209961,2.425872
318.211212,2.410955
317.179138,2.413503
316.180359,2.407907
315.181641,2.392884
314.149536,2.389980
313.150787,2.388356
312.152069,2.374456
311.119995,2.367022
310.121185,2.367525
309.089172,2.353408
308.090393,2.347427
307.091644,2.346694
306.059570,2.332196
305.060852,2.325821
304.062042,2.324329
303.029999,2.309787
302.031219,2.305879
301.032471,2.298981
300.000427,2.288404
299.001678,2.285180
298.002899,2.270999
296.970825,2.270270
295.972076,2.256536
294.973328,2.251512
293.941254,2.244944
292.942474,2.232455
291.943726,2.229314
290.911652,2.216499
289.912903,2.212667
288.914154,2.200780
287.882080,2.195247
286.883301,2.185716
285.884552,2.179436
284.852478,2.168943
283.853729,2.162569
282.854980,2.152119
281.822876,2.143407
280.824127,2.137361
279.825317,2.130055
278.793304,2.117923
277.794556,2.111540
276.795776,2.103658
275.763702,2.095923
274.764984,2.084175
273.766174,2.080302
272.734131,2.067204
271.735382,2.061203
270.736603,2.052626
269.704529,2.044758
268.705780,2.035069
267.707001,2.027856
266.674927,2.018600
265.676178,2.009596
264.677399,2.003113
263.645355,1.991301
262.646576,1.984425
261.647827,1.977393
260.615753,1.967935
259.617004,1.959537
258.584900,1.950475
257.586182,1.943080
256.587372,1.933929
255.555344,1.925863
254.556549,1.916073
253.557785,1.908852
252.525742,1.900090
251.526947,1.892182
250.528183,1.882904
249.496140,1.874327
248.497330,1.863656
247.498581,1.852872
246.466522,1.845705
245.467773,1.835028
244.468964,1.827384
243.436951,1.817636
242.438156,1.807981
241.439392,1.800556
240.407318,1.790412
239.408585,1.780548
238.409760,1.770522
237.377716,1.762741
236.378922,1.749999
235.380157,1.744537
234.348114,1.731646
233.349335,1.723053
232.350586,1.716798
231.318527,1.703195
230.319733,1.695007
229.320969,1.686743
228.288895,1.676427
227.290115,1.668823
226.291382,1.661005
225.259277,1.654799
224.260529,1.643009
223.261749,1.641250
222.229706,1.624770
221.230927,1.623377
220.232147,1.613028
219.200073,1.604575
218.201324,1.597399
217.202515,1.589900
216.170486,1.580093
215.171677,1.569820
214.172928,1.563240
213.140839,1.556868
212.142090,1.549153
211.143280,1.540305
210.111252,1.531952
209.112442,1.523847
208.113693,1.516055
207.081604,1.506591
206.082840,1.498522
205.050766,1.490438
204.052017,1.482673
203.053238,1.474578
202.021164,1.465935
201.022385,1.457951
200.023605,1.449237
198.991516,1.440998
197.992783,1.432475
196.994003,1.425347
195.961929,1.414847
194.963150,1.408738
193.964371,1.399200
192.932281,1.388356
191.933533,1.383688
190.934753,1.371933
189.902695,1.365455
188.903946,1.359017
187.905136,1.350844
186.873108,1.343125
185.874298,1.334639
184.875549,1.326437
183.843445,1.317668
182.844696,1.309331
181.845901,1.302336
180.813843,1.293098
179.815063,1.285811
178.816269,1.277364
177.784180,1.268192
176.785431,1.261515
175.786636,1.252908
174.754608,1.241691
173.755783,1.237005
172.757034,1.225972
171.724945,1.218334
170.726196,1.212494
169.727371,1.205714
168.695328,1.197472
167.696548,1.188883
166.697769,1.181681
165.665665,1.173267
164.666916,1.161439
163.668106,1.156431
162.636078,1.146587
161.637283,1.137552
160.638535,1.133038
159.606430,1.125447
158.607651,1.116610
157.608841,1.109552
156.576813,1.100351
155.578003,1.091682
154.545944,1.085022
153.547165,1.074911
152.548386,1.066438
151.516296,1.060871
150.517532,1.050686
149.518738,1.044202
148.486664,1.037696
147.487885,1.028386
146.489105,1.018877
145.457016,1.013605
144.458267,1.004421
143.459503,0.996742
142.427399,0.989111
141.428650,0.981498
140.429840,0.975240
139.397781,0.967006
138.399002,0.956955
137.400223,0.951479
136.368118,0.942606
135.369385,0.934175
134.370560,0.928775
133.338501,0.918889
132.339691,0.912366
131.340958,0.904846
130.308853,0.897445
129.310074,0.890103
128.311264,0.883434
127.279228,0.875140
126.280426,0.867386
125.281647,0.860662
124.249550,0.851741
123.250801,0.843661
122.251991,0.838484
121.219940,0.829473
120.221115,0.822381
119.222366,0.814507
118.190239,0.807469
117.191505,0.801142
116.192688,0.793888
115.160629,0.786294
114.161819,0.779354
113.163063,0.771910
112.130974,0.764855
111.132202,0.757798
110.133385,0.751063
109.101326,0.743784
108.102509,0.736784
107.103767,0.729611
106.071671,0.722495
105.072891,0.716042
104.074081,0.708772
103.042015,0.701165
102.043213,0.695210
101.011185,0.687461
100.012398,0.681295
99.013596,0.674524
97.981529,0.667552
96.982719,0.661500
95.983971,0.654520
94.951881,0.648116
93.953102,0.641638
92.954285,0.635313
91.922226,0.628624
90.923409,0.620451
89.924667,0.613624
88.892548,0.606610
87.893791,0.600569
86.894981,0.593257
85.862923,0.585936
84.864113,0.579423
83.865334,0.572863
82.833237,0.565800
81.834457,0.559870
80.835648,0.553584
79.803581,0.547869
78.804771,0.542295
77.806030,0.537080
76.773903,0.531775
75.775154,0.526683
74.776337,0.521572
73.744286,0.516391
72.745476,0.511438
71.746696,0.506359
70.714600,0.501304
69.715820,0.496429
68.717003,0.491341
67.684944,0.486332
66.686142,0.481124
65.687355,0.475863
64.655266,0.470600
63.656487,0.465500
62.657673,0.460514
61.625610,0.455163
60.626797,0.450234
59.628021,0.445332
58.595932,0.440156
57.597145,0.435185
56.598400,0.430160
55.566277,0.424946
54.567528,0.420084
53.568687,0.414845
52.536625,0.409756
51.537811,0.404529
50.505753,0.399332
49.506939,0.394156
48.508160,0.389144
47.476070,0.383743
46.477287,0.378770
45.478477,0.373894
44.446415,0.368506
43.447601,0.363793
42.448826,0.358890
41.416702,0.353563
40.417953,0.348966
39.419140,0.343310
38.387077,0.338056
37.388233,0.333141
