2,Dirt Pro-Late Model,baseline
Steering Wheel Angle,Yaw Rate
299.296204,2.236094
298.047699,2.173035
296.799255,2.113847
295.509155,2.062744
294.260742,1.972750
293.012207,1.967267
291.722137,1.943668
290.473663,1.930837
289.225189,1.862720
287.935150,1.867735
286.686676,1.871831
285.438232,1.885268
284.148163,1.903482
282.899658,1.972863
281.651215,1.998246
280.361115,2.023324
279.112640,2.048572
277.864227,2.076343
276.574097,2.104739
275.325653,2.133324
274.077179,2.162058
272.787140,2.188986
271.538666,2.210958
270.290192,2.231033
269.000092,2.248151
267.751648,2.262262
266.503143,2.273903
265.213104,2.283714
263.964600,2.292552
262.716156,2.301248
261.426056,2.309325
260.177612,2.316798
258.929108,2.324072
257.639069,2.331152
256.390564,2.337836
255.142120,2.385524
253.852005,2.330634
252.603546,2.308657
251.313461,2.324409
250.065018,2.337170
248.816544,2.350689
247.526459,2.360564
246.277985,2.371690
245.029510,2.381059
243.739395,2.390029
242.490982,2.398367
241.242508,2.406205
239.952408,2.412931
238.703934,2.420890
237.455460,2.427238
236.165344,2.433677
234.916916,2.441298
233.668442,2.446741
232.378372,2.454024
231.129929,2.460264
229.881424,2.466385
228.591385,2.472954
227.342865,2.478597
226.094437,2.484372
224.804306,2.491809
223.555878,2.486569
222.307373,2.681772
221.017303,2.570995
219.768829,2.577259
218.520340,2.567819
217.230225,2.583551
215.981781,2.601567
214.733292,2.623515
213.443268,2.650956
212.194733,2.682540
210.946289,2.717489
209.656189,2.753373
208.407745,2.794002
207.159210,2.839447
205.869156,2.884166
204.620682,2.967313
203.372208,3.224474
202.082077,3.191944
200.833649,3.178372
199.585129,3.287713
198.295105,3.280922
197.046600,3.322878
195.798172,3.366384
194.508041,3.418503
193.259567,3.478979
192.011047,3.523870
190.721008,3.541247
189.472504,3.561705
188.182434,3.587739
186.933960,3.618750
185.685486,3.646064
184.395370,3.649918
183.146912,3.650980
181.898422,3.633996
180.608337,3.638298
179.359863,3.617425
178.111389,3.596165
176.821274,3.574352
175.572830,3.605922
174.324371,3.622758
173.034241,3.585898
171.785812,3.560597
170.537292,3.515940
169.247223,3.533227
167.998749,3.502756
166.750275,3.455353
165.460144,3.430217
164.211731,3.399097
162.963196,3.373811
161.673126,3.347789
160.424622,3.323062
159.176193,3.304004
157.886063,3.320203
156.637589,3.285139
155.389084,3.291068
154.099030,3.275170
152.850525,3.259974
151.602051,3.250072
150.311935,3.231819
149.063507,3.221745
147.814987,3.203025
146.524933,3.192671
145.276398,3.174771
144.027954,3.160717
142.737793,3.143811
141.489380,3.108594
140.240860,3.079286
138.950790,3.057234
137.702271,3.036675
136.453827,3.012892
135.163712,2.991247
133.915253,2.968376
132.666733,2.948491
131.376663,2.924975
130.128143,2.906478
128.879715,2.883944
127.589584,2.864012
126.341110,2.841724
125.092606,2.823965
123.802521,2.801344
122.554016,2.783428
121.263977,2.762136
120.015495,2.745669
118.766998,2.726964
117.476913,2.711103
116.228401,2.699895
114.979965,2.693211
113.689850,2.676977
112.441376,2.657320
111.192856,2.634455
109.902786,2.612495
108.654259,2.592161
107.405838,2.572856
106.115685,2.490179
104.867241,2.604814
103.618729,2.552094
102.328651,2.531686
101.080139,2.502932
99.831665,2.470144
98.541550,2.433730
97.293076,2.395645
96.044556,2.355584
94.754478,2.313333
93.505966,2.271364
92.257538,2.228642
90.967377,2.184946
89.718941,2.141274
88.470421,2.098734
87.180359,1.915703
85.931847,2.100526
84.683372,2.079977
83.393250,2.044244
82.144775,2.040868
80.896255,2.014319
79.606178,1.998251
78.357681,1.979060
77.109192,1.946085
75.819084,1.981490
74.570610,1.980455
73.322090,1.954892
72.032013,1.931808
70.783493,1.911683
69.535027,1.891100
68.244919,1.859063
66.996429,1.825355
65.748001,1.787098
64.457848,1.744794
63.209412,1.703185
61.960861,1.661035
60.670780,1.615560
59.422264,1.569721
58.132191,1.522329
56.883675,1.475605
55.635201,1.428636
54.345089,1.380260
53.096611,1.331437
51.848099,1.283441
50.558018,1.234221
49.309502,1.184355
48.061031,1.135382
46.770878,1.084787
45.522442,1.034451
44.273926,0.985275
42.983849,0.934195
41.735291,0.883648
40.486862,0.834240
39.196705,0.782405
37.948231,0.733605
36.699715,0.683291
35.409637,0.633474
34.161125,0.583527
32.912651,0.535552
31.622496,0.494470
30.374060,0.460576
29.125507,0.430973
27.835430,0.413745
26.586914,0.393303
25.338442,0.377357
24.048326,0.367611
22.799850,0.343111
21.551338,0.325686
20.261261,0.307978
19.012703,0.288986
17.764271,0.270677
16.474115,0.251687
15.225639,0.232838
13.977127,0.258661
12.687050,0.233239
11.438495,0.220356
10.190062,0.193432
8.899985,0.164687
7.651430,0.133560
6.402996,0.110963
5.112840,0.082654
3.864366,0.055697
2.615851,0.027596
1.325775,0.005310
0.077261,0.027438
-1.171254,0.055685
-2.461370,0.083435
-3.709884,0.113182
-5.000000,0.143812
-6.248434,0.166222
-7.497029,0.194007
-8.787065,0.224696
-10.035580,0.250955
-11.284094,0.278783
-12.574210,0.306559
-13.822643,0.335967
-15.071239,0.360897
-16.361275,0.394674
-17.609871,0.421490
-18.858303,0.446413
-20.148420,0.475994
-21.396933,0.502861
-22.645451,0.532312
-23.935566,0.558467
-25.184078,0.591193
-26.432514,0.613870
-27.722712,0.645071
-28.971146,0.673845
-30.219660,0.699695
-31.509773,0.730187
-32.758289,0.756398
-34.006805,0.786754
-35.296921,0.812796
-36.545357,0.844707
-37.793949,0.867661
-39.083984,0.904947
-40.332581,0.926120
-41.581009,0.956033
-42.871208,0.988274
-44.119644,1.012561
-45.368080,1.040332
-46.658272,1.070520
-47.906708,1.098320
-49.155308,1.127053
-50.445343,1.153973
-51.693855,1.185564
-52.942371,1.208945
-54.232483,1.242064
-55.480999,1.269066
-56.729515,1.297497
-58.019630,1.326951
-59.268147,1.354065
-60.516582,1.382674
-61.806774,1.369479
-63.055210,1.423345
-64.303802,1.437766
-65.593842,1.476842
-66.842438,1.497892
-68.090866,1.528385
-69.381065,1.556900
-70.629501,1.586414
-71.919701,1.614102
-73.168129,1.643611
-74.416649,1.672315
-75.706764,1.699544
-76.955276,1.728375
-78.203796,1.755932
-79.493912,1.788025
-80.742416,1.808452
-81.990936,1.843080
-83.281052,1.869794
-84.529572,1.895532
-85.778084,1.924901
-87.068192,1.953338
-88.316711,1.980709
-89.565231,2.008911
-90.855339,2.038583
-92.103867,2.065073
-93.352287,2.093149
-94.642487,2.121901
-95.890923,2.149274
-97.139519,2.177166
-98.429558,2.205915
-99.678146,2.233443
-100.926582,2.260076
-102.216705,2.290993
-103.465210,2.316447
-104.713730,2.344431
-106.003838,2.373828
-107.252357,2.398349
-108.500870,2.429876
-109.790985,2.455908
-111.039505,2.484005
-112.288017,2.510927
-113.578217,2.539382
-114.826645,2.567873
-116.075165,2.594106
-117.365280,2.623741
-118.613876,2.648450
-119.862305,2.682269
-121.152496,2.704282
-122.400940,2.738911
-123.649529,2.758793
-124.939568,2.797408
-126.188164,2.814131
-127.436600,2.787940
-128.726791,2.825975
-129.975220,2.856699
-131.223831,2.873086
-132.513870,2.912580
-133.762451,2.926360
-135.010880,2.950182
-136.301086,2.970946
-137.549530,2.999691
-138.839722,3.014610
-140.088226,3.041348
-141.336731,3.060302
-142.626862,3.084371
-143.875381,3.104694
-145.123886,3.128335
-146.414093,3.149785
-147.662521,3.171667
-148.911118,3.193562
-150.201157,3.216835
-151.449753,3.239531
-152.698196,3.259915
-153.988373,3.288335
-155.236816,3.301284
-156.485321,3.329585
-157.775528,3.348851
-159.023956,3.374144
-160.272537,3.393377
-161.562576,3.419626
-162.811188,3.438810
-164.059601,3.461931
-165.349808,3.482894
-166.598328,3.508681
-167.846848,3.527146
-169.136948,3.553491
-170.385468,3.575555
-171.633987,3.589442
-172.924194,3.622364
-174.172607,3.628141
-175.421219,3.634242
-176.711258,3.677519
-177.959839,3.679094
-179.208359,3.708193
-180.498474,3.740480
-181.746979,3.741280
-182.995514,3.783492
-184.285614,3.799655
-185.534210,3.797898
-186.782654,3.853750
-188.072845,3.869435
-189.321350,3.866849
-190.569885,3.903851
-191.859985,3.936816
-193.108597,3.934760
-194.357010,3.969710
-195.647217,4.000144
-196.895660,3.995696
-198.144241,4.038999
-199.434357,4.061766
-200.682861,4.059223
-201.972992,4.098113
-203.221588,4.127863
-204.470001,4.123703
-205.760208,4.153085
-207.008652,4.191864
-208.257263,4.190339
-209.547363,4.199435
-210.795959,4.245807
-212.044388,4.259263
-213.334503,4.247098
-214.583038,4.274353
-215.831528,4.316232
-217.121719,4.321248
-218.370178,4.310381
-219.618759,4.344041
-220.908875,4.383115
-222.157410,4.381590
-223.405914,4.374867
-224.696106,4.414095
-225.944534,4.447596
-227.193130,4.440972
-228.483261,4.439436
-229.731842,4.483214
-230.980286,4.511221
-232.270477,4.502889
-233.518906,4.503163
-234.767487,4.548031
-236.057617,4.575233
-237.306213,4.565711
-238.554657,4.566872
-239.844833,4.613245
-241.093369,4.641714
-242.341888,4.632415
-243.631989,4.634527
-244.880585,4.666458
-246.129013,4.702048
-247.419205,4.698743
-248.667740,4.694809
-249.916321,4.737487
-251.206360,4.781387
-252.454956,4.810033
-253.703461,4.802589
-254.993668,4.804541
-256.242096,4.834855
-257.490692,4.876786
-258.780792,4.933102
-260.029327,4.970997
-261.277832,4.968609
-262.568024,4.956174
-263.816467,4.967752
-265.106750,4.976308
-266.355164,5.008677
-267.603607,5.047295
-268.893890,5.105990
-270.142334,5.149466
-271.390930,5.197862
-272.681030,5.203507
-273.929565,5.191360
-275.178070,5.193145
-276.468262,5.332734
-277.716705,5.610854
-278.965302,5.670431
-280.255402,5.678929
-281.503998,5.644534
-282.752441,5.238689
-284.042725,5.162589
-285.291168,5.297390
-286.539734,5.363128
-287.829865,5.343671
-289.078461,5.713406
-290.326874,6.090827
-291.617096,6.091600
-292.865631,6.098478
-294.114197,5.863314
-295.404236,5.718988
-296.652802,5.710672
-297.901337,5.771646
-299.191528,5.889898
-300.440002,6.017928
-301.688568,6.137045
-302.978699,6.183592
-304.227295,6.175622
-305.475708,6.164873
-306.766022,6.125976
-308.014435,6.035550
-309.263031,5.478251
