2,Dirt Super Late Model,baseline
Steering Wheel Angle,Yaw Rate
304.296204,1.982252
303.047699,1.886223
301.799255,1.809932
300.509155,1.744862
299.260742,1.616649
298.012207,1.570079
296.722137,1.537048
295.473663,1.520100
294.225189,1.511270
292.935150,1.513670
291.686676,1.524084
290.438232,1.542095
289.148163,1.566389
287.899658,1.589217
286.651215,1.615121
285.361115,1.641087
284.112640,1.668702
282.864227,1.696177
281.574097,1.753036
280.325653,1.778733
279.077179,1.805865
277.787140,1.829686
276.538666,1.856832
275.290192,1.882963
274.000092,1.910363
272.751648,1.937673
271.503143,2.054842
270.213104,1.971182
268.964600,2.014508
267.716156,2.007298
266.426056,2.023181
265.177612,2.039108
263.929108,2.047423
262.639069,2.058393
261.390564,2.087046
260.142120,2.080448
258.851990,2.028891
257.603546,2.062612
256.313446,2.074880
255.065018,2.082281
253.816544,2.096230
252.526459,2.105630
251.277985,2.102931
250.029510,2.154418
248.739395,2.129485
247.490982,2.104703
246.242508,2.103120
244.952408,2.079748
243.703934,2.114524
242.455460,2.124883
241.165344,2.140068
239.916916,2.153211
238.668442,2.164892
237.378372,2.174686
236.129929,2.183778
234.881424,2.209407
233.591385,2.244672
232.342865,2.150468
231.094437,2.187018
229.804306,2.188812
228.555878,2.203644
227.307373,2.215766
226.017303,2.225299
224.768829,2.235678
223.520340,2.242801
222.230225,2.251436
220.981781,2.257274
219.733292,2.276473
218.443268,2.303464
217.194733,2.260416
215.946289,2.252872
214.656189,2.252860
213.407745,2.388744
212.159210,2.320391
210.869156,2.335091
209.620682,2.349800
208.372208,2.378038
207.082077,2.430253
205.833649,2.674418
204.585129,2.573881
203.295105,2.621636
202.046600,2.634376
200.798172,2.704103
199.508041,2.918550
198.259567,2.920724
197.011047,2.936449
195.721008,2.946874
194.472504,3.012387
193.182434,3.065859
191.933960,3.079017
190.685486,3.115897
189.395370,3.144871
188.146912,3.175764
186.898422,3.208943
185.608337,3.242241
184.359863,3.278321
183.111389,3.311955
181.821274,3.347235
180.572830,3.377611
179.324371,3.408540
178.034241,3.431376
176.785812,3.449430
175.537292,3.461458
174.247223,3.466488
172.998749,3.471091
171.750275,3.462998
170.460144,3.447246
169.211731,3.419417
167.963196,3.412227
166.673126,3.385616
165.424622,3.362523
164.176193,3.333658
162.886063,3.308662
161.637589,3.285021
160.389084,3.266111
159.099030,3.265670
157.850525,3.299338
156.602051,3.174176
155.311935,3.219617
154.063507,3.220464
152.814987,3.199487
151.524933,3.187041
150.276398,3.176049
149.027954,3.161432
147.737793,3.152383
146.489380,3.133016
145.240860,3.124901
143.950790,3.107474
142.702271,3.096448
141.453827,3.077477
140.163712,3.064032
138.915253,3.051208
137.666733,3.035901
136.376663,3.013590
135.128143,2.966877
133.879715,2.942816
132.589584,2.922444
131.341110,2.900316
130.092606,2.878729
128.802521,2.856560
127.554016,2.835747
126.263977,2.814047
125.015495,2.793051
123.766998,2.772954
122.476913,2.751410
121.228401,2.732613
119.979965,2.711641
118.689850,2.685155
117.441376,2.672959
116.192856,2.650954
114.902786,2.634191
113.654259,2.621256
112.405838,2.616873
111.115685,2.610344
109.867241,2.596222
108.618729,2.571902
107.328651,2.549309
106.080139,2.529819
104.831665,2.507653
103.541550,2.485999
102.293076,2.391878
101.044556,2.347806
99.754478,2.330596
98.505966,2.408737
97.257538,2.244345
95.967377,2.150007
94.718941,2.115978
93.470421,2.195931
92.180359,2.356152
90.931847,2.293517
89.683372,2.278092
88.393250,2.238431
87.144775,2.208170
85.896255,2.195305
84.606178,2.014869
83.357681,2.363623
82.109192,2.180979
80.819084,2.108174
79.570610,2.042769
78.322090,1.977165
77.032013,1.912254
75.783493,1.768601
74.535027,1.895422
73.244919,1.870984
71.996429,1.845676
70.748001,1.854956
69.457848,1.826127
68.209412,1.810216
66.960861,1.789161
65.670784,1.767317
64.422264,1.747040
63.132191,1.725667
61.883675,1.705175
60.635201,1.684901
59.345089,1.663545
58.096611,1.643414
56.848099,1.622875
55.558018,1.593457
54.309502,1.560759
53.061031,1.522597
51.770878,1.481714
50.522442,1.489679
49.273926,1.365070
47.983849,1.384444
46.735291,1.318005
45.486862,1.264407
44.196705,1.212941
42.948231,1.161510
41.699715,1.110414
40.409637,1.057506
39.161125,1.005593
37.912651,0.953298
36.622498,0.900031
35.374062,0.845886
34.125507,0.792904
32.835430,0.737578
31.586914,0.684378
30.338442,0.629091
29.048326,0.579963
27.799850,0.578055
26.551338,0.552297
25.261261,0.534761
24.012703,0.520069
22.764271,0.503302
21.474115,0.487715
20.225639,0.468071
18.977127,0.451364
17.687050,0.432444
16.438496,0.415427
15.190062,0.396774
13.899985,0.377652
12.651430,0.359747
11.402996,0.341336
10.112840,0.321529
8.864366,0.303220
7.615851,0.285177
6.325775,0.317889
5.077261,0.280971
3.828746,0.256064
2.538630,0.240132
1.290116,0.206823
0.000000,0.180209
-1.248434,0.153012
-2.497030,0.125902
-3.787065,0.097568
-5.035580,0.069427
-6.284094,0.044993
-7.574210,0.009328
-8.822643,0.016409
-10.071239,0.037882
-11.361275,0.075327
-12.609871,0.097388
-13.858304,0.123527
-15.148419,0.156496
-16.396935,0.179079
-17.645451,0.206310
-18.935564,0.193322
-20.184078,0.222634
-21.432514,0.253877
