2,Dirt UMP Modified,baseline
Steering Wheel Angle,Yaw Rate
304.296204,3.954515
303.047699,3.475005
301.799255,3.047308
300.509155,2.731064
299.260742,2.395391
298.012207,2.127603
296.722137,1.920531
295.473663,1.761018
294.225189,1.640006
292.935150,1.550854
291.686676,1.487843
290.438232,1.446814
289.148163,1.424986
287.899658,1.419868
286.651215,1.430051
285.361115,1.455309
284.112640,1.496153
282.864227,1.544812
281.574097,1.602087
280.325653,1.667141
279.077179,1.740060
277.787140,1.821264
276.538666,1.910281
275.290192,2.007795
274.000092,2.116222
272.751648,2.234861
271.503143,2.365173
270.213104,2.506682
268.964600,2.661576
267.716156,2.831101
266.426056,3.010330
265.177612,3.192605
263.929108,3.377650
262.639069,3.567988
261.390564,3.762533
260.142120,3.957029
258.851990,4.152708
257.603546,4.347893
256.313446,4.537516
255.065018,4.716774
253.816544,4.876628
252.526459,5.011230
251.277985,5.110061
250.029510,5.144667
248.739395,5.126915
247.490982,5.138593
246.242508,5.092753
244.952408,5.145273
243.703934,5.124496
242.455460,5.112234
241.165344,5.086003
239.916916,5.066260
238.668442,5.039117
237.378372,5.012836
236.129929,4.990455
234.881424,4.964967
233.591385,4.939865
232.342865,4.915073
231.094437,4.890822
229.804306,4.865512
228.555878,4.841744
227.307373,4.816790
226.017303,4.791230
224.768829,4.767406
223.520340,4.742946
222.230225,4.717778
220.981781,4.693868
219.733292,4.669311
218.443268,4.644048
217.194733,4.620224
215.946289,4.595982
214.656189,4.571149
213.407745,4.546120
212.159210,4.523186
210.869156,4.497106
209.620682,4.479677
208.372208,4.444767
207.082077,4.423373
205.833649,4.402627
204.585129,4.376076
203.295105,4.351284
202.046600,4.328866
200.798172,4.303333
199.508041,4.279958
198.259567,4.255367
197.011047,4.231664
195.721008,4.206667
194.472504,4.183602
193.182434,4.158467
191.933960,4.135177
190.685486,4.111296
189.395370,4.086886
188.146912,4.064743
186.898422,4.038360
185.608337,4.013565
184.359863,3.991258
183.111389,3.967829
181.821274,3.942937
180.572830,3.917434
179.324371,3.896354
178.034241,3.869201
176.785812,3.845634
175.537292,3.821966
174.247223,3.798448
172.998749,3.773344
171.750275,3.731019
170.460144,3.702666
169.211731,3.677855
167.963196,3.651630
166.673126,3.624911
165.424622,3.594821
164.176193,3.568119
162.886063,3.540751
161.637589,3.511759
160.389084,3.486874
159.099030,3.456351
157.850525,3.431649
156.602051,3.402589
155.311935,3.376542
154.063507,3.347564
152.814987,3.322985
151.524933,3.292812
150.276398,3.268375
149.027954,3.239326
147.737793,3.213678
146.489380,3.184823
145.240860,3.160540
143.950790,3.131032
142.702271,3.106364
141.453827,3.079040
140.163712,3.052360
138.915253,3.025930
137.666733,3.000062
136.376663,2.972321
135.128143,2.946973
133.879715,2.920626
132.589584,2.893727
131.341110,2.867317
130.092606,2.841879
128.802521,2.814783
127.554016,2.789212
126.263977,2.762197
125.015495,2.736425
123.766998,2.710043
122.476913,2.684241
121.228401,2.658070
119.979965,2.632196
118.689850,2.605659
117.441376,2.579992
116.192856,2.554000
114.902786,2.527766
113.654259,2.502729
112.405838,2.476005
111.115685,2.450067
109.867241,2.424568
108.618729,2.399009
107.328651,2.372540
106.080139,2.347162
104.831665,2.321286
103.541550,2.294789
102.293076,2.270083
101.044556,2.244648
99.754478,2.217807
98.505966,2.192166
97.257538,2.167012
95.967377,2.140337
94.718941,2.115519
93.470421,2.069186
92.180359,2.055193
90.931847,2.029227
89.683372,1.986929
88.393250,1.975981
87.144775,1.942327
85.896255,1.919250
84.606178,1.888574
83.357681,1.867550
82.109192,1.834796
80.819084,1.801963
79.570610,1.782042
78.322090,1.750896
77.032013,1.716115
75.783493,1.696364
74.535027,1.673457
73.244919,1.653185
71.996429,1.813668
70.748001,1.782784
69.457848,1.768453
68.209412,1.610379
66.960861,1.757325
65.670784,1.787690
64.422264,1.750527
63.132191,1.708406
61.883675,1.645227
60.635201,1.578142
59.345089,1.514573
58.096611,1.460514
56.848099,1.396583
55.558018,1.328919
54.309502,1.258815
53.061031,1.188405
51.770878,1.092057
50.522442,1.165666
49.273926,1.210886
47.983849,1.232948
46.735291,1.265851
45.486862,1.276738
44.196705,1.235090
42.948231,1.216073
41.699715,1.196982
40.409637,1.176883
39.161125,1.157656
37.912651,1.138557
36.622498,1.119003
35.374062,1.100070
34.125507,1.081331
32.835430,1.058133
31.586914,1.032718
30.338442,1.005027
29.048326,0.969083
27.799850,0.932171
26.551338,0.890143
25.261261,0.842697
24.012703,0.792149
22.764271,0.737365
21.474115,0.678821
20.225639,0.618589
18.977127,0.555948
17.687050,0.490050
16.438496,0.420544
15.190062,0.349016
13.899985,0.275406
12.651430,0.202073
11.402996,0.129532
10.112840,0.057698
8.864366,0.014356
7.615851,0.078612
6.325775,0.135584
5.077261,0.214520
3.828746,0.247023
2.538630,0.306769
1.290116,0.372839
0.000000,0.336963
-1.248434,0.287599
-2.497030,0.252998
-3.787065,0.239949
-5.035580,0.241701
-6.284094,0.256453
-7.574210,0.277508
-8.822643,0.300865
-10.071239,0.326080
-11.361275,0.353600
-12.609871,0.381153
-13.858304,0.409392
-15.148419,0.439080
-16.396935,0.468318
-17.645451,0.497950
-18.935564,0.528872
-20.184078,0.559462
-21.432514,0.590829
-22.722712,0.623852
-23.971146,0.656681
-25.219660,0.690104
-26.509773,0.725095
-27.758291,0.759860
-29.006805,0.795456
-30.296919,0.833220
-31.545355,0.871837
-32.793949,0.875608
-34.083984,0.953475
-35.332581,1.016671
-36.581013,1.048331
-37.871212,1.077148
-39.119648,1.103601
-40.368080,1.117205
-41.658272,1.130277
-42.906708,1.150898
