2,EURO NASCAR V8GP,baseline
Steering Wheel Angle,Yaw Rate
362.622681,2.687855
361.623901,2.692009
360.625153,2.711094
359.593109,2.708081
358.594330,2.700421
357.595612,2.690922
356.563568,2.678664
355.564758,2.670928
354.566010,2.661832
353.533997,2.652953
352.535248,2.652083
351.536469,2.646581
350.504425,2.640897
349.505646,2.631760
348.506927,2.629064
347.474854,2.621998
346.476105,2.616271
345.477325,2.609736
344.445282,2.602383
343.446533,2.596592
342.447784,2.591149
341.415710,2.584616
340.416962,2.578888
339.418213,2.572974
338.386139,2.565789
337.387360,2.560180
336.388641,2.555213
335.356598,2.549635
334.357849,2.542783
333.359039,2.537458
332.326996,2.531409
331.328247,2.525023
330.329498,2.518176
329.297424,2.511898
328.298645,2.504661
327.299927,2.501052
326.267853,2.491946
325.269073,2.485018
324.270355,2.476056
323.238281,2.469339
322.239502,2.461758
321.240784,2.453725
320.208710,2.446452
319.209961,2.438664
318.211212,2.430634
317.179138,2.423048
316.180359,2.414722
315.181641,2.407075
314.149536,2.399242
313.150787,2.391519
312.152069,2.383433
311.119995,2.376101
310.121185,2.368224
309.089172,2.360461
308.090393,2.352686
307.091644,2.345350
306.059570,2.336793
305.060852,2.329437
304.062042,2.321060
303.029999,2.312892
302.031219,2.305400
301.032471,2.298403
300.000427,2.290475
299.001678,2.282806
298.002899,2.275139
296.970825,2.267660
295.972076,2.258984
294.973328,2.251669
293.941254,2.244246
292.942474,2.235909
291.943726,2.228745
290.911652,2.220669
289.912903,2.212904
288.914154,2.205710
287.882080,2.196998
286.883301,2.189517
285.884552,2.182517
284.852478,2.173922
283.853729,2.166424
282.854980,2.158702
281.822876,2.151157
280.824127,2.142406
279.825317,2.135290
278.793304,2.127708
277.794556,2.119650
276.795776,2.111344
275.763702,2.103594
274.764984,2.096410
273.766174,2.088993
272.734131,2.080351
271.735382,2.073351
270.736603,2.065560
269.704529,2.057055
268.705780,2.049154
267.707001,2.041529
266.674927,2.033996
265.676178,2.025994
264.677399,2.018105
263.645355,2.010798
262.646576,2.002706
261.647827,1.995014
260.615753,1.986835
259.617004,1.979381
258.584900,1.971838
257.586182,1.964191
256.587372,1.956170
255.555344,1.947880
254.556549,1.940943
253.557785,1.933032
252.525742,1.924791
251.526947,1.917522
250.528183,1.909676
249.496140,1.901030
248.497330,1.893692
247.498581,1.886257
246.466522,1.878700
245.467773,1.871456
244.468964,1.863361
243.436951,1.855507
242.438156,1.847632
241.439392,1.840013
240.407318,1.832021
239.408585,1.823809
238.409760,1.817024
237.377716,1.808558
236.378922,1.800666
235.380157,1.792948
234.348114,1.785005
233.349335,1.777617
232.350586,1.769482
231.318527,1.762235
230.319733,1.754878
229.320969,1.746599
228.288895,1.738534
227.290115,1.731061
226.291382,1.724010
225.259277,1.715889
224.260529,1.708467
223.261749,1.700623
222.229706,1.692428
221.230927,1.684975
220.232147,1.677115
219.200073,1.669108
218.201324,1.661241
217.202515,1.653596
216.170486,1.645880
215.171677,1.638103
214.172928,1.630200
213.140839,1.622514
212.142090,1.614550
211.143280,1.606933
210.111252,1.599085
209.112442,1.592075
208.113693,1.584257
207.081604,1.576542
206.082840,1.568568
205.050766,1.560626
204.052017,1.553171
203.053238,1.545261
202.021164,1.537137
201.022385,1.529706
200.023605,1.522333
198.991516,1.513834
197.992783,1.506491
196.994003,1.499309
195.961929,1.490464
194.963150,1.482810
193.964371,1.475551
192.932281,1.467512
191.933533,1.460271
190.934753,1.452812
189.902695,1.444363
188.903946,1.437169
187.905136,1.429366
186.873108,1.421267
185.874298,1.413675
184.875549,1.406007
183.843445,1.398372
182.844696,1.390174
181.845901,1.382600
180.813843,1.375165
179.815063,1.367517
178.816269,1.359685
177.784180,1.351766
176.785431,1.343715
175.786636,1.336369
174.754608,1.328689
173.755783,1.321223
172.757034,1.313080
171.724945,1.305035
170.726196,1.297588
169.727371,1.289946
168.695328,1.282016
167.696548,1.274557
166.697769,1.267092
165.665665,1.259104
164.666916,1.251493
163.668106,1.243478
162.636078,1.235315
161.637283,1.228338
160.638535,1.220873
159.606430,1.212589
158.607651,1.204909
157.608841,1.197463
156.576813,1.189419
155.578003,1.181723
154.545944,1.173899
153.547165,1.166336
152.548386,1.158729
151.516296,1.150530
150.517532,1.142957
149.518738,1.134979
148.486664,1.127395
147.487885,1.120156
146.489105,1.112268
145.457016,1.104328
144.458267,1.096542
143.459503,1.088676
142.427399,1.081040
141.428650,1.073732
140.429840,1.065746
139.397781,1.057783
138.399002,1.050080
137.400223,1.042311
136.368118,1.034418
135.369385,1.026803
134.370560,1.019496
133.338501,1.011532
132.339691,1.003649
131.340958,0.995921
130.308853,0.988058
129.310074,0.980829
128.311264,0.973140
127.279228,0.965313
126.280426,0.957456
125.281647,0.949937
124.249550,0.942072
123.250801,0.934461
122.251991,0.927051
121.219940,0.919042
120.221115,0.911333
119.222366,0.903383
118.190239,0.895320
117.191505,0.887810
116.192688,0.880420
115.160629,0.872823
114.161819,0.865096
113.163063,0.856922
112.130974,0.849379
111.132202,0.841993
110.133385,0.834048
109.101326,0.826364
108.102509,0.818831
107.103767,0.811009
106.071671,0.803023
105.072891,0.795243
104.074081,0.787660
103.042015,0.779864
102.043213,0.772405
101.011185,0.764538
100.012398,0.756848
99.013596,0.749355
97.981529,0.741328
96.982719,0.733922
95.983971,0.726204
94.951881,0.717989
93.953102,0.710502
92.954285,0.702913
91.922226,0.695038
90.923409,0.687453
89.924667,0.679652
88.892548,0.671689
87.893791,0.664178
86.894981,0.656606
85.862923,0.648775
84.864113,0.641069
83.865334,0.633639
82.833237,0.625653
81.834457,0.617961
80.835648,0.610325
79.803581,0.602455
78.804771,0.594832
77.806030,0.587439
76.773903,0.579445
75.775154,0.571901
74.776337,0.564149
73.744286,0.556034
72.745476,0.548614
71.746696,0.541227
70.714600,0.533245
69.715820,0.525657
68.717003,0.518119
67.684944,0.510054
66.686142,0.502383
65.687355,0.494948
64.655266,0.486878
63.656487,0.479345
62.657673,0.471836
61.625610,0.463677
60.626797,0.456102
59.628021,0.448644
58.595932,0.440824
57.597145,0.433029
56.598400,0.425249
55.566277,0.417443
54.567528,0.409864
53.568687,0.402336
52.536625,0.394474
51.537811,0.386710
50.505753,0.378723
49.506939,0.371143
48.508160,0.363557
47.476070,0.355839
46.477287,0.348208
45.478477,0.340437
44.446415,0.332496
