2,FIA Cross Car,baseline
Steering Wheel Angle,Yaw Rate
205.010300,3.881338
204.021530,3.830103
203.005295,3.782164
202.016510,3.768723
201.000275,3.769476
200.011475,3.782819
199.022705,3.808767
198.006454,3.844387
197.017670,3.887582
196.001419,3.937081
195.012619,3.976494
194.023849,3.999832
193.007599,4.008080
192.018814,4.008803
191.002563,4.003918
190.013794,3.994877
189.024994,3.982540
188.008728,3.965518
187.019974,3.953230
186.003708,3.935258
185.014938,3.908043
184.026154,3.891116
183.009888,3.870607
182.021133,3.850421
181.004852,3.830703
180.016098,3.809143
178.999817,3.788871
178.011047,3.772522
177.022247,3.752353
176.005981,3.734561
175.017227,3.717002
174.000961,3.698377
173.012192,3.680516
172.023392,3.661967
171.007111,3.642559
170.018356,3.622612
169.002075,3.601271
168.013321,3.579552
167.024506,3.557097
166.008270,3.533779
165.019485,3.510171
164.003220,3.484226
163.014450,3.459523
162.025650,3.434032
161.009415,3.407904
160.020615,3.381867
159.004333,3.355162
158.015564,3.327315
157.026764,3.302845
156.010544,3.275038
155.021729,3.250007
154.005478,3.224350
153.016708,3.198719
152.000443,3.174647
151.011673,3.151319
150.022858,3.156441
149.006622,3.160686
148.017822,3.147151
147.001556,3.126477
146.012772,3.101056
145.023972,3.078230
144.007736,3.052088
143.018936,3.025916
142.002655,3.000794
141.013901,2.968546
140.025085,2.918985
139.008850,2.879455
138.020050,2.848987
137.003769,2.824445
136.014999,2.794961
135.026199,2.769331
134.009964,2.743942
133.021164,2.715660
132.004913,2.690534
131.016113,2.663548
130.027283,2.636148
129.011078,2.609987
128.022263,2.581770
127.006020,2.554651
126.017204,2.527937
125.000938,2.500677
124.012169,2.474210
123.023369,2.447842
122.007118,2.421142
121.018311,2.394877
120.002029,2.380337
119.013283,2.384724
118.024460,2.372019
117.008224,2.351187
116.019402,2.327887
115.003166,2.301523
114.014351,2.334048
113.025566,2.310126
112.009323,2.287809
111.020508,2.260766
110.004265,2.236272
109.015457,2.204576
108.026642,2.184897
107.010399,2.150605
106.021584,2.132758
105.005371,2.098286
104.016556,2.081417
103.027771,2.048454
102.011497,2.028233
101.022690,1.994971
100.006439,1.977985
99.017632,1.945257
98.001389,1.926111
97.012573,1.894316
96.023758,1.874109
95.007515,1.845558
94.018700,1.820817
93.002457,1.787098
92.013649,1.745091
91.024887,1.722924
90.008591,1.689153
89.019775,1.670107
88.003563,1.638484
87.014717,1.620210
86.025963,1.590166
85.009674,1.570968
84.020859,1.541306
83.004631,1.522759
82.015800,1.493062
81.027039,1.475409
80.010742,1.448179
79.021935,1.458329
78.005684,1.431093
77.016876,1.410631
76.000633,1.385621
75.011818,1.361355
74.023056,1.337188
73.006760,1.310671
72.017944,1.288660
71.001701,1.261468
70.012894,1.239271
69.024109,1.215956
68.007835,1.189227
67.018997,1.169516
66.002754,1.142491
65.013939,1.122901
64.025177,1.097405
63.008881,1.077181
62.020069,1.051769
61.003826,1.030586
60.015011,1.008794
59.026226,0.984247
58.009926,0.963769
57.021172,0.944679
56.004875,0.923921
55.016060,0.906449
54.027275,0.884141
53.011005,0.872971
52.022217,0.852514
51.005924,0.830859
50.017109,0.819132
49.000866,0.797976
48.012054,0.782517
47.023270,0.760226
46.006969,0.744171
45.018211,0.725178
44.001915,0.708952
43.013073,0.691221
42.024315,0.677721
41.008018,0.662805
40.019230,0.650045
39.002964,0.638484
38.014122,0.626401
37.025364,0.615214
36.009068,0.593355
35.020279,0.588175
34.003983,0.528641
33.015167,0.539463
32.026382,0.533315
31.010088,0.527501
30.021326,0.528803
29.005032,0.514236
28.016247,0.504688
27.027433,0.493171
26.011137,0.497559
25.022348,0.490527
24.006052,0.480447
23.017294,0.469231
22.000998,0.457350
21.012157,0.444616
20.023371,0.430748
19.007101,0.416553
18.018314,0.402119
17.002018,0.386387
16.013233,0.371021
15.024419,0.355246
14.008123,0.339317
13.019336,0.322551
12.003040,0.306233
11.014254,0.290118
10.025441,0.143807
9.009144,0.114386
8.020358,0.102453
7.004062,0.089204
6.015275,0.076164
5.026462,0.062506
4.010166,0.048553
3.021353,0.035318
2.005083,0.021158
1.016323,0.010021
0.000000,0.010543
-0.988760,0.019083
-1.977626,0.032551
-2.993896,0.046387
-3.982709,0.059448
-4.998979,0.073489
-5.987792,0.086588
-6.976604,0.099746
-7.992875,0.113606
-8.981688,0.126670
-9.997957,0.140333
-10.986771,0.153321
-11.975583,0.166469
-12.991853,0.179741
-13.980665,0.192522
-14.996989,0.206013
-15.985749,0.218965
-16.974613,0.231809
-17.990831,0.245045
-18.979698,0.257505
-19.995966,0.270582
-20.984779,0.283238
-21.973593,0.295865
-22.989862,0.288339
-23.978676,0.291817
-24.994999,0.303796
-25.983759,0.318257
-27.000082,0.333157
-27.988842,0.347970
-28.977654,0.362362
-29.993923,0.376807
-30.982737,0.391078
-31.999060,0.406123
-32.987873,0.420168
-33.976685,0.530980
-34.992954,0.541329
-35.981770,0.554383
-36.998093,0.564758
-37.986855,0.577797
-38.975719,0.593106
-39.991932,0.607549
-40.980801,0.624932
-41.997017,0.646568
-42.985882,0.666474
-43.974697,0.685286
-44.990967,0.704972
-45.979778,0.723075
-46.996048,0.741800
-47.984913,0.759162
-48.973728,0.779116
-49.989998,0.798464
-50.978813,0.816385
-51.995083,0.836727
-52.983894,0.856899
-54.000217,0.874977
-54.989029,0.893543
-55.977844,0.910671
-56.994110,0.922981
-57.982929,0.944500
-58.999199,0.961341
-59.988010,0.978780
-60.976871,1.002371
-61.993145,1.021312
-62.981956,1.047026
-63.998226,1.006738
-64.987038,1.015093
-65.975906,1.038812
-66.992180,1.064998
-67.980995,1.090677
-68.997253,1.115427
-69.986069,1.141046
-70.974884,1.166864
-71.991211,1.192423
-72.980019,1.218839
-73.996292,1.245992
-74.985161,1.270170
-75.973915,1.299761
-76.990234,1.324655
-77.979050,1.353352
-78.995323,1.380819
-79.984192,1.408649
-81.000404,1.437279
-81.989273,1.465042
-82.978142,1.493822
-83.994354,1.524237
-84.983215,1.553043
-85.999489,1.583333
-86.988304,1.612877
-87.977112,1.643471
-88.993439,1.673415
-89.982254,1.689501
-90.998520,1.701524
-91.987381,1.730853
-92.976151,1.749364
-93.992470,1.772000
-94.981339,1.796153
-95.997551,1.824125
-96.986420,1.840794
-97.975182,1.871925
-98.991501,1.888832
-99.980316,1.922290
-100.996635,1.938725
-101.985451,1.968544
-103.001717,1.987536
-103.990585,1.993540
-104.979347,2.012084
-105.995674,2.022776
-106.984535,2.054590
-108.000801,2.067936
-108.989616,2.099467
-109.978432,2.115799
-110.994759,2.146441
-111.983620,2.167459
-112.999840,2.190113
-113.988701,2.217177
-114.977516,2.236672
-115.993790,2.266391
-116.982597,2.286503
-117.998917,2.312938
-118.987793,2.337744
-119.976540,2.361467
-120.992874,2.384673
-121.981682,2.438848
-122.998009,2.482202
-123.986816,2.517798
-124.975624,2.548113
-125.991959,2.573793
-126.980713,2.597502
-127.997040,2.621042
-128.985855,2.648993
-130.002182,2.670741
-130.991043,2.694760
-131.979797,2.719798
-132.996124,2.744352
-133.984924,2.768525
-135.001266,2.792446
-135.990128,2.816997
-136.978897,2.839942
-137.995209,2.865672
-138.984009,2.873353
-140.000351,2.879882
-140.989212,2.892988
-141.977966,2.912105
-142.994293,2.933404
-143.983093,2.953882
-144.999435,2.975847
-145.988190,2.998394
-146.977051,3.017287
-147.993378,3.040034
-148.982193,3.062952
-149.998520,3.084880
-150.987274,3.108502
-151.976135,3.131129
-152.992462,3.154097
-153.981277,3.175744
-154.997604,3.200637
-155.986404,3.223563
-157.002731,3.248011
-157.991592,3.272861
-158.980362,3.299098
-159.996674,3.350795
-160.985504,3.403426
-162.001816,3.441159
-162.990631,3.471056
-163.979446,3.498301
-164.995819,3.514306
-165.984589,3.511940
-167.000900,3.524518
-167.989716,3.543820
-168.978577,3.581180
-169.994904,3.594389
-170.983719,3.630465
-172.000046,3.648551
-172.988800,3.684239
-173.977661,3.697589
-174.993927,3.735626
-175.982803,3.750650
-176.999130,3.781492
-177.987946,3.810264
-178.976807,3.840436
-179.993011,3.866295
-180.981888,3.887116
-181.998260,3.910663
-182.987030,3.933155
-184.003342,3.956362
-184.992157,3.979726
-185.981033,4.003314
-186.997345,4.029425
-187.986160,4.053650
-189.002487,4.080908
-189.991287,4.107046
-190.980164,4.133667
-191.996368,4.160546
-192.985306,4.185835
-194.001617,4.214458
-194.990387,4.239100
-195.979248,4.262237
-196.995514,4.272876
-197.984390,4.212777
-199.000702,4.213661
-199.989532,4.212031
-200.978394,4.217310
-201.994644,4.243380
-202.983521,4.238156
-203.999786,4.248407
-204.988647,4.262055
