2,FIA F4,baseline
Steering Wheel Angle,Yaw Rate
193.964371,1.875918
192.932281,1.841269
191.933533,1.887651
190.934753,1.859375
189.902695,1.855155
188.903946,1.848083
187.905136,1.839363
186.873108,1.829801
185.874298,1.820011
184.875549,1.810162
183.843445,1.801646
182.844696,1.791367
181.845901,1.780200
180.813843,1.769952
179.815063,1.770655
178.816269,1.759132
177.784180,1.716320
176.785431,1.741933
175.786636,1.711967
174.754608,1.710780
173.755783,1.697381
172.757034,1.689786
171.724945,1.678704
170.726196,1.667868
169.727371,1.658117
168.695328,1.648346
167.696548,1.640434
166.697769,1.626768
165.665665,1.617802
164.666916,1.610263
163.668106,1.598396
162.636078,1.586776
161.637283,1.580849
160.638535,1.567477
159.606430,1.558618
158.607651,1.549821
157.608841,1.537490
156.576813,1.530653
155.578003,1.516746
154.545944,1.510762
153.547165,1.498177
152.548386,1.488950
151.516296,1.479951
150.517532,1.468181
149.518738,1.460423
148.486664,1.448674
147.487885,1.439855
146.489105,1.430284
145.457016,1.418983
144.458267,1.410946
143.459503,1.398787
142.427399,1.391538
141.428650,1.378464
140.429840,1.371478
139.397781,1.359504
138.399002,1.349741
137.400223,1.342066
136.368118,1.328604
135.369385,1.321829
134.370560,1.309728
133.338501,1.301266
132.339691,1.291053
131.340958,1.280547
130.308853,1.271932
129.310074,1.260509
128.311264,1.251684
127.279228,1.242221
126.280426,1.230319
125.281647,1.223354
124.249550,1.209909
123.250801,1.203774
122.251991,1.190553
121.219940,1.183098
120.221115,1.171675
119.222366,1.162697
118.190239,1.152704
117.191505,1.141748
116.192688,1.133700
115.160629,1.121994
114.161819,1.113294
113.163063,1.103298
112.130974,1.091867
111.132202,1.084463
110.133385,1.072080
109.101326,1.065073
108.102509,1.052294
107.103767,1.045296
106.071671,1.032887
105.072891,1.024298
104.074081,1.014369
103.042015,1.002628
102.043213,0.996087
101.011185,0.982557
100.012398,0.975809
99.013596,0.964104
97.981529,0.954748
96.982719,0.945123
95.983971,0.934825
94.951881,0.925642
93.953102,0.914530
92.954285,0.906361
91.922226,0.894769
90.923409,0.886109
89.924667,0.876116
88.892548,0.865433
87.893791,0.857104
86.894981,0.845280
85.862923,0.837145
84.864113,0.825170
83.865334,0.818346
82.833237,0.805514
81.834457,0.797146
80.835648,0.785985
79.803581,0.776815
78.804771,0.768635
77.806030,0.756888
76.773903,0.746405
75.775154,0.739251
74.776337,0.727536
73.744286,0.716902
72.745476,0.709663
71.746696,0.698617
70.714600,0.686935
69.715820,0.679063
68.717003,0.670092
67.684944,0.658427
66.686142,0.647757
65.687355,0.640199
64.655266,0.629994
63.656487,0.618213
62.657673,0.609503
61.625610,0.601197
60.626797,0.590170
59.628021,0.578644
58.595932,0.569949
57.597145,0.561938
56.598400,0.550754
55.566277,0.539285
54.567528,0.531159
53.568687,0.521614
52.536625,0.510341
51.537811,0.502143
50.505753,0.490285
49.506939,0.482160
48.508160,0.471040
47.476070,0.461522
46.477287,0.453445
45.478477,0.440725
44.446415,0.433697
43.447601,0.421605
42.448826,0.413197
41.416702,0.402612
40.417953,0.392705
39.419140,0.384102
38.387077,0.372087
37.388233,0.364771
36.389488,0.352186
35.357365,0.345120
34.358585,0.332877
33.359772,0.324786
32.327709,0.314134
31.328901,0.303947
30.330120,0.295427
29.297997,0.283969
28.299248,0.275433
27.300406,0.264984
26.268345,0.254915
25.269531,0.246254
24.270754,0.234507
23.238661,0.226842
22.239880,0.214518
21.241070,0.207594
20.209009,0.195107
19.210163,0.186874
18.211416,0.176709
17.179293,0.166141
16.180511,0.157632
15.181702,0.145970
14.149640,0.138338
13.150796,0.125918
12.152049,0.119237
11.119988,0.106494
10.121144,0.098218
9.122396,0.088295
8.090272,0.077701
7.091493,0.068798
6.092681,0.057992
5.060620,0.049320
4.061809,0.038452
3.062997,0.028693
2.030904,0.019970
1.032093,0.008526
0.000000,0.001715
-0.998747,0.009425
-1.997624,0.018625
-3.029652,0.026845
-4.028464,0.038561
-5.027276,0.048758
-6.059368,0.056973
-7.058115,0.066604
-8.056992,0.078439
-9.089020,0.087729
-10.087896,0.095603
-11.086643,0.106703
-12.118735,0.118107
-13.117547,0.126352
-14.116360,0.135302
-15.148452,0.146926
-16.147263,0.155449
-17.146011,0.165953
-18.178169,0.176169
-19.176916,0.184798
-20.175728,0.196469
-21.207819,0.203976
-22.206633,0.216517
-23.205444,0.223242
