2,Ferrari 296 Challenge,baseline
Steering Wheel Angle,Yaw Rate
265.676178,2.217469
264.677399,2.218006
263.645355,2.215279
262.646576,2.207654
261.647827,2.200501
260.615753,2.192934
259.617004,2.187300
258.584900,2.179129
257.586182,2.172131
256.587372,2.164767
255.555344,2.157012
254.556549,2.149437
253.557785,2.141777
252.525742,2.133719
251.526947,2.125874
250.528183,2.116953
249.496140,2.107688
248.497330,2.098783
247.498581,2.089805
246.466522,2.080622
245.467773,2.070548
244.468964,2.061612
243.436951,2.051580
242.438156,2.041954
241.439392,2.033353
240.407318,2.024546
239.408585,2.015949
238.409760,2.008752
237.377716,2.000974
236.378922,1.992787
235.380157,1.983960
234.348114,1.974607
233.349335,1.966041
232.350586,1.957646
231.318527,1.949330
230.319733,1.940889
229.320969,1.932659
228.288895,1.923908
227.290115,1.915391
226.291382,1.906975
225.259277,1.898024
224.260529,1.889698
223.261749,1.881293
222.229706,1.872354
221.230927,1.863749
220.232147,1.854249
219.200073,1.846445
218.201324,1.838342
217.202515,1.829912
216.170486,1.821078
215.171677,1.812378
214.172928,1.803906
213.140839,1.795063
212.142090,1.786542
211.143280,1.778219
210.111252,1.769614
209.112442,1.760839
208.113693,1.752368
207.081604,1.743649
206.082840,1.735151
205.050766,1.726407
204.052017,1.717966
203.053238,1.709516
202.021164,1.700695
201.022385,1.692188
200.023605,1.683737
198.991516,1.674845
197.992783,1.666295
196.994003,1.657730
195.961929,1.649100
194.963150,1.640576
193.964371,1.632121
192.932281,1.623250
191.933533,1.614491
190.934753,1.606053
189.902695,1.597313
188.903946,1.588794
187.905136,1.580095
186.873108,1.572437
185.874298,1.563309
184.875549,1.555134
183.843445,1.546988
182.844696,1.538298
181.845901,1.529383
180.813843,1.520624
179.815063,1.512094
178.816269,1.503663
177.784180,1.495045
176.785431,1.486626
175.786636,1.477875
174.754608,1.468978
173.755783,1.460619
172.757034,1.452980
171.724945,1.444306
170.726196,1.435767
169.727371,1.427070
168.695328,1.418743
167.696548,1.410524
166.697769,1.401695
165.665665,1.392885
164.666916,1.384174
163.668106,1.375774
162.636078,1.366799
161.637283,1.358240
160.638535,1.350322
159.606430,1.341752
158.607651,1.333192
157.608841,1.324472
156.576813,1.315391
155.578003,1.306967
154.545944,1.298418
153.547165,1.290766
152.548386,1.282401
151.516296,1.273621
150.517532,1.264504
149.518738,1.256016
148.486664,1.247250
147.487885,1.238779
146.489105,1.230340
145.457016,1.222258
144.458267,1.214337
143.459503,1.205469
142.427399,1.196671
141.428650,1.188542
140.429840,1.180240
139.397781,1.171317
138.399002,1.162673
137.400223,1.153864
136.368118,1.145147
135.369385,1.136722
134.370560,1.129191
133.338501,1.120298
132.339691,1.111761
131.340958,1.102801
130.308853,1.094957
129.310074,1.086364
128.311264,1.077781
127.279228,1.068887
126.280426,1.060164
125.281647,1.052125
124.249550,1.043835
123.250801,1.035410
122.251991,1.026645
121.219940,1.017703
120.221115,1.009030
119.222366,1.000680
118.190239,0.992457
117.191505,0.984543
116.192688,0.975800
115.160629,0.966953
114.161819,0.958310
113.163063,0.949732
112.130974,0.941272
111.132202,0.933401
110.133385,0.925100
109.101326,0.915722
108.102509,0.907441
107.103767,0.899326
106.071671,0.890360
105.072891,0.881900
104.074081,0.873242
103.042015,0.864928
102.043213,0.857004
101.011185,0.848206
100.012398,0.839609
99.013596,0.830797
97.981529,0.822099
96.982719,0.813604
95.983971,0.805958
94.951881,0.797265
93.953102,0.788684
92.954285,0.779862
91.922226,0.771950
90.923409,0.763457
89.924667,0.754870
88.892548,0.746114
87.893791,0.737901
86.894981,0.729681
85.862923,0.720762
84.864113,0.712098
83.865334,0.703526
82.833237,0.694622
81.834457,0.686153
80.835648,0.678200
79.803581,0.669951
78.804771,0.661231
77.806030,0.652420
76.773903,0.643564
75.775154,0.635461
74.776337,0.627631
73.744286,0.618693
72.745476,0.610255
71.746696,0.601718
70.714600,0.593369
69.715820,0.584254
68.717003,0.576705
67.684944,0.568062
66.686142,0.559389
65.687355,0.550621
64.655266,0.541739
63.656487,0.533530
62.657673,0.525676
61.625610,0.517011
60.626797,0.508343
