2,Ferrari 296 GT3,baseline
Steering Wheel Angle,Yaw Rate
227.290115,1.499847
226.291382,1.500177
225.259277,1.499638
224.260529,1.493812
223.261749,1.487757
222.229706,1.481330
221.230927,1.475180
220.232147,1.468899
219.200073,1.462422
218.201324,1.456040
217.202515,1.449813
216.170486,1.443137
215.171677,1.436761
214.172928,1.430291
213.140839,1.423552
212.142090,1.416898
211.143280,1.410139
210.111252,1.403266
209.112442,1.396336
208.113693,1.389534
207.081604,1.382606
206.082840,1.375873
205.050766,1.368824
204.052017,1.362033
203.053238,1.355234
202.021164,1.348306
201.022385,1.341516
200.023605,1.334743
198.991516,1.327665
197.992783,1.320775
196.994003,1.313747
195.961929,1.306386
194.963150,1.299195
193.964371,1.292058
192.932281,1.284630
191.933533,1.277642
190.934753,1.271000
189.902695,1.264086
188.903946,1.257425
187.905136,1.251245
186.873108,1.244652
185.874298,1.238181
184.875549,1.231974
183.843445,1.224987
182.844696,1.218087
181.845901,1.211557
180.813843,1.204148
179.815063,1.197180
178.816269,1.190560
177.784180,1.183598
176.785431,1.176993
175.786636,1.170162
174.754608,1.163086
173.755783,1.156473
172.757034,1.149732
171.724945,1.142863
170.726196,1.136066
169.727371,1.129533
168.695328,1.122469
167.696548,1.115676
166.697769,1.109152
165.665665,1.102044
164.666916,1.095298
163.668106,1.088644
162.636078,1.081749
161.637283,1.074997
160.638535,1.068324
159.606430,1.061349
158.607651,1.054635
157.608841,1.047955
156.576813,1.040994
155.578003,1.034316
154.545944,1.027417
153.547165,1.020587
152.548386,1.013863
151.516296,1.007015
150.517532,1.000189
149.518738,0.993492
148.486664,0.986592
147.487885,0.979927
146.489105,0.973219
145.457016,0.966239
144.458267,0.959551
143.459503,0.952898
142.427399,0.945832
141.428650,0.939178
140.429840,0.932593
139.397781,0.925555
138.399002,0.918819
137.400223,0.912138
136.368118,0.905156
135.369385,0.898551
134.370560,0.891795
133.338501,0.884806
132.339691,0.878231
131.340958,0.871432
