2,Ferrari 488 GT3 Evo 2020,baseline
Steering Wheel Angle,Yaw Rate
238.409760,1.532143
237.377716,1.532213
236.378922,1.532178
235.380157,1.525429
234.348114,1.519300
233.349335,1.513276
232.350586,1.507075
231.318527,1.500703
230.319733,1.494525
229.320969,1.488423
228.288895,1.481982
227.290115,1.475794
226.291382,1.469606
225.259277,1.463182
224.260529,1.456972
223.261749,1.450659
222.229706,1.444157
221.230927,1.437727
220.232147,1.431192
219.200073,1.424481
218.201324,1.417942
217.202515,1.411391
216.170486,1.404603
215.171677,1.398078
214.172928,1.391576
213.140839,1.384821
212.142090,1.378264
211.143280,1.371744
210.111252,1.365003
209.112442,1.358485
208.113693,1.351929
207.081604,1.345076
206.082840,1.338627
205.050766,1.331823
204.052017,1.325334
203.053238,1.318566
202.021164,1.311553
201.022385,1.304719
200.023605,1.297668
198.991516,1.290515
197.992783,1.283323
196.994003,1.276243
195.961929,1.269611
194.963150,1.262998
193.964371,1.256495
192.932281,1.249870
191.933533,1.243755
190.934753,1.237614
189.902695,1.231271
188.903946,1.224909
187.905136,1.218358
186.873108,1.211550
185.874298,1.204968
184.875549,1.198137
183.843445,1.190979
182.844696,1.184527
181.845901,1.178183
180.813843,1.171379
179.815063,1.164838
178.816269,1.158271
177.784180,1.151469
176.785431,1.144865
175.786636,1.138398
174.754608,1.131582
173.755783,1.125054
172.757034,1.118490
171.724945,1.111721
170.726196,1.105236
169.727371,1.098524
168.695328,1.091859
167.696548,1.085341
166.697769,1.078847
165.665665,1.072047
164.666916,1.065474
163.668106,1.058889
162.636078,1.052178
161.637283,1.045585
160.638535,1.039102
159.606430,1.032317
158.607651,1.025789
157.608841,1.019140
156.576813,1.012476
155.578003,1.005900
154.545944,0.999059
153.547165,0.992681
152.548386,0.986050
151.516296,0.979226
150.517532,0.972652
149.518738,0.966194
148.486664,0.959415
147.487885,0.952844
146.489105,0.946363
145.457016,0.939609
144.458267,0.932966
143.459503,0.926434
142.427399,0.919634
141.428650,0.913181
140.429840,0.906518
139.397781,0.899751
138.399002,0.893212
137.400223,0.886702
136.368118,0.880025
135.369385,0.873446
134.370560,0.866909
133.338501,0.860234
132.339691,0.853704
131.340958,0.847079
